datetime,date,open,high,low,close,volume,MA20,MA50,MA100,MA200
2025-12-18 15:15:00,2025-12-18,11.28,11.32,11.28,11.29,19380000.0,,,,
2025-12-18 15:20:00,2025-12-18,11.29,11.31,11.29,11.3,13406000.0,,,,
2025-12-18 15:25:00,2025-12-18,11.29,11.35,11.29,11.33,18404000.0,,,,
2025-12-19 09:15:00,2025-12-19,11.42,11.48,11.25,11.35,53102000.0,,,,
2025-12-19 09:20:00,2025-12-19,11.35,11.46,11.28,11.44,34141000.0,,,,
2025-12-19 09:25:00,2025-12-19,11.43,11.5,11.43,11.49,25149000.0,,,,
2025-12-19 09:30:00,2025-12-19,11.49,11.53,11.47,11.51,20916000.0,,,,
2025-12-19 09:35:00,2025-12-19,11.51,11.52,11.44,11.45,11738000.0,,,,
2025-12-19 09:40:00,2025-12-19,11.46,11.49,11.44,11.47,12483000.0,,,,
2025-12-19 09:45:00,2025-12-19,11.47,11.66,11.46,11.64,47849000.0,,,,
2025-12-19 09:50:00,2025-12-19,11.64,11.7,11.63,11.64,45130000.0,,,,
2025-12-19 09:55:00,2025-12-19,11.64,11.64,11.58,11.61,17459000.0,,,,
2025-12-19 10:00:00,2025-12-19,11.61,11.68,11.6,11.65,18085000.0,,,,
2025-12-19 10:05:00,2025-12-19,11.64,11.65,11.6,11.62,9344000.0,,,,
2025-12-19 10:10:00,2025-12-19,11.62,11.64,11.6,11.62,5329000.0,,,,
2025-12-19 10:15:00,2025-12-19,11.62,11.63,11.58,11.58,16268999.999999998,,,,
2025-12-19 10:20:00,2025-12-19,11.59,11.63,11.57,11.6,10155000.0,,,,
2025-12-19 10:25:00,2025-12-19,11.61,11.63,11.58,11.6,8799000.0,,,,
2025-12-19 10:30:00,2025-12-19,11.6,11.63,11.59,11.61,4615000.0,,,,
2025-12-19 10:35:00,2025-12-19,11.62,11.66,11.6,11.65,17648000.0,11.522499999999999,,,
2025-12-19 10:40:00,2025-12-19,11.66,11.67,11.63,11.66,10035000.0,11.541,,,
2025-12-19 10:45:00,2025-12-19,11.66,11.72,11.65,11.71,24219000.0,11.561499999999999,,,
2025-12-19 10:50:00,2025-12-19,11.7,11.71,11.67,11.69,14672000.0,11.5795,,,
2025-12-19 10:55:00,2025-12-19,11.69,11.72,11.66,11.7,14281000.0,11.597,,,
