"month","total_pnl","avg_pnl_per_trade","avg_target_gain","total_trades","target_hits","sl_hits","eod_exits","target_pct","sl_pct","eod_pct","avg_sl_loss"
SEP_2024,67744.14,0.88,6.76,77047,33451,41814,1782,43.4,54.3,2.3,-3.87
DEC_2023,47898.95,0.48,3.94,100000,45555,51802,2643,45.6,51.8,2.6,-2.61
OCT_2025,43356.96,0.52,5.03,82674,35682,45217,1775,43.2,54.7,2.1,-3.06
JAN_2024,39346.52,0.36,4.86,108690,45208,61712,1770,41.6,56.8,1.6,-2.97
JUL_2024,31490.4,0.3,5.41,106644,43491,59879,3274,40.8,56.1,3.1,-3.43
JUL_2023,30192.34,0.28,3.69,107766,45523,58089,4154,42.2,53.9,3.9,-2.41
JUL_2022,25966.16,0.58,3.17,45046,20779,22754,1513,46.1,50.5,3.4,-1.81
MAY_2024,24931.65,0.3,5.55,82116,33433,46593,2090,40.7,56.7,2.5,-3.49
FEB_2024,24746.16,0.31,5.41,80629,32496,45904,2229,40.3,56.9,2.8,-3.41
JUN_2025,20043.92,0.26,5.6,76977,31155,44321,1501,40.5,57.6,1.9,-3.56
APR_2025,18379.04,0.39,6.95,47071,18906,27605,560,40.2,58.6,1.2,-4.15
NOV_2023,16373.74,0.22,3.19,73839,30861,41033,1945,41.8,55.6,2.6,-2.03
MAR_2022,15392.77,0.27,4.2,57068,23606,31375,2087,41.4,55.0,3.7,-2.73
OCT_2022,15040.67,0.32,3.44,46693,21168,23853,1672,45.3,51.1,3.6,-2.47
APR_2023,12525.21,0.24,2.7,51822,23107,26976,1739,44.6,52.1,3.4,-1.91
NOV_2022,11150.05,0.16,3.11,71590,30338,39303,1949,42.4,54.9,2.7,-2.16
JUN_2023,8849.18,0.1,3.06,91965,36696,52908,2361,39.9,57.5,2.6,-1.99
APR_2024,8512.08,0.1,4.8,82955,33042,48832,1081,39.8,58.9,1.3,-3.1
SEP_2025,8374.18,0.12,3.14,69952,30821,37767,1364,44.1,54.0,1.9,-2.37
AUG_2024,7209.24,0.09,5.84,83627,32898,48702,2027,39.3,58.2,2.4,-3.85
SEP_2023,6589.17,0.07,3.56,94549,38769,54135,1645,41.0,57.3,1.7,-2.43
NOV_2024,5769.1,0.14,8.1,42370,16768,24568,1034,39.6,58.0,2.4,-5.23
MAY_2023,4909.16,0.06,2.95,86726,34583,49876,2267,39.9,57.5,2.6,-1.99
AUG_2022,3553.33,0.05,3.3,72751,30214,40904,1633,41.5,56.2,2.2,-2.38
MAR_2025,1982.97,0.05,5.33,39242,16203,22079,960,41.3,56.3,2.4,-3.86
MAR_2023,114.27,0.0,2.76,40245,15963,23394,888,39.7,58.1,2.2,-1.92
NOV_2025,-182.83,-0.0,5.03,76202,30430,44350,1422,39.9,58.2,1.9,-3.46
SEP_2022,-2584.82,-0.03,3.44,74532,28739,44145,1648,38.6,59.2,2.2,-2.34
FEB_2025,-2877.07,-0.1,7.58,28100,10735,17008,357,38.2,60.5,1.3,-4.99
APR_2022,-4318.26,-0.07,3.85,65813,26900,38141,772,40.9,58.0,1.2,-2.88
JUN_2022,-5379.13,-0.16,3.19,33226,12149,20406,671,36.6,61.4,2.0,-2.17
FEB_2023,-8563.35,-0.2,3.17,41837,15246,25756,835,36.4,61.6,2.0,-2.21
JAN_2022,-8899.69,-0.13,3.45,68332,26264,40304,1764,38.4,59.0,2.6,-2.49
JAN_2023,-9572.54,-0.17,3.01,56983,21134,34601,1248,37.1,60.7,2.2,-2.14
JUN_2024,-10769.96,-0.12,6.17,87268,32507,52303,2458,37.2,59.9,2.8,-4.18
AUG_2025,-11867.8,-0.26,4.5,45244,15183,29256,805,33.6,64.7,1.8,-2.76
MAY_2022,-12291.63,-0.3,3.74,41000,15693,24790,517,38.3,60.5,1.3,-2.88
DEC_2025,-12762.07,-0.14,4.67,90226,34137,54586,1503,37.8,60.5,1.7,-3.19
DEC_2024,-13130.83,-0.26,6.12,50506,18121,31001,1384,35.9,61.4,2.7,-4.08
AUG_2023,-13428.87,-0.13,3.3,101102,37248,61013,2841,36.8,60.3,2.8,-2.31
MAR_2024,-13839.21,-0.2,4.93,69067,25125,42656,1286,36.4,61.8,1.9,-3.26
MAY_2025,-14147.69,-0.19,6.28,72628,28473,42733,1422,39.2,58.8,2.0,-4.61
DEC_2022,-16678.72,-0.24,3.08,68619,26317,41403,899,38.4,60.3,1.3,-2.36
JAN_2025,-21010.66,-0.6,6.79,35051,13321,21152,578,38.0,60.3,1.6,-5.35
OCT_2023,-22449.29,-0.32,2.71,70326,25127,43699,1500,35.7,62.1,2.1,-2.08
FEB_2022,-23015.78,-0.41,3.89,55683,17175,37585,923,30.8,67.5,1.7,-2.41
JUL_2025,-28079.22,-0.32,4.03,86953,33397,52721,835,38.4,60.6,1.0,-3.1
OCT_2024,-48182.24,-0.68,8.12,71087,23806,46047,1234,33.5,64.8,1.7,-5.27
