stock,top10_appearances,consistency_pct
VEDL,27,56.25
COALINDIA,26,54.166666666666664
ASHOKLEY,22,45.83333333333333
PNB,21,43.75
BANDHANBNK,21,43.75
POWERGRID,20,41.66666666666667
NTPC,19,39.58333333333333
ADANIPORTS,19,39.58333333333333
BHARTIARTL,18,37.5
HINDALCO,18,37.5
NATIONALUM,18,37.5
SBIN,17,35.41666666666667
TATAMOTORS,17,35.41666666666667
TATASTEEL,16,33.33333333333333
SUNPHARMA,16,33.33333333333333
IDEA,16,33.33333333333333
ONGC,15,31.25
RELIANCE,15,31.25
DABUR,15,31.25
INDUSINDBK,14,29.166666666666668
ITC,13,27.083333333333332
CIPLA,13,27.083333333333332
TECHM,13,27.083333333333332
AXISBANK,13,27.083333333333332
DIVISLAB,11,22.916666666666664
JSWSTEEL,11,22.916666666666664
WIPRO,11,22.916666666666664
HDFCBANK,9,18.75
INFY,8,16.666666666666664
ICICIBANK,8,16.666666666666664
