stock,top10_appearances,consistency_pct
VEDL,28,58.333333333333336
ASHOKLEY,23,47.91666666666667
NATIONALUM,22,45.83333333333333
PNB,21,43.75
COALINDIA,21,43.75
HINDALCO,20,41.66666666666667
IDEA,19,39.58333333333333
ONGC,18,37.5
BHARTIARTL,17,35.41666666666667
TATAMOTORS,17,35.41666666666667
JSWSTEEL,17,35.41666666666667
CIPLA,16,33.33333333333333
NTPC,16,33.33333333333333
DIVISLAB,16,33.33333333333333
ADANIPORTS,16,33.33333333333333
BANDHANBNK,15,31.25
POWERGRID,15,31.25
TATASTEEL,15,31.25
SUNPHARMA,15,31.25
AXISBANK,14,29.166666666666668
INDUSINDBK,14,29.166666666666668
ITC,13,27.083333333333332
RELIANCE,12,25.0
ICICIBANK,12,25.0
TECHM,12,25.0
SBIN,12,25.0
HDFCBANK,12,25.0
WIPRO,12,25.0
DABUR,10,20.833333333333336
INFY,10,20.833333333333336
