Date,Symbol,Buy,Sell,Net,Type,P&L,Result
2025-12-05,YES BANK,22.56,,22.56,Delivery Buy,0.0,Delivery Buy
2025-12-08,YES BANK,21.92,,21.92,Delivery Buy,0.0,Delivery Buy
2025-12-22,YES BANK,21.77,,21.77,Delivery Buy,0.0,Delivery Buy
2025-12-23,IDFC FIRST BANK,84.96,85.01,-0.25,Intraday,0.25000000000005684,WIN
2025-12-23,SUZLON,53.57,53.67,-0.5,Intraday,0.5000000000000071,WIN
2025-12-24,IDFC FIRST BANK,84.3,84.27,0.15,Intraday,-0.15000000000000568,LOSS
2025-12-24,MANAP GEN FI,313.5,314.05,-2.75,Intraday,2.750000000000057,WIN
2025-12-24,PUNJAB NATBK,121.07,120.84,1.15,Intraday,-1.1499999999999488,LOSS
2025-12-24,SOUTH INDIA,38.22,38.16,0.3,Intraday,-0.30000000000001137,LOSS
2025-12-24,SUZLON,53.82,53.31,2.55,Intraday,-2.54999999999999,LOSS
2025-12-24,TATA STL,170.47,170.0,2.35,Intraday,-2.3499999999999943,LOSS
2025-12-24,YES BANK,21.86,21.68,0.9,Intraday,-0.8999999999999986,LOSS
2025-12-24,ZEE ENTER,92.13,91.8,1.65,Intraday,-1.6499999999999915,LOSS
2025-12-26,YES BANK,,21.55,-21.55,Delivery Sell,0.0,Delivery Sell
2025-12-29,CANARA BANK,150.75,150.67,0.4,Intraday,-0.40000000000006253,LOSS
2025-12-29,PUNJAB NATBK,119.78,120.41,-3.15,Intraday,3.1499999999999773,WIN
2025-12-29,RPOWER,35.65,35.4,1.25,Intraday,-1.25,LOSS
2025-12-29,VODAFONE IDEA,11.97,11.97,0.0,Intraday,0.0,HOLD
2025-12-29,YES BANK,21.42,21.39,0.15,Intraday,-0.15000000000000568,LOSS
2025-12-30,IOC,162.15,161.44,3.55,Intraday,-3.55000000000004,LOSS
2025-12-30,RPOWER,35.47,35.06,2.05,Intraday,-2.049999999999983,LOSS
2025-12-30,SOUTH INDIA,37.2,37.68,-2.4,Intraday,2.3999999999999844,WIN
2025-12-30,SAIL,136.22,137.14,-9.2,Intraday,4.5999999999999375,WIN
2025-12-30,SUZLON,52.67,52.08,2.95,Intraday,-2.950000000000017,LOSS
2025-12-30,TATA STL,172.27,175.64,-16.85,Intraday,16.84999999999988,WIN
2025-12-30,VODAFONE IDEA,11.99,12.04,-0.25,Intraday,0.24999999999999467,WIN
2025-12-30,ZEE ENTER,90.88,90.07,4.05,Intraday,-4.050000000000011,LOSS
