Date,Symbol,Qty,Buy,Sell,P&L,Net,Result,Type
2025-12-05,YES BANK,1,22.56,,0.0,22.56,Delivery Buy,Delivery Buy
2025-12-08,YES BANK,1,21.92,,0.0,21.92,Delivery Buy,Delivery Buy
2025-12-22,YES BANK,1,21.77,,0.0,21.77,Delivery Buy,Delivery Buy
2025-12-23,IDFC FIRST BANK,5,84.96,85.01,0.25000000000005684,-0.25,WIN,Intraday
2025-12-23,SUZLON,5,53.57,53.67,0.5000000000000071,-0.5,WIN,Intraday
2025-12-24,IDFC FIRST BANK,5,84.3,84.27,-0.15000000000000568,0.15,LOSS,Intraday
2025-12-24,MANAP GEN FI,5,313.5,314.05,2.750000000000057,-2.75,WIN,Intraday
2025-12-24,PUNJAB NATBK,5,121.07,120.84,-1.1499999999999488,1.15,LOSS,Intraday
2025-12-24,SOUTH INDIA,5,38.22,38.16,-0.30000000000001137,0.3,LOSS,Intraday
2025-12-24,SUZLON,5,53.82,53.31,-2.54999999999999,2.55,LOSS,Intraday
2025-12-24,TATA STL,5,170.47,170.0,-2.3499999999999943,2.35,LOSS,Intraday
2025-12-24,YES BANK,5,21.86,21.68,-0.8999999999999986,0.9,LOSS,Intraday
2025-12-24,ZEE ENTER,5,92.13,91.8,-1.6499999999999915,1.65,LOSS,Intraday
2025-12-26,YES BANK,1,,21.55,0.0,-21.55,Delivery Sell,Delivery Sell
2025-12-29,CANARA BANK,5,150.75,150.67,-0.40000000000006253,0.4,LOSS,Intraday
2025-12-29,PUNJAB NATBK,5,119.78,120.41,3.1499999999999773,-3.15,WIN,Intraday
2025-12-29,RPOWER,5,35.65,35.4,-1.25,1.25,LOSS,Intraday
2025-12-29,VODAFONE IDEA,5,11.97,11.97,0.0,0.0,HOLD,Intraday
2025-12-29,YES BANK,5,21.42,21.39,-0.15000000000000568,0.15,LOSS,Intraday
2025-12-30,IOC,5,162.15,161.44,-3.55000000000004,3.55,LOSS,Intraday
2025-12-30,RPOWER,5,35.47,35.06,-2.049999999999983,2.05,LOSS,Intraday
2025-12-30,SOUTH INDIA,5,37.2,37.68,2.3999999999999844,-2.4,WIN,Intraday
2025-12-30,SAIL,10,136.22,137.14,9.199999999999875,-9.2,WIN,Intraday
2025-12-30,SUZLON,5,52.67,52.08,-2.950000000000017,2.95,LOSS,Intraday
2025-12-30,TATA STL,5,172.27,175.64,16.84999999999988,-16.85,WIN,Intraday
2025-12-30,VODAFONE IDEA,5,11.99,12.04,0.24999999999999467,-0.25,WIN,Intraday
2025-12-30,ZEE ENTER,5,90.88,90.07,-4.050000000000011,4.05,LOSS,Intraday
