Date,Symbol,Entry,Exit,Qty,Target,StopLoss,Target_Reached,SL_Triggered,Exit_Method,P&L,P&L%,Result
2025-12-30,SAIL,₹134.33,₹140.58,5,₹137.02,₹132.99,Yes,No,Manual,31.25,4.65,WIN
2025-12-30,RPOWER,₹35.48,₹34.37,5,₹36.19,₹35.12,No,Yes,Bot,-5.549999999999997,-3.13,LOSS
2025-12-30,SUZLON,₹52.63,₹52.02,5,₹53.68,₹52.10,No,Yes,Bot,-3.049999999999997,-1.16,LOSS
2025-12-30,ZEEL,₹90.88,₹90.08,5,₹92.70,₹89.97,No,Yes,Bot,-3.999999999999986,-0.88,LOSS
2025-12-30,IOC,₹162.15,₹161.46,5,₹165.39,₹160.53,No,Yes,Bot,-3.4499999999999886,-0.43,LOSS
2025-12-30,SOUTHBANK,₹37.20,₹37.67,5,₹37.94,₹36.83,Yes,No,Bot,2.3499999999999943,1.26,WIN
2025-12-30,TATASTEEL,₹172.27,₹175.71,5,₹175.71,₹170.55,Yes,No,Bot,17.19999999999999,2.0,WIN
2025-12-30,IDEA,₹11.99,₹12.04,5,₹12.23,₹11.87,Yes,No,Manual,0.24999999999999467,0.42,WIN
2025-12-29,CANARA BANK,₹150.75,₹150.67,5,₹153.77,₹149.24,No,No,Upstox EOD,-0.40000000000006253,-0.05,LOSS
2025-12-29,VODAFONE IDEA,₹11.97,₹11.97,5,₹12.21,₹11.85,No,No,Upstox EOD,0.0,0.0,LOSS
2025-12-29,PUNJAB NATBK,₹119.78,₹120.41,5,₹122.18,₹118.58,No,No,Upstox EOD,3.1499999999999773,0.53,WIN
2025-12-29,YES BANK,₹21.42,₹21.39,5,₹21.85,₹21.21,No,No,Upstox EOD,-0.15000000000000568,-0.14,LOSS
2025-12-29,RPOWER,₹35.65,₹35.40,5,₹36.36,₹35.29,No,No,Upstox EOD,-1.25,-0.7,LOSS
