Date,Symbol,Entry,Exit,Qty,P&L,P&L%,Target,StopLoss,Target_Reached,SL_Triggered,Exit_Method,Result
2025-12-30,SAIL,₹134.33,₹140.58,5,31.25,4.65,₹137.02,₹132.99,Yes,No,Manual,WIN
2025-12-30,RPOWER,₹35.48,₹34.37,5,-5.549999999999997,-3.13,₹36.19,₹35.12,No,Yes,Bot,LOSS
2025-12-30,SUZLON,₹52.63,₹52.02,5,-3.049999999999997,-1.16,₹53.68,₹52.10,No,Yes,Bot,LOSS
2025-12-30,ZEEL,₹90.88,₹90.08,5,-3.999999999999986,-0.88,₹92.70,₹89.97,No,Yes,Bot,LOSS
2025-12-30,IOC,₹162.15,₹161.46,5,-3.4499999999999886,-0.43,₹165.39,₹160.53,No,Yes,Bot,LOSS
2025-12-30,SOUTHBANK,₹37.20,₹37.67,5,2.3499999999999943,1.26,₹37.94,₹36.83,Yes,No,Bot,WIN
2025-12-30,TATASTEEL,₹172.27,₹175.71,5,17.19999999999999,2.0,₹175.71,₹170.55,Yes,No,Bot,WIN
2025-12-30,IDEA,₹11.99,₹12.04,5,0.2499999999999946,0.42,₹12.23,₹11.87,Yes,No,Manual,WIN
2025-12-29,CANARA BANK,₹150.75,₹150.67,5,-0.4000000000000625,-0.05,₹153.77,₹149.24,No,No,Upstox EOD,LOSS
2025-12-29,VODAFONE IDEA,₹11.97,₹11.97,5,0.0,0.0,₹12.21,₹11.85,No,No,Upstox EOD,LOSS
2025-12-29,PUNJAB NATBK,₹119.78,₹120.41,5,3.1499999999999773,0.53,₹122.18,₹118.58,No,No,Upstox EOD,WIN
2025-12-29,YES BANK,₹21.42,₹21.39,5,-0.1500000000000056,-0.14,₹21.85,₹21.21,No,No,Upstox EOD,LOSS
2025-12-29,RPOWER,₹35.65,₹35.40,5,-1.25,-0.7,₹36.36,₹35.29,No,No,Upstox EOD,LOSS
