stock,config,trade_count,win%,protrades%,eff%,total_pnl,pnl_per_share
ADANIPORTS,Extreme-1,2379,21.14,40.86,-0.0323,-25226.3,-0.3182
ADANIPORTS,Extreme-2,2379,17.65,40.18,-0.0279,-21799.08,-0.2749
ADANIPORTS,Extreme-3,2379,18.33,42.29,-0.0355,-27709.42,-0.3495
ADANIPORTS,Extreme-4,2379,15.68,41.74,-0.035,-27312.15,-0.3445
ASHOKLEY,Extreme-1,2585,20.46,42.82,0.0046,3997.02,0.004
ASHOKLEY,Extreme-2,2585,16.56,42.01,0.0048,4093.2,0.0041
ASHOKLEY,Extreme-3,2585,17.41,44.22,0.0119,10253.39,0.0104
ASHOKLEY,Extreme-4,2585,14.39,43.83,0.0144,12379.62,0.0125
AXISBANK,Extreme-1,2740,19.05,43.8,-0.0023,-2029.25,-0.0219
AXISBANK,Extreme-2,2740,15.73,43.36,-0.0002,-146.26,-0.0016
AXISBANK,Extreme-3,2740,16.24,45.69,-0.001,-935.74,-0.0101
AXISBANK,Extreme-4,2740,12.81,45.36,-0.0018,-1614.99,-0.0174
BANDHANBNK,Extreme-1,2466,19.51,41.28,-0.0413,-33802.3,-0.0859
BANDHANBNK,Extreme-2,2466,16.46,40.63,-0.0385,-31516.96,-0.0801
BANDHANBNK,Extreme-3,2466,17.27,43.23,-0.0406,-33277.38,-0.0845
BANDHANBNK,Extreme-4,2466,14.27,42.7,-0.0388,-31812.39,-0.0808
BHARTIARTL,Extreme-1,2738,21.73,45.54,0.0176,15757.47,0.1872
BHARTIARTL,Extreme-2,2738,17.53,44.7,0.0141,12662.33,0.1505
BHARTIARTL,Extreme-3,2738,18.08,47.22,0.0153,13667.24,0.1624
BHARTIARTL,Extreme-4,2738,15.16,46.82,0.0151,13524.55,0.1607
CIPLA,Extreme-1,2820,18.33,42.87,-0.0361,-33305.32,-0.4427
CIPLA,Extreme-2,2820,15.25,42.38,-0.0336,-31019.08,-0.4123
CIPLA,Extreme-3,2820,15.43,44.5,-0.04,-36935.48,-0.491
CIPLA,Extreme-4,2820,12.23,44.26,-0.0417,-38513.26,-0.512
COALINDIA,Extreme-1,2642,16.99,39.97,-0.0399,-34940.95,-0.1099
COALINDIA,Extreme-2,2642,13.36,39.4,-0.0428,-37506.97,-0.1179
COALINDIA,Extreme-3,2642,13.82,41.6,-0.0471,-41296.21,-0.1299
COALINDIA,Extreme-4,2642,11.77,41.33,-0.042,-36834.09,-0.1158
DABUR,Extreme-1,3004,18.94,44.47,-0.007,-6922.35,-0.0375
DABUR,Extreme-2,3004,14.98,43.84,-0.007,-6939.7,-0.0376
DABUR,Extreme-3,3004,15.58,46.8,-0.0044,-4362.82,-0.0236
DABUR,Extreme-4,3004,12.55,46.54,-0.0057,-5709.11,-0.0309
DIVISLAB,Extreme-1,2779,18.03,43.36,-0.0156,-13491.06,-0.668
DIVISLAB,Extreme-2,2779,14.86,42.86,-0.0127,-10962.18,-0.5428
DIVISLAB,Extreme-3,2779,15.62,45.41,-0.0114,-9851.66,-0.4878
DIVISLAB,Extreme-4,2779,13.24,45.27,-0.0067,-5802.02,-0.2873
HDFCBANK,Extreme-1,2917,19.81,45.25,0.0058,5608.78,0.0477
HDFCBANK,Extreme-2,2917,16.28,44.7,0.0073,7041.32,0.0599
HDFCBANK,Extreme-3,2917,16.83,46.93,0.0074,7145.53,0.0608
HDFCBANK,Extreme-4,2917,13.75,46.55,0.0096,9238.17,0.0786
HINDALCO,Extreme-1,2440,21.68,43.4,-0.0086,-6925.15,-0.0468
HINDALCO,Extreme-2,2440,18.16,42.83,-0.0042,-3393.09,-0.0229
HINDALCO,Extreme-3,2440,18.93,45.2,-0.0068,-5467.07,-0.0369
HINDALCO,Extreme-4,2440,16.15,44.92,0.0005,393.08,0.0027
ICICIBANK,Extreme-1,3015,18.44,48.19,0.0039,3863.72,0.0402
ICICIBANK,Extreme-2,3015,14.63,47.5,0.0023,2300.41,0.0239
ICICIBANK,Extreme-3,3015,14.83,49.98,0.004,3990.43,0.0415
ICICIBANK,Extreme-4,3015,12.24,49.78,0.0068,6732.8,0.0701
INDUSINDBK,Extreme-1,2595,21.12,43.7,-0.0058,-4913.11,-0.0632
INDUSINDBK,Extreme-2,2595,17.19,43.08,-0.0045,-3798.78,-0.0488
INDUSINDBK,Extreme-3,2595,18.0,45.86,-0.0044,-3762.51,-0.0484
INDUSINDBK,Extreme-4,2595,15.11,45.66,0.0014,1150.35,0.0148
INFY,Extreme-1,2516,17.29,41.02,-0.0154,-12660.14,-0.2396
INFY,Extreme-2,2516,14.35,40.34,-0.0132,-10826.0,-0.2049
INFY,Extreme-3,2516,14.75,42.41,-0.0183,-14986.73,-0.2836
INFY,Extreme-4,2516,12.04,42.21,-0.0162,-13246.21,-0.2507
ITC,Extreme-1,2924,18.16,41.69,-0.0213,-20662.64,-0.0814
ITC,Extreme-2,2924,15.01,41.01,-0.0227,-22024.43,-0.0868
ITC,Extreme-3,2924,15.29,43.33,-0.0269,-26061.9,-0.1027
ITC,Extreme-4,2924,12.59,42.75,-0.0284,-27495.2,-0.1083
JSWSTEEL,Extreme-1,2658,21.03,43.42,-0.012,-10488.84,-0.0986
JSWSTEEL,Extreme-2,2658,17.72,42.74,-0.0082,-7129.83,-0.067
JSWSTEEL,Extreme-3,2658,18.4,45.3,-0.0029,-2497.4,-0.0235
JSWSTEEL,Extreme-4,2658,14.94,44.85,-0.0018,-1593.4,-0.015
NATIONALUM,Extreme-1,2516,22.14,41.49,-0.0221,-18508.15,-0.0257
NATIONALUM,Extreme-2,2516,18.28,40.58,-0.0194,-16274.15,-0.0226
NATIONALUM,Extreme-3,2516,19.04,42.45,-0.0269,-22532.05,-0.0312
NATIONALUM,Extreme-4,2516,15.78,41.93,-0.0271,-22687.72,-0.0314
NTPC,Extreme-1,2828,18.99,40.84,-0.0289,-27150.94,-0.0648
NTPC,Extreme-2,2828,15.63,40.31,-0.0245,-22987.69,-0.0549
NTPC,Extreme-3,2828,16.12,42.33,-0.0351,-32962.38,-0.0787
NTPC,Extreme-4,2828,12.8,42.15,-0.0329,-30920.06,-0.0738
ONGC,Extreme-1,2584,19.5,42.11,-0.0262,-22474.52,-0.0493
ONGC,Extreme-2,2584,15.98,41.6,-0.025,-21441.76,-0.047
ONGC,Extreme-3,2584,16.49,43.81,-0.0267,-22905.48,-0.0502
ONGC,Extreme-4,2584,13.82,43.27,-0.025,-21456.5,-0.047
PNB,Extreme-1,2748,18.96,41.16,-0.0351,-32107.36,-0.0208
PNB,Extreme-2,2748,15.68,40.65,-0.0347,-31704.13,-0.0205
PNB,Extreme-3,2748,16.48,42.61,-0.0434,-39728.94,-0.0257
