stock,config,trade_count,win%,protrades%,total_pnl,pnl_per_share
ADANIPORTS,Extreme-1,5087,37.55,41.4,1252.0514,0.246128
ADANIPORTS,Extreme-2,5087,34.01,39.26,1331.3143,0.261709
ADANIPORTS,Extreme-3,5087,36.88,43.09,1219.6968,0.239767
ADANIPORTS,Extreme-4,5087,33.75,41.18,1115.9886,0.21938
ASHOKLEY,Extreme-1,5410,38.47,41.66,162.2393,0.029989
ASHOKLEY,Extreme-2,5410,35.34,39.52,191.1211,0.035327
ASHOKLEY,Extreme-3,5410,38.45,43.11,219.7846,0.040626
ASHOKLEY,Extreme-4,5410,35.14,41.09,246.5543,0.045574
AXISBANK,Extreme-1,5776,36.18,40.27,91.6604,0.015869
AXISBANK,Extreme-2,5776,32.79,38.23,222.3714,0.038499
AXISBANK,Extreme-3,5776,36.15,42.88,528.9082,0.09157
AXISBANK,Extreme-4,5776,32.81,40.96,404.0364,0.069951
BANDHANBNK,Extreme-1,5206,37.9,40.86,361.2846,0.069398
BANDHANBNK,Extreme-2,5206,34.46,38.65,359.0239,0.068963
BANDHANBNK,Extreme-3,5206,37.74,42.51,277.1793,0.053242
BANDHANBNK,Extreme-4,5206,34.79,40.49,295.1379,0.056692
BHARTIARTL,Extreme-1,5847,41.27,43.9,4440.7,0.759483
BHARTIARTL,Extreme-2,5847,37.93,41.66,4470.9393,0.764655
BHARTIARTL,Extreme-3,5847,41.8,46.5,5739.0321,0.981534
BHARTIARTL,Extreme-4,5847,37.88,44.55,5484.2357,0.937957
CIPLA,Extreme-1,5905,37.49,40.44,-409.2929,-0.069313
CIPLA,Extreme-2,5905,34.02,38.15,-332.8625,-0.05637
CIPLA,Extreme-3,5905,37.09,42.39,-498.3679,-0.084398
CIPLA,Extreme-4,5905,33.46,40.66,-557.5893,-0.094427
COALINDIA,Extreme-1,5695,37.63,41.46,609.5536,0.107033
COALINDIA,Extreme-2,5695,33.89,39.12,676.3607,0.118764
COALINDIA,Extreme-3,5695,37.35,43.3,799.3679,0.140363
COALINDIA,Extreme-4,5695,34.75,42.18,1083.0393,0.190174
DABUR,Extreme-1,5891,37.12,40.45,80.9407,0.01374
DABUR,Extreme-2,5891,33.9,38.23,112.4704,0.019092
DABUR,Extreme-3,5891,36.85,41.96,-66.3386,-0.011261
DABUR,Extreme-4,5891,33.07,39.62,-272.2429,-0.046213
DIVISLAB,Extreme-1,5603,37.41,40.84,4286.6093,0.765056
DIVISLAB,Extreme-2,5603,34.48,38.59,5431.1546,0.96933
DIVISLAB,Extreme-3,5603,37.71,42.66,6143.6618,1.096495
DIVISLAB,Extreme-4,5603,34.73,40.55,6487.8321,1.157921
HDFCBANK,Extreme-1,5957,37.52,40.88,677.9571,0.113808
HDFCBANK,Extreme-2,5957,34.06,38.44,653.425,0.10969
HDFCBANK,Extreme-3,5957,37.3,42.55,656.3161,0.110176
HDFCBANK,Extreme-4,5957,34.14,40.93,877.3714,0.147284
HINDALCO,Extreme-1,5117,39.36,42.25,856.2282,0.16733
HINDALCO,Extreme-2,5117,36.66,40.39,1249.5146,0.244189
HINDALCO,Extreme-3,5117,40.38,44.87,1805.9643,0.352934
HINDALCO,Extreme-4,5117,37.42,43.4,2123.6971,0.415028
ICICIBANK,Extreme-1,6292,36.57,40.61,239.0332,0.03799
ICICIBANK,Extreme-2,6292,33.63,38.6,547.6246,0.087035
ICICIBANK,Extreme-3,6292,37.17,42.99,1063.9436,0.169095
ICICIBANK,Extreme-4,6292,33.8,41.24,1152.4707,0.183164
INDUSINDBK,Extreme-1,5385,36.38,39.29,-326.2429,-0.060584
INDUSINDBK,Extreme-2,5385,33.63,37.47,91.3714,0.016968
INDUSINDBK,Extreme-3,5385,36.12,40.54,-1001.7589,-0.186028
INDUSINDBK,Extreme-4,5385,33.3,38.85,-656.9929,-0.122004
INFY,Extreme-1,5628,35.79,38.15,137.9875,0.024518
INFY,Extreme-2,5628,32.94,36.02,361.4589,0.064225
INFY,Extreme-3,5628,35.36,39.39,-900.1196,-0.159936
INFY,Extreme-4,5628,33.07,37.94,-238.6179,-0.042398
ITC,Extreme-1,6192,35.84,39.84,-178.7696,-0.028871
ITC,Extreme-2,6192,31.9,37.16,-359.3679,-0.058037
ITC,Extreme-3,6192,35.21,41.49,-340.7357,-0.055028
ITC,Extreme-4,6192,31.52,39.29,-432.4214,-0.069836
JSWSTEEL,Extreme-1,5484,35.56,39.24,-651.8382,-0.118862
JSWSTEEL,Extreme-2,5484,32.28,36.98,-732.5068,-0.133572
JSWSTEEL,Extreme-3,5484,35.47,41.43,-615.3979,-0.112217
JSWSTEEL,Extreme-4,5484,32.4,39.53,-658.8636,-0.120143
NATIONALUM,Extreme-1,5243,36.93,40.19,79.3571,0.015136
NATIONALUM,Extreme-2,5243,34.22,38.49,232.6682,0.044377
NATIONALUM,Extreme-3,5243,37.33,42.23,228.4025,0.043563
NATIONALUM,Extreme-4,5243,33.87,40.0,215.5421,0.04111
NTPC,Extreme-1,5936,37.3,40.82,233.8018,0.039387
