Filter,ATR_Config,Total_Trades,Avg_Win_Rate,Net_Profit,Avg_PnL_Pct
No Filter,Sideways,158803,39.784289192381586,-623.4803,-0.0031215134
No Filter,Regular-1,158803,42.90301391655409,-426.18298,-0.0031588033
No Filter,Regular-2,158803,41.38747673596605,14292.919,0.010368138
No Filter,Extreme,158803,40.98748413718746,23049.568,0.022898022
MA50,Sideways,21016,39.57745324475307,-495.1568,-0.00011801735
MA50,Regular-1,21016,42.25991569522444,-1802.6008,-0.0019844666
MA50,Regular-2,21016,40.42621549798132,-868.8346,0.005540908
MA50,Extreme,21016,39.992398281248406,732.0465,0.017946752
MA100,Sideways,18737,38.989396362888144,490.13995,-0.004176127
MA100,Regular-1,18737,41.535277311181794,-2.3929672,-0.009120707
MA100,Regular-2,18737,39.375859646760205,-95.762314,-0.0079131415
MA100,Extreme,18737,38.8937669937939,2256.347,0.0022840372
MA200,Sideways,8727,39.58195165488,924.3001,-0.000791072
MA200,Regular-1,8727,41.25901063636128,790.56726,-0.0052713836
MA200,Regular-2,8727,39.76114281876146,1943.3,0.0038645659
MA200,Extreme,8727,38.703733155191365,2058.5034,0.007571625
MA50+100,Sideways,15930,38.5571830125624,149.00848,-0.005746294
MA50+100,Regular-1,15930,41.16734930134211,-749.5207,-0.010948558
MA50+100,Regular-2,15930,39.35441030190056,-968.73785,-0.0075942995
MA50+100,Extreme,15930,39.00828247837379,1000.95557,0.0038029118
MA50+200,Sideways,7291,39.425102713016244,623.7698,-0.002072321
MA50+200,Regular-1,7291,40.76056295460726,424.46588,-0.009648134
MA50+200,Regular-2,7291,39.19748777420877,1009.86646,-0.004495175
MA50+200,Extreme,7291,37.847931401666024,410.83078,-0.007345225
MA100+200,Sideways,7692,39.173127229316826,896.40027,-0.0044181566
MA100+200,Regular-1,7692,40.14065250807185,661.81165,-0.015039809
MA100+200,Regular-2,7692,38.536645448789606,1243.3356,-0.01103002
MA100+200,Extreme,7692,37.18233844881023,643.062,-0.014298585
MA50+100+200,Sideways,7099,38.994920593689024,474.21768,-0.005033858
MA50+100+200,Regular-1,7099,40.08757324582268,211.768,-0.015763927
MA50+100+200,Regular-2,7099,38.56127197846617,542.7825,-0.011295057
MA50+100+200,Extreme,7099,37.12276466731829,-296.19543,-0.015540668
