stock,top10_appearances,consistency_pct
COALINDIA,26,54.166666666666664
VEDL,24,50.0
ASHOKLEY,23,47.91666666666667
PNB,22,45.83333333333333
IDEA,22,45.83333333333333
ONGC,19,39.58333333333333
POWERGRID,19,39.58333333333333
NTPC,19,39.58333333333333
NATIONALUM,19,39.58333333333333
ADANIPORTS,18,37.5
CIPLA,17,35.41666666666667
BANDHANBNK,16,33.33333333333333
AXISBANK,16,33.33333333333333
TATAMOTORS,16,33.33333333333333
JSWSTEEL,16,33.33333333333333
BHARTIARTL,15,31.25
SUNPHARMA,15,31.25
TATASTEEL,15,31.25
HINDALCO,15,31.25
RELIANCE,14,29.166666666666668
SBIN,14,29.166666666666668
TECHM,14,29.166666666666668
DIVISLAB,13,27.083333333333332
INDUSINDBK,13,27.083333333333332
ITC,11,22.916666666666664
DABUR,11,22.916666666666664
INFY,11,22.916666666666664
ICICIBANK,10,20.833333333333336
WIPRO,10,20.833333333333336
HDFCBANK,7,14.583333333333334
