month,rank,stock,win_pct,efficiency,net_pnl,filter,atr_config
JAN_2022,1,VEDL,100.0,1.4908066920655954,4.5,MA100,Extreme-4
JAN_2022,2,PNB,44.776119402985074,0.44736621587650294,23.642857142857316,No Filter,Extreme-4
JAN_2022,3,BHARTIARTL,63.366336633663366,0.3854377254467112,275.9196428571454,MA100,Extreme-3
JAN_2022,4,COALINDIA,43.66197183098591,0.34180689468733827,34.860714285714295,No Filter,Extreme-4
JAN_2022,5,BANDHANBNK,51.61290322580645,0.29592144870295173,79.376785714285,No Filter,Extreme-1
JAN_2022,6,CIPLA,64.70588235294117,0.27887681050603674,88.21250000000123,MA200,Extreme-1
JAN_2022,7,ONGC,59.13978494623656,0.27720447370686124,39.56428571428549,No Filter,Extreme-4
JAN_2022,8,POWERGRID,51.69491525423729,0.1991825482449854,35.90892857142833,No Filter,Extreme-3
JAN_2022,9,AXISBANK,36.52173913043478,0.1664476302269261,140.23928571428496,No Filter,Extreme-4
JAN_2022,10,NTPC,40.0,0.15787927332524865,20.189285714286157,No Filter,Extreme-1
FEB_2022,1,DIVISLAB,46.808510638297875,0.33907184646707206,1364.1892857142802,No Filter,Extreme-4
FEB_2022,2,DABUR,53.0,0.23263945178492954,129.46071428571418,No Filter,Extreme-2
FEB_2022,3,TATASTEEL,33.33333333333333,0.23095145163060135,18.342857142857255,No Filter,Extreme-4
FEB_2022,4,VEDL,42.42424242424242,0.21932863894589533,45.78035714285727,No Filter,Extreme-3
FEB_2022,5,ITC,54.83870967741935,0.21370816498509254,15.342857142857241,MA100,Extreme-1
FEB_2022,6,CIPLA,35.483870967741936,0.15066381989754601,174.6357142857148,No Filter,Extreme-4
FEB_2022,7,HINDALCO,38.46153846153847,0.10676740700781052,43.76785714285734,No Filter,Extreme-4
FEB_2022,8,RELIANCE,42.857142857142854,0.09441800832950253,82.41785714285606,MA200,Extreme-1
FEB_2022,9,SUNPHARMA,36.03603603603604,0.07696978206392781,74.35892857142835,No Filter,Extreme-1
FEB_2022,10,INFY,41.75824175824176,0.04401873082342896,69.398214285716,No Filter,Extreme-3
MAR_2022,1,ITC,55.371900826446286,0.4680078598865583,134.45000000000027,No Filter,Extreme-4
MAR_2022,2,TATAMOTORS,52.77777777777778,0.40422770667144614,124.23392857142886,No Filter,Extreme-2
MAR_2022,3,SUNPHARMA,56.12244897959183,0.38486640350365814,332.8428571428582,No Filter,Extreme-4
MAR_2022,4,CIPLA,41.509433962264154,0.3652043517718174,384.3982142857128,No Filter,Extreme-3
MAR_2022,5,JSWSTEEL,42.857142857142854,0.31327638558463833,178.38035714285706,No Filter,Extreme-3
MAR_2022,6,ICICIBANK,47.31182795698925,0.27486685714809245,180.00535714285706,No Filter,Extreme-1
MAR_2022,7,BHARTIARTL,44.5945945945946,0.26585830615543476,137.5964285714291,No Filter,Extreme-4
MAR_2022,8,RELIANCE,50.79365079365079,0.25523165253038826,196.41785714285334,MA50,Extreme-4
MAR_2022,9,COALINDIA,37.142857142857146,0.251752488415294,29.65178571428595,No Filter,Extreme-2
MAR_2022,10,AXISBANK,45.67901234567901,0.24771936054058447,144.7107142857144,No Filter,Extreme-4
APR_2022,1,TECHM,66.66666666666666,0.49728290394404706,43.807142857142935,MA200,Extreme-4
APR_2022,2,NTPC,67.44186046511628,0.4776854913470548,63.6375000000003,No Filter,Extreme-3
APR_2022,3,TATASTEEL,55.26315789473685,0.4232060367830614,21.071428571428626,MA50,Extreme-4
APR_2022,4,BANDHANBNK,53.57142857142857,0.4113052538491933,113.15357142857079,No Filter,Extreme-3
APR_2022,5,NATIONALUM,51.42857142857142,0.3905703815225139,17.158928571428604,MA50,Extreme-3
APR_2022,6,POWERGRID,53.76344086021505,0.3614573866891105,56.564285714285575,No Filter,Extreme-4
APR_2022,7,ITC,61.8421052631579,0.3555033690619084,70.04642857142855,No Filter,Extreme-1
APR_2022,8,INDUSINDBK,43.037974683544306,0.33062486975573235,255.09642857142808,No Filter,Extreme-4
APR_2022,9,ICICIBANK,50.0,0.2719257520126311,167.26071428571333,No Filter,Extreme-4
APR_2022,10,ASHOKLEY,45.83333333333333,0.22498794218093143,13.194642857142902,No Filter,Extreme-1
MAY_2022,1,DABUR,100.0,1.4102393873329004,23.51785714285711,MA50,Extreme-4
MAY_2022,2,NATIONALUM,100.0,1.3576768388284155,4.267857142857125,MA200,Extreme-4
MAY_2022,3,TATAMOTORS,62.5,0.5736871823828346,19.957142857142856,MA50,Extreme-4
MAY_2022,4,INDUSINDBK,55.55555555555556,0.518796681176458,426.0285714285708,No Filter,Extreme-4
MAY_2022,5,ONGC,45.744680851063826,0.4352291090027677,62.178571428571416,No Filter,Extreme-4
MAY_2022,6,COALINDIA,49.074074074074076,0.40726394429348506,72.45714285714251,No Filter,Extreme-4
MAY_2022,7,TATASTEEL,46.15384615384615,0.3451703993131264,23.460714285714232,No Filter,Extreme-4
