month,rank,stock,win_pct,efficiency,net_pnl,filter,atr_config
JAN_2022,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
FEB_2022,1,VEDL,24.489795918367346,0.23893734881336662,36.88571428571464,No Filter,Extreme-4
MAR_2022,1,VEDL,0.0,0.0,0.0,MA100,Extreme-1
APR_2022,1,VEDL,0.0,0.0,0.0,MA100,Extreme-1
MAY_2022,1,VEDL,0.0,0.0,0.0,MA100,Extreme-1
JUN_2022,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
JUL_2022,1,VEDL,23.076923076923077,0.47609250501549455,35.86785714285733,No Filter,Extreme-4
AUG_2022,1,VEDL,0.0,0.0,0.0,MA100,Extreme-1
SEP_2022,1,VEDL,0.0,0.0,0.0,MA200,Extreme-1
OCT_2022,1,VEDL,22.22222222222222,0.08703221970800412,7.601785714285768,No Filter,Extreme-2
NOV_2022,1,VEDL,16.666666666666664,0.025294527416928496,3.244642857142793,No Filter,Extreme-2
DEC_2022,1,VEDL,22.413793103448278,0.06508015207139096,10.10714285714323,No Filter,Extreme-2
JAN_2023,1,VEDL,22.727272727272727,0.08426140251270277,10.335714285714403,No Filter,Extreme-4
FEB_2023,1,VEDL,0.0,-1.0615202080125148,-15.017857142857054,MA50,Extreme-1
MAR_2023,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
APR_2023,1,VEDL,23.684210526315788,0.24796449148481872,22.142857142857082,No Filter,Extreme-4
MAY_2023,1,VEDL,34.21052631578947,0.19911323885428017,18.299999999999756,No Filter,Extreme-4
JUN_2023,1,VEDL,0.0,0.0,0.0,MA100,Extreme-1
JUL_2023,1,VEDL,0.0,0.0,0.0,MA200,Extreme-1
AUG_2023,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
SEP_2023,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
OCT_2023,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
NOV_2023,1,VEDL,0.0,0.0,0.0,MA100,Extreme-1
DEC_2023,1,VEDL,22.727272727272727,0.030554610151472237,2.853571428571371,MA100,Extreme-2
JAN_2024,1,VEDL,20.0,-0.03250233510441309,-3.805357142857133,No Filter,Extreme-1
FEB_2024,1,VEDL,23.91304347826087,0.17326700649468368,19.13214285714298,No Filter,Extreme-4
MAR_2024,1,VEDL,27.77777777777778,0.24313644357091177,20.985714285714323,No Filter,Extreme-4
APR_2024,1,VEDL,11.904761904761903,0.16583509460679113,22.653571428571496,No Filter,Extreme-4
MAY_2024,1,VEDL,27.027027027027028,0.19335078341984696,29.367857142857133,No Filter,Extreme-4
JUN_2024,1,VEDL,18.367346938775512,-0.12157146871016652,-25.744642857142765,No Filter,Extreme-1
JUL_2024,1,VEDL,23.52941176470588,-0.05106373867926567,-7.666071428571456,MA50,Extreme-1
AUG_2024,1,VEDL,27.77777777777778,-0.15475387515049938,-12.275000000000034,MA50,Extreme-2
SEP_2024,1,VEDL,18.91891891891892,-0.05658710189986628,-9.569642857143037,MA50,Extreme-1
OCT_2024,1,VEDL,4.444444444444445,-0.47173926741666705,-104.27678571428572,MA50,Extreme-2
NOV_2024,1,VEDL,0.0,0.0,0.0,MA50,Extreme-1
DEC_2024,1,VEDL,30.23255813953488,0.11591651600761686,24.04821428571421,No Filter,Extreme-1
JAN_2025,1,VEDL,36.36363636363637,0.24245841896679715,35.85535714285737,MA200,Extreme-2
FEB_2025,1,VEDL,25.0,0.029365336955754256,5.021428571428544,No Filter,Extreme-4
MAR_2025,1,VEDL,23.91304347826087,0.2680672187541932,55.37142857142862,No Filter,Extreme-4
APR_2025,1,VEDL,21.428571428571427,0.23339364854587683,26.69999999999976,No Filter,Extreme-4
MAY_2025,1,VEDL,36.11111111111111,0.33793173119015757,53.76071428571419,MA50,Extreme-4
JUN_2025,1,VEDL,25.581395348837212,0.09870611126307578,19.124999999999773,No Filter,Extreme-4
JUL_2025,1,VEDL,37.5,0.037769809939710235,4.142857142856997,MA200,Extreme-4
AUG_2025,1,VEDL,12.82051282051282,-0.0046240935524049466,-0.7910714285712288,No Filter,Extreme-3
SEP_2025,1,VEDL,29.310344827586203,0.16909509464379854,44.20357142857199,No Filter,Extreme-4
OCT_2025,1,VEDL,19.298245614035086,0.09747262075207287,26.755357142857235,No Filter,Extreme-2
NOV_2025,1,VEDL,25.64102564102564,0.0030189215346763886,0.6071428571426054,No Filter,Extreme-2
DEC_2025,1,VEDL,18.96551724137931,0.09801926729717933,31.82857142857182,No Filter,Extreme-4
