stock,config,trade_count,win%,protrades%,total_pnl,pnl_per_share
ADANIPORTS,Extreme-1,2379,21.14,40.86,-928.7782,-0.390407
ADANIPORTS,Extreme-2,2379,17.65,40.18,-854.2418,-0.359076
ADANIPORTS,Extreme-3,2379,18.33,42.29,-1085.4639,-0.456269
ADANIPORTS,Extreme-4,2379,15.68,41.74,-1135.9214,-0.477479
ASHOKLEY,Extreme-1,2585,20.46,42.82,26.5021,0.010252
ASHOKLEY,Extreme-2,2585,16.56,42.01,28.7461,0.01112
ASHOKLEY,Extreme-3,2585,17.41,44.22,48.3943,0.018721
ASHOKLEY,Extreme-4,2585,14.39,43.83,53.9121,0.020856
AXISBANK,Extreme-1,2740,19.05,43.8,-88.1693,-0.032179
AXISBANK,Extreme-2,2740,15.73,43.36,-36.8743,-0.013458
AXISBANK,Extreme-3,2740,16.24,45.69,-90.9625,-0.033198
AXISBANK,Extreme-4,2740,12.81,45.36,-129.6007,-0.0473
BANDHANBNK,Extreme-1,2466,19.51,41.28,-267.5054,-0.108477
BANDHANBNK,Extreme-2,2466,16.46,40.63,-260.5321,-0.10565
BANDHANBNK,Extreme-3,2466,17.27,43.23,-284.7039,-0.115452
BANDHANBNK,Extreme-4,2466,14.27,42.7,-275.4879,-0.111714
BHARTIARTL,Extreme-1,2738,21.73,45.54,794.2429,0.290081
BHARTIARTL,Extreme-2,2738,17.53,44.7,636.2179,0.232366
BHARTIARTL,Extreme-3,2738,18.08,47.22,719.8821,0.262923
BHARTIARTL,Extreme-4,2738,15.16,46.82,701.9286,0.256365
CIPLA,Extreme-1,2820,18.33,42.87,-1412.3071,-0.500818
CIPLA,Extreme-2,2820,15.25,42.38,-1327.6857,-0.470811
CIPLA,Extreme-3,2820,15.43,44.5,-1598.6625,-0.566902
CIPLA,Extreme-4,2820,12.23,44.26,-1683.1643,-0.596867
COALINDIA,Extreme-1,2642,16.99,39.97,-403.5964,-0.152762
COALINDIA,Extreme-2,2642,13.36,39.4,-417.1268,-0.157883
COALINDIA,Extreme-3,2642,13.82,41.6,-464.8964,-0.175964
COALINDIA,Extreme-4,2642,11.77,41.33,-431.1893,-0.163206
DABUR,Extreme-1,3004,18.94,44.47,-147.9268,-0.049243
DABUR,Extreme-2,3004,14.98,43.84,-151.4839,-0.050427
DABUR,Extreme-3,3004,15.58,46.8,-112.6357,-0.037495
DABUR,Extreme-4,3004,12.55,46.54,-139.1821,-0.046332
DIVISLAB,Extreme-1,2779,18.03,43.36,-2984.2196,-1.073847
DIVISLAB,Extreme-2,2779,14.86,42.86,-2599.6696,-0.935469
DIVISLAB,Extreme-3,2779,15.62,45.41,-2377.3036,-0.855453
DIVISLAB,Extreme-4,2779,13.24,45.27,-1804.6893,-0.649402
HDFCBANK,Extreme-1,2917,19.81,45.25,135.9321,0.0466
HDFCBANK,Extreme-2,2917,16.28,44.7,165.6536,0.056789
HDFCBANK,Extreme-3,2917,16.83,46.93,163.8714,0.056178
HDFCBANK,Extreme-4,2917,13.75,46.55,211.775,0.0726
HINDALCO,Extreme-1,2440,21.68,43.4,-163.4161,-0.066974
HINDALCO,Extreme-2,2440,18.16,42.83,-103.7075,-0.042503
HINDALCO,Extreme-3,2440,18.93,45.2,-133.4886,-0.054708
HINDALCO,Extreme-4,2440,16.15,44.92,-44.6857,-0.018314
ICICIBANK,Extreme-1,3015,18.44,48.19,83.2575,0.027614
ICICIBANK,Extreme-2,3015,14.63,47.5,13.3221,0.004419
ICICIBANK,Extreme-3,3015,14.83,49.98,103.6436,0.034376
ICICIBANK,Extreme-4,3015,12.24,49.78,196.6021,0.065208
INDUSINDBK,Extreme-1,2595,21.12,43.7,-300.2589,-0.115707
INDUSINDBK,Extreme-2,2595,17.19,43.08,-258.0786,-0.099452
INDUSINDBK,Extreme-3,2595,18.0,45.86,-266.5518,-0.102717
INDUSINDBK,Extreme-4,2595,15.11,45.66,-85.7464,-0.033043
INFY,Extreme-1,2516,17.29,41.02,-667.2607,-0.265207
INFY,Extreme-2,2516,14.35,40.34,-567.0107,-0.225362
