date,time,symbol,open,high,low,close,volume,MA20,MA50,MA100,MA200,Price_Above_MA50,Price_Above_MA100,Price_Above_MA200,MA20_Above_MA50,MA20_Above_MA100,MA20_Above_MA200,Distance_MA20_%,Distance_MA50_%
2024-12-31,15:29:00,PNB,102.65,102.69,102.6,102.65,40912,,,,,False,False,False,False,False,False,,
2024-12-31,15:28:00,PNB,102.62,102.68,102.55,102.64,44810,,,,,False,False,False,False,False,False,,
2024-12-31,15:27:00,PNB,102.7,102.7,102.62,102.64,71847,,,,,False,False,False,False,False,False,,
2024-12-31,15:26:00,PNB,102.69,102.73,102.67,102.67,47622,,,,,False,False,False,False,False,False,,
2024-12-31,15:25:00,PNB,102.67,102.73,102.62,102.66,70670,,,,,False,False,False,False,False,False,,
2024-12-31,15:24:00,PNB,102.7,102.88,102.62,102.67,193364,,,,,False,False,False,False,False,False,,
2024-12-31,15:23:00,PNB,102.66,102.72,102.62,102.66,89812,,,,,False,False,False,False,False,False,,
2024-12-31,15:22:00,PNB,102.85,102.89,102.64,102.64,110330,,,,,False,False,False,False,False,False,,
2024-12-31,15:21:00,PNB,102.84,102.95,102.8,102.85,149610,,,,,False,False,False,False,False,False,,
2024-12-31,15:20:00,PNB,102.77,102.88,102.73,102.84,176214,,,,,False,False,False,False,False,False,,
2024-12-31,15:19:00,PNB,102.82,102.82,102.7,102.8,149007,,,,,False,False,False,False,False,False,,
2024-12-31,15:18:00,PNB,102.79,103.04,102.77,102.82,392849,,,,,False,False,False,False,False,False,,
2024-12-31,15:17:00,PNB,102.83,102.9,102.78,102.78,83076,,,,,False,False,False,False,False,False,,
2024-12-31,15:16:00,PNB,102.83,102.9,102.77,102.8,79434,,,,,False,False,False,False,False,False,,
2024-12-31,15:15:00,PNB,102.81,102.9,102.77,102.83,131416,,,,,False,False,False,False,False,False,,
2024-12-31,15:14:00,PNB,102.83,102.83,102.75,102.81,80168,,,,,False,False,False,False,False,False,,
2024-12-31,15:13:00,PNB,102.79,102.82,102.74,102.82,71459,,,,,False,False,False,False,False,False,,
2024-12-31,15:12:00,PNB,102.8,102.8,102.7,102.77,88123,,,,,False,False,False,False,False,False,,
2024-12-31,15:11:00,PNB,102.84,102.84,102.7,102.75,72676,,,,,False,False,False,False,False,False,,
2024-12-31,15:10:00,PNB,102.81,102.87,102.79,102.84,68847,102.747,,,,False,False,False,False,False,False,0.09,
2024-12-31,15:09:00,PNB,102.79,102.83,102.75,102.81,70453,102.755,,,,False,False,False,False,False,False,0.05,
2024-12-31,15:08:00,PNB,102.81,102.81,102.75,102.8,33024,102.763,,,,False,False,False,False,False,False,0.04,
2024-12-31,15:07:00,PNB,102.79,102.86,102.75,102.81,72226,102.77149999999999,,,,False,False,False,False,False,False,0.04,
2024-12-31,15:06:00,PNB,102.72,102.79,102.66,102.78,55962,102.777,,,,False,False,False,False,False,False,0.0,
2024-12-31,15:05:00,PNB,102.72,102.74,102.65,102.69,39273,102.77850000000001,,,,False,False,False,False,False,False,-0.09,
2024-12-31,15:04:00,PNB,102.73,102.79,102.65,102.68,106600,102.779,,,,False,False,False,False,False,False,-0.1,
2024-12-31,15:03:00,PNB,102.78,102.78,102.7,102.73,44704,102.7825,,,,False,False,False,False,False,False,-0.05,
2024-12-31,15:02:00,PNB,102.9,102.9,102.7,102.78,74639,102.7895,,,,False,False,False,False,False,False,-0.01,
2024-12-31,15:01:00,PNB,102.8,102.9,102.76,102.9,69108,102.792,,,,False,False,False,False,False,False,0.11,
2024-12-31,15:00:00,PNB,102.94,102.98,102.7,102.8,101352,102.78999999999999,,,,False,False,False,False,False,False,0.01,
2024-12-31,14:59:00,PNB,102.85,102.99,102.84,102.95,154420,102.79749999999999,,,,False,False,False,False,False,False,0.15,
2024-12-31,14:58:00,PNB,102.92,102.92,102.79,102.85,75743,102.799,,,,False,False,False,False,False,False,0.05,
2024-12-31,14:57:00,PNB,102.68,102.92,102.67,102.92,234494,102.806,,,,False,False,False,False,False,False,0.11,
2024-12-31,14:56:00,PNB,102.67,102.78,102.67,102.71,75713,102.8015,,,,False,False,False,False,False,False,-0.09,
2024-12-31,14:55:00,PNB,102.67,102.71,102.61,102.69,53230,102.7945,,,,False,False,False,False,False,False,-0.1,
2024-12-31,14:54:00,PNB,102.72,102.77,102.64,102.64,21832,102.78599999999999,,,,False,False,False,False,False,False,-0.14,
2024-12-31,14:53:00,PNB,102.76,102.78,102.72,102.72,39868,102.78099999999999,,,,False,False,False,False,False,False,-0.06,
2024-12-31,14:52:00,PNB,102.8,102.83,102.72,102.76,22295,102.7805,,,,False,False,False,False,False,False,-0.02,
2024-12-31,14:51:00,PNB,102.85,102.86,102.74,102.84,30771,102.78500000000001,,,,False,False,False,False,False,False,0.05,
2024-12-31,14:50:00,PNB,102.8,102.88,102.8,102.81,49759,102.7835,,,,False,False,False,False,False,False,0.03,
2024-12-31,14:49:00,PNB,102.87,102.87,102.76,102.8,37971,102.78299999999999,,,,False,False,False,False,False,False,0.02,
2024-12-31,14:48:00,PNB,102.82,102.89,102.78,102.82,17498,102.78399999999999,,,,False,False,False,False,False,False,0.04,
2024-12-31,14:47:00,PNB,102.85,102.89,102.8,102.8,36589,102.7835,,,,False,False,False,False,False,False,0.02,
2024-12-31,14:46:00,PNB,102.87,102.9,102.8,102.85,18743,102.78699999999999,,,,False,False,False,False,False,False,0.06,
2024-12-31,14:45:00,PNB,102.75,102.96,102.72,102.87,161708,102.796,,,,False,False,False,False,False,False,0.07,
2024-12-31,14:44:00,PNB,102.62,102.75,102.59,102.74,93504,102.799,,,,False,False,False,False,False,False,-0.06,
2024-12-31,14:43:00,PNB,102.6,102.63,102.51,102.62,29760,102.7935,,,,False,False,False,False,False,False,-0.17,
2024-12-31,14:42:00,PNB,102.52,102.6,102.45,102.55,59237,102.782,,,,False,False,False,False,False,False,-0.23,
2024-12-31,14:41:00,PNB,102.53,102.53,102.44,102.52,35743,102.76299999999999,,,,False,False,False,False,False,False,-0.24,
2024-12-31,14:40:00,PNB,102.6,102.61,102.5,102.53,16700,102.74949999999998,102.7542,,,False,False,False,False,False,False,-0.21,-0.22
2024-12-31,14:39:00,PNB,102.53,102.65,102.53,102.59,34175,102.73150000000001,102.75300000000001,,,False,False,False,False,False,False,-0.14,-0.16
2024-12-31,14:38:00,PNB,102.5,102.6,102.5,102.51,33152,102.7145,102.75040000000001,,,False,False,False,False,False,False,-0.2,-0.23
2024-12-31,14:37:00,PNB,102.61,102.61,102.49,102.52,8607,102.69449999999999,102.74799999999999,,,False,False,False,False,False,False,-0.17,-0.22
2024-12-31,14:36:00,PNB,102.5,102.61,102.5,102.61,56122,102.6895,102.74679999999998,,,False,False,False,False,False,False,-0.08,-0.13
2024-12-31,14:35:00,PNB,102.46,102.53,102.41,102.49,28922,102.6795,102.74340000000001,,,False,False,False,False,False,False,-0.18,-0.25
2024-12-31,14:34:00,PNB,102.58,102.6,102.45,102.46,32973,102.67049999999999,102.7392,,,False,False,False,False,False,False,-0.21,-0.27
2024-12-31,14:33:00,PNB,102.51,102.57,102.41,102.57,18719,102.66299999999998,102.7374,,,False,False,False,False,False,False,-0.09,-0.16
2024-12-31,14:32:00,PNB,102.42,102.55,102.4,102.46,82501,102.648,102.73380000000002,,,False,False,False,False,False,False,-0.18,-0.27
2024-12-31,14:31:00,PNB,102.34,102.45,102.3,102.4,29621,102.626,102.7248,,,False,False,False,False,False,False,-0.22,-0.32
2024-12-31,14:30:00,PNB,102.35,102.38,102.31,102.33,13831,102.602,102.71459999999999,,,False,False,False,False,False,False,-0.27,-0.37
2024-12-31,14:29:00,PNB,102.37,102.4,102.35,102.35,6822,102.57949999999998,102.70559999999999,,,False,False,False,False,False,False,-0.22,-0.35
2024-12-31,14:28:00,PNB,102.38,102.4,102.35,102.38,5853,102.5575,102.6968,,,False,False,False,False,False,False,-0.17,-0.31
