datetime,date,open,high,low,close,volume,MA20,MA50,MA100,MA200
2025-12-18 13:10:00,2025-12-18,21.55,21.55,21.51,21.52,326338.0,,,,
2025-12-18 13:15:00,2025-12-18,21.53,21.53,21.51,21.51,86234.0,,,,
2025-12-18 13:20:00,2025-12-18,21.51,21.52,21.5,21.51,214027.0,,,,
2025-12-18 13:25:00,2025-12-18,21.51,21.51,21.5,21.5,151514.0,,,,
2025-12-18 13:30:00,2025-12-18,21.51,21.51,21.47,21.47,591012.0,,,,
2025-12-18 13:35:00,2025-12-18,21.48,21.48,21.46,21.48,301200.0,,,,
2025-12-18 13:40:00,2025-12-18,21.48,21.48,21.46,21.47,152785.0,,,,
2025-12-18 13:45:00,2025-12-18,21.46,21.48,21.46,21.48,269610.0,,,,
2025-12-18 13:50:00,2025-12-18,21.48,21.5,21.46,21.49,358165.0,,,,
2025-12-18 13:55:00,2025-12-18,21.5,21.5,21.44,21.47,537894.0,,,,
2025-12-18 14:00:00,2025-12-18,21.47,21.47,21.42,21.42,429154.0,,,,
2025-12-18 14:05:00,2025-12-18,21.42,21.44,21.41,21.42,322842.0,,,,
2025-12-18 14:10:00,2025-12-18,21.42,21.43,21.4,21.4,404041.0,,,,
2025-12-18 14:15:00,2025-12-18,21.4,21.43,21.4,21.43,167962.0,,,,
2025-12-18 14:20:00,2025-12-18,21.42,21.44,21.39,21.41,658658.0,,,,
2025-12-18 14:25:00,2025-12-18,21.41,21.41,21.37,21.39,484071.0,,,,
2025-12-18 14:30:00,2025-12-18,21.4,21.46,21.38,21.42,485186.0,,,,
2025-12-18 14:35:00,2025-12-18,21.42,21.45,21.39,21.39,441405.0,,,,
2025-12-18 14:40:00,2025-12-18,21.39,21.41,21.38,21.39,315496.0,,,,
2025-12-18 14:45:00,2025-12-18,21.4,21.42,21.38,21.41,197346.0,21.449,,,
2025-12-18 14:50:00,2025-12-18,21.41,21.42,21.38,21.38,248893.0,21.442,,,
2025-12-18 14:55:00,2025-12-18,21.39,21.41,21.38,21.4,318216.0,21.436500000000002,,,
2025-12-18 15:00:00,2025-12-18,21.4,21.47,21.39,21.46,958993.0,21.434,,,
2025-12-18 15:05:00,2025-12-18,21.47,21.47,21.44,21.45,691069.0,21.4315,,,
2025-12-18 15:10:00,2025-12-18,21.45,21.47,21.45,21.46,737319.0,21.431,,,
2025-12-18 15:15:00,2025-12-18,21.46,21.47,21.44,21.46,1147000.0,21.43,,,
2025-12-18 15:20:00,2025-12-18,21.46,21.47,21.44,21.45,1446000.0,21.429000000000002,,,
2025-12-18 15:25:00,2025-12-18,21.45,21.45,21.4,21.41,1428000.0,21.4255,,,
2025-12-19 09:15:00,2025-12-19,21.45,21.65,21.45,21.58,1908000.0,21.43,,,
2025-12-19 09:20:00,2025-12-19,21.59,21.65,21.57,21.63,1984000.0,21.438000000000002,,,
2025-12-19 09:25:00,2025-12-19,21.63,21.66,21.62,21.66,1157000.0,21.45,,,
2025-12-19 09:30:00,2025-12-19,21.66,21.68,21.61,21.62,657846.0,21.46,,,
2025-12-19 09:35:00,2025-12-19,21.63,21.64,21.55,21.56,961656.0,21.468,,,
2025-12-19 09:40:00,2025-12-19,21.57,21.59,21.56,21.59,314949.0,21.476,,,
2025-12-19 09:45:00,2025-12-19,21.58,21.6,21.57,21.57,454535.0,21.484,,,
2025-12-19 09:50:00,2025-12-19,21.58,21.59,21.56,21.57,631401.0,21.493000000000002,,,
2025-12-19 09:55:00,2025-12-19,21.57,21.57,21.56,21.57,216392.0,21.5005,,,
2025-12-19 10:00:00,2025-12-19,21.57,21.59,21.56,21.58,259255.0,21.509999999999998,,,
2025-12-19 10:05:00,2025-12-19,21.58,21.59,21.51,21.52,1016999.9999999999,21.5165,,,
2025-12-19 10:10:00,2025-12-19,21.54,21.54,21.51,21.53,448583.0,21.5225,,,
2025-12-19 10:15:00,2025-12-19,21.53,21.55,21.52,21.54,268536.0,21.5305,,,
2025-12-19 10:20:00,2025-12-19,21.55,21.56,21.53,21.56,541422.0,21.5385,,,
2025-12-19 10:25:00,2025-12-19,21.56,21.58,21.54,21.57,650544.0,21.544,,,
2025-12-19 10:30:00,2025-12-19,21.57,21.58,21.55,21.57,214175.0,21.55,,,
2025-12-19 10:35:00,2025-12-19,21.57,21.57,21.55,21.57,219708.0,21.555500000000002,,,
2025-12-19 10:40:00,2025-12-19,21.57,21.59,21.56,21.59,256613.99999999997,21.561999999999998,,,
2025-12-19 10:45:00,2025-12-19,21.59,21.59,21.56,21.58,157175.0,21.5685,,,
2025-12-19 10:50:00,2025-12-19,21.57,21.58,21.57,21.57,171334.0,21.576500000000003,,,
2025-12-19 10:55:00,2025-12-19,21.57,21.58,21.56,21.58,117860.0,21.576500000000003,,,
2025-12-19 11:00:00,2025-12-19,21.58,21.58,21.55,21.56,201751.0,21.573,,,
2025-12-19 11:05:00,2025-12-19,21.56,21.56,21.54,21.56,444859.0,21.568,,,
2025-12-19 11:10:00,2025-12-19,21.55,21.56,21.54,21.55,242926.0,21.564500000000002,,,
2025-12-19 11:15:00,2025-12-19,21.55,21.57,21.54,21.56,281189.0,21.5645,,,
2025-12-19 11:20:00,2025-12-19,21.56,21.57,21.55,21.57,158344.0,21.5635,,,
2025-12-19 11:25:00,2025-12-19,21.57,21.57,21.54,21.55,234990.0,21.562499999999996,,,
2025-12-19 11:30:00,2025-12-19,21.55,21.55,21.53,21.54,368351.0,21.561,,,
2025-12-19 11:35:00,2025-12-19,21.54,21.55,21.53,21.54,277020.0,21.5595,,,
2025-12-19 11:40:00,2025-12-19,21.54,21.54,21.51,21.52,410088.0,21.5565,,,
2025-12-19 11:45:00,2025-12-19,21.51,21.52,21.48,21.49,2366000.0,21.555,,,
2025-12-19 11:50:00,2025-12-19,21.48,21.5,21.48,21.5,585461.0,21.5535,,,
2025-12-19 11:55:00,2025-12-19,21.5,21.5,21.48,21.5,299995.0,21.551499999999997,,,
2025-12-19 12:00:00,2025-12-19,21.49,21.5,21.48,21.5,166080.0,21.5485,,,
2025-12-19 12:05:00,2025-12-19,21.5,21.55,21.49,21.54,568935.0,21.546999999999997,,,
2025-12-19 12:10:00,2025-12-19,21.55,21.55,21.49,21.5,665134.0,21.543499999999998,,,
2025-12-19 12:15:00,2025-12-19,21.51,21.53,21.5,21.52,286185.0,21.541,,,
2025-12-19 12:20:00,2025-12-19,21.51,21.56,21.51,21.54,918703.0,21.5385,,,
2025-12-19 12:25:00,2025-12-19,21.54,21.56,21.52,21.56,397176.0,21.537499999999998,,,
2025-12-19 12:30:00,2025-12-19,21.55,21.58,21.54,21.57,560001.0,21.537499999999998,,,
