stock,status,candles,first_date,last_date,trading_days,issues
ADANIPORTS,OK,199738,2015-02-02,2025-12-31,2667,
ASHOKLEY,OK,199738,2015-02-02,2025-12-31,2667,
AXISBANK,OK,199739,2015-02-02,2025-12-31,2667,
BANDHANBNK,OK,142105,2018-03-27,2025-12-31,1898,
BHARTIARTL,OK,199737,2015-02-02,2025-12-31,2667,
CIPLA,OK,194897,2015-02-02,2025-12-31,2601,
COALINDIA,OK,199738,2015-02-02,2025-12-31,2667,
DABUR,OK,199737,2015-02-02,2025-12-31,2667,
DIVISLAB,OK,199737,2015-02-02,2025-12-31,2667,
HDFCBANK,OK,199737,2015-02-02,2025-12-31,2667,
HINDALCO,OK,199739,2015-02-02,2025-12-31,2667,
ICICIBANK,OK,199737,2015-02-02,2025-12-31,2667,
INDUSINDBK,OK,199739,2015-02-02,2025-12-31,2667,
INFY,OK,199739,2015-02-02,2025-12-31,2667,
ITC,OK,199735,2015-02-02,2025-12-31,2667,
JSWSTEEL,OK,199738,2015-02-02,2025-12-31,2667,
NATIONALUM,OK,199738,2015-02-02,2025-12-31,2667,
NTPC,OK,199738,2015-02-02,2025-12-31,2667,
ONGC,OK,199738,2015-02-02,2025-12-31,2667,
PNB,OK,199738,2015-02-02,2025-12-31,2667,
POWERGRID,OK,199738,2015-02-02,2025-12-31,2667,
RELIANCE,OK,199729,2015-02-02,2025-12-31,2667,
SBIN,OK,199737,2015-02-02,2025-12-31,2667,
SUNPHARMA,OK,199737,2015-02-02,2025-12-31,2667,
TATAMOTORS,OK,199733,2015-02-02,2025-12-31,2667,
TATASTEEL,OK,199737,2015-02-02,2025-12-31,2667,
TECHM,OK,199736,2015-02-02,2025-12-31,2667,
VEDL,OK,199736,2015-02-02,2025-12-31,2667,
VI,OK,199739,2015-02-02,2025-12-31,2667,
WIPRO,OK,199738,2015-02-02,2025-12-31,2667,
