stock     , trades_before, trades_after, kept_pct, pnl_before_rs, pnl_after_rs, pnl_delta_rs, wr_before, wr_after, best_filter
WIPRO     ,          2468,        825.0,     33.4, -52559.0     , -19821.0    , 32738.0     ,      37.1,     36.4, F7
TATAMOTORS,          2124,        824.0,     38.8, -37836.0     , -6278.0     , 31558.0     ,      37.9,     38.6, F7
BANDHANBNK,          2466,        342.0,     13.9, -31517.0     , -6215.0     , 25302.0     ,      40.6,     41.8, F7
NTPC      ,          2828,       1155.0,     40.8, -22988.0     , 767.0       , 23754.0     ,      40.3,     43.1, F7
TECHM     ,          2716,        991.0,     36.5, -18947.0     , 3075.0      , 22022.0     ,      40.9,     42.6, F7
CIPLA     ,          2820,        953.0,     33.8, -31019.0     , -10068.0    , 20951.0     ,      42.4,     43.3, F7
ONGC      ,          2584,       1059.0,     41.0, -21442.0     , -1039.0     , 20403.0     ,      41.6,     41.5, F7
ITC       ,          2924,        730.0,     25.0, -20663.0     , -2963.0     , 17699.0     ,      41.7,     44.5, F7
POWERGRID ,          2786,       1004.0,     36.0, 2049.0       , 17089.0     , 15040.0     ,      44.0,     48.5, F7
COALINDIA ,          2642,        835.0,     31.6, -34941.0     , -22147.0    , 12794.0     ,      40.0,     36.0, F7
PNB       ,          2748,       1006.0,     36.6, -31704.0     , -20981.0    , 10723.0     ,      40.6,     39.3, F7
INFY      ,          2516,        725.0,     28.8, -10826.0     , -554.0      , 10272.0     ,      40.3,     41.4, F7
VEDL      ,          2232,        776.0,     34.8, -5669.0      , -2431.0     , 3237.0      ,      43.1,     41.9, F7
SBIN      ,          2631,       1277.0,     48.5, -7825.0      , -5038.0     , 2786.0      ,      42.2,     41.8, F7
BHARTIARTL,          2738,       1691.0,     61.8, 15757.0      , 18488.0     , 2731.0      ,      45.5,     46.8, F7
ADANIPORTS,          2379,        932.0,     39.2, -21799.0     , -19169.0    , 2630.0      ,      40.2,     39.5, F7
DIVISLAB  ,          2779,       1216.0,     43.8, -5802.0      , -4513.0     , 1289.0      ,      45.3,     45.1, F7
NATIONALUM,          2516,       1112.0,     44.2, -16274.0     , -15145.0    , 1129.0      ,      40.6,     37.5, F7
TATASTEEL ,          2407,       1050.0,     43.6, -30532.0     , -30253.0    , 279.0       ,      38.1,     34.6, F7
JSWSTEEL  ,          2658,       1327.0,     49.9, -1593.0      , -2495.0     , -901.0      ,      44.8,     45.0, F7
AXISBANK  ,          2740,       1128.0,     41.2, -146.0       , -1298.0     , -1152.0     ,      43.4,     41.8, F7
RELIANCE  ,          2489,        899.0,     36.1, -3861.0      , -6065.0     , -2204.0     ,      40.9,     37.8, F7
ASHOKLEY  ,          2585,       1010.0,     39.1, 12380.0      , 9833.0      , -2546.0     ,      43.8,     43.9, F7
DABUR     ,          3004,        687.0,     22.9, -4363.0      , -8595.0     , -4232.0     ,      46.8,     44.4, F7
HDFCBANK  ,          2917,       1292.0,     44.3, 9238.0       , 2118.0      , -7121.0     ,      46.6,     46.2, F7
HINDALCO  ,          2440,       1194.0,     48.9, 393.0        , -7467.0     , -7860.0     ,      44.9,     42.5, F7
ICICIBANK ,          3015,       1394.0,     46.2, 6733.0       , -4024.0     , -10757.0    ,      49.8,     48.6, F7
INDUSINDBK,          2595,        765.0,     29.5, 1150.0       , -16085.0    , -17235.0    ,      45.7,     42.0, F7
SUNPHARMA ,          2962,       1213.0,     41.0, 28239.0      , 1757.0      , -26482.0    ,      48.4,     44.6, F7
