stock,best_config,total_pnl,total_trades,win_rate,avg_pnl_per_trade,avg_win,avg_loss,profit_factor,expectancy,largest_win,largest_loss,median_return,max_drawdown,max_dd_duration,sharpe_ratio,return_to_maxdd,max_win_streak,max_loss_streak
ADANIPORTS,Extreme-2,-854.2418,2379,40.18,-0.3591,7.8633,-5.9205,0.898,-0.3815,52.5214,-77.6607,-2.3571,-899.7454,1428,-0.2319,-0.9494,18,21
ASHOKLEY,Extreme-4,53.9121,2585,43.83,0.0209,0.6818,-0.5283,1.075,0.0021,7.2857,-2.45,-0.05,-70.5786,1195,0.1169,0.7639,17,21
AXISBANK,Extreme-2,-36.8743,2740,43.36,-0.0135,5.182,-4.032,0.994,-0.037,26.5661,-19.6696,-0.9,-281.4118,580,-0.0117,-0.131,18,21
BANDHANBNK,Extreme-2,-260.5321,2466,40.63,-0.1056,1.6833,-1.3494,0.8662,-0.1171,14.8982,-7.9554,-0.4652,-352.1679,1443,-0.2614,-0.7398,13,19
BHARTIARTL,Extreme-1,794.2429,2738,45.54,0.2901,6.125,-4.6492,1.1161,0.2578,35.5429,-22.3929,-0.525,-245.3643,687,0.2484,3.237,16,15
CIPLA,Extreme-2,-1327.6857,2820,42.38,-0.4708,6.2962,-5.4741,0.85,-0.4863,33.6214,-24.0536,-1.7,-1526.2196,1166,-0.343,-0.8699,17,20
COALINDIA,Extreme-1,-403.5964,2642,39.97,-0.1528,1.8431,-1.5083,0.8283,-0.1687,14.8714,-9.9107,-0.5,-426.3839,1236,-0.4627,-0.9466,12,36
DABUR,Extreme-3,-112.6357,3004,46.8,-0.0375,2.5721,-2.3722,0.9698,-0.058,21.3429,-16.8857,-0.2,-257.7768,633,-0.062,-0.437,16,20
DIVISLAB,Extreme-4,-1804.6893,2779,45.27,-0.6494,26.7397,-23.4103,0.9491,-0.7084,189.5536,-101.5286,-3.5,-2990.0536,502,-0.1062,-0.6036,16,16
HDFCBANK,Extreme-4,211.775,2917,46.55,0.0726,3.4453,-2.9291,1.0474,0.0385,28.8571,-12.8143,-0.3,-283.8714,645,0.0956,0.746,21,28
HINDALCO,Extreme-4,-44.6857,2440,44.92,-0.0183,3.8933,-3.2517,0.9896,-0.0423,47.0357,-16.5,-0.45,-384.4893,573,-0.0224,-0.1162,13,20
