touch_idx,reclaim_idx,entry_idx,touch_dt,reclaim_dt,entry_dt,entry_price,ma20,touch_to_entry_day_cross,reclaim_to_entry_day_cross,month_boundary_carry
48,48,49,2022-01-03 13:15:00+05:30,2022-01-03 13:15:00+05:30,2022-01-03 13:20:00+05:30,109.2,108.88250000000001,False,False,False
114,114,115,2022-01-04 12:30:00+05:30,2022-01-04 12:30:00+05:30,2022-01-04 12:35:00+05:30,111.6,111.2275,False,False,False
116,116,117,2022-01-04 12:40:00+05:30,2022-01-04 12:40:00+05:30,2022-01-04 12:45:00+05:30,111.25,111.24249999999999,False,False,False
150,150,151,2022-01-05 09:15:00+05:30,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,111.3,111.03500000000001,False,False,False
153,155,156,2022-01-05 09:30:00+05:30,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,111.9,111.165,False,False,False
188,189,190,2022-01-05 12:25:00+05:30,2022-01-05 12:30:00+05:30,2022-01-05 12:35:00+05:30,113.05,113.025,False,False,False
221,221,222,2022-01-05 15:10:00+05:30,2022-01-05 15:10:00+05:30,2022-01-05 15:15:00+05:30,114.15,113.9075,False,False,False
225,226,227,2022-01-06 09:15:00+05:30,2022-01-06 09:20:00+05:30,2022-01-06 09:25:00+05:30,114.05,114.00250000000001,False,False,False
227,227,228,2022-01-06 09:25:00+05:30,2022-01-06 09:25:00+05:30,2022-01-06 09:30:00+05:30,114.3,114.07249999999999,False,False,False
228,231,232,2022-01-06 09:30:00+05:30,2022-01-06 09:45:00+05:30,2022-01-06 09:50:00+05:30,114.1,114.05749999999998,False,False,False
285,286,287,2022-01-06 14:15:00+05:30,2022-01-06 14:20:00+05:30,2022-01-06 14:25:00+05:30,112.55,112.4625,False,False,False
296,296,297,2022-01-06 15:10:00+05:30,2022-01-06 15:10:00+05:30,2022-01-06 15:15:00+05:30,112.6,112.6,False,False,False
297,297,298,2022-01-06 15:15:00+05:30,2022-01-06 15:15:00+05:30,2022-01-06 15:20:00+05:30,112.8,112.60249999999999,False,False,False
298,298,299,2022-01-06 15:20:00+05:30,2022-01-06 15:20:00+05:30,2022-01-06 15:25:00+05:30,112.65,112.60249999999999,False,False,False
299,300,301,2022-01-06 15:25:00+05:30,2022-01-07 09:15:00+05:30,2022-01-07 09:20:00+05:30,113.35,112.6,True,False,False
327,328,329,2022-01-07 11:30:00+05:30,2022-01-07 11:35:00+05:30,2022-01-07 11:40:00+05:30,113.05,112.8875,False,False,False
377,380,381,2022-01-10 09:25:00+05:30,2022-01-10 09:40:00+05:30,2022-01-10 09:45:00+05:30,112.5,112.15,False,False,False
411,411,412,2022-01-10 12:15:00+05:30,2022-01-10 12:15:00+05:30,2022-01-10 12:20:00+05:30,112.9,112.8,False,False,False
431,431,432,2022-01-10 13:55:00+05:30,2022-01-10 13:55:00+05:30,2022-01-10 14:00:00+05:30,113.2,113.1825,False,False,False
432,432,433,2022-01-10 14:00:00+05:30,2022-01-10 14:00:00+05:30,2022-01-10 14:05:00+05:30,113.4,113.20250000000001,False,False,False
439,442,443,2022-01-10 14:35:00+05:30,2022-01-10 14:50:00+05:30,2022-01-10 14:55:00+05:30,113.3,113.1525,False,False,False
448,448,449,2022-01-10 15:20:00+05:30,2022-01-10 15:20:00+05:30,2022-01-10 15:25:00+05:30,113.2,113.18500000000002,False,False,False
449,449,450,2022-01-10 15:25:00+05:30,2022-01-10 15:25:00+05:30,2022-01-11 09:15:00+05:30,112.25,113.18499999999999,True,True,False
521,524,525,2022-01-11 15:10:00+05:30,2022-01-11 15:25:00+05:30,2022-01-12 09:15:00+05:30,110.4,109.8875,True,True,False
545,545,546,2022-01-12 10:55:00+05:30,2022-01-12 10:55:00+05:30,2022-01-12 11:00:00+05:30,110.45,110.165,False,False,False
585,585,586,2022-01-12 14:15:00+05:30,2022-01-12 14:15:00+05:30,2022-01-12 14:20:00+05:30,111.0,110.74249999999999,False,False,False
675,675,676,2022-01-14 09:15:00+05:30,2022-01-14 09:15:00+05:30,2022-01-14 09:20:00+05:30,118.0,117.665,False,False,False
719,719,720,2022-01-14 12:55:00+05:30,2022-01-14 12:55:00+05:30,2022-01-14 13:00:00+05:30,117.9,117.63499999999999,False,False,False
