entry_time,exit_time,entry,exit,qty,pnl,reason,ma20,atr_config
2022-01-03 13:55:00+05:30,2022-01-03 15:00:00+05:30,359.1,358.65,92,-41.400000000004184,time,358.9325,Extreme-1
2022-01-03 14:25:00+05:30,2022-01-03 15:00:00+05:30,359.05,358.65,92,-36.80000000000314,time,358.90749999999997,Extreme-1
2022-01-04 09:15:00+05:30,2022-01-04 09:20:00+05:30,361.4,359.4267857142857,92,-181.53571428571354,stop,359.24,Extreme-1
2022-01-04 11:20:00+05:30,2022-01-04 12:35:00+05:30,357.35,359.4214285714286,93,192.64285714285563,target,357.2125,Extreme-1
2022-01-05 11:30:00+05:30,2022-01-05 13:30:00+05:30,354.5,358.07142857142856,94,335.7142857142842,target,354.53249999999997,Extreme-1
2022-01-05 11:55:00+05:30,2022-01-05 13:30:00+05:30,354.1,357.91428571428577,94,358.54285714286004,target,353.9,Extreme-1
2022-01-06 10:05:00+05:30,2022-01-06 12:05:00+05:30,355.4,351.3910714285714,93,-372.83035714285563,stop,355.2575,Extreme-1
2022-01-06 09:15:00+05:30,2022-01-06 15:00:00+05:30,352.9,353.8,94,84.6000000000032,time,356.7875,Extreme-1
2022-01-06 12:55:00+05:30,2022-01-06 15:00:00+05:30,353.35,353.8,94,42.29999999999893,time,352.38,Extreme-1
2022-01-06 14:25:00+05:30,2022-01-06 15:00:00+05:30,353.5,353.8,94,28.20000000000107,time,352.7475,Extreme-1
2022-01-07 09:15:00+05:30,2022-01-07 09:35:00+05:30,354.0,357.1857142857143,94,299.4571428571453,target,353.09499999999997,Extreme-1
2022-01-07 13:15:00+05:30,2022-01-07 15:00:00+05:30,356.6,357.3,93,65.09999999999894,time,356.51750000000004,Extreme-1
2022-01-07 13:35:00+05:30,2022-01-07 15:00:00+05:30,357.0,357.3,93,27.900000000001057,time,356.1775,Extreme-1
2022-01-10 12:45:00+05:30,2022-01-10 15:00:00+05:30,347.85,347.3,95,-52.25000000000108,time,347.6075,Extreme-1
2022-01-10 12:50:00+05:30,2022-01-10 15:00:00+05:30,347.6,347.3,95,-28.50000000000108,time,347.585,Extreme-1
2022-01-10 13:05:00+05:30,2022-01-10 15:00:00+05:30,347.65,347.3,95,-33.24999999999676,time,347.5475,Extreme-1
2022-01-10 13:45:00+05:30,2022-01-10 15:00:00+05:30,347.85,347.3,95,-52.25000000000108,time,347.625,Extreme-1
2022-01-10 14:00:00+05:30,2022-01-10 15:00:00+05:30,348.0,347.3,95,-66.49999999999892,time,347.70500000000004,Extreme-1
2022-01-11 13:55:00+05:30,2022-01-11 15:00:00+05:30,347.7,347.35,95,-33.24999999999676,time,347.505,Extreme-1
2022-01-11 14:25:00+05:30,2022-01-11 15:00:00+05:30,347.8,347.35,95,-42.74999999999892,time,347.43,Extreme-1
2022-01-12 09:20:00+05:30,2022-01-12 09:30:00+05:30,348.5,346.29464285714283,95,-209.50892857143089,stop,347.4475,Extreme-1
2022-01-12 09:25:00+05:30,2022-01-12 10:00:00+05:30,347.7,345.23571428571427,95,-234.10714285714363,stop,347.5025,Extreme-1
2022-01-12 11:40:00+05:30,2022-01-12 11:50:00+05:30,346.45,344.8696428571428,96,-151.71428571428805,stop,346.175,Extreme-1
2022-01-12 11:45:00+05:30,2022-01-12 11:50:00+05:30,346.2,344.6017857142857,96,-153.42857142857065,stop,346.085,Extreme-1
2022-01-13 13:30:00+05:30,2022-01-13 14:10:00+05:30,326.1,325.0553571428572,102,-106.55357142856894,stop,325.94500000000005,Extreme-1
2022-01-14 11:10:00+05:30,2022-01-14 11:40:00+05:30,320.9,319.5785714285714,103,-136.10714285714118,stop,320.855,Extreme-1
2022-01-14 12:50:00+05:30,2022-01-14 14:35:00+05:30,321.0,319.5267857142857,103,-151.7410714285706,stop,320.3525,Extreme-1
2022-01-17 09:15:00+05:30,2022-01-17 09:20:00+05:30,319.75,318.25,104,-156.0,stop,320.0825,Extreme-1
2022-01-18 13:15:00+05:30,2022-01-18 13:40:00+05:30,321.65,320.7571428571428,103,-91.96428571428822,stop,321.49,Extreme-1
2022-01-18 12:55:00+05:30,2022-01-18 13:45:00+05:30,321.5,320.6875,103,-83.6875,stop,321.4575,Extreme-1
2022-01-18 13:10:00+05:30,2022-01-18 13:45:00+05:30,321.5,320.6428571428571,103,-88.28571428571763,stop,321.475,Extreme-1
2022-01-18 13:35:00+05:30,2022-01-18 14:00:00+05:30,321.5,320.5625,103,-96.5625,stop,321.4475,Extreme-1
2022-01-19 12:10:00+05:30,2022-01-19 12:40:00+05:30,311.9,310.7660714285714,106,-120.19642857142685,stop,311.74,Extreme-1
2022-01-20 09:50:00+05:30,2022-01-20 10:55:00+05:30,310.55,307.7285714285714,107,-301.8928571428615,stop,309.8325,Extreme-1
2022-01-24 09:15:00+05:30,2022-01-24 09:20:00+05:30,302.75,300.0625,110,-295.625,stop,302.725,Extreme-1
2022-01-25 09:45:00+05:30,2022-01-25 10:10:00+05:30,285.0,279.1339285714286,116,-680.464285714281,stop,284.78000000000003,Extreme-1
2022-01-25 09:55:00+05:30,2022-01-25 10:10:00+05:30,284.85,278.54642857142863,117,-737.5178571428523,stop,284.4175,Extreme-1
