datetime,open,high,low,close,volume,oi
2015-02-02T09:15:00+05:30,40,41,40,40.5,19500,0
2015-02-02T09:20:00+05:30,40.5,41,40.5,41,32800,0
2015-02-02T09:25:00+05:30,41,41,41,41,31400,0
2015-02-02T09:30:00+05:30,41,41,41,41,67100,0
2015-02-02T09:35:00+05:30,41,41,41,41,12300,0
2015-02-02T09:40:00+05:30,41,41,41,41,12300,0
2015-02-02T09:45:00+05:30,41,41,41,41,25500,0
2015-02-02T09:50:00+05:30,41,41,41,41,25100,0
2015-02-02T09:55:00+05:30,41,41,41,41,15200,0
2015-02-02T10:00:00+05:30,41,41,41,41,15500,0
2015-02-02T10:05:00+05:30,41,41,41,41,23200,0
2015-02-02T10:10:00+05:30,41,41,41,41,7700,0
2015-02-02T10:15:00+05:30,41,41,41,41,41300,0
2015-02-02T10:20:00+05:30,41,41,41,41,17300,0
2015-02-02T10:25:00+05:30,41,41.5,41,41.5,27200,0
2015-02-02T10:30:00+05:30,41.5,42,41.5,42,193600,0
2015-02-02T10:35:00+05:30,42,42,42,42,199700,0
2015-02-02T10:40:00+05:30,42,42,42,42,83900,0
2015-02-02T10:45:00+05:30,42,42,42,42,73400,0
2015-02-02T10:50:00+05:30,42,42,42,42,44900,0
2015-02-02T10:55:00+05:30,42,42,42,42,56200,0
2015-02-02T11:00:00+05:30,42,42,42,42,42200,0
2015-02-02T11:05:00+05:30,42,42,42,42,30700,0
2015-02-02T11:10:00+05:30,42,42,42,42,13500,0
2015-02-02T11:15:00+05:30,42,42,42,42,29700,0
2015-02-02T11:20:00+05:30,42,42,42,42,23300,0
2015-02-02T11:25:00+05:30,42,42,42,42,25500,0
2015-02-02T11:30:00+05:30,42,42,42,42,52300,0
2015-02-02T11:35:00+05:30,42,42,41.5,41.5,33500,0
2015-02-02T11:40:00+05:30,41.5,41.5,41.5,41.5,45700,0
2015-02-02T11:45:00+05:30,41.5,41.5,41,41,21200,0
2015-02-02T11:50:00+05:30,41,41,41,41,36600,0
2015-02-02T11:55:00+05:30,41,41.5,41,41.5,44000,0
2015-02-02T12:00:00+05:30,41.5,41.5,41,41,13600,0
2015-02-02T12:05:00+05:30,41,41,41,41,14700,0
2015-02-02T12:10:00+05:30,41,41,41,41,6700,0
2015-02-02T12:15:00+05:30,41,41.5,41,41,14500,0
2015-02-02T12:20:00+05:30,41,41.5,41,41.5,61600,0
2015-02-02T12:25:00+05:30,41,41.5,41,41.5,40600,0
2015-02-02T12:30:00+05:30,41.5,42,41.5,42,44100,0
2015-02-02T12:35:00+05:30,42,42,42,42,90100,0
2015-02-02T12:40:00+05:30,42,42,42,42,243800,0
2015-02-02T12:45:00+05:30,42,42,42,42,274300,0
2015-02-02T12:50:00+05:30,42,42,42,42,7800,0
2015-02-02T12:55:00+05:30,42,42,42,42,110400,0
2015-02-02T13:00:00+05:30,42,42,42,42,64500,0
2015-02-02T13:05:00+05:30,42,42,41.5,41.5,59500,0
2015-02-02T13:10:00+05:30,41.5,41.5,41.5,41.5,31600,0
2015-02-02T13:15:00+05:30,41.5,42,41.5,41.5,10000,0
2015-02-02T13:20:00+05:30,41.5,42,41.5,42,13000,0
2015-02-02T13:25:00+05:30,42,42,41.5,41.5,26700,0
2015-02-02T13:30:00+05:30,41.5,42,41.5,42,8600,0
2015-02-02T13:35:00+05:30,42,42,41.5,42,24500,0
2015-02-02T13:40:00+05:30,42,42,42,42,8900,0
2015-02-02T13:45:00+05:30,42,42,42,42,21300,0
2015-02-02T13:50:00+05:30,42,42,42,42,293700,0
2015-02-02T13:55:00+05:30,42,42,42,42,73900,0
2015-02-02T14:00:00+05:30,42,42,42,42,20400,0
2015-02-02T14:05:00+05:30,42,42,41.5,41.5,18000,0
2015-02-02T14:10:00+05:30,41.5,42,41,41.5,24900,0
2015-02-02T14:15:00+05:30,41.5,42,41.5,41.5,24100,0
2015-02-02T14:20:00+05:30,41.5,42,41,41.5,71300,0
2015-02-02T14:25:00+05:30,41.5,42,41.5,41.5,6000,0
2015-02-02T14:30:00+05:30,41.5,41.5,41.5,41.5,16000,0
2015-02-02T14:35:00+05:30,41.5,41.5,41.5,41.5,18600,0
2015-02-02T14:40:00+05:30,41.5,41.5,41.5,41.5,24400,0
2015-02-02T14:45:00+05:30,41.5,42,41.5,42,42800,0
2015-02-02T14:50:00+05:30,42,42,42,42,25500,0
2015-02-02T14:55:00+05:30,42,42,41.5,42,194600,0
2015-02-02T15:00:00+05:30,42,42,42,42,68100,0
2015-02-02T15:05:00+05:30,42,42,42,42,9100,0
2015-02-02T15:10:00+05:30,42,42,41.5,42,36500,0
2015-02-02T15:15:00+05:30,42,42,41,41,88100,0
2015-02-02T15:20:00+05:30,41,41.5,41,41.5,32900,0
2015-02-02T15:25:00+05:30,41.5,42,41.5,41.5,58800,0
2015-02-03T09:15:00+05:30,42,42,42,42,26200,0
2015-02-03T09:20:00+05:30,42,42,42,42,18800,0
2015-02-03T09:25:00+05:30,42,42,42,42,63600,0
2015-02-03T09:30:00+05:30,42,42,42,42,46700,0
2015-02-03T09:35:00+05:30,42,42,42,42,10900,0
2015-02-03T09:40:00+05:30,42,42,42,42,2600,0
2015-02-03T09:45:00+05:30,42,42,42,42,23300,0
2015-02-03T09:50:00+05:30,42,42,42,42,12700,0
2015-02-03T09:55:00+05:30,42,42,42,42,41000,0
2015-02-03T10:00:00+05:30,42,42,42,42,9800,0
2015-02-03T10:05:00+05:30,42,42.5,42,42,182800,0
2015-02-03T10:10:00+05:30,42,42,42,42,30300,0
2015-02-03T10:15:00+05:30,42,42,42,42,27100,0
2015-02-03T10:20:00+05:30,42,42,42,42,6200,0
2015-02-03T10:25:00+05:30,42,42,42,42,16000,0
2015-02-03T10:30:00+05:30,42,42,42,42,11400,0
2015-02-03T10:35:00+05:30,42,42,42,42,86000,0
2015-02-03T10:40:00+05:30,42,42,42,42,21300,0
2015-02-03T10:45:00+05:30,42,42,41.5,42,27500,0
2015-02-03T10:50:00+05:30,42,42,42,42,14000,0
2015-02-03T10:55:00+05:30,42,42,42,42,240200,0
2015-02-03T11:00:00+05:30,42,42,42,42,3000,0
2015-02-03T11:05:00+05:30,42,42,42,42,4300,0
2015-02-03T11:10:00+05:30,42,42,42,42,86900,0
2015-02-03T11:15:00+05:30,42,42,42,42,13200,0
2015-02-03T11:20:00+05:30,42,42,42,42,2700,0
2015-02-03T11:25:00+05:30,42,42,42,42,3500,0
2015-02-03T11:30:00+05:30,42,42,42,42,2100,0
2015-02-03T11:35:00+05:30,42,42,42,42,7400,0
2015-02-03T11:40:00+05:30,42,42,42,42,18200,0
2015-02-03T11:45:00+05:30,42,42,42,42,300,0
2015-02-03T11:50:00+05:30,42,42,42,42,5700,0
2015-02-03T11:55:00+05:30,42,42,42,42,6400,0
2015-02-03T12:00:00+05:30,42,42,41.5,42,2000,0
2015-02-03T12:05:00+05:30,42,42,41.5,41.5,29800,0
2015-02-03T12:10:00+05:30,41.5,42,41.5,41.5,14300,0
2015-02-03T12:15:00+05:30,41.5,42,41.5,42,6800,0
2015-02-03T12:20:00+05:30,42,42,42,42,1300,0
2015-02-03T12:25:00+05:30,42,42,42,42,13200,0
2015-02-03T12:30:00+05:30,42,42,42,42,2000,0
2015-02-03T12:35:00+05:30,42,42,42,42,4100,0
2015-02-03T12:40:00+05:30,42,42,42,42,700,0
2015-02-03T12:45:00+05:30,42,42,42,42,900,0
2015-02-03T12:50:00+05:30,42,42,42,42,600,0
2015-02-03T12:55:00+05:30,42,42,42,42,2100,0
2015-02-03T13:00:00+05:30,42,42,42,42,1000,0
2015-02-03T13:05:00+05:30,42,42,42,42,59600,0
2015-02-03T13:10:00+05:30,42,42,42,42,5700,0
2015-02-03T13:15:00+05:30,42,42,42,42,2200,0
2015-02-03T13:20:00+05:30,42,42,42,42,3200,0
2015-02-03T13:25:00+05:30,42,42,42,42,500,0
2015-02-03T13:30:00+05:30,42,42,42,42,45000,0
2015-02-03T13:35:00+05:30,42,42,42,42,13100,0
2015-02-03T13:40:00+05:30,42,42,42,42,12100,0
2015-02-03T13:45:00+05:30,42,42,42,42,2000,0
2015-02-03T13:50:00+05:30,42,42,42,42,9300,0
2015-02-03T13:55:00+05:30,42,42,42,42,33300,0
2015-02-03T14:00:00+05:30,42,42,42,42,2600,0
2015-02-03T14:05:00+05:30,42,42,42,42,27700,0
2015-02-03T14:10:00+05:30,42,42,42,42,57000,0
2015-02-03T14:15:00+05:30,42,42,42,42,11100,0
2015-02-03T14:20:00+05:30,42,42,42,42,62800,0
2015-02-03T14:25:00+05:30,42,42,42,42,12400,0
2015-02-03T14:30:00+05:30,42,42,42,42,46100,0
2015-02-03T14:35:00+05:30,42,42,42,42,2700,0
2015-02-03T14:40:00+05:30,42,42,42,42,15100,0
2015-02-03T14:45:00+05:30,42,42,42,42,17300,0
2015-02-03T14:50:00+05:30,42,42,42,42,12700,0
2015-02-03T14:55:00+05:30,42,42,42,42,3200,0
2015-02-03T15:00:00+05:30,42,42,42,42,257700,0
2015-02-03T15:05:00+05:30,42,42,41.5,42,65800,0
2015-02-03T15:10:00+05:30,42,42,42,42,19700,0
2015-02-03T15:15:00+05:30,42,42,42,42,29300,0
2015-02-03T15:20:00+05:30,42,42,41.5,41.5,71400,0
2015-02-03T15:25:00+05:30,41.5,42,41.5,42,50900,0
2015-02-04T09:15:00+05:30,42,42,41.5,42,64000,0
2015-02-04T09:20:00+05:30,42,42,42,42,32900,0
2015-02-04T09:25:00+05:30,42,42,42,42,28600,0
2015-02-04T09:30:00+05:30,42,42,42,42,40900,0
2015-02-04T09:35:00+05:30,42,42,42,42,6400,0
2015-02-04T09:40:00+05:30,42,42,42,42,4500,0
2015-02-04T09:45:00+05:30,42,42,41.5,42,8100,0
2015-02-04T09:50:00+05:30,42,42,41,41,48300,0
2015-02-04T09:55:00+05:30,41,41,41,41,33100,0
2015-02-04T10:00:00+05:30,41,41,41,41,11100,0
2015-02-04T10:05:00+05:30,41,41,41,41,10100,0
2015-02-04T10:10:00+05:30,41,41,41,41,25300,0
2015-02-04T10:15:00+05:30,41,41,41,41,3400,0
2015-02-04T10:20:00+05:30,41,41,41,41,24200,0
2015-02-04T10:25:00+05:30,41,41,41,41,17500,0
2015-02-04T10:30:00+05:30,41,41,41,41,16200,0
2015-02-04T10:35:00+05:30,41,41,41,41,34200,0
2015-02-04T10:40:00+05:30,41,41,41,41,22100,0
2015-02-04T10:45:00+05:30,41,41,41,41,4200,0
2015-02-04T10:50:00+05:30,41,41,41,41,9000,0
2015-02-04T10:55:00+05:30,41,41,41,41,11900,0
2015-02-04T11:00:00+05:30,41,41,41,41,26700,0
2015-02-04T11:05:00+05:30,41,41,41,41,27700,0
2015-02-04T11:10:00+05:30,41,41,41,41,2200,0
2015-02-04T11:15:00+05:30,41,41,41,41,20800,0
2015-02-04T11:20:00+05:30,41,41,41,41,29900,0
2015-02-04T11:25:00+05:30,41,41,41,41,8600,0
2015-02-04T11:30:00+05:30,41,41,41,41,6300,0
2015-02-04T11:35:00+05:30,41,41,41,41,9100,0
2015-02-04T11:40:00+05:30,41,41,41,41,8300,0
2015-02-04T11:45:00+05:30,41,41,41,41,16100,0
2015-02-04T11:50:00+05:30,41,41,41,41,9100,0
2015-02-04T11:55:00+05:30,41,41,41,41,2200,0
2015-02-04T12:00:00+05:30,41,41,41,41,3900,0
2015-02-04T12:05:00+05:30,41,41,41,41,24500,0
2015-02-04T12:10:00+05:30,41,41,41,41,1300,0
2015-02-04T12:15:00+05:30,41,41,41,41,11700,0
2015-02-04T12:20:00+05:30,41,41,41,41,10000,0
2015-02-04T12:25:00+05:30,41,41,41,41,5000,0
2015-02-04T12:30:00+05:30,41,41,41,41,26900,0
2015-02-04T12:35:00+05:30,41,41,41,41,13900,0
2015-02-04T12:40:00+05:30,41,41,41,41,1400,0
2015-02-04T12:45:00+05:30,41,41,41,41,4900,0
2015-02-04T12:50:00+05:30,41,41,41,41,63300,0
2015-02-04T12:55:00+05:30,41,41,41,41,100,0
2015-02-04T13:00:00+05:30,41,41,41,41,1300,0
2015-02-04T13:05:00+05:30,41,41,41,41,10200,0
2015-02-04T13:10:00+05:30,41,41,41,41,5300,0
2015-02-04T13:15:00+05:30,41,41,41,41,45800,0
2015-02-04T13:20:00+05:30,41,41,41,41,140500,0
2015-02-04T13:25:00+05:30,41,41,41,41,189800,0
2015-02-04T13:30:00+05:30,41,41,41,41,12300,0
2015-02-04T13:35:00+05:30,41,41,41,41,9700,0
2015-02-04T13:40:00+05:30,41,41,41,41,43600,0
2015-02-04T13:45:00+05:30,41,41,41,41,3200,0
2015-02-04T13:50:00+05:30,41,41,41,41,89100,0
2015-02-04T13:55:00+05:30,41,41,41,41,3200,0
2015-02-04T14:00:00+05:30,41,41,41,41,12600,0
2015-02-04T14:05:00+05:30,41,41,41,41,3700,0
2015-02-04T14:10:00+05:30,41,41,41,41,106900,0
2015-02-04T14:15:00+05:30,41,41,41,41,45800,0
2015-02-04T14:20:00+05:30,41,41,40.5,40.5,21800,0
2015-02-04T14:25:00+05:30,40.5,40.5,40.5,40.5,42900,0
2015-02-04T14:30:00+05:30,40.5,41,40.5,41,6700,0
2015-02-04T14:35:00+05:30,41,41,40.5,41,77600,0
2015-02-04T14:40:00+05:30,41,41,41,41,126800,0
2015-02-04T14:45:00+05:30,41,41,41,41,382400,0
2015-02-04T14:50:00+05:30,41,41,40.5,41,70600,0
2015-02-04T14:55:00+05:30,41,41,41,41,15300,0
2015-02-04T15:00:00+05:30,41,41,41,41,50900,0
2015-02-04T15:05:00+05:30,41,41,41,41,136100,0
2015-02-04T15:10:00+05:30,41,41,41,41,67900,0
2015-02-04T15:15:00+05:30,41,41,41,41,71400,0
2015-02-04T15:20:00+05:30,41,41,41,41,141400,0
2015-02-04T15:25:00+05:30,41,42,41,42,142600,0
2015-02-05T09:15:00+05:30,41.5,41.5,41,41,46000,0
2015-02-05T09:20:00+05:30,41,41,41,41,42200,0
2015-02-05T09:25:00+05:30,41,41,41,41,19700,0
2015-02-05T09:30:00+05:30,41,41,41,41,41300,0
2015-02-05T09:35:00+05:30,41,41,41,41,40300,0
2015-02-05T09:40:00+05:30,41,41,41,41,42700,0
2015-02-05T09:45:00+05:30,41,41,41,41,41000,0
2015-02-05T09:50:00+05:30,41,41,41,41,36200,0
2015-02-05T09:55:00+05:30,41,41,41,41,2145700,0
2015-02-05T10:00:00+05:30,41,41,41,41,34000,0
2015-02-05T10:05:00+05:30,41,41,41,41,5000,0
2015-02-05T10:10:00+05:30,41,41,41,41,3700,0
2015-02-05T10:15:00+05:30,41,41,41,41,6000,0
2015-02-05T10:20:00+05:30,41,41,41,41,5400,0
2015-02-05T10:25:00+05:30,41,41,41,41,6400,0
2015-02-05T10:30:00+05:30,41,41,41,41,6900,0
2015-02-05T10:35:00+05:30,41,41,41,41,19100,0
2015-02-05T10:40:00+05:30,41,41,41,41,7000,0
2015-02-05T10:45:00+05:30,41,41,41,41,4500,0
2015-02-05T10:50:00+05:30,41,41,41,41,1500,0
2015-02-05T10:55:00+05:30,41,41,41,41,13800,0
2015-02-05T11:00:00+05:30,41,41,41,41,37500,0
2015-02-05T11:05:00+05:30,41,41,41,41,15500,0
2015-02-05T11:10:00+05:30,41,41,41,41,25500,0
2015-02-05T11:15:00+05:30,41,41,41,41,1000,0
2015-02-05T11:20:00+05:30,41,41,41,41,2500,0
2015-02-05T11:25:00+05:30,41,41,41,41,3600,0
2015-02-05T11:30:00+05:30,41,41,41,41,46400,0
2015-02-05T11:35:00+05:30,41,41,41,41,3900,0
2015-02-05T11:40:00+05:30,41,41,41,41,3800,0
2015-02-05T11:45:00+05:30,41,41,41,41,3200,0
2015-02-05T11:50:00+05:30,41,41,41,41,22000,0
2015-02-05T11:55:00+05:30,41,41,41,41,13200,0
2015-02-05T12:00:00+05:30,41,41,41,41,6100,0
2015-02-05T12:05:00+05:30,41,41,40.5,41,6300,0
2015-02-05T12:10:00+05:30,40.5,41,40.5,40.5,51000,0
2015-02-05T12:15:00+05:30,40.5,40.5,40.5,40.5,13500,0
2015-02-05T12:20:00+05:30,40.5,41,40.5,41,11500,0
2015-02-05T12:25:00+05:30,41,41,40.5,41,17200,0
2015-02-05T12:30:00+05:30,41,41,40.5,40.5,1900,0
2015-02-05T12:35:00+05:30,40.5,41,40.5,41,46600,0
2015-02-05T12:40:00+05:30,41,41,41,41,1500,0
2015-02-05T12:45:00+05:30,41,41,41,41,16000,0
2015-02-05T12:50:00+05:30,41,41,40.5,41,13000,0
2015-02-05T12:55:00+05:30,41,41,40.5,40.5,16200,0
2015-02-05T13:00:00+05:30,40.5,40.5,40.5,40.5,19100,0
2015-02-05T13:05:00+05:30,40.5,40.5,40.5,40.5,13200,0
2015-02-05T13:10:00+05:30,40.5,40.5,40.5,40.5,46000,0
2015-02-05T13:15:00+05:30,40.5,41,40.5,41,38400,0
2015-02-05T13:20:00+05:30,41,41,41,41,28400,0
2015-02-05T13:25:00+05:30,41,41,41,41,15600,0
2015-02-05T13:30:00+05:30,41,41,41,41,53500,0
2015-02-05T13:35:00+05:30,41,41,41,41,12100,0
2015-02-05T13:40:00+05:30,41,41,41,41,5700,0
2015-02-05T13:45:00+05:30,41,41,41,41,25600,0
2015-02-05T13:50:00+05:30,41,41,41,41,2500,0
2015-02-05T13:55:00+05:30,41,41,41,41,2300,0
2015-02-05T14:00:00+05:30,41,41,41,41,11300,0
2015-02-05T14:05:00+05:30,41,41,41,41,2600,0
2015-02-05T14:10:00+05:30,41,41,41,41,39400,0
2015-02-05T14:15:00+05:30,41,41,41,41,26500,0
2015-02-05T14:20:00+05:30,41,41,41,41,16400,0
2015-02-05T14:25:00+05:30,41,41,41,41,26400,0
2015-02-05T14:30:00+05:30,41,41,41,41,1500,0
2015-02-05T14:35:00+05:30,41,41,41,41,6300,0
2015-02-05T14:40:00+05:30,41,41,41,41,1600,0
2015-02-05T14:45:00+05:30,41,41,41,41,2800,0
2015-02-05T14:50:00+05:30,41,41,41,41,63300,0
2015-02-05T14:55:00+05:30,41,41,41,41,25500,0
2015-02-05T15:00:00+05:30,41,41,41,41,32400,0
2015-02-05T15:05:00+05:30,41,41,41,41,5800,0
2015-02-05T15:10:00+05:30,41,41,41,41,16400,0
2015-02-05T15:15:00+05:30,41,41,41,41,42500,0
2015-02-05T15:20:00+05:30,41,42,41,41,221700,0
2015-02-05T15:25:00+05:30,41,41.5,41,41,85300,0
2015-02-06T09:15:00+05:30,41,41,41,41,5200,0
2015-02-06T09:20:00+05:30,41,41,41,41,7200,0
2015-02-06T09:25:00+05:30,41,41,41,41,10200,0
2015-02-06T09:30:00+05:30,41,41,41,41,28700,0
2015-02-06T09:35:00+05:30,41,41,41,41,26600,0
2015-02-06T09:40:00+05:30,41,41,41,41,49400,0
2015-02-06T09:45:00+05:30,41,41,41,41,14500,0
2015-02-06T09:50:00+05:30,41,41,41,41,14500,0
2015-02-06T09:55:00+05:30,41,41,41,41,67500,0
2015-02-06T10:00:00+05:30,41,41,41,41,2600,0
2015-02-06T10:05:00+05:30,41,41,41,41,14200,0
2015-02-06T10:10:00+05:30,41,41,41,41,20200,0
2015-02-06T10:15:00+05:30,41,41,41,41,1700,0
2015-02-06T10:20:00+05:30,41,41,41,41,10300,0
2015-02-06T10:25:00+05:30,41,41,41,41,6900,0
2015-02-06T10:30:00+05:30,41,41,41,41,19400,0
2015-02-06T10:35:00+05:30,41,41,41,41,8300,0
2015-02-06T10:40:00+05:30,41,41,41,41,7300,0
2015-02-06T10:45:00+05:30,41,41,41,41,1500,0
2015-02-06T10:50:00+05:30,41,41,41,41,5700,0
2015-02-06T10:55:00+05:30,41,41,41,41,25700,0
2015-02-06T11:00:00+05:30,41,41,41,41,57000,0
2015-02-06T11:05:00+05:30,41,41,41,41,19400,0
2015-02-06T11:10:00+05:30,41,41,40.5,41,50100,0
2015-02-06T11:15:00+05:30,41,41,40.5,40.5,47000,0
2015-02-06T11:20:00+05:30,40.5,40.5,40.5,40.5,75100,0
2015-02-06T11:25:00+05:30,40.5,40.5,40.5,40.5,37500,0
2015-02-06T11:30:00+05:30,40.5,40.5,40.5,40.5,29100,0
2015-02-06T11:35:00+05:30,40.5,40.5,40.5,40.5,36600,0
2015-02-06T11:40:00+05:30,40.5,40.5,40.5,40.5,15900,0
2015-02-06T11:45:00+05:30,40.5,40.5,40.5,40.5,24200,0
2015-02-06T11:50:00+05:30,40.5,40.5,40.5,40.5,26200,0
2015-02-06T11:55:00+05:30,40.5,40.5,40.5,40.5,26300,0
2015-02-06T12:00:00+05:30,40.5,40.5,40.5,40.5,23700,0
2015-02-06T12:05:00+05:30,40.5,40.5,40,40,32600,0
2015-02-06T12:10:00+05:30,40,40.5,40,40,40000,0
2015-02-06T12:15:00+05:30,40,40.5,40,40.5,27300,0
2015-02-06T12:20:00+05:30,40.5,40.5,40,40.5,84000,0
2015-02-06T12:25:00+05:30,40.5,40.5,40.5,40.5,61500,0
2015-02-06T12:30:00+05:30,40.5,40.5,40.5,40.5,48500,0
2015-02-06T12:35:00+05:30,40.5,40.5,40.5,40.5,42700,0
2015-02-06T12:40:00+05:30,40.5,40.5,40.5,40.5,50200,0
2015-02-06T12:45:00+05:30,40.5,40.5,40.5,40.5,31500,0
2015-02-06T12:50:00+05:30,40.5,40.5,40.5,40.5,16500,0
2015-02-06T12:55:00+05:30,40.5,40.5,40.5,40.5,40400,0
2015-02-06T13:00:00+05:30,40.5,40.5,40.5,40.5,33000,0
2015-02-06T13:05:00+05:30,40.5,40.5,40.5,40.5,33200,0
2015-02-06T13:10:00+05:30,40.5,40.5,40.5,40.5,38100,0
2015-02-06T13:15:00+05:30,40.5,40.5,40.5,40.5,29500,0
2015-02-06T13:20:00+05:30,40.5,40.5,40.5,40.5,21500,0
2015-02-06T13:25:00+05:30,40.5,40.5,40.5,40.5,108400,0
2015-02-06T13:30:00+05:30,40.5,40.5,40.5,40.5,26800,0
2015-02-06T13:35:00+05:30,40.5,40.5,40,40,53300,0
2015-02-06T13:40:00+05:30,40,40,40,40,58200,0
2015-02-06T13:45:00+05:30,40,40.5,40,40,62200,0
2015-02-06T13:50:00+05:30,40,40,40,40,45400,0
2015-02-06T13:55:00+05:30,40,40,40,40,24100,0
2015-02-06T14:00:00+05:30,40,40,40,40,98200,0
2015-02-06T14:05:00+05:30,40,40,40,40,74500,0
2015-02-06T14:10:00+05:30,40,40,40,40,92200,0
2015-02-06T14:15:00+05:30,40,40,40,40,44500,0
2015-02-06T14:20:00+05:30,40,40,40,40,65300,0
2015-02-06T14:25:00+05:30,40,40,40,40,55500,0
2015-02-06T14:30:00+05:30,40,40,40,40,33000,0
2015-02-06T14:35:00+05:30,40,40,40,40,58400,0
2015-02-06T14:40:00+05:30,40,40,40,40,29700,0
2015-02-06T14:45:00+05:30,40,40,40,40,14900,0
2015-02-06T14:50:00+05:30,40,40,40,40,91400,0
2015-02-06T14:55:00+05:30,40,40,40,40,9200,0
2015-02-06T15:00:00+05:30,40,40,40,40,24300,0
2015-02-06T15:05:00+05:30,40,40,40,40,38300,0
2015-02-06T15:10:00+05:30,40,40,40,40,40900,0
2015-02-06T15:15:00+05:30,40,40.5,40,40.5,369000,0
2015-02-06T15:20:00+05:30,40.5,40.5,40.5,40.5,289900,0
2015-02-06T15:25:00+05:30,40,40.5,40,40,82900,0
2015-02-09T09:15:00+05:30,40.5,40.5,40,40,13500,0
2015-02-09T09:20:00+05:30,40,40,40,40,28100,0
2015-02-09T09:25:00+05:30,40,40,40,40,9700,0
2015-02-09T09:30:00+05:30,40,40,40,40,18900,0
2015-02-09T09:35:00+05:30,40,40,40,40,2000,0
2015-02-09T09:40:00+05:30,40,40,40,40,4100,0
2015-02-09T09:45:00+05:30,40,40,40,40,14100,0
2015-02-09T09:50:00+05:30,40,40,40,40,10900,0
2015-02-09T09:55:00+05:30,40,40,40,40,1800,0
2015-02-09T10:00:00+05:30,40,40,40,40,10000,0
2015-02-09T10:05:00+05:30,40,40,40,40,2500,0
2015-02-09T10:10:00+05:30,40,40,40,40,2600,0
2015-02-09T10:15:00+05:30,40,40,40,40,16700,0
2015-02-09T10:20:00+05:30,40,40,40,40,12900,0
2015-02-09T10:25:00+05:30,40,40,40,40,4300,0
