datetime,open,high,low,close,volume,oi,ma20,signal_type,exit_reason,raw_pnl,win
2022-01-03 09:15:00+05:30,128.6,128.85,127.6,128.4,232377,0,128.76,,,,
2022-01-03 09:20:00+05:30,128.45,129.2,128.3,129.0,123826,0,128.765,,,,
2022-01-03 09:25:00+05:30,129.0,129.3,128.8,129.1,131396,0,128.7725,,,,
2022-01-03 09:30:00+05:30,129.15,129.2,128.8,128.95,62063,0,128.76500000000001,,,,
2022-01-03 09:35:00+05:30,128.95,129.25,128.85,129.2,52423,0,128.775,,,,
2022-01-03 09:40:00+05:30,129.2,129.25,128.9,129.05,46773,0,128.7825,,,,
2022-01-03 09:45:00+05:30,129.05,129.3,129.05,129.3,68046,0,128.8075,,,,
2022-01-03 09:50:00+05:30,129.2,129.35,128.95,129.0,74923,0,128.82250000000002,,,,
2022-01-03 09:55:00+05:30,129.0,129.15,128.95,128.95,27441,0,128.82999999999998,,,,
2022-01-03 10:00:00+05:30,129.0,129.15,128.9,129.1,70268,0,128.8475,,,,
2022-01-03 10:05:00+05:30,129.1,129.4,129.05,129.3,105996,0,128.875,,,,
2022-01-03 10:10:00+05:30,129.4,129.65,129.3,129.55,69645,0,128.915,,,,
2022-01-03 10:15:00+05:30,129.55,129.6,129.35,129.45,75652,0,128.9575,,,,
2022-01-03 10:20:00+05:30,129.45,129.45,129.3,129.35,41272,0,128.99,,,,
2022-01-03 10:25:00+05:30,129.35,129.45,129.25,129.25,31072,0,129.0275,,,,
2022-01-03 10:30:00+05:30,129.3,129.35,129.2,129.3,33180,0,129.06,,,,
2022-01-03 10:35:00+05:30,129.3,129.35,129.25,129.25,33599,0,129.085,,,,
2022-01-03 10:40:00+05:30,129.3,129.3,129.2,129.3,19064,0,129.1125,,,,
2022-01-03 10:45:00+05:30,129.3,129.35,129.25,129.3,27501,0,129.1275,,,,
2022-01-03 10:50:00+05:30,129.3,129.45,129.25,129.3,37353,0,129.17,,,,
2022-01-03 10:55:00+05:30,129.35,129.4,129.2,129.25,35405,0,129.2125,,,,
2022-01-03 11:00:00+05:30,129.3,129.3,129.1,129.1,32913,0,129.21750000000003,,,,
2022-01-03 11:05:00+05:30,129.1,129.2,129.0,129.0,29579,0,129.2125,,,,
2022-01-03 11:10:00+05:30,129.05,129.1,129.0,129.1,16934,0,129.22,,,,
2022-01-03 11:15:00+05:30,129.05,129.1,128.8,128.8,55453,0,129.2,,,,
2022-01-03 11:20:00+05:30,128.85,128.9,128.75,128.8,24902,0,129.1875,,,,
2022-01-03 11:25:00+05:30,128.8,128.8,128.6,128.75,47188,0,129.16,,,,
2022-01-03 11:30:00+05:30,128.75,128.9,128.7,128.85,32324,0,129.15249999999997,,,,
2022-01-03 11:35:00+05:30,128.85,129.1,128.75,129.0,23729,0,129.155,,,,
2022-01-03 11:40:00+05:30,128.95,129.1,128.9,129.0,11738,0,129.15,,,,
2022-01-03 11:45:00+05:30,129.0,129.15,128.95,128.95,30246,0,129.1325,,,,
2022-01-03 11:50:00+05:30,128.95,129.1,128.9,128.9,29787,0,129.1,,,,
2022-01-03 11:55:00+05:30,129.0,129.0,128.85,128.95,14618,0,129.075,,,,
2022-01-03 12:00:00+05:30,129.0,129.0,128.75,128.8,18490,0,129.04749999999999,,,,
2022-01-03 12:05:00+05:30,128.8,128.85,128.75,128.8,16129,0,129.025,,,,
2022-01-03 12:10:00+05:30,128.8,128.95,128.75,128.85,15289,0,129.0025,,,,
2022-01-03 12:15:00+05:30,128.85,129.0,128.85,128.9,8418,0,128.98499999999999,,,,
