datetime,open,high,low,close,volume,oi,ma20,signal_type,exit_reason,raw_pnl,win,atr14
2022-01-03 09:15:00,150.5,151.25,150.2,151.2,380305,0,149.875,            ,            ,                      ,  ,0.3071428571428519
2022-01-03 09:20:00,151.15,151.6,151.0,151.2,244834,0,149.92749999999998,            ,            ,                      ,  ,0.33214285714285147
2022-01-03 09:25:00,151.25,151.6,151.05,151.55,121426,0,149.9975,            ,            ,                      ,  ,0.35714285714284905
2022-01-03 09:30:00,151.55,151.55,151.05,151.15,63076,0,150.05,            ,            ,                      ,  ,0.3821428571428506
2022-01-03 09:35:00,151.25,151.35,151.0,151.15,47733,0,150.1125,            ,            ,                      ,  ,0.40357142857142286
2022-01-03 09:40:00,151.1,151.2,151.0,151.0,44688,0,150.16750000000002,            ,            ,                      ,  ,0.3999999999999935
2022-01-03 09:45:00,151.0,151.35,151.0,151.3,56499,0,150.2375,            ,            ,                      ,  ,0.41071428571427965
2022-01-03 09:50:00,151.25,151.45,151.2,151.4,96307,0,150.325,            ,            ,                      ,  ,0.414285714285709
2022-01-03 09:55:00,151.4,151.4,151.15,151.3,75533,0,150.41000000000005,            ,            ,                      ,  ,0.42142857142856577
2022-01-03 10:00:00,151.3,151.45,151.15,151.3,67323,0,150.4925,            ,            ,                      ,  ,0.42857142857142044
2022-01-03 10:05:00,151.3,151.35,151.15,151.35,18441,0,150.575,            ,            ,                      ,  ,0.4214285714285637
2022-01-03 10:10:00,151.3,151.55,151.25,151.45,39683,0,150.66500000000002,            ,            ,                      ,  ,0.4285714285714225
2022-01-03 10:15:00,151.45,151.45,151.3,151.3,20217,0,150.7475,            ,            ,                      ,  ,0.4249999999999931
2022-01-03 10:20:00,151.3,151.35,151.2,151.3,25551,0,150.825,            ,            ,                      ,  ,0.3999999999999935
2022-01-03 10:25:00,151.3,151.4,151.15,151.35,22376,0,150.9075,            ,            ,                      ,  ,0.3142857142857086
2022-01-03 10:30:00,151.35,151.4,151.2,151.25,32780,0,150.98999999999998,            ,            ,                      ,  ,0.28571428571428165
2022-01-03 10:35:00,151.05,151.2,150.75,150.9,184689,0,151.0425,            ,            ,                      ,  ,0.2821428571428543
2022-01-03 10:40:00,150.95,150.95,150.85,150.95,20729,0,151.09750000000005,            ,            ,                      ,  ,0.25357142857142534
2022-01-03 10:45:00,150.9,150.95,150.8,150.95,23622,0,151.1575,            ,            ,                      ,  ,0.23928571428570983
2022-01-03 10:50:00,150.95,151.0,150.85,150.95,114625,0,151.21499999999995,            ,            ,                      ,  ,0.23571428571428246
2022-01-03 10:55:00,150.85,151.0,150.85,150.95,63373,0,151.2025,            ,            ,                      ,  ,0.221428571428569
2022-01-03 11:00:00,150.95,150.95,150.55,150.7,160452,0,151.1775,            ,            ,                      ,  ,0.23214285714285307
2022-01-03 11:05:00,150.7,150.95,150.25,150.45,310349,0,151.1225,            ,            ,                      ,  ,0.2642857142857094
2022-01-03 11:10:00,150.4,150.65,150.3,150.6,50456,0,151.095,            ,            ,                      ,  ,0.2678571428571388
2022-01-03 11:15:00,150.6,150.85,150.45,150.7,45970,0,151.0725,            ,            ,                      ,  ,0.2821428571428543
2022-01-03 11:20:00,150.8,151.1,150.7,150.95,89359,0,151.07,            ,            ,                      ,  ,0.28928571428571104
2022-01-03 11:25:00,150.95,151.0,150.7,150.8,36574,0,151.04500000000002,            ,            ,                      ,  ,0.2999999999999992
2022-01-03 11:30:00,150.8,150.9,150.7,150.85,21544,0,151.01749999999998,            ,            ,                      ,  ,0.30357142857142855
2022-01-03 11:35:00,150.85,150.95,150.7,150.85,28574,0,150.99499999999998,            ,            ,                      ,  ,0.30357142857142855
2022-01-03 11:40:00,150.85,151.0,150.85,150.95,19043,0,150.97750000000002,            ,            ,                      ,  ,0.2999999999999992
2022-01-03 11:45:00,151.0,151.0,150.5,150.55,125234,0,150.93749999999997,            ,            ,                      ,  ,0.2999999999999992
