signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome,trend_touch,voltrend_touch,regime_touch,trend_bounce,voltrend_bounce,regime_bounce,trend_entry,voltrend_entry,regime_entry,trend_delta
S001,POWERGRID,2022-01-03 12:00:00+05:30,-0.1194,-0.0878,0,,1.05,0.0,-0.8413,0,0.1143,0.0,3,1,1,0,3,4,2022-01-03 12:15:00+05:30,2022-01-03 12:20:00+05:30,2022-01-03 14:05:00+05:30,150.9,150.15,152.25,-0.75,L,-6.5,-6.5,Y,-9.5,4.5,R,-4.5,3.5,R,2.0
S002,POWERGRID,2022-01-03 12:35:00+05:30,-0.0182,-0.0746,3,3.0,0.3379,75.0,-0.2857,0,0.3956,1.0,1,0,1,0,1,2,2022-01-03 12:40:00+05:30,2022-01-03 12:45:00+05:30,2022-01-03 13:55:00+05:30,150.8,150.28214285714287,151.73214285714286,-0.5179,L,8.5,-5.5,B,9.5,-10.5,B,8.5,-9.5,B,0.0
S003,POWERGRID,2022-01-03 12:50:00+05:30,0.0033,-0.0182,0,,0.8292,85.71,-1.0,0,1.6325,,0,1,0,1,0,1,2022-01-03 12:50:00+05:30,2022-01-03 12:55:00+05:30,2022-01-03 13:55:00+05:30,150.9,150.3196428571429,151.94464285714284,-0.5804,L,6.5,-2.5,B,6.5,-2.5,B,4.5,-0.5,B,-2.0
S004,POWERGRID,2022-01-03 13:10:00+05:30,0.0083,0.0116,2,2.0,0.4317,40.0,0.0811,0,0.7191,,0,0,1,1,0,1,2022-01-03 13:10:00+05:30,2022-01-03 13:15:00+05:30,2022-01-03 14:05:00+05:30,150.75,150.21428571428572,151.7142857142857,-0.5357,L,1.5,-2.5,B,1.5,-2.5,B,-2.5,5.5,R,-4.0
S005,POWERGRID,2022-01-03 13:20:00+05:30,-0.0182,0.0149,0,,0.779,0.0,-0.1304,0,0.5564,1.0,2,0,1,0,2,3,2022-01-03 13:30:00+05:30,2022-01-03 13:35:00+05:30,2022-01-03 13:55:00+05:30,150.85,150.29642857142858,151.84642857142853,-0.5536,L,-3.5,6.5,R,-5.5,4.5,R,-5.5,3.5,R,-2.0
S006,POWERGRID,2022-01-04 12:45:00+05:30,-0.23,-0.3291,0,,0.5678,100.0,-1.0,0,0.6978,1.0,3,0,0,0,3,4,2022-01-04 13:00:00+05:30,2022-01-04 13:05:00+05:30,2022-01-04 15:00:00+05:30,153.25,152.44642857142858,154.69642857142858,1.4464,W,-0.5,-6.5,Y,-2.5,-2.5,Y,-1.5,-1.5,Y,-1.0
S007,POWERGRID,2022-01-04 13:10:00+05:30,-0.0539,-0.1534,0,,0.0,75.0,,1,0.6046,0.0,2,0,1,0,2,3,2022-01-04 13:20:00+05:30,2022-01-04 13:25:00+05:30,2022-01-04 14:55:00+05:30,153.45,152.86964285714282,154.49464285714288,1.0446,W,-0.5,-0.5,Y,3.5,-2.5,B,4.5,-0.5,B,5.0
S008,POWERGRID,2022-01-04 13:40:00+05:30,0.0734,0.0571,3,3.0,0.3076,0.0,1.069,0,0.9768,,0,0,0,1,0,1,2022-01-04 13:40:00+05:30,2022-01-04 13:45:00+05:30,2022-01-04 14:55:00+05:30,153.4,152.81071428571428,154.46071428571432,1.0607,W,9.5,1.5,G,9.5,1.5,G,8.5,-2.5,B,-1.0
S009,POWERGRID,2022-01-05 09:15:00+05:30,,,0,,2.0,21.88,-0.2778,0,3.5517,,0,0,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 13:50:00+05:30,154.2,153.075,156.225,-1.125,L,4.5,9.5,G,4.5,9.5,G,4.5,9.5,G,0.0
S010,POWERGRID,2022-01-05 09:25:00+05:30,,,0,,0.2368,54.55,0.7391,0,0.745,,0,1,0,1,0,1,2022-01-05 09:25:00+05:30,2022-01-05 09:30:00+05:30,2022-01-05 12:00:00+05:30,154.45,153.2357142857143,156.63571428571427,-1.2143,L,5.5,8.5,G,5.5,8.5,G,1.5,7.5,G,-4.0
