metric, direction, threshold, pct_cutoff, is_n , is_pf , is_we_pct, oos_n, oos_pf, oos_we_pct
p08   , <=       , 0.5107   ,       25.0, 23002, 0.9623,     43.4 , 23487, 0.9811,      42.21
p07   , <=       , -0.8727  ,       20.0, 18275, 0.9547,     43.46, 16959, 0.9443,      41.71
p04   , >=       , 3.0      ,       55.0, 16029, 0.9713,     44.34, 15170, 0.9325,      42.72
p05   , <=       , 0.0991   ,       15.0, 13803, 0.9973,     43.93, 13389, 0.9322,      41.09
p01   , >=       , -0.0015  ,       45.0, 45802, 0.9888,     44.08, 44316, 0.9301,      41.71
p02   , >=       , -0.0061  ,       45.0, 44273, 0.9974,     44.34, 42707, 0.9283,      41.82
p06   , <=       , 15.38    ,       20.0, 18521, 0.9624,     43.16, 16675, 0.9199,      41.09
p11   , =0       , 0.0      ,           , 74311, 0.9474,     43.4 , 72687, 0.9192,      41.27
p10   , <=       , 0.0      ,        5.0, 46405, 0.9451,     42.9 , 45107, 0.9189,      40.91
p09   , >=       , 1.0      ,       45.0, 25370, 0.9266,     43.39, 25313, 0.9175,      41.55
p03   , >=       , 3.0      ,       80.0, 20530, 0.9667,     44.08, 20091, 0.9132,      42.5
p11   , =1       , 1.0      ,           , 17683, 0.8951,     41.98, 17836, 0.9021,      40.84
