stock,date,ER,run_length_mean,VR
ADANIPORTS,2022-01-03,0.0526,10.71,1.1162
ADANIPORTS,2022-01-04,0.0514,13.64,0.7795
ADANIPORTS,2022-01-05,0.1262,13.24,1.1592
ADANIPORTS,2022-01-06,0.0218,14.29,1.1863
ADANIPORTS,2022-01-07,0.0063,12.93,1.1353
ADANIPORTS,2022-01-10,0.0119,12.86,1.0678
ADANIPORTS,2022-01-11,0.0746,14.19,1.2117
ADANIPORTS,2022-01-12,0.0564,13.95,1.1345
ADANIPORTS,2022-01-13,0.0638,10.89,1.0978
ADANIPORTS,2022-01-14,0.0725,11.03,1.1431
ADANIPORTS,2022-01-17,0.0573,10.31,1.0544
ADANIPORTS,2022-01-18,0.033,10.47,1.0437
ADANIPORTS,2022-01-19,0.0096,10.37,1.0797
ADANIPORTS,2022-01-20,0.0027,9.91,1.063
ADANIPORTS,2022-01-21,0.0087,10.14,1.1338
ADANIPORTS,2022-01-24,0.0268,10.08,1.0755
ADANIPORTS,2022-01-25,0.0171,9.31,1.0446
ADANIPORTS,2022-01-27,0.0178,9.31,1.0263
ADANIPORTS,2022-01-28,0.0152,9.76,1.0588
ADANIPORTS,2022-01-31,0.0104,9.49,1.0393
ADANIPORTS,2022-02-01,0.0016,9.26,1.044
ADANIPORTS,2022-02-02,0.0007,9.32,1.0461
ADANIPORTS,2022-02-03,0.0062,8.88,1.0114
ADANIPORTS,2022-02-04,0.0112,8.62,1.0166
ADANIPORTS,2022-02-07,0.0142,8.57,1.007
ADANIPORTS,2022-02-08,0.0121,8.29,1.0022
ADANIPORTS,2022-02-09,0.0224,8.02,0.9826
ADANIPORTS,2022-02-10,0.0212,7.58,0.9719
ADANIPORTS,2022-02-11,0.0279,8.2,0.9706
ADANIPORTS,2022-02-14,0.0536,8.24,0.9902
ADANIPORTS,2022-02-15,0.0378,8.57,0.9942
ADANIPORTS,2022-02-16,0.0114,8.11,0.958
ADANIPORTS,2022-02-17,0.0078,8.15,0.9514
ADANIPORTS,2022-02-18,0.0004,7.85,0.9239
ADANIPORTS,2022-02-21,0.0065,7.89,0.9095
ADANIPORTS,2022-02-22,0.0103,8.06,0.9506
ADANIPORTS,2022-02-23,0.0051,8.47,0.9791
ADANIPORTS,2022-02-24,0.0354,8.62,0.9586
ADANIPORTS,2022-02-25,0.0131,8.11,1.033
ADANIPORTS,2022-02-28,0.0085,8.2,1.0124
ADANIPORTS,2022-03-02,0.013,8.33,1.0184
ADANIPORTS,2022-03-03,0.0177,7.89,0.9942
ADANIPORTS,2022-03-04,0.021,8.33,0.9882
ADANIPORTS,2022-03-07,0.0259,8.52,1.0129
ADANIPORTS,2022-03-08,0.017,8.77,1.0181
ADANIPORTS,2022-03-09,0.0057,9.25,1.0245
ADANIPORTS,2022-03-10,0.0014,9.14,1.0312
ADANIPORTS,2022-03-11,0.0001,9.2,1.0303
ADANIPORTS,2022-03-14,0.0139,8.72,0.9953
ADANIPORTS,2022-03-16,0.0111,8.28,1.0118
ADANIPORTS,2022-03-17,0.0059,7.81,1.0145
ADANIPORTS,2022-03-21,0.0041,8.1,1.0461
ADANIPORTS,2022-03-22,0.0019,8.24,1.0621
ADANIPORTS,2022-03-23,0.0061,8.28,1.0446
ADANIPORTS,2022-03-24,0.0216,8.19,1.0453
ADANIPORTS,2022-03-25,0.0181,8.02,1.0392
ADANIPORTS,2022-03-28,0.0328,7.73,1.0452
ADANIPORTS,2022-03-29,0.0494,7.65,0.9966
ADANIPORTS,2022-03-30,0.0475,7.77,1.0118
ADANIPORTS,2022-03-31,0.0384,7.5,1.0115
ADANIPORTS,2022-04-01,0.0368,7.38,1.0313
ADANIPORTS,2022-04-04,0.0718,7.73,1.0326
ADANIPORTS,2022-04-05,0.0916,7.53,0.9749
ADANIPORTS,2022-04-06,0.0944,7.21,0.9553
ADANIPORTS,2022-04-07,0.0691,7.28,0.9736
ADANIPORTS,2022-04-08,0.066,7.01,0.9621
ADANIPORTS,2022-04-11,0.0728,7.08,0.953
ADANIPORTS,2022-04-12,0.0645,7.18,0.9736
ADANIPORTS,2022-04-13,0.0624,7.25,0.9762
ADANIPORTS,2022-04-18,0.0611,7.54,0.9854
ADANIPORTS,2022-04-19,0.0391,7.54,1.016
ADANIPORTS,2022-04-20,0.0514,7.58,0.9496
ADANIPORTS,2022-04-21,0.054,7.43,0.9487
ADANIPORTS,2022-04-22,0.0697,7.77,0.9888
ADANIPORTS,2022-04-25,0.0594,7.77,0.9664
ADANIPORTS,2022-04-26,0.0786,7.94,0.9704
ADANIPORTS,2022-04-27,0.0677,8.43,0.9614
ADANIPORTS,2022-04-28,0.0572,8.02,0.918
ADANIPORTS,2022-04-29,0.0398,8.11,0.9733
ADANIPORTS,2022-05-02,0.0343,8.2,0.9498
ADANIPORTS,2022-05-04,0.0078,8.33,0.9867
ADANIPORTS,2022-05-05,0.01,8.02,0.9909
ADANIPORTS,2022-05-06,0.015,7.81,0.9501
ADANIPORTS,2022-05-09,0.0288,7.98,0.9769
ADANIPORTS,2022-05-10,0.0265,7.5,0.9612
ADANIPORTS,2022-05-11,0.0328,7.73,0.9431
ADANIPORTS,2022-05-12,0.0552,7.73,0.946
ADANIPORTS,2022-05-13,0.0585,7.65,0.9688
ADANIPORTS,2022-05-16,0.0443,7.73,0.9882
ADANIPORTS,2022-05-17,0.04,7.85,0.9969
ADANIPORTS,2022-05-18,0.0272,8.02,0.9909
ADANIPORTS,2022-05-19,0.0406,7.85,0.9707
ADANIPORTS,2022-05-20,0.0292,8.06,0.9808
ADANIPORTS,2022-05-23,0.0474,7.85,0.968
ADANIPORTS,2022-05-24,0.0465,7.61,0.9695
ADANIPORTS,2022-05-25,0.0856,7.5,0.9767
ADANIPORTS,2022-05-26,0.0767,7.46,1.0253
ADANIPORTS,2022-05-27,0.0763,7.54,1.0184
ADANIPORTS,2022-05-30,0.047,7.5,1.0208
ADANIPORTS,2022-05-31,0.0501,7.43,1.0408
ADANIPORTS,2022-06-01,0.0352,7.46,1.0384
ADANIPORTS,2022-06-02,0.0207,7.73,1.0452
