date,ER,run_length_mean,VR
2022-01-03,0.1154,6.82,0.4542
2022-01-04,0.1232,9.93,1.9551
2022-01-05,0.0384,8.62,1.6436
2022-01-06,0.0024,9.65,1.6384
2022-01-07,0.0179,10.11,1.4648
2022-01-10,0.0255,9.16,1.3164
2022-01-11,0.0228,9.19,1.2507
2022-01-12,0.0158,8.81,1.2088
2022-01-13,0.0139,9.63,1.2926
2022-01-14,0.0102,9.36,1.2168
2022-01-17,0.0022,9.36,1.1641
2022-01-18,0.0083,9.17,1.1184
2022-01-19,0.0055,8.47,1.0678
2022-01-20,0.0384,8.82,1.1656
2022-01-21,0.0368,8.71,1.1618
2022-01-24,0.0281,8.38,1.0777
2022-01-25,0.0406,8.67,1.0287
2022-01-27,0.0269,8.48,1.0031
2022-01-28,0.0134,8.53,0.996
2022-01-31,0.0253,8.28,1.0056
2022-02-01,0.0167,7.97,0.9584
2022-02-02,0.0097,7.69,0.9125
2022-02-03,0.0107,7.73,0.9117
2022-02-04,0.0035,7.57,0.9074
2022-02-07,0.0205,7.45,0.8854
2022-02-08,0.0141,7.42,0.8967
2022-02-09,0.0118,7.38,0.9034
2022-02-10,0.0093,7.31,0.8938
2022-02-11,0.001,7.06,0.9059
2022-02-14,0.0194,7.37,0.9456
2022-02-15,0.0085,7.49,0.956
2022-02-16,0.0206,7.33,0.9864
2022-02-17,0.0303,7.33,0.9451
2022-02-18,0.0522,7.44,0.9144
2022-02-21,0.0503,7.44,0.9264
2022-02-22,0.0442,7.71,1.0128
2022-02-23,0.0487,7.55,1.0294
2022-02-24,0.0676,7.67,1.0252
2022-02-25,0.0436,7.7,1.0488
2022-02-28,0.019,8.35,1.0576
2022-03-02,0.0178,8.74,1.0796
2022-03-03,0.0059,8.9,1.0708
2022-03-04,0.0024,9.01,1.0934
2022-03-07,0.0012,9.23,1.1684
2022-03-08,0.0005,9.4,1.3156
2022-03-09,0.0063,9.65,1.3256
2022-03-10,0.0111,9.58,1.265
2022-03-11,0.0029,10.17,1.2518
2022-03-14,0.0174,10.46,1.24
2022-03-15,0.0183,10.11,1.2221
2022-03-17,0.0265,9.71,1.2086
2022-03-21,0.0175,10.32,1.2168
2022-03-22,0.026,11.0,1.2331
2022-03-23,0.03,10.24,1.234
2022-03-24,0.0348,9.84,1.1764
2022-03-25,0.0253,10.24,1.1759
2022-03-28,0.0407,10.45,1.1738
2022-03-29,0.0427,10.53,1.1655
2022-03-30,0.0424,9.97,1.1775
2022-03-31,0.0167,9.46,1.1979
2022-04-01,0.0273,9.71,1.2327
2022-04-04,0.0264,9.65,1.2048
2022-04-05,0.0492,9.77,1.1639
2022-04-06,0.0484,9.41,0.9212
2022-04-07,0.0505,9.59,0.8389
2022-04-08,0.0567,9.41,0.8686
2022-04-11,0.0593,9.71,0.8889
2022-04-12,0.0565,9.59,0.8911
2022-04-13,0.042,9.12,0.8971
2022-04-18,0.0566,9.23,0.9081
2022-04-19,0.0469,9.29,0.9093
2022-04-20,0.0549,8.7,0.9094
2022-04-21,0.0481,8.75,0.9123
2022-04-22,0.0448,8.61,0.8968
2022-04-25,0.0365,8.92,0.9092
2022-04-26,0.0559,8.47,0.9298
2022-04-27,0.043,8.37,0.9426
2022-04-28,0.0597,8.52,0.9553
2022-04-29,0.0359,8.98,0.9195
2022-05-02,0.0261,9.2,0.8612
