signal_id,date,pass,outcome,pnl,ER,run_length_mean,VR
S001,2022-01-03,False,L,-0.75,0.1154,6.82,0.4542
S002,2022-01-03,False,L,-0.5179,0.1154,6.82,0.4542
S003,2022-01-03,False,L,-0.5804,0.1154,6.82,0.4542
S004,2022-01-03,False,L,-0.5357,0.1154,6.82,0.4542
S005,2022-01-03,False,L,-0.5536,0.1154,6.82,0.4542
S006,2022-01-04,False,W,1.4464,0.1232,9.93,1.9551
S007,2022-01-04,False,W,1.0446,0.1232,9.93,1.9551
S008,2022-01-04,False,W,1.0607,0.1232,9.93,1.9551
S009,2022-01-05,False,L,-1.125,0.0384,8.62,1.6436
S010,2022-01-05,True,L,-1.2143,0.0384,8.62,1.6436
S011,2022-01-05,False,L,-1.2589,0.0384,8.62,1.6436
S012,2022-01-05,False,L,-1.125,0.0384,8.62,1.6436
S013,2022-01-05,False,L,-0.6161,0.0384,8.62,1.6436
S014,2022-01-05,False,L,-0.5268,0.0384,8.62,1.6436
S015,2022-01-05,False,L,-0.6518,0.0384,8.62,1.6436
S016,2022-01-05,False,L,-0.6429,0.0384,8.62,1.6436
S017,2022-01-05,False,L,-0.6607,0.0384,8.62,1.6436
S018,2022-01-06,False,EOD+,0.3,0.0024,9.65,1.6384
S019,2022-01-07,False,L,-0.6339,0.0179,10.11,1.4648
S020,2022-01-10,False,L,-1.1964,0.0255,9.16,1.3164
S021,2022-01-10,False,L,-0.9643,0.0255,9.16,1.3164
S022,2022-01-10,False,L,-1.0268,0.0255,9.16,1.3164
S023,2022-01-10,False,EOD-,-0.1,0.0255,9.16,1.3164
S024,2022-01-11,True,L,-0.6071,0.0228,9.19,1.2507
S025,2022-01-11,False,L,-1.0714,0.0228,9.19,1.2507
S026,2022-01-11,False,L,-0.4196,0.0228,9.19,1.2507
S027,2022-01-11,False,EOD-,-0.15,0.0228,9.19,1.2507
S028,2022-01-11,False,L,-0.4821,0.0228,9.19,1.2507
S029,2022-01-12,True,EOD-,-0.2,0.0158,8.81,1.2088
S030,2022-01-12,False,L,-0.6071,0.0158,8.81,1.2088
S031,2022-01-12,False,L,-0.5893,0.0158,8.81,1.2088
