signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ADANIPORTS,2023-01-02 11:55:00+05:30,0.0835,0.075,16,7.0,0.4851,20.0,0.098,0,0.5222,,0,0,1,1,0,1,2023-01-02 11:55:00+05:30,2023-01-02 12:00:00+05:30,2023-01-02 14:00:00+05:30,823.5,820.2142857142857,829.4142857142857,-3.2857,L
S002,ADANIPORTS,2023-01-02 12:05:00+05:30,0.1014,0.0756,0,,0.3129,25.0,0.3873,0,0.2868,,0,0,0,1,0,1,2023-01-02 12:05:00+05:30,2023-01-02 12:10:00+05:30,2023-01-02 14:00:00+05:30,824.0,820.5446428571429,830.2196428571428,-3.4554,L
S003,ADANIPORTS,2023-01-02 14:15:00+05:30,-0.1247,-0.0884,0,,2.9786,54.55,-0.8187,0,1.3883,0.0,3,0,0,0,3,4,2023-01-02 14:30:00+05:30,2023-01-02 14:35:00+05:30,2023-01-02 15:00:00+05:30,821.95,818.9410714285715,827.3660714285714,0.65,EOD+
S004,ADANIPORTS,2023-01-03 09:15:00+05:30,,,0,,1.0028,26.97,-0.2271,0,1.2821,0.0,3,0,0,0,3,4,2023-01-03 09:30:00+05:30,2023-01-03 09:35:00+05:30,2023-01-03 12:15:00+05:30,824.1,818.9392857142858,833.3892857142857,-5.1607,L
S005,ADANIPORTS,2023-01-03 10:15:00+05:30,0.0483,0.1075,8,5.0,0.0051,70.0,34.0,0,0.4342,,0,0,0,1,0,1,2023-01-03 10:15:00+05:30,2023-01-03 10:20:00+05:30,2023-01-03 12:15:00+05:30,823.35,818.4303571428571,832.2053571428571,-4.9196,L
S006,ADANIPORTS,2023-01-03 10:25:00+05:30,0.0273,0.0841,0,,0.3864,4.76,-0.1538,0,0.3663,0.0,2,0,0,0,2,3,2023-01-03 10:35:00+05:30,2023-01-03 10:40:00+05:30,2023-01-03 12:10:00+05:30,823.6,819.3946428571429,831.1696428571429,-4.2054,L
S007,ADANIPORTS,2023-01-03 10:45:00+05:30,0.0279,0.0076,0,,0.3339,20.0,0.4973,0,0.4078,,0,0,1,1,0,1,2023-01-03 10:45:00+05:30,2023-01-03 10:50:00+05:30,2023-01-03 12:10:00+05:30,823.5,820.0,829.8,-3.5,L
S008,ADANIPORTS,2023-01-03 11:05:00+05:30,0.0698,0.0376,2,2.0,0.3684,14.29,0.1111,0,1.0985,,0,0,0,1,0,1,2023-01-03 11:05:00+05:30,2023-01-03 11:10:00+05:30,2023-01-03 12:05:00+05:30,823.85,820.7964285714286,829.3464285714285,-3.0536,L
S009,ADANIPORTS,2023-01-03 12:55:00+05:30,-0.1291,-0.1347,0,,1.8258,50.0,-1.0,0,0.7465,1.0,3,0,0,0,3,4,2023-01-03 13:10:00+05:30,2023-01-03 13:15:00+05:30,2023-01-03 15:00:00+05:30,821.0,817.3303571428572,827.6053571428571,1.7,EOD+
S010,ADANIPORTS,2023-01-03 13:25:00+05:30,-0.0847,-0.1395,2,2.0,0.0657,4.76,8.7143,0,0.428,,0,0,1,1,0,1,2023-01-03 13:25:00+05:30,2023-01-03 13:30:00+05:30,2023-01-03 15:00:00+05:30,821.25,817.9196428571428,827.244642857143,1.45,EOD+
S011,ADANIPORTS,2023-01-03 14:10:00+05:30,0.0776,0.0235,8,8.0,0.9943,69.05,-0.8206,0,1.0745,0.0,2,0,0,0,2,3,2023-01-03 14:20:00+05:30,2023-01-03 14:25:00+05:30,2023-01-03 15:00:00+05:30,821.6,818.7964285714286,826.6464285714287,1.1,EOD+
S012,ADANIPORTS,2023-01-04 10:10:00+05:30,-0.2239,-0.2071,0,,0.9673,4.17,-0.9181,0,0.5912,1.0,3,1,1,0,3,4,2023-01-04 10:25:00+05:30,2023-01-04 10:30:00+05:30,2023-01-04 12:00:00+05:30,817.6,811.2875,828.9625000000001,-6.3125,L
S013,ADANIPORTS,2023-01-04 11:00:00+05:30,-0.0456,-0.0523,6,5.0,0.0441,81.08,-1.0,0,0.6104,1.0,3,0,1,0,3,4,2023-01-04 11:15:00+05:30,2023-01-04 11:20:00+05:30,2023-01-04 11:50:00+05:30,817.5,812.8214285714286,825.9214285714286,-4.6786,L
S014,ADANIPORTS,2023-01-04 12:30:00+05:30,-0.2104,-0.1862,0,,2.0399,70.91,-0.7754,0,0.6633,0.0,3,0,0,0,3,4,2023-01-04 12:45:00+05:30,2023-01-04 12:50:00+05:30,2023-01-04 14:45:00+05:30,813.55,809.1839285714285,821.4089285714286,-4.3661,L
S015,ADANIPORTS,2023-01-04 12:55:00+05:30,-0.1162,-0.1582,0,,0.8463,23.33,-0.4709,0,0.6368,0.0,1,1,1,0,1,2,2023-01-04 13:00:00+05:30,2023-01-04 13:05:00+05:30,2023-01-04 14:45:00+05:30,813.65,809.4625,821.1875000000001,-4.1875,L
S016,ADANIPORTS,2023-01-04 14:10:00+05:30,0.0731,0.0866,13,7.0,0.3924,57.69,0.005,0,0.564,,0,1,1,1,0,1,2023-01-04 14:10:00+05:30,2023-01-04 14:15:00+05:30,2023-01-04 14:20:00+05:30,814.5,811.3303571428572,820.2053571428571,-3.1696,L
S017,ADANIPORTS,2023-01-05 09:15:00+05:30,,,0,,3.8888,27.36,-0.1188,0,1.2934,0.0,3,1,0,0,3,4,2023-01-05 09:30:00+05:30,2023-01-05 09:35:00+05:30,2023-01-05 15:00:00+05:30,814.0,805.8660714285714,828.6410714285714,4.6,EOD+
S018,ADANIPORTS,2023-01-05 09:40:00+05:30,-0.111,,1,1.0,0.3325,62.67,-0.3858,0,0.9468,1.0,1,0,0,0,1,2,2023-01-05 09:45:00+05:30,2023-01-05 09:50:00+05:30,2023-01-05 15:00:00+05:30,810.8,801.0053571428571,828.430357142857,7.8,EOD+
S019,ADANIPORTS,2023-01-05 09:55:00+05:30,-0.0345,-0.111,0,,0.1058,44.83,0.6471,0,0.4421,,0,0,0,1,0,1,2023-01-05 09:55:00+05:30,2023-01-05 10:00:00+05:30,2023-01-05 15:00:00+05:30,810.5,800.4553571428571,828.5803571428571,8.1,EOD+
