signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ASHOKLEY,2023-01-02 13:00:00+05:30,0.1156,0.2172,25,6.0,0.2714,0.0,0.0526,0,0.5059,,0,1,0,0,1,0,1,2023-01-02 13:00:00+05:30,2023-01-02 13:05:00+05:30,2023-01-02 15:00:00+05:30,71.4,70.9625,72.1875,0.1,EOD+
S002,ASHOKLEY,2023-01-02 13:10:00+05:30,0.105,0.1436,0,,0.213,0.0,1.8571,0,0.5812,,0,0,0,0,1,0,1,2023-01-02 13:10:00+05:30,2023-01-02 13:15:00+05:30,2023-01-02 15:00:00+05:30,71.5,71.08928571428572,72.2392857142857,0.0,EOD-
S003,ASHOKLEY,2023-01-02 13:20:00+05:30,0.1015,0.1015,0,,0.0683,50.0,4.0,0,0.4129,,0,0,0,0,1,0,1,2023-01-02 13:20:00+05:30,2023-01-02 13:25:00+05:30,2023-01-02 14:20:00+05:30,71.5,71.13392857142858,72.15892857142856,-0.3661,L
S004,ASHOKLEY,2023-01-02 13:35:00+05:30,0.1119,0.1015,1,1.0,0.12,50.0,2.3333,0,0.3612,,0,0,0,1,1,0,1,2023-01-02 13:35:00+05:30,2023-01-02 13:40:00+05:30,2023-01-02 13:55:00+05:30,71.6,71.28750000000001,72.16249999999998,-0.3125,L
S005,ASHOKLEY,2023-01-02 13:55:00+05:30,0.028,0.1014,0,,2.45,75.0,-0.8413,0,0.937,0.0,3,0,0,1,0,3,4,2023-01-02 14:10:00+05:30,2023-01-02 14:15:00+05:30,2023-01-02 14:20:00+05:30,71.5,71.17857142857143,72.07857142857142,-0.3214,L
S006,ASHOKLEY,2023-01-03 11:10:00+05:30,-0.2354,-0.3158,0,,2.94,100.0,-1.0,0,2.105,1.0,3,0,0,0,0,3,4,2023-01-03 11:25:00+05:30,2023-01-03 11:30:00+05:30,2023-01-03 15:00:00+05:30,71.1,70.83214285714286,71.58214285714284,0.15,EOD+
S007,ASHOKLEY,2023-01-03 11:35:00+05:30,-0.1619,-0.2286,0,,0.0,0.0,,1,0.6384,,0,1,0,0,1,0,1,2023-01-03 11:35:00+05:30,2023-01-03 11:40:00+05:30,2023-01-03 15:00:00+05:30,71.1,70.75178571428572,71.72678571428571,0.15,EOD+
S008,ASHOKLEY,2023-01-03 12:20:00+05:30,0.0106,-0.0246,8,8.0,0.2625,100.0,-1.0,0,0.5249,0.0,1,0,0,0,0,1,2,2023-01-03 12:25:00+05:30,2023-01-03 12:30:00+05:30,2023-01-03 15:00:00+05:30,71.1,70.74285714285712,71.74285714285716,0.15,EOD+
S009,ASHOKLEY,2023-01-03 12:45:00+05:30,-0.0035,0.007,0,,0.7212,0.0,-0.4118,0,0.8723,1.0,3,0,0,0,0,3,4,2023-01-03 13:00:00+05:30,2023-01-03 13:05:00+05:30,2023-01-03 15:00:00+05:30,71.15,70.85535714285714,71.68035714285716,0.1,EOD+
S010,ASHOKLEY,2023-01-03 13:10:00+05:30,0.0633,0.0281,0,,0.6588,50.0,-0.375,0,0.8068,,0,0,0,0,1,0,1,2023-01-03 13:10:00+05:30,2023-01-03 13:15:00+05:30,2023-01-03 15:00:00+05:30,71.1,70.79642857142856,71.64642857142856,0.15,EOD+
