signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ASHOKLEY,2024-01-01 11:40:00+05:30,0.2259,0.397,29,5.0,0.5,57.14,-0.3846,0,0.1994,0.0,2,0,1,0,2,3,2024-01-01 11:50:00+05:30,2024-01-01 11:55:00+05:30,2024-01-01 15:00:00+05:30,90.8,89.9875,92.2625,0.2,EOD+
S002,ASHOKLEY,2024-01-01 12:00:00+05:30,0.1046,0.168,0,,0.9133,40.0,-0.1241,0,0.7568,1.0,1,0,0,0,1,2,2024-01-01 12:05:00+05:30,2024-01-01 12:10:00+05:30,2024-01-01 15:00:00+05:30,91.1,90.1625,92.7875,-0.1,EOD-
S003,ASHOKLEY,2024-01-01 12:25:00+05:30,0.11,0.1045,3,1.0,0.1266,57.14,1.3529,0,0.2687,,0,0,1,1,0,1,2024-01-01 12:25:00+05:30,2024-01-01 12:30:00+05:30,2024-01-01 15:00:00+05:30,91.0,90.16071428571428,92.51071428571429,0.0,EOD-
S004,ASHOKLEY,2024-01-01 12:35:00+05:30,0.1456,0.1045,0,,0.0,50.0,,1,0.5275,,0,0,1,1,0,1,2024-01-01 12:35:00+05:30,2024-01-01 12:40:00+05:30,2024-01-01 15:00:00+05:30,91.25,90.44642857142856,92.69642857142856,-0.25,EOD-
S005,ASHOKLEY,2024-01-01 12:50:00+05:30,0.1345,0.1456,2,2.0,0.531,66.67,-1.0,0,0.2845,0.0,1,0,0,0,1,2,2024-01-01 12:55:00+05:30,2024-01-01 13:00:00+05:30,2024-01-01 15:00:00+05:30,91.15,90.3732142857143,92.5482142857143,-0.15,EOD-
S006,ASHOKLEY,2024-01-01 13:05:00+05:30,0.0027,0.1345,0,,0.175,0.0,0.9048,0,1.566,,0,0,0,1,0,1,2024-01-01 13:05:00+05:30,2024-01-01 13:10:00+05:30,2024-01-01 15:00:00+05:30,91.1,90.35,92.45,-0.1,EOD-
S007,ASHOKLEY,2024-01-01 13:20:00+05:30,0.022,0.0027,2,2.0,0.1132,0.0,0.8182,0,0.3506,,0,1,1,1,0,1,2024-01-01 13:20:00+05:30,2024-01-01 13:25:00+05:30,2024-01-01 15:00:00+05:30,91.2,90.59285714285714,92.29285714285716,-0.2,EOD-
S008,ASHOKLEY,2024-01-01 13:30:00+05:30,0.0659,-0.0082,0,,0.053,0.0,-1.0,0,0.7046,1.0,1,0,1,0,1,2,2024-01-01 13:35:00+05:30,2024-01-01 13:40:00+05:30,2024-01-01 15:00:00+05:30,91.3,90.71071428571427,92.3607142857143,-0.3,EOD-
S009,ASHOKLEY,2024-01-01 13:55:00+05:30,0.0658,0.1042,3,3.0,0.8328,16.67,0.1594,0,2.0108,,0,0,1,1,0,1,2024-01-01 13:55:00+05:30,2024-01-01 14:00:00+05:30,2024-01-01 15:00:00+05:30,91.15,90.63214285714284,92.08214285714288,-0.15,EOD-
S010,ASHOKLEY,2024-01-01 14:10:00+05:30,0.0521,0.0658,1,1.0,0.0362,33.33,5.6667,0,0.357,,0,1,1,1,0,1,2024-01-01 14:10:00+05:30,2024-01-01 14:15:00+05:30,2024-01-01 15:00:00+05:30,91.3,90.78214285714284,92.23214285714286,-0.3,EOD-
S011,ASHOKLEY,2024-01-02 09:15:00+05:30,,,0,,1.3851,26.09,0.7204,0,3.1591,,0,0,0,1,0,1,2024-01-02 09:15:00+05:30,2024-01-02 09:20:00+05:30,2024-01-02 09:45:00+05:30,91.6,90.76071428571429,93.11071428571428,-0.8393,L
S012,ASHOKLEY,2024-01-02 11:35:00+05:30,-0.6605,-1.0718,0,,0.8935,62.5,-0.7452,0,0.7718,1.0,3,1,1,0,3,4,2024-01-02 11:50:00+05:30,2024-01-02 11:55:00+05:30,2024-01-02 15:00:00+05:30,88.1,87.00178571428572,90.0767857142857,-0.25,EOD-
S013,ASHOKLEY,2024-01-02 12:05:00+05:30,-0.1335,-0.2811,1,1.0,0.1083,66.67,2.0769,0,0.6421,,0,0,1,1,0,1,2024-01-02 12:05:00+05:30,2024-01-02 12:10:00+05:30,2024-01-02 15:00:00+05:30,88.0,87.25,89.35,-0.15,EOD-
S014,ASHOKLEY,2024-01-02 12:15:00+05:30,0.0057,-0.1761,0,,1.1345,75.0,-0.7163,0,1.7886,,0,0,0,1,0,1,2024-01-02 12:15:00+05:30,2024-01-02 12:20:00+05:30,2024-01-02 15:00:00+05:30,88.1,87.32321428571429,89.49821428571428,-0.25,EOD-
S015,ASHOKLEY,2024-01-02 12:25:00+05:30,0.0085,-0.0596,0,,0.1465,40.0,0.1111,0,0.5748,,0,0,1,1,0,1,2024-01-02 12:25:00+05:30,2024-01-02 12:30:00+05:30,2024-01-02 15:00:00+05:30,88.15,87.38214285714287,89.53214285714286,-0.3,EOD-
S016,ASHOKLEY,2024-01-02 12:35:00+05:30,0.0142,0.0341,0,,0.319,0.0,0.6667,0,0.9067,,0,0,1,1,0,1,2024-01-02 12:35:00+05:30,2024-01-02 12:40:00+05:30,2024-01-02 15:00:00+05:30,88.1,87.39464285714286,89.36964285714285,-0.25,EOD-
S017,ASHOKLEY,2024-01-02 13:55:00+05:30,-0.1081,-0.1052,0,,1.1812,0.0,-0.7531,0,1.4969,1.0,3,0,0,0,3,4,2024-01-02 14:10:00+05:30,2024-01-02 14:15:00+05:30,2024-01-02 15:00:00+05:30,87.7,87.27142857142857,88.47142857142858,0.15,EOD+
S018,ASHOKLEY,2024-01-02 14:20:00+05:30,-0.114,-0.111,0,,0.854,0.0,-0.3443,0,0.8878,1.0,1,0,1,0,1,2,2024-01-02 14:25:00+05:30,2024-01-02 14:30:00+05:30,2024-01-02 15:00:00+05:30,87.8,87.35357142857143,88.60357142857143,0.05,EOD+
S019,ASHOKLEY,2024-01-03 10:40:00+05:30,-0.2323,-0.2435,0,,1.0051,0.0,-0.6429,0,0.5633,1.0,3,0,0,0,3,4,2024-01-03 10:55:00+05:30,2024-01-03 11:00:00+05:30,2024-01-03 15:00:00+05:30,87.1,86.40357142857142,88.35357142857141,0.55,EOD+
S020,ASHOKLEY,2024-01-03 11:20:00+05:30,-0.0316,-0.1522,4,3.0,0.0175,0.0,19.0,0,0.6271,,0,1,1,1,0,1,2024-01-03 11:20:00+05:30,2024-01-03 11:25:00+05:30,2024-01-03 15:00:00+05:30,87.2,86.84285714285714,87.84285714285714,0.45,EOD+
S021,ASHOKLEY,2024-01-03 11:30:00+05:30,0.023,-0.0776,0,,0.1256,0.0,1.8571,0,0.6496,,0,0,1,1,0,1,2024-01-03 11:30:00+05:30,2024-01-03 11:35:00+05:30,2024-01-03 15:00:00+05:30,87.1,86.7517857142857,87.72678571428571,0.55,EOD+
S022,ASHOKLEY,2024-01-03 12:20:00+05:30,0.0946,0.1347,9,7.0,0.4667,71.43,-1.0,0,1.0749,0.0,2,0,0,0,2,3,2024-01-03 12:30:00+05:30,2024-01-03 12:35:00+05:30,2024-01-03 15:00:00+05:30,87.2,86.69107142857142,88.11607142857144,0.45,EOD+
S023,ASHOKLEY,2024-01-03 12:40:00+05:30,0.0573,0.0802,0,,0.178,0.0,0.3333,0,0.5554,,0,0,1,1,0,1,2024-01-03 12:40:00+05:30,2024-01-03 12:45:00+05:30,2024-01-03 15:00:00+05:30,87.3,86.77321428571427,88.2482142857143,0.35,EOD+
S024,ASHOKLEY,2024-01-03 12:50:00+05:30,0.0487,0.0659,0,,0.4875,0.0,0.0256,0,0.4991,,0,0,0,1,0,1,2024-01-03 12:50:00+05:30,2024-01-03 12:55:00+05:30,2024-01-03 15:00:00+05:30,87.3,86.8,88.2,0.35,EOD+
S025,ASHOKLEY,2024-01-03 13:00:00+05:30,0.0487,0.0544,0,,0.398,66.67,-1.0,0,1.1654,,0,0,0,1,0,1,2024-01-03 13:00:00+05:30,2024-01-03 13:05:00+05:30,2024-01-03 15:00:00+05:30,87.45,86.99464285714286,88.26964285714286,0.2,EOD+
S026,ASHOKLEY,2024-01-03 13:25:00+05:30,0.0458,0.0715,4,4.0,0.3977,66.67,-1.0,0,0.8882,1.0,1,0,1,0,1,2,2024-01-03 13:30:00+05:30,2024-01-03 13:35:00+05:30,2024-01-03 15:00:00+05:30,87.4,87.00714285714287,88.10714285714285,0.25,EOD+
S027,ASHOKLEY,2024-01-03 13:55:00+05:30,0.02,-0.0172,4,3.0,0.5158,0.0,0.4286,0,1.099,,0,0,0,1,0,1,2024-01-03 13:55:00+05:30,2024-01-03 14:00:00+05:30,2024-01-03 15:00:00+05:30,87.4,87.0607142857143,88.01071428571429,0.25,EOD+
S028,ASHOKLEY,2024-01-04 09:35:00+05:30,,,4,4.0,0.0568,40.0,2.3333,0,1.5064,,0,0,0,1,0,1,2024-01-04 09:35:00+05:30,2024-01-04 09:40:00+05:30,2024-01-04 15:00:00+05:30,87.5,86.83928571428571,88.68928571428573,0.0,EOD-
S029,ASHOKLEY,2024-01-04 09:45:00+05:30,0.0429,,0,,0.31,33.33,0.2903,0,0.9252,,0,0,0,1,0,1,2024-01-04 09:45:00+05:30,2024-01-04 09:50:00+05:30,2024-01-04 15:00:00+05:30,87.55,86.925,88.67500000000001,-0.05,EOD-
S030,ASHOKLEY,2024-01-04 10:00:00+05:30,0.0486,0.0429,2,2.0,0.2639,66.67,-0.1304,0,0.6908,,0,0,1,1,0,1,2024-01-04 10:00:00+05:30,2024-01-04 10:05:00+05:30,2024-01-04 15:00:00+05:30,87.6,87.05535714285713,88.58035714285714,-0.1,EOD-
S031,ASHOKLEY,2024-01-04 10:50:00+05:30,0.1226,0.0913,9,9.0,0.0,50.0,,1,0.3242,,0,0,1,1,0,1,2024-01-04 10:50:00+05:30,2024-01-04 10:55:00+05:30,2024-01-04 15:00:00+05:30,87.7,87.35178571428573,88.3267857142857,-0.2,EOD-
