signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,AXISBANK,2022-01-03 12:00:00+05:30,0.164,0.226,33,4.0,0.2036,11.54,1.6531,0,0.6254,,0,0,0,1,0,1,2022-01-03 12:00:00+05:30,2022-01-03 12:05:00+05:30,2022-01-03 13:20:00+05:30,691.15,688.1410714285714,696.5660714285714,5.4161,W
S002,AXISBANK,2022-01-03 13:35:00+05:30,0.135,0.1247,18,3.0,0.6505,77.08,-0.2715,0,0.8884,0.0,1,1,0,0,1,2,2022-01-03 13:40:00+05:30,2022-01-03 13:45:00+05:30,2022-01-03 15:00:00+05:30,695.0,692.0982142857142,700.2232142857143,0.7,EOD+
S003,AXISBANK,2022-01-03 14:05:00+05:30,0.064,0.1238,0,,1.1449,80.77,-0.8374,0,0.6155,0.0,3,0,1,0,3,4,2022-01-03 14:20:00+05:30,2022-01-03 14:25:00+05:30,2022-01-03 15:00:00+05:30,695.85,692.4928571428571,701.8928571428572,-0.15,EOD-
S004,AXISBANK,2022-01-03 14:30:00+05:30,0.0557,0.0331,1,1.0,0.0502,8.57,18.3333,0,0.9015,,0,1,1,1,0,1,2022-01-03 14:30:00+05:30,2022-01-03 14:35:00+05:30,2022-01-03 15:00:00+05:30,696.9,693.1678571428571,703.6178571428571,-1.2,EOD-
S005,AXISBANK,2022-01-04 10:45:00+05:30,0.416,0.4474,18,5.0,0.6237,83.67,-0.8817,0,0.463,0.0,3,1,0,0,3,4,2022-01-04 11:00:00+05:30,2022-01-04 11:05:00+05:30,2022-01-04 13:45:00+05:30,707.1,702.0196428571428,716.2446428571429,-5.0804,L
S006,AXISBANK,2022-01-04 11:45:00+05:30,-0.0325,-0.0166,0,,0.4354,12.5,-0.1698,0,0.9315,1.0,3,0,1,0,3,4,2022-01-04 12:00:00+05:30,2022-01-04 12:05:00+05:30,2022-01-04 12:30:00+05:30,707.15,703.3464285714285,713.9964285714286,-3.8036,L
S007,AXISBANK,2022-01-04 12:10:00+05:30,-0.0651,-0.0265,1,1.0,0.4082,35.29,0.3575,0,0.6794,,0,0,1,1,0,1,2022-01-04 12:10:00+05:30,2022-01-04 12:15:00+05:30,2022-01-04 12:30:00+05:30,706.5,703.1160714285714,712.5910714285715,-3.3839,L
S008,AXISBANK,2022-01-04 12:40:00+05:30,-0.0691,-0.0829,0,,1.1286,48.0,-0.8418,0,2.0239,1.0,3,0,0,0,3,4,2022-01-04 12:55:00+05:30,2022-01-04 13:00:00+05:30,2022-01-04 13:45:00+05:30,705.9,702.4,712.1999999999999,-3.5,L
S009,AXISBANK,2022-01-04 13:05:00+05:30,-0.0043,-0.0581,0,,0.1624,7.69,0.8,0,0.622,,0,0,1,1,0,1,2022-01-04 13:05:00+05:30,2022-01-04 13:10:00+05:30,2022-01-04 13:45:00+05:30,705.9,702.0517857142856,712.8267857142857,-3.8482,L
S010,AXISBANK,2022-01-04 13:45:00+05:30,-0.0933,-0.0521,0,,1.9686,16.22,-0.5777,0,1.0527,0.0,3,0,0,0,3,4,2022-01-04 14:00:00+05:30,2022-01-04 14:05:00+05:30,2022-01-04 15:00:00+05:30,706.2,702.4410714285715,712.9660714285715,2.3,EOD+
