signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,AXISBANK,2024-01-01 11:15:00+05:30,0.1056,0.0797,16,1.0,0.7868,6.25,0.6667,0,3.4816,,0,0,0,0,1,0,1,2024-01-01 11:15:00+05:30,2024-01-01 11:20:00+05:30,2024-01-01 15:00:00+05:30,1101.9,1098.3732142857143,1108.2482142857143,-3.5268,L
S002,AXISBANK,2024-01-01 11:45:00+05:30,0.0622,0.076,5,1.0,0.1,10.0,4.1852,0,0.3272,,0,0,0,1,1,0,1,2024-01-01 11:45:00+05:30,2024-01-01 11:50:00+05:30,2024-01-01 13:05:00+05:30,1102.8,1099.425,1108.8749999999998,-3.375,L
S003,AXISBANK,2024-01-01 11:55:00+05:30,0.0467,0.0719,1,1.0,0.147,35.48,-0.4737,0,0.9619,1.0,2,0,0,0,0,2,3,2024-01-01 12:05:00+05:30,2024-01-01 12:10:00+05:30,2024-01-01 13:05:00+05:30,1102.8,1099.567857142857,1108.617857142857,-3.2321,L
S004,AXISBANK,2024-01-01 13:45:00+05:30,-0.0625,-0.0713,0,,1.2514,33.33,-0.4521,0,1.8328,1.0,3,0,1,0,0,3,4,2024-01-01 14:00:00+05:30,2024-01-01 14:05:00+05:30,2024-01-01 15:00:00+05:30,1100.9,1098.7125,1104.8374999999999,-2.1875,L
S005,AXISBANK,2024-01-01 14:10:00+05:30,-0.027,-0.052,0,,0.8461,54.05,-0.3872,0,1.2137,,0,0,0,1,1,0,1,2024-01-01 14:10:00+05:30,2024-01-01 14:15:00+05:30,2024-01-01 15:00:00+05:30,1100.35,1097.6982142857144,1105.123214285714,-2.6518,L
S006,AXISBANK,2024-01-01 14:30:00+05:30,0.0141,-0.0143,3,1.0,0.0477,20.0,7.8,0,1.4702,,0,0,1,0,1,0,1,2024-01-01 14:30:00+05:30,2024-01-01 14:35:00+05:30,2024-01-01 15:00:00+05:30,1100.65,1097.3732142857145,1106.5482142857143,-3.2768,L
S007,AXISBANK,2024-01-02 11:20:00+05:30,-0.1431,-0.0833,0,,1.2257,53.57,-0.921,0,0.4081,0.0,3,0,0,1,0,3,4,2024-01-02 11:35:00+05:30,2024-01-02 11:40:00+05:30,2024-01-02 12:55:00+05:30,1092.7,1086.244642857143,1104.3196428571428,-6.4554,L
S008,AXISBANK,2024-01-02 13:15:00+05:30,-0.143,-0.1059,0,,2.828,57.69,-1.0,0,1.2755,1.0,3,0,0,0,0,3,4,2024-01-02 13:30:00+05:30,2024-01-02 13:35:00+05:30,2024-01-02 14:45:00+05:30,1087.5,1084.1517857142858,1093.5267857142858,6.0268,W
S009,AXISBANK,2024-01-02 13:40:00+05:30,-0.0672,-0.1279,0,,0.2541,50.0,-0.7546,0,0.5662,,0,0,0,0,1,0,1,2024-01-02 13:40:00+05:30,2024-01-02 13:45:00+05:30,2024-01-02 14:45:00+05:30,1086.65,1082.6410714285714,1093.8660714285718,7.2161,W
S010,AXISBANK,2024-01-02 13:50:00+05:30,-0.044,-0.095,0,,0.0104,56.67,7.5714,0,0.69,,0,1,0,1,1,0,1,2024-01-02 13:50:00+05:30,2024-01-02 13:55:00+05:30,2024-01-02 15:00:00+05:30,1087.35,1083.1267857142855,1094.9517857142857,6.65,EOD+
S011,AXISBANK,2024-01-03 09:40:00+05:30,-0.1163,,0,,2.6148,72.13,-0.9419,0,0.3038,0.0,3,1,0,1,0,3,4,2024-01-03 09:55:00+05:30,2024-01-03 10:00:00+05:30,2024-01-03 15:00:00+05:30,1090.6,1082.367857142857,1105.4178571428572,6.25,EOD+
S012,AXISBANK,2024-01-03 12:25:00+05:30,-0.0651,-0.008,0,,2.0581,58.57,-0.7623,0,0.5439,0.0,3,0,0,0,0,3,4,2024-01-03 12:40:00+05:30,2024-01-03 12:45:00+05:30,2024-01-03 15:00:00+05:30,1095.2,1089.8339285714287,1104.8589285714286,1.65,EOD+
S013,AXISBANK,2024-01-03 12:50:00+05:30,-0.0187,-0.0637,0,,0.1378,72.09,-0.2,0,0.6932,,0,1,0,1,1,0,1,2024-01-03 12:50:00+05:30,2024-01-03 12:55:00+05:30,2024-01-03 15:00:00+05:30,1096.3,1090.630357142857,1106.505357142857,0.55,EOD+
S014,AXISBANK,2024-01-03 13:40:00+05:30,0.0593,0.0331,9,7.0,0.032,88.71,1.963,0,1.2376,,0,1,0,0,1,0,1,2024-01-03 13:40:00+05:30,2024-01-03 13:45:00+05:30,2024-01-03 15:00:00+05:30,1096.0,1090.732142857143,1105.482142857143,0.85,EOD+
S015,AXISBANK,2024-01-03 13:50:00+05:30,0.0417,0.0516,0,,0.4683,94.59,-0.8964,0,1.1185,1.0,3,0,1,0,0,3,4,2024-01-03 14:05:00+05:30,2024-01-03 14:10:00+05:30,2024-01-03 15:00:00+05:30,1097.6,1092.4482142857141,1106.8732142857143,-0.75,EOD-
S016,AXISBANK,2024-01-04 10:55:00+05:30,0.3403,0.39,20,8.0,0.1706,11.63,5.1856,0,0.485,,0,1,1,0,1,0,1,2024-01-04 10:55:00+05:30,2024-01-04 11:00:00+05:30,2024-01-04 11:15:00+05:30,1115.05,1111.4964285714284,1121.4464285714287,6.3964,W
S017,AXISBANK,2024-01-04 13:35:00+05:30,0.0843,0.133,31,7.0,0.4301,17.86,0.098,0,1.0068,,0,0,0,1,1,0,1,2024-01-04 13:35:00+05:30,2024-01-04 13:40:00+05:30,2024-01-04 13:55:00+05:30,1127.15,1123.444642857143,1133.819642857143,-3.7054,L
S018,AXISBANK,2024-01-05 09:15:00+05:30,,,0,,1.3394,21.83,0.5326,0,1.9333,,0,1,1,0,1,0,1,2024-01-05 09:15:00+05:30,2024-01-05 09:20:00+05:30,2024-01-05 14:55:00+05:30,1125.8,1119.7107142857142,1136.7607142857141,10.9607,W
