signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,BAJFINANCE,2023-01-02 11:25:00+05:30,0.0728,-0.0153,6,3.0,0.3027,0.0,0.25,0,0.986,,0,0,0,1,1,0,1,2023-01-02 11:25:00+05:30,2023-01-02 11:30:00+05:30,2023-01-02 15:00:00+05:30,653.0,649.6964285714286,658.9464285714286,2.0,EOD+
S002,BAJFINANCE,2023-01-02 11:35:00+05:30,0.0115,0.0651,0,,0.32,0.0,0.25,0,0.5371,,0,1,0,1,1,0,1,2023-01-02 11:35:00+05:30,2023-01-02 11:40:00+05:30,2023-01-02 15:00:00+05:30,653.0,649.875,658.625,2.0,EOD+
S003,BAJFINANCE,2023-01-02 11:45:00+05:30,0.0344,0.0268,0,,0.1061,50.0,3.0,0,0.7345,,0,0,0,1,1,0,1,2023-01-02 11:45:00+05:30,2023-01-02 11:50:00+05:30,2023-01-02 15:00:00+05:30,654.0,651.0535714285714,659.3035714285714,1.0,EOD+
S004,BAJFINANCE,2023-01-03 09:15:00+05:30,,,0,,1.4622,50.0,-0.3617,0,2.3916,0.0,1,1,0,0,0,1,2,2023-01-03 09:20:00+05:30,2023-01-03 09:25:00+05:30,2023-01-03 09:40:00+05:30,657.0,652.9821428571429,664.2321428571429,7.2321,W
S005,BAJFINANCE,2023-01-03 10:45:00+05:30,0.2795,0.3102,15,7.0,0.2113,66.67,0.25,0,0.6153,,0,1,0,0,1,0,1,2023-01-03 10:45:00+05:30,2023-01-03 10:50:00+05:30,2023-01-03 12:20:00+05:30,662.0,657.2678571428571,670.5178571428571,-4.7321,L
S006,BAJFINANCE,2023-01-03 10:55:00+05:30,0.2792,0.3023,0,,0.4021,0.0,0.4815,0,0.1885,,0,0,0,1,1,0,1,2023-01-03 10:55:00+05:30,2023-01-03 11:00:00+05:30,2023-01-03 12:20:00+05:30,663.0,658.8035714285714,670.5535714285714,-4.1964,L
S007,BAJFINANCE,2023-01-03 12:45:00+05:30,-0.1513,-0.1588,0,,1.4824,50.0,-1.0,0,1.1735,1.0,3,0,1,0,0,3,4,2023-01-03 13:00:00+05:30,2023-01-03 13:05:00+05:30,2023-01-03 15:00:00+05:30,661.0,657.9642857142857,666.4642857142857,1.0,EOD+
S008,BAJFINANCE,2023-01-03 13:10:00+05:30,-0.1212,-0.1438,0,,0.7179,66.67,-1.0,0,1.304,1.0,1,1,0,0,0,1,2,2023-01-03 13:15:00+05:30,2023-01-03 13:20:00+05:30,2023-01-03 15:00:00+05:30,660.5,657.0178571428571,666.7678571428571,1.5,EOD+
S009,BAJFINANCE,2023-01-03 14:10:00+05:30,0.0909,0.0417,11,8.0,0.3606,66.67,-1.0,0,1.1659,1.0,1,1,0,1,0,1,2,2023-01-03 14:15:00+05:30,2023-01-03 14:20:00+05:30,2023-01-03 15:00:00+05:30,661.0,658.0535714285714,666.3035714285714,1.0,EOD+
S010,BAJFINANCE,2023-01-04 10:05:00+05:30,-0.1706,-0.1363,0,,1.0733,66.67,-1.0,0,1.9938,1.0,3,0,0,0,0,3,4,2023-01-04 10:20:00+05:30,2023-01-04 10:25:00+05:30,2023-01-04 12:10:00+05:30,661.0,655.6428571428571,670.6428571428571,-5.3571,L
