signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,BAJFINANCE,2024-01-01 11:35:00+05:30,-0.0994,-0.0479,0,,1.725,50.0,-1.0,0,0.6676,0.0,3,0,0,0,3,4,2024-01-01 11:50:00+05:30,2024-01-01 11:55:00+05:30,2024-01-01 15:00:00+05:30,730.0,727.5,734.5,3.0,EOD+
S002,BAJFINANCE,2024-01-01 12:00:00+05:30,-0.0514,-0.1062,1,1.0,0.35,50.0,0.4286,0,0.3009,,0,0,1,1,0,1,2024-01-01 12:00:00+05:30,2024-01-01 12:05:00+05:30,2024-01-01 15:00:00+05:30,730.0,727.5,734.5,3.0,EOD+
S003,BAJFINANCE,2024-01-01 12:20:00+05:30,0.0069,-0.0343,3,2.0,0.5895,0.0,1.5,0,0.5967,,0,0,0,1,0,1,2024-01-01 12:20:00+05:30,2024-01-01 12:25:00+05:30,2024-01-01 14:35:00+05:30,730.0,728.3035714285714,733.0535714285714,3.0536,W
S004,BAJFINANCE,2024-01-01 13:20:00+05:30,0.0787,0.0685,11,6.0,0.5895,50.0,0.25,0,1.3024,,0,1,0,1,0,1,2024-01-01 13:20:00+05:30,2024-01-01 13:25:00+05:30,2024-01-01 15:00:00+05:30,731.0,729.3035714285714,734.0535714285714,2.0,EOD+
S005,BAJFINANCE,2024-01-01 13:30:00+05:30,0.0616,0.0787,0,,0.7368,100.0,-1.0,0,0.5088,0.0,1,0,1,0,1,2,2024-01-01 13:35:00+05:30,2024-01-01 13:40:00+05:30,2024-01-01 15:00:00+05:30,731.0,729.3035714285714,734.0535714285714,2.0,EOD+
S006,BAJFINANCE,2024-01-01 13:45:00+05:30,0.0376,0.0616,0,,0.2333,0.0,1.8571,0,0.7694,,0,0,1,1,0,1,2024-01-01 13:45:00+05:30,2024-01-01 13:50:00+05:30,2024-01-01 15:00:00+05:30,731.0,729.125,734.375,2.0,EOD+
S007,BAJFINANCE,2024-01-01 14:10:00+05:30,0.0479,0.0376,4,2.0,0.0412,50.0,19.0,0,1.239,,0,0,0,1,0,1,2024-01-01 14:10:00+05:30,2024-01-01 14:15:00+05:30,2024-01-01 15:00:00+05:30,731.5,729.9821428571429,734.2321428571429,1.5,EOD+
S008,BAJFINANCE,2024-01-01 14:20:00+05:30,0.0513,0.0445,0,,0.21,0.0,2.3333,0,0.8939,,0,1,0,1,0,1,2024-01-01 14:20:00+05:30,2024-01-01 14:25:00+05:30,2024-01-01 15:00:00+05:30,732.0,730.2142857142857,735.2142857142857,1.0,EOD+
S009,BAJFINANCE,2024-01-02 09:20:00+05:30,,,0,,1.7306,0.0,-0.5506,0,1.3925,0.0,3,0,1,0,3,4,2024-01-02 09:35:00+05:30,2024-01-02 09:40:00+05:30,2024-01-02 09:55:00+05:30,733.0,729.7857142857143,738.7857142857143,-3.2143,L
S010,BAJFINANCE,2024-01-02 09:55:00+05:30,0.0444,-0.0034,3,1.0,1.1707,80.0,-0.5876,0,1.5547,0.0,1,0,0,0,1,2,2024-01-02 10:00:00+05:30,2024-01-02 10:05:00+05:30,2024-01-02 15:00:00+05:30,733.0,727.8214285714286,742.3214285714286,9.0,EOD+
