signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,BANDHANBNK,2022-01-03 12:55:00+05:30,-0.2021,-0.1989,0,,1.3618,16.67,-0.5639,0,0.3901,0.0,3,0,0,1,0,3,4,2022-01-03 13:10:00+05:30,2022-01-03 13:15:00+05:30,2022-01-03 15:00:00+05:30,250.9,249.42678571428573,253.55178571428573,-0.7,EOD-
S002,BANDHANBNK,2022-01-03 14:05:00+05:30,-0.026,-0.0529,0,,1.05,40.0,-0.8068,0,0.7213,1.0,3,1,0,1,0,3,4,2022-01-03 14:20:00+05:30,2022-01-03 14:25:00+05:30,2022-01-03 15:00:00+05:30,250.5,249.26785714285714,252.71785714285713,-0.3,EOD-
S003,BANDHANBNK,2022-01-04 11:35:00+05:30,-0.1936,-0.3338,0,,1.9295,0.0,-0.6617,0,0.7872,1.0,3,0,0,0,0,3,4,2022-01-04 11:50:00+05:30,2022-01-04 11:55:00+05:30,2022-01-04 13:35:00+05:30,254.35,252.62678571428572,257.4517857142857,-1.7232,L
S004,BANDHANBNK,2022-01-04 12:00:00+05:30,-0.0876,-0.1672,0,,0.6405,0.0,-0.0164,0,0.2741,0.0,1,0,0,1,0,1,2,2022-01-04 12:05:00+05:30,2022-01-04 12:10:00+05:30,2022-01-04 13:35:00+05:30,254.35,252.56428571428572,257.5642857142857,-1.7857,L
S005,BANDHANBNK,2022-01-04 13:45:00+05:30,-0.1263,-0.0661,0,,1.838,37.5,-0.5546,0,0.7243,0.0,3,0,0,1,0,3,4,2022-01-04 14:00:00+05:30,2022-01-04 14:05:00+05:30,2022-01-04 15:00:00+05:30,253.5,251.97321428571428,256.2482142857143,0.1,EOD+
S006,BANDHANBNK,2022-01-05 09:45:00+05:30,0.194,,0,,0.2783,8.7,-0.3778,0,0.363,0.0,3,1,0,1,0,3,4,2022-01-05 10:00:00+05:30,2022-01-05 10:05:00+05:30,2022-01-05 15:00:00+05:30,255.35,250.29642857142858,264.44642857142856,5.5,EOD+
S007,BANDHANBNK,2022-01-05 10:15:00+05:30,0.1467,0.1009,1,1.0,0.0,69.23,,1,0.1721,,0,0,0,1,1,0,1,2022-01-05 10:15:00+05:30,2022-01-05 10:20:00+05:30,2022-01-05 15:00:00+05:30,256.0,251.05357142857144,264.9035714285714,4.85,EOD+
S008,BANDHANBNK,2022-01-05 10:50:00+05:30,0.1152,0.1837,0,,1.3158,63.64,-0.7674,0,0.187,1.0,3,0,0,1,0,3,4,2022-01-05 11:05:00+05:30,2022-01-05 11:10:00+05:30,2022-01-05 13:55:00+05:30,255.45,253.8160714285714,258.3910714285714,2.9411,W
S009,BANDHANBNK,2022-01-05 11:15:00+05:30,-0.2241,-0.1242,0,,0.7092,44.44,-0.4839,0,0.2954,,0,1,0,1,1,0,1,2022-01-05 11:15:00+05:30,2022-01-05 11:20:00+05:30,2022-01-05 13:55:00+05:30,255.5,254.13392857142856,257.9589285714286,2.4589,W
S010,BANDHANBNK,2022-01-05 11:35:00+05:30,0.1115,-0.1516,2,2.0,0.2654,9.09,1.4138,0,0.4413,,0,1,0,1,1,0,1,2022-01-05 11:35:00+05:30,2022-01-05 11:40:00+05:30,2022-01-05 13:55:00+05:30,255.95,254.58392857142854,258.4089285714286,2.4589,W
