signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,BANDHANBNK,2024-01-01 11:40:00+05:30,-0.0812,-0.0072,0,,1.7182,16.67,-0.9177,0,0.6812,1.0,3,0,0,0,3,4,2024-01-01 11:55:00+05:30,2024-01-01 12:00:00+05:30,2024-01-01 14:20:00+05:30,243.15,242.26607142857145,244.74107142857144,1.5911,W
S002,BANDHANBNK,2024-01-01 12:30:00+05:30,-0.0803,-0.0463,0,,1.0739,40.0,-0.5556,0,1.5728,1.0,3,0,0,0,3,4,2024-01-01 12:45:00+05:30,2024-01-01 12:50:00+05:30,2024-01-01 14:20:00+05:30,243.05,242.26428571428573,244.4642857142857,1.4143,W
S003,BANDHANBNK,2024-01-01 12:55:00+05:30,-0.0154,-0.0834,0,,0.1333,70.0,1.0,0,3.4913,,0,0,0,1,0,1,2024-01-01 12:55:00+05:30,2024-01-01 13:00:00+05:30,2024-01-01 15:00:00+05:30,243.65,242.7125,245.3375,0.95,EOD+
S004,BANDHANBNK,2024-01-01 13:45:00+05:30,0.0822,0.1182,9,9.0,0.3737,18.18,0.4085,0,1.8401,,0,1,0,1,0,1,2024-01-01 13:45:00+05:30,2024-01-01 13:50:00+05:30,2024-01-01 15:00:00+05:30,243.5,242.3125,245.6375,1.1,EOD+
S005,BANDHANBNK,2024-01-01 14:10:00+05:30,0.1006,0.075,3,2.0,0.1796,11.11,1.7586,0,1.099,,0,0,1,1,0,1,2024-01-01 14:10:00+05:30,2024-01-01 14:15:00+05:30,2024-01-01 15:00:00+05:30,243.8,242.79107142857143,245.61607142857144,0.8,EOD+
S006,BANDHANBNK,2024-01-02 09:15:00+05:30,,,0,,0.84,21.43,1.3913,0,3.9507,,0,0,0,1,0,1,2024-01-02 09:15:00+05:30,2024-01-02 09:20:00+05:30,2024-01-02 10:20:00+05:30,245.2,243.14642857142857,248.89642857142852,-2.0536,L
S007,BANDHANBNK,2024-01-02 09:55:00+05:30,0.1052,0.1717,7,6.0,0.4675,60.0,-0.2432,0,1.1583,0.0,1,0,0,0,1,2,2024-01-02 10:00:00+05:30,2024-01-02 10:05:00+05:30,2024-01-02 10:25:00+05:30,245.0,242.5267857142857,249.45178571428573,-2.4732,L
S008,BANDHANBNK,2024-01-02 10:15:00+05:30,0.048,0.0817,2,2.0,0.0602,36.36,2.3333,0,0.3771,,0,1,1,1,0,1,2024-01-02 10:15:00+05:30,2024-01-02 10:20:00+05:30,2024-01-02 10:25:00+05:30,245.1,242.60892857142855,249.58392857142857,-2.4911,L
S009,BANDHANBNK,2024-01-02 12:00:00+05:30,-0.3446,-0.377,0,,0.6286,87.5,-0.8919,0,0.8129,1.0,3,0,1,0,3,4,2024-01-02 12:15:00+05:30,2024-01-02 12:20:00+05:30,2024-01-02 15:00:00+05:30,241.85,240.01071428571427,245.16071428571428,0.15,EOD+
S010,BANDHANBNK,2024-01-02 13:00:00+05:30,0.0641,0.0476,7,2.0,0.4183,65.22,-1.0,0,0.7686,0.0,1,0,1,0,1,2,2024-01-02 13:05:00+05:30,2024-01-02 13:10:00+05:30,2024-01-02 15:00:00+05:30,242.05,240.5857142857143,244.68571428571428,-0.05,EOD-
S011,BANDHANBNK,2024-01-02 13:20:00+05:30,0.032,0.0589,2,2.0,0.3253,12.5,0.2658,0,0.5173,,0,0,1,1,0,1,2024-01-02 13:20:00+05:30,2024-01-02 13:25:00+05:30,2024-01-02 15:00:00+05:30,241.95,240.43214285714285,244.6821428571428,0.05,EOD+
S012,BANDHANBNK,2024-01-02 13:30:00+05:30,0.0517,0.0393,0,,0.3309,70.0,-0.4872,0,0.8253,,0,1,0,1,0,1,2024-01-02 13:30:00+05:30,2024-01-02 13:35:00+05:30,2024-01-02 15:00:00+05:30,242.35,240.8767857142857,245.0017857142857,-0.35,EOD-
S013,BANDHANBNK,2024-01-02 13:40:00+05:30,0.0568,0.0486,0,,0.2764,33.33,-1.0,0,0.6948,1.0,2,0,0,0,2,3,2024-01-02 13:50:00+05:30,2024-01-02 13:55:00+05:30,2024-01-02 15:00:00+05:30,242.05,240.64821428571432,244.57321428571427,-0.05,EOD-
S014,BANDHANBNK,2024-01-02 14:00:00+05:30,0.0496,0.0568,0,,0.48,0.0,0.0417,0,1.1889,,0,0,0,1,0,1,2024-01-02 14:00:00+05:30,2024-01-02 14:05:00+05:30,2024-01-02 15:00:00+05:30,242.1,240.85,244.35,-0.1,EOD-
