signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,BHARTIARTL,2022-01-03 13:05:00+05:30,0.0873,0.0932,36,10.0,0.0561,23.08,9.5882,0,0.6305,,0,0,0,1,0,1,2022-01-03 13:05:00+05:30,2022-01-03 13:10:00+05:30,2022-01-03 15:00:00+05:30,690.45,688.5571428571429,693.8571428571429,-0.15,EOD-
S002,BHARTIARTL,2022-01-03 13:15:00+05:30,0.0754,0.0884,1,1.0,0.1103,22.22,-1.0,0,0.5866,,0,0,0,1,0,1,2022-01-03 13:15:00+05:30,2022-01-03 13:20:00+05:30,2022-01-03 15:00:00+05:30,690.1,688.2875,693.3625000000001,0.2,EOD+
S003,BHARTIARTL,2022-01-03 13:25:00+05:30,0.0703,0.0775,0,,0.4591,57.14,-1.0,0,1.5996,1.0,2,1,0,0,2,3,2022-01-03 13:35:00+05:30,2022-01-03 13:40:00+05:30,2022-01-03 15:00:00+05:30,690.55,688.8892857142857,693.5392857142856,-0.25,EOD-
S004,BHARTIARTL,2022-01-03 13:45:00+05:30,0.0174,0.0518,0,,0.5206,75.0,-0.4958,0,1.2554,,0,0,1,1,0,1,2022-01-03 13:45:00+05:30,2022-01-03 13:50:00+05:30,2022-01-03 15:00:00+05:30,690.9,689.4714285714285,693.4714285714285,-0.6,EOD-
S005,BHARTIARTL,2022-01-03 14:30:00+05:30,0.0528,0.0362,8,4.0,0.5874,25.0,1.487,0,1.6719,,0,0,0,1,0,1,2022-01-03 14:30:00+05:30,2022-01-03 14:35:00+05:30,2022-01-03 15:00:00+05:30,691.9,689.8464285714285,695.5964285714285,-1.6,EOD-
S006,BHARTIARTL,2022-01-04 09:35:00+05:30,,,4,4.0,0.5627,86.44,-0.8916,0,1.2421,0.0,1,0,0,0,1,2,2022-01-04 09:40:00+05:30,2022-01-04 09:45:00+05:30,2022-01-04 12:05:00+05:30,692.2,688.1017857142857,699.5767857142858,7.3768,W
S007,BHARTIARTL,2022-01-04 09:50:00+05:30,0.0394,,0,,0.0854,12.12,3.0,0,0.8013,,0,1,0,1,0,1,2022-01-04 09:50:00+05:30,2022-01-04 09:55:00+05:30,2022-01-04 12:10:00+05:30,692.85,688.4571428571428,700.757142857143,7.9071,W
S008,BHARTIARTL,2022-01-04 10:05:00+05:30,0.0588,0.0394,2,2.0,0.0761,50.0,2.8596,0,0.2859,,0,1,1,1,0,1,2022-01-04 10:05:00+05:30,2022-01-04 10:10:00+05:30,2022-01-04 12:10:00+05:30,692.9,688.2214285714285,701.3214285714287,8.4214,W
S009,BHARTIARTL,2022-01-04 10:15:00+05:30,0.0725,0.0502,0,,0.2167,22.22,0.118,0,0.3823,,0,0,1,1,0,1,2022-01-04 10:15:00+05:30,2022-01-04 10:20:00+05:30,2022-01-04 12:10:00+05:30,692.7,688.0571428571428,701.0571428571429,8.3571,W
S010,BHARTIARTL,2022-01-04 10:25:00+05:30,0.0657,0.0664,0,,0.5347,26.32,-0.697,0,0.393,0.0,1,0,0,0,1,2,2022-01-04 10:30:00+05:30,2022-01-04 10:35:00+05:30,2022-01-04 12:05:00+05:30,693.0,689.1428571428571,699.9428571428573,6.9429,W
S011,BHARTIARTL,2022-01-04 11:15:00+05:30,0.0205,0.0555,7,2.0,0.3012,9.43,2.3094,0,2.7464,,0,0,0,1,0,1,2022-01-04 11:15:00+05:30,2022-01-04 11:20:00+05:30,2022-01-04 12:05:00+05:30,694.65,691.7660714285714,699.8410714285714,5.1911,W
