signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,BHARTIARTL,2023-01-02 13:15:00+05:30,-0.0377,-0.0074,0,,1.7048,29.17,-0.8603,0,0.5738,0.0,3,1,0,1,0,3,4,2023-01-02 13:30:00+05:30,2023-01-02 13:35:00+05:30,2023-01-02 14:20:00+05:30,814.4,811.775,819.125,-2.625,L
S002,BHARTIARTL,2023-01-02 13:55:00+05:30,-0.0098,-0.031,3,1.0,0.3237,79.17,-0.8701,0,0.9653,1.0,1,0,0,0,0,1,2,2023-01-02 14:00:00+05:30,2023-01-02 14:05:00+05:30,2023-01-02 14:20:00+05:30,814.3,811.3267857142856,819.6517857142858,-2.9732,L
S003,BHARTIARTL,2023-01-02 14:10:00+05:30,-0.0298,-0.0098,0,,0.15,11.11,0.7391,0,0.8394,,0,0,0,1,1,0,1,2023-01-02 14:10:00+05:30,2023-01-02 14:15:00+05:30,2023-01-02 14:20:00+05:30,814.35,811.475,819.5250000000001,-2.875,L
S004,BHARTIARTL,2023-01-03 10:05:00+05:30,-0.069,-0.1053,0,,1.2483,15.38,-0.7706,0,0.8144,1.0,3,0,0,0,0,3,4,2023-01-03 10:20:00+05:30,2023-01-03 10:25:00+05:30,2023-01-03 15:00:00+05:30,811.15,806.7839285714285,819.0089285714287,4.75,EOD+
S005,BHARTIARTL,2023-01-03 12:25:00+05:30,0.0714,0.08,23,3.0,0.4578,32.35,1.0388,0,1.5307,,0,0,0,0,1,0,1,2023-01-03 12:25:00+05:30,2023-01-03 12:30:00+05:30,2023-01-03 15:00:00+05:30,813.4,810.5875,818.4625000000001,2.5,EOD+
S006,BHARTIARTL,2023-01-03 12:40:00+05:30,0.0547,0.0714,2,1.0,0.192,33.33,1.9268,0,0.4832,,0,1,1,1,1,0,1,2023-01-03 12:40:00+05:30,2023-01-03 12:45:00+05:30,2023-01-03 14:45:00+05:30,813.45,810.7803571428572,818.2553571428573,4.8054,W
S007,BHARTIARTL,2023-01-03 12:50:00+05:30,0.0513,0.059,0,,0.1787,56.25,0.3699,0,0.5686,,0,1,0,1,1,0,1,2023-01-03 12:50:00+05:30,2023-01-03 12:55:00+05:30,2023-01-03 14:45:00+05:30,813.25,810.6964285714284,817.8464285714288,4.5964,W
S008,BHARTIARTL,2023-01-03 13:10:00+05:30,0.024,0.0507,0,,1.5029,43.48,-0.589,0,0.6827,0.0,3,1,0,1,0,3,4,2023-01-03 13:25:00+05:30,2023-01-03 13:30:00+05:30,2023-01-03 14:45:00+05:30,813.4,810.9714285714285,817.7714285714287,4.3714,W
S009,BHARTIARTL,2023-01-03 14:25:00+05:30,0.0289,0.0359,10,5.0,0.2526,15.79,1.8916,0,1.241,,0,1,0,1,1,0,1,2023-01-03 14:25:00+05:30,2023-01-03 14:30:00+05:30,2023-01-03 14:45:00+05:30,814.4,812.3464285714285,818.0964285714285,3.6964,W
S010,BHARTIARTL,2023-01-04 09:20:00+05:30,,,1,1.0,0.4917,41.94,0.1215,0,1.2209,,0,0,0,0,1,0,1,2023-01-04 09:20:00+05:30,2023-01-04 09:25:00+05:30,2023-01-04 09:55:00+05:30,816.45,812.3696428571429,823.7946428571429,-4.0804,L
S011,BHARTIARTL,2023-01-04 10:05:00+05:30,-0.0736,-0.0104,0,,1.605,33.33,-0.9518,0,0.5395,0.0,3,1,0,0,0,3,4,2023-01-04 10:20:00+05:30,2023-01-04 10:25:00+05:30,2023-01-04 12:40:00+05:30,815.9,811.0517857142856,824.6267857142857,-4.8482,L
S012,BHARTIARTL,2023-01-04 10:40:00+05:30,0.004,-0.0487,3,2.0,0.0483,30.77,20.25,0,1.5795,,0,1,0,0,1,0,1,2023-01-04 10:40:00+05:30,2023-01-04 10:45:00+05:30,2023-01-04 11:10:00+05:30,817.2,813.0571428571429,824.6571428571428,-4.1429,L
S013,BHARTIARTL,2023-01-04 12:55:00+05:30,-0.1345,-0.1738,0,,0.9,15.0,-0.9556,0,1.2249,1.0,3,1,0,0,0,3,4,2023-01-04 13:10:00+05:30,2023-01-04 13:15:00+05:30,2023-01-04 15:00:00+05:30,815.0,811.875,820.625,-0.25,EOD-
S014,BHARTIARTL,2023-01-05 09:15:00+05:30,,,0,,0.6261,77.73,0.6011,0,7.984,,0,1,0,0,1,0,1,2023-01-05 09:15:00+05:30,2023-01-05 09:20:00+05:30,2023-01-05 12:30:00+05:30,815.05,807.9428571428571,827.8428571428572,-7.1071,L
S015,BHARTIARTL,2023-01-05 10:45:00+05:30,0.1715,0.1147,16,15.0,0.0433,46.34,11.0,0,0.5781,,0,0,0,0,1,0,1,2023-01-05 10:45:00+05:30,2023-01-05 10:50:00+05:30,2023-01-05 11:30:00+05:30,817.0,813.3928571428572,823.492857142857,-3.6071,L
