signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,CIPLA,2024-01-01 11:15:00+05:30,0.009,0.0064,4,4.0,0.0213,55.56,14.2941,0,0.6852,,0,0,1,1,0,1,2024-01-01 11:15:00+05:30,2024-01-01 11:20:00+05:30,2024-01-01 15:00:00+05:30,1251.55,1246.55,1260.5500000000002,3.8,EOD+
S002,CIPLA,2024-01-01 11:30:00+05:30,0.0494,0.009,2,2.0,0.2119,60.98,0.6774,0,1.0415,,0,0,0,1,0,1,2024-01-01 11:30:00+05:30,2024-01-01 11:35:00+05:30,2024-01-01 15:00:00+05:30,1250.55,1245.9785714285713,1258.7785714285717,4.8,EOD+
S003,CIPLA,2024-01-01 12:15:00+05:30,0.042,0.03,7,5.0,0.5657,77.5,-0.5455,0,0.6215,0.0,3,0,0,0,3,4,2024-01-01 12:30:00+05:30,2024-01-01 12:35:00+05:30,2024-01-01 15:00:00+05:30,1251.75,1247.375,1259.625,3.6,EOD+
S004,CIPLA,2024-01-01 12:40:00+05:30,0.0266,0.044,0,,0.3745,22.73,-0.6507,0,0.2649,0.0,2,1,1,0,2,3,2024-01-01 12:50:00+05:30,2024-01-01 12:55:00+05:30,2024-01-01 15:00:00+05:30,1251.85,1248.0285714285712,1258.7285714285715,3.5,EOD+
S005,CIPLA,2024-01-01 13:30:00+05:30,-0.0162,-0.0136,0,,0.6468,22.22,-0.4521,0,0.6741,0.0,3,0,1,0,3,4,2024-01-01 13:45:00+05:30,2024-01-01 13:50:00+05:30,2024-01-01 14:50:00+05:30,1251.4,1248.5785714285714,1256.4785714285715,5.0786,W
S006,CIPLA,2024-01-02 09:15:00+05:30,,,0,,0.5413,54.02,1.2263,0,4.2435,,0,1,1,1,0,1,2024-01-02 09:15:00+05:30,2024-01-02 09:20:00+05:30,2024-01-02 09:40:00+05:30,1260.4,1254.176785714286,1271.6017857142858,11.2018,W
S007,CIPLA,2024-01-02 10:35:00+05:30,0.3087,0.3223,15,10.0,0.6335,81.29,-0.6254,0,0.4778,0.0,1,0,0,0,1,2,2024-01-02 10:40:00+05:30,2024-01-02 10:45:00+05:30,2024-01-02 15:00:00+05:30,1266.55,1254.4339285714286,1288.3589285714286,13.25,EOD+
S008,CIPLA,2024-01-02 10:50:00+05:30,0.3388,0.3087,0,,0.0862,7.69,2.8158,0,0.2787,,0,1,1,1,0,1,2024-01-02 10:50:00+05:30,2024-01-02 10:55:00+05:30,2024-01-02 15:00:00+05:30,1269.65,1258.632142857143,1289.482142857143,10.15,EOD+
S009,CIPLA,2024-01-02 11:00:00+05:30,0.2793,0.317,0,,0.2166,33.33,0.1561,0,0.5713,,0,0,0,1,0,1,2024-01-02 11:00:00+05:30,2024-01-02 11:05:00+05:30,2024-01-02 15:00:00+05:30,1270.1,1260.117857142857,1288.067857142857,9.7,EOD+
S010,CIPLA,2024-01-02 11:30:00+05:30,-0.0877,0.0601,0,,1.5679,38.46,-0.8428,0,0.6347,1.0,3,0,1,0,3,4,2024-01-02 11:45:00+05:30,2024-01-02 11:50:00+05:30,2024-01-02 13:50:00+05:30,1267.6,1259.4839285714284,1282.2089285714287,14.6089,W
