signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,COALINDIA,2023-01-02 10:55:00+05:30,0.1873,0.2112,16,15.0,0.125,12.5,1.6667,0,0.3629,,0,1,0,1,0,1,2023-01-02 10:55:00+05:30,2023-01-02 11:00:00+05:30,2023-01-02 12:20:00+05:30,211.1,210.35,212.45,-0.75,L
S002,COALINDIA,2023-01-02 11:05:00+05:30,0.1599,0.1969,1,1.0,0.0628,16.67,13.2857,0,0.602,,0,0,0,1,0,1,2023-01-02 11:05:00+05:30,2023-01-02 11:10:00+05:30,2023-01-02 12:20:00+05:30,211.25,210.55357142857144,212.50357142857143,-0.6964,L
S003,COALINDIA,2023-01-02 11:15:00+05:30,0.122,0.1766,0,,0.0863,25.0,1.2222,0,0.1682,,0,1,1,1,0,1,2023-01-02 11:15:00+05:30,2023-01-02 11:20:00+05:30,2023-01-02 12:20:00+05:30,211.15,210.49821428571428,212.32321428571436,-0.6518,L
S004,COALINDIA,2023-01-03 09:15:00+05:30,,,0,,0.2957,0.0,1.8571,0,1.8903,,0,0,0,1,0,1,2023-01-03 09:15:00+05:30,2023-01-03 09:20:00+05:30,2023-01-03 09:30:00+05:30,209.45,208.4142857142857,211.3142857142857,-1.0357,L
S005,COALINDIA,2023-01-03 10:25:00+05:30,-0.0551,-0.0622,0,,1.2394,0.0,-0.8964,0,1.623,1.0,3,0,0,0,3,4,2023-01-03 10:40:00+05:30,2023-01-03 10:45:00+05:30,2023-01-03 11:45:00+05:30,208.85,207.8767857142857,210.60178571428568,-0.9732,L
S006,COALINDIA,2023-01-03 11:00:00+05:30,-0.0731,-0.0755,3,2.0,0.0,75.0,,1,0.1726,,0,1,1,1,0,1,2023-01-03 11:00:00+05:30,2023-01-03 11:05:00+05:30,2023-01-03 11:45:00+05:30,208.75,208.0892857142857,209.93928571428572,-0.6607,L
S007,COALINDIA,2023-01-03 11:15:00+05:30,-0.0431,-0.0731,0,,0.8658,50.0,-0.7872,0,0.2787,0.0,3,0,1,0,3,4,2023-01-03 11:30:00+05:30,2023-01-03 11:35:00+05:30,2023-01-03 11:45:00+05:30,208.55,207.87142857142857,209.7714285714286,-0.6786,L
S008,COALINDIA,2023-01-03 11:55:00+05:30,-0.0708,-0.0144,0,,2.9312,50.0,-0.9403,0,2.5128,1.0,3,0,0,0,3,4,2023-01-03 12:10:00+05:30,2023-01-03 12:15:00+05:30,2023-01-03 12:20:00+05:30,208.55,207.8357142857143,209.83571428571432,-0.7143,L
S009,COALINDIA,2023-01-03 12:50:00+05:30,-0.1033,-0.1165,0,,1.1136,50.0,-0.6571,0,1.3121,1.0,3,1,1,0,3,4,2023-01-03 13:05:00+05:30,2023-01-03 13:10:00+05:30,2023-01-03 15:00:00+05:30,208.35,207.36785714285716,210.1178571428572,0.45,EOD+
S010,COALINDIA,2023-01-04 12:25:00+05:30,-0.3062,-0.3094,0,,0.7124,37.5,-0.7674,0,0.4078,0.0,3,0,0,0,3,4,2023-01-04 12:40:00+05:30,2023-01-04 12:45:00+05:30,2023-01-04 15:00:00+05:30,202.25,200.74107142857144,204.9660714285714,-0.2,EOD-
