signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,COALINDIA,2025-01-01 12:55:00+05:30,0.0565,0.1036,27,6.0,0.1167,14.29,1.6087,0,0.5582,,0,1,0,0,1,0,1,2025-01-01 12:55:00+05:30,2025-01-01 13:00:00+05:30,2025-01-01 15:00:00+05:30,376.55,375.3178571428572,378.76785714285717,0.35,EOD+
S002,COALINDIA,2025-01-01 13:05:00+05:30,0.0452,0.0697,0,,0.0627,11.11,7.3333,0,1.2292,,0,0,0,1,1,0,1,2025-01-01 13:05:00+05:30,2025-01-01 13:10:00+05:30,2025-01-01 13:20:00+05:30,376.75,375.55357142857144,378.9035714285714,-1.1964,L
S003,COALINDIA,2025-01-01 13:25:00+05:30,0.0013,0.0226,0,,1.7306,80.0,-0.8876,0,0.3361,0.0,3,0,0,1,0,3,4,2025-01-01 13:40:00+05:30,2025-01-01 13:45:00+05:30,2025-01-01 15:00:00+05:30,376.75,375.4642857142857,379.0642857142857,0.15,EOD+
S004,COALINDIA,2025-01-01 13:50:00+05:30,0.0285,0.0106,0,,1.0872,53.85,-0.4521,0,1.0417,0.0,2,1,1,0,0,2,3,2025-01-01 14:00:00+05:30,2025-01-01 14:05:00+05:30,2025-01-01 15:00:00+05:30,376.75,375.49107142857144,379.0160714285714,0.15,EOD+
S005,COALINDIA,2025-01-01 14:10:00+05:30,-0.0226,0.0139,1,1.0,0.5338,50.0,-0.434,0,6.214,1.0,1,1,1,0,0,1,2,2025-01-01 14:15:00+05:30,2025-01-01 14:20:00+05:30,2025-01-01 15:00:00+05:30,376.9,375.65892857142853,379.13392857142856,0.0,EOD-
S006,COALINDIA,2025-01-02 09:25:00+05:30,,,2,2.0,0.9976,74.36,-0.7555,0,0.5445,0.0,3,0,0,0,0,3,4,2025-01-02 09:40:00+05:30,2025-01-02 09:45:00+05:30,2025-01-02 11:45:00+05:30,377.1,374.5375,381.7125,-2.5625,L
S007,COALINDIA,2025-01-02 10:00:00+05:30,-0.0538,-0.0126,0,,0.9638,64.71,-0.7351,0,0.7405,1.0,3,0,0,0,0,3,4,2025-01-02 10:15:00+05:30,2025-01-02 10:20:00+05:30,2025-01-02 14:00:00+05:30,376.6,373.6625,381.8875,5.2875,W
S008,COALINDIA,2025-01-02 10:25:00+05:30,-0.0584,-0.089,0,,0.7984,10.53,-0.1233,0,0.8916,1.0,2,1,0,0,0,2,3,2025-01-02 10:35:00+05:30,2025-01-02 10:40:00+05:30,2025-01-02 11:50:00+05:30,377.1,374.2428571428572,382.24285714285713,-2.8571,L
S009,COALINDIA,2025-01-02 12:10:00+05:30,-0.0777,-0.075,0,,2.1182,68.42,-0.9312,0,0.9975,1.0,3,1,0,1,0,3,4,2025-01-02 12:25:00+05:30,2025-01-02 12:30:00+05:30,2025-01-02 13:40:00+05:30,376.5,374.7857142857143,379.5857142857143,3.0857,W
S010,COALINDIA,2025-01-03 09:15:00+05:30,,,0,,1.4341,58.11,0.2959,0,1.3602,,0,0,1,0,1,0,1,2025-01-03 09:15:00+05:30,2025-01-03 09:20:00+05:30,2025-01-03 09:50:00+05:30,384.85,382.8321428571429,388.48214285714283,-2.0179,L
S011,COALINDIA,2025-01-03 10:55:00+05:30,-0.2341,-0.1853,0,,3.0466,75.0,-1.0,0,0.8861,1.0,3,1,0,1,0,3,4,2025-01-03 11:10:00+05:30,2025-01-03 11:15:00+05:30,2025-01-03 11:30:00+05:30,381.35,379.6267857142857,384.4517857142858,3.1018,W
S012,COALINDIA,2025-01-03 14:00:00+05:30,0.2037,0.2854,33,4.0,0.0633,28.57,0.0526,0,2.1555,,0,0,0,0,1,0,1,2025-01-03 14:00:00+05:30,2025-01-03 14:05:00+05:30,2025-01-03 15:00:00+05:30,386.6,384.7250000000001,389.97499999999997,-1.875,L
S013,COALINDIA,2025-01-06 14:00:00+05:30,-0.236,-0.1529,0,,2.1245,62.5,-0.9424,0,0.3257,0.0,3,0,0,1,0,3,4,2025-01-06 14:15:00+05:30,2025-01-06 14:20:00+05:30,2025-01-06 14:25:00+05:30,370.4,368.35535714285714,374.08035714285705,-2.0446,L
S014,COALINDIA,2025-01-07 09:45:00+05:30,0.1082,,6,6.0,0.4218,77.78,-0.4326,0,0.3991,0.0,1,0,0,0,0,1,2,2025-01-07 09:50:00+05:30,2025-01-07 09:55:00+05:30,2025-01-07 15:00:00+05:30,369.85,365.6714285714286,377.3714285714286,0.15,EOD+
S015,COALINDIA,2025-01-07 10:55:00+05:30,-0.0791,-0.0068,0,,2.1147,76.92,-0.9306,0,0.3659,0.0,3,0,0,0,0,3,4,2025-01-07 11:10:00+05:30,2025-01-07 11:15:00+05:30,2025-01-07 12:20:00+05:30,369.65,367.0964285714286,374.2464285714285,-2.5536,L
S016,COALINDIA,2025-01-07 12:40:00+05:30,-0.0888,-0.0685,0,,2.2137,46.67,-0.8716,0,2.6265,1.0,3,0,1,0,0,3,4,2025-01-07 12:55:00+05:30,2025-01-07 13:00:00+05:30,2025-01-07 15:00:00+05:30,368.8,367.04107142857146,371.96607142857147,1.2,EOD+
S017,COALINDIA,2025-01-07 13:05:00+05:30,-0.0774,-0.0855,0,,0.2925,31.25,-0.3258,0,2.6051,,0,1,0,0,1,0,1,2025-01-07 13:05:00+05:30,2025-01-07 13:10:00+05:30,2025-01-07 15:00:00+05:30,368.6,366.6982142857143,372.02321428571435,1.4,EOD+
S018,COALINDIA,2025-01-07 13:50:00+05:30,0.0237,0.0136,7,3.0,0.5495,72.73,-0.7452,0,2.7325,1.0,1,1,0,0,0,1,2,2025-01-07 13:55:00+05:30,2025-01-07 14:00:00+05:30,2025-01-07 15:00:00+05:30,368.25,366.4642857142857,371.4642857142857,1.75,EOD+
S019,COALINDIA,2025-01-08 09:55:00+05:30,-0.1667,-0.1476,0,,1.584,46.67,-0.9717,0,0.7653,1.0,3,1,1,1,0,3,4,2025-01-08 10:10:00+05:30,2025-01-08 10:15:00+05:30,2025-01-08 11:00:00+05:30,369.05,366.26428571428573,374.0642857142857,-2.7857,L
S020,COALINDIA,2025-01-08 10:20:00+05:30,-0.1133,-0.1838,0,,0.212,95.12,-0.8319,0,0.4047,0.0,1,0,1,1,0,1,2,2025-01-08 10:25:00+05:30,2025-01-08 10:30:00+05:30,2025-01-08 15:00:00+05:30,368.75,365.24107142857144,375.06607142857143,1.55,EOD+
S021,COALINDIA,2025-01-08 10:55:00+05:30,-0.1564,-0.1114,0,,1.0348,0.0,-0.8739,0,1.4473,1.0,3,0,0,0,0,3,4,2025-01-08 11:10:00+05:30,2025-01-08 11:15:00+05:30,2025-01-08 15:00:00+05:30,367.8,364.925,372.97499999999997,2.5,EOD+
S022,COALINDIA,2025-01-08 11:20:00+05:30,-0.034,-0.1285,0,,1.0939,38.89,-0.5885,0,1.7488,0.0,2,0,1,0,0,2,3,2025-01-08 11:30:00+05:30,2025-01-08 11:35:00+05:30,2025-01-08 15:00:00+05:30,368.1,365.3232142857143,373.09821428571433,2.2,EOD+
S023,COALINDIA,2025-01-08 11:40:00+05:30,0.0136,-0.0129,0,,0.6324,78.26,-0.8291,0,1.9949,,0,1,0,0,1,0,1,2025-01-08 11:40:00+05:30,2025-01-08 11:45:00+05:30,2025-01-08 15:00:00+05:30,368.05,365.7375,372.2125,2.25,EOD+
S024,COALINDIA,2025-01-08 12:00:00+05:30,-0.0258,0.0354,2,1.0,0.4848,90.91,-0.875,0,1.8595,1.0,1,0,0,0,0,1,2,2025-01-08 12:05:00+05:30,2025-01-08 12:10:00+05:30,2025-01-08 14:15:00+05:30,367.55,365.4875,371.2625,3.7125,W
S025,COALINDIA,2025-01-08 12:15:00+05:30,-0.0817,-0.0258,0,,0.3415,50.0,-0.1667,0,0.456,,0,1,1,1,1,0,1,2025-01-08 12:15:00+05:30,2025-01-08 12:20:00+05:30,2025-01-08 14:20:00+05:30,367.75,365.55357142857144,371.7035714285714,3.9536,W
S026,COALINDIA,2025-01-08 12:25:00+05:30,-0.0293,-0.0844,1,1.0,0.4884,72.73,-0.2357,0,1.3071,1.0,2,1,0,0,0,2,3,2025-01-08 12:35:00+05:30,2025-01-08 12:40:00+05:30,2025-01-08 14:20:00+05:30,368.15,366.1410714285714,371.76607142857137,3.6161,W
S027,COALINDIA,2025-01-08 13:35:00+05:30,0.0475,0.1073,11,6.0,0.327,45.45,-0.6491,0,0.4907,0.0,1,1,0,1,0,1,2,2025-01-08 13:40:00+05:30,2025-01-08 13:45:00+05:30,2025-01-08 15:00:00+05:30,369.05,366.8714285714286,372.97142857142853,1.25,EOD+
S028,COALINDIA,2025-01-09 12:50:00+05:30,-0.1321,-0.1567,0,,1.768,55.56,-0.9184,0,0.7057,1.0,3,1,0,1,0,3,4,2025-01-09 13:05:00+05:30,2025-01-09 13:10:00+05:30,2025-01-09 14:35:00+05:30,363.65,361.91785714285714,366.76785714285705,-1.7321,L
S029,COALINDIA,2025-01-10 10:25:00+05:30,-0.2765,-0.3943,0,,1.0813,51.72,-0.5491,0,0.7623,1.0,3,1,0,0,0,3,4,2025-01-10 10:40:00+05:30,2025-01-10 10:45:00+05:30,2025-01-10 15:00:00+05:30,359.05,355.4607142857143,365.51071428571436,-0.5,EOD-
S030,COALINDIA,2025-01-10 12:05:00+05:30,0.2555,0.3828,16,7.0,0.2044,72.22,-0.25,0,0.3002,0.0,2,0,0,1,0,2,3,2025-01-10 12:15:00+05:30,2025-01-10 12:20:00+05:30,2025-01-10 14:10:00+05:30,361.7,359.25357142857143,366.1035714285714,-2.4464,L
S031,COALINDIA,2025-01-10 12:35:00+05:30,0.0941,0.1923,0,,1.227,62.5,-0.9119,0,0.7108,1.0,3,0,0,0,0,3,4,2025-01-10 12:50:00+05:30,2025-01-10 12:55:00+05:30,2025-01-10 14:10:00+05:30,361.65,359.3375,365.81249999999994,-2.3125,L
S032,COALINDIA,2025-01-10 13:00:00+05:30,-0.0249,0.0187,0,,0.4851,50.0,-1.0,0,0.6147,1.0,2,0,0,1,0,2,3,2025-01-10 13:10:00+05:30,2025-01-10 13:15:00+05:30,2025-01-10 14:10:00+05:30,361.35,359.31428571428575,365.01428571428573,-2.0357,L
S033,COALINDIA,2025-01-13 09:45:00+05:30,-0.2125,,0,,1.2116,43.48,-0.7319,0,0.6007,0.0,3,1,0,1,0,3,4,2025-01-13 10:00:00+05:30,2025-01-13 10:05:00+05:30,2025-01-13 14:25:00+05:30,357.5,353.6517857142857,364.4267857142857,-3.8482,L
S034,COALINDIA,2025-01-13 11:15:00+05:30,0.2405,0.1264,13,4.0,0.3117,42.86,0.0526,0,0.6231,,0,1,0,1,1,0,1,2025-01-13 11:15:00+05:30,2025-01-13 11:20:00+05:30,2025-01-13 13:35:00+05:30,358.5,356.2142857142857,362.61428571428564,-2.2857,L
S035,COALINDIA,2025-01-14 09:35:00+05:30,,,4,3.0,0.5054,71.79,-0.5469,0,1.2449,0.0,1,1,1,0,0,1,2,2025-01-14 09:40:00+05:30,2025-01-14 09:45:00+05:30,2025-01-14 15:00:00+05:30,354.6,350.77857142857147,361.47857142857146,4.45,EOD+
S036,COALINDIA,2025-01-14 09:55:00+05:30,0.0508,0.0812,1,1.0,0.422,65.0,-0.451,0,0.4574,1.0,2,1,0,1,0,2,3,2025-01-14 10:05:00+05:30,2025-01-14 10:10:00+05:30,2025-01-14 15:00:00+05:30,355.0,351.2232142857143,361.79821428571427,4.05,EOD+
S037,COALINDIA,2025-01-14 10:25:00+05:30,0.0726,0.1036,3,3.0,0.5717,0.0,0.1881,0,0.4697,,0,1,0,0,1,0,1,2025-01-14 10:25:00+05:30,2025-01-14 10:30:00+05:30,2025-01-14 15:00:00+05:30,355.0,351.6875,360.9625,4.05,EOD+
S038,COALINDIA,2025-01-14 11:40:00+05:30,0.2177,0.2327,13,7.0,0.096,30.0,3.5161,0,0.8956,,0,0,0,0,1,0,1,2025-01-14 11:40:00+05:30,2025-01-14 11:45:00+05:30,2025-01-14 15:00:00+05:30,357.4,355.38214285714287,361.03214285714284,1.65,EOD+
