signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,DABUR,2022-01-03 10:55:00+05:30,-0.0194,-0.0103,0,,1.2091,94.74,-1.0,0,2.5908,1.0,2,0,0,0,0,2,3,2022-01-03 11:05:00+05:30,2022-01-03 11:10:00+05:30,2022-01-03 15:00:00+05:30,581.3,579.0410714285714,585.3660714285713,-0.9,EOD-
S002,DABUR,2022-01-03 11:20:00+05:30,0.0547,0.0108,2,2.0,0.0556,62.16,9.8333,0,5.8994,,0,0,0,0,1,0,1,2022-01-03 11:20:00+05:30,2022-01-03 11:25:00+05:30,2022-01-03 15:00:00+05:30,582.2,579.5035714285715,587.0535714285714,-1.8,EOD-
S003,DABUR,2022-01-03 13:25:00+05:30,0.0853,0.1067,24,10.0,0.0185,40.0,23.0,0,0.1925,,0,0,0,1,1,0,1,2022-01-03 13:25:00+05:30,2022-01-03 13:30:00+05:30,2022-01-03 13:35:00+05:30,583.8,582.1125,586.8375,-1.6875,L
S004,DABUR,2022-01-04 10:30:00+05:30,-0.2898,-0.311,0,,1.4407,61.54,-0.8654,0,0.6213,1.0,3,1,0,0,0,3,4,2022-01-04 10:45:00+05:30,2022-01-04 10:50:00+05:30,2022-01-04 12:45:00+05:30,575.55,572.3267857142857,581.3517857142856,-3.2232,L
S005,DABUR,2022-01-04 12:00:00+05:30,0.0547,0.122,0,,2.2558,50.0,-0.8188,0,1.0561,1.0,3,0,0,1,0,3,4,2022-01-04 12:15:00+05:30,2022-01-04 12:20:00+05:30,2022-01-04 12:40:00+05:30,576.0,573.5535714285714,580.4035714285715,-2.4464,L
S006,DABUR,2022-01-04 12:50:00+05:30,-0.1779,-0.0521,0,,3.0865,100.0,-1.0,0,0.173,0.0,3,0,0,0,0,3,4,2022-01-04 13:05:00+05:30,2022-01-04 13:10:00+05:30,2022-01-04 15:00:00+05:30,575.0,571.5535714285714,581.2035714285714,-2.05,EOD-
S007,DABUR,2022-01-04 13:45:00+05:30,0.037,-0.0144,7,2.0,0.1275,33.33,1.807,0,0.047,,0,1,0,0,1,0,1,2022-01-04 13:45:00+05:30,2022-01-04 13:50:00+05:30,2022-01-04 15:00:00+05:30,574.8,572.0053571428572,579.830357142857,-1.85,EOD-
S008,DABUR,2022-01-04 14:00:00+05:30,-0.0118,0.037,2,2.0,0.2846,27.27,0.8391,0,0.0844,,0,0,0,0,1,0,1,2022-01-04 14:00:00+05:30,2022-01-04 14:05:00+05:30,2022-01-04 14:45:00+05:30,574.8,572.8892857142857,578.2392857142855,-1.9107,L
S009,DABUR,2022-01-04 14:10:00+05:30,-0.0057,0.0052,0,,0.2422,83.33,-1.0,0,0.093,,0,0,0,1,1,0,1,2022-01-04 14:10:00+05:30,2022-01-04 14:15:00+05:30,2022-01-04 14:45:00+05:30,574.6,572.9482142857144,577.5732142857142,-1.6518,L
S010,DABUR,2022-01-05 09:15:00+05:30,,,0,,0.1791,54.84,4.4545,0,0.62,,0,0,0,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 13:35:00+05:30,576.2,573.5125,581.0375,4.8375,W
S011,DABUR,2022-01-05 09:30:00+05:30,,,2,2.0,0.4934,45.45,0.4634,0,0.7393,,0,0,0,0,1,0,1,2022-01-05 09:30:00+05:30,2022-01-05 09:35:00+05:30,2022-01-05 11:45:00+05:30,574.55,571.4339285714285,580.1589285714285,5.6089,W
S012,DABUR,2022-01-05 09:40:00+05:30,0.0257,,0,,0.3403,38.46,-0.0909,0,0.1849,,0,1,0,1,1,0,1,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,2022-01-05 11:45:00+05:30,574.5,571.2678571428571,580.3178571428572,5.8179,W
S013,DABUR,2022-01-05 09:50:00+05:30,0.02,,0,,0.1326,4.55,1.9412,0,0.4361,,0,1,0,0,1,0,1,2022-01-05 09:50:00+05:30,2022-01-05 09:55:00+05:30,2022-01-05 12:00:00+05:30,574.75,571.5446428571429,580.5196428571428,5.7696,W
S014,DABUR,2022-01-05 11:30:00+05:30,0.1666,0.1321,18,3.0,0.6579,66.67,-0.4521,0,1.1741,1.0,1,0,0,0,0,1,2,2022-01-05 11:35:00+05:30,2022-01-05 11:40:00+05:30,2022-01-05 13:40:00+05:30,577.75,575.6696428571429,581.4946428571429,3.7446,W
S015,DABUR,2022-01-05 11:45:00+05:30,0.1241,0.1666,0,,0.664,56.67,-0.25,0,3.1307,,0,0,0,0,1,0,1,2022-01-05 11:45:00+05:30,2022-01-05 11:50:00+05:30,2022-01-05 15:00:00+05:30,579.65,577.3910714285714,583.7160714285715,1.5,EOD+
S016,DABUR,2022-01-05 13:15:00+05:30,0.0909,0.0867,17,7.0,0.5702,6.25,1.1782,0,0.953,,0,0,0,0,1,0,1,2022-01-05 13:15:00+05:30,2022-01-05 13:20:00+05:30,2022-01-05 15:00:00+05:30,580.35,579.2428571428571,582.3428571428573,1.9929,W
S017,DABUR,2022-01-05 13:25:00+05:30,0.0935,0.0935,0,,0.6082,33.33,0.1321,0,0.4909,,0,1,1,1,1,0,1,2022-01-05 13:25:00+05:30,2022-01-05 13:30:00+05:30,2022-01-05 15:00:00+05:30,580.4,579.3107142857142,582.3607142857144,1.9607,W
S018,DABUR,2022-01-05 13:35:00+05:30,0.0693,0.1008,0,,0.155,61.9,2.0303,0,2.3924,,0,1,0,0,1,0,1,2022-01-05 13:35:00+05:30,2022-01-05 13:40:00+05:30,2022-01-05 15:00:00+05:30,581.25,579.9196428571428,583.6446428571429,-0.1,EOD-
S019,DABUR,2022-01-05 13:50:00+05:30,0.0491,0.0693,2,2.0,0.253,52.38,2.3333,0,0.6391,,0,0,0,0,1,0,1,2022-01-05 13:50:00+05:30,2022-01-05 13:55:00+05:30,2022-01-05 15:00:00+05:30,580.95,579.4678571428572,583.6178571428571,0.2,EOD+
S020,DABUR,2022-01-06 11:15:00+05:30,-0.0971,-0.2531,0,,0.969,27.78,-0.6418,0,1.7003,1.0,3,1,0,1,0,3,4,2022-01-06 11:30:00+05:30,2022-01-06 11:35:00+05:30,2022-01-06 14:00:00+05:30,576.35,574.1892857142857,580.2392857142858,3.8893,W
S021,DABUR,2022-01-06 12:30:00+05:30,0.0871,0.0811,0,,0.8809,50.0,-0.9327,0,0.8367,1.0,3,1,0,0,0,3,4,2022-01-06 12:45:00+05:30,2022-01-06 12:50:00+05:30,2022-01-06 14:00:00+05:30,577.0,574.8928571428572,580.7928571428571,3.7929,W
S022,DABUR,2022-01-06 12:55:00+05:30,0.0429,0.0425,0,,0.0427,87.5,-1.0,0,0.5097,,0,0,1,0,1,0,1,2022-01-06 12:55:00+05:30,2022-01-06 13:00:00+05:30,2022-01-06 15:00:00+05:30,578.2,575.8607142857144,582.4107142857142,4.2107,W
S023,DABUR,2022-01-07 10:05:00+05:30,0.1986,0.2347,10,10.0,0.0423,33.33,7.125,0,0.4752,,0,1,1,0,1,0,1,2022-01-07 10:05:00+05:30,2022-01-07 10:10:00+05:30,2022-01-07 15:00:00+05:30,584.85,580.1267857142857,593.3517857142858,4.15,EOD+
S024,DABUR,2022-01-07 10:25:00+05:30,0.1628,0.1921,3,1.0,0.0315,57.69,1.1053,0,0.3873,,0,0,0,0,1,0,1,2022-01-07 10:25:00+05:30,2022-01-07 10:30:00+05:30,2022-01-07 15:00:00+05:30,585.75,581.9821428571429,592.5321428571428,3.25,EOD+
S025,DABUR,2022-01-07 10:35:00+05:30,0.1452,0.1752,0,,0.2168,7.69,-0.0476,0,0.1871,,0,0,1,0,1,0,1,2022-01-07 10:35:00+05:30,2022-01-07 10:40:00+05:30,2022-01-07 15:00:00+05:30,585.55,582.5232142857143,590.9982142857142,3.45,EOD+
S026,DABUR,2022-01-07 11:00:00+05:30,0.0534,0.105,0,,1.9695,29.73,-0.5663,0,1.955,1.0,3,1,0,1,0,3,4,2022-01-07 11:15:00+05:30,2022-01-07 11:20:00+05:30,2022-01-07 15:00:00+05:30,586.3,583.6660714285714,591.0410714285714,2.7,EOD+
S027,DABUR,2022-01-07 12:15:00+05:30,0.0903,0.0976,11,8.0,0.6304,3.12,1.1379,0,0.8174,,0,1,0,1,1,0,1,2022-01-07 12:15:00+05:30,2022-01-07 12:20:00+05:30,2022-01-07 15:00:00+05:30,587.3,584.425,592.4749999999999,1.7,EOD+
