signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,DABUR,2025-01-01 11:35:00+05:30,0.0708,0.032,15,12.0,0.0704,31.25,7.4211,0,1.7496,,0,0,0,1,0,1,2025-01-01 11:35:00+05:30,2025-01-01 11:40:00+05:30,2025-01-01 12:10:00+05:30,509.0,507.3125,512.0375,3.0375,W
S002,DABUR,2025-01-01 13:10:00+05:30,0.0989,0.1073,18,12.0,0.2395,14.29,0.5385,0,0.3031,,0,0,0,1,0,1,2025-01-01 13:10:00+05:30,2025-01-01 13:15:00+05:30,2025-01-01 15:00:00+05:30,510.5,508.125,514.775,-0.25,EOD-
S003,DABUR,2025-01-02 09:30:00+05:30,,,0,,2.0261,0.0,-0.7263,0,0.8218,0.0,3,1,0,0,3,4,2025-01-02 09:45:00+05:30,2025-01-02 09:50:00+05:30,2025-01-02 13:15:00+05:30,510.55,507.8446428571429,515.4196428571429,4.8696,W
S004,DABUR,2025-01-02 10:10:00+05:30,0.0686,0.0544,3,1.0,0.2193,68.18,-0.2661,0,0.4564,0.0,2,0,1,0,2,3,2025-01-02 10:20:00+05:30,2025-01-02 10:25:00+05:30,2025-01-02 15:00:00+05:30,510.7,507.5928571428572,516.2928571428571,3.5,EOD+
S005,DABUR,2025-01-02 11:30:00+05:30,0.1002,0.1184,13,4.0,0.3775,0.0,0.8182,0,2.8085,,0,0,0,1,0,1,2025-01-02 11:30:00+05:30,2025-01-02 11:35:00+05:30,2025-01-02 13:15:00+05:30,511.6,509.77857142857147,514.8785714285714,3.2786,W
S006,DABUR,2025-01-02 11:55:00+05:30,0.0454,0.0538,3,3.0,0.0108,50.0,-1.0,0,0.8714,,0,0,0,1,0,1,2025-01-02 11:55:00+05:30,2025-01-02 12:00:00+05:30,2025-01-02 13:15:00+05:30,511.8,510.0678571428572,514.9178571428571,3.1179,W
S007,DABUR,2025-01-02 12:10:00+05:30,0.0679,0.0454,2,2.0,0.2902,72.22,-0.5294,0,0.5662,0.0,2,0,1,0,2,3,2025-01-02 12:20:00+05:30,2025-01-02 12:25:00+05:30,2025-01-02 15:00:00+05:30,512.25,510.4196428571429,515.5446428571428,1.95,EOD+
S008,DABUR,2025-01-02 12:40:00+05:30,0.0293,0.0435,3,2.0,0.4144,30.77,-0.3277,0,0.6926,1.0,1,1,1,0,1,2,2025-01-02 12:45:00+05:30,2025-01-02 12:50:00+05:30,2025-01-02 15:00:00+05:30,512.45,510.6553571428572,515.6803571428572,1.75,EOD+
S009,DABUR,2025-01-02 13:55:00+05:30,0.077,0.0975,12,8.0,0.0223,42.86,-1.0,0,0.5372,1.0,1,0,1,0,1,2,2025-01-02 14:00:00+05:30,2025-01-02 14:05:00+05:30,2025-01-02 15:00:00+05:30,513.5,511.25892857142856,517.5339285714285,0.7,EOD+
S010,DABUR,2025-01-02 14:10:00+05:30,0.0682,0.077,0,,0.0644,8.33,6.2727,0,0.6684,,0,0,0,1,0,1,2025-01-02 14:10:00+05:30,2025-01-02 14:15:00+05:30,2025-01-02 15:00:00+05:30,513.85,511.71607142857147,517.6910714285715,0.35,EOD+
S011,DABUR,2025-01-02 14:20:00+05:30,0.0701,0.0691,1,1.0,0.225,71.43,-0.7222,0,0.9943,1.0,2,0,1,0,2,3,2025-01-02 14:30:00+05:30,2025-01-02 14:35:00+05:30,2025-01-02 15:00:00+05:30,513.85,511.85,517.45,0.35,EOD+
S012,DABUR,2025-01-03 09:35:00+05:30,,,4,4.0,0.0431,80.0,7.0,0,0.6158,,0,0,0,1,0,1,2025-01-03 09:35:00+05:30,2025-01-03 09:40:00+05:30,2025-01-03 13:10:00+05:30,517.7,514.075,524.225,6.525,W
S013,DABUR,2025-01-03 09:50:00+05:30,0.1093,,2,2.0,0.0537,50.0,4.1429,0,0.3443,,0,0,0,1,0,1,2025-01-03 09:50:00+05:30,2025-01-03 09:55:00+05:30,2025-01-03 12:35:00+05:30,514.95,510.8785714285716,522.2785714285714,7.3286,W
S014,DABUR,2025-01-03 10:00:00+05:30,0.0903,0.1103,0,,0.2298,62.07,0.457,0,0.1213,,0,0,1,1,0,1,2025-01-03 10:00:00+05:30,2025-01-03 10:05:00+05:30,2025-01-03 13:00:00+05:30,515.8,511.6928571428572,523.192857142857,7.3929,W
S015,DABUR,2025-01-03 10:10:00+05:30,0.0583,0.1108,1,1.0,0.2735,57.14,-0.6774,0,0.6249,1.0,1,0,0,0,1,2,2025-01-03 10:15:00+05:30,2025-01-03 10:20:00+05:30,2025-01-03 13:00:00+05:30,515.2,510.9500000000001,522.8499999999999,7.65,W
S016,DABUR,2025-01-03 10:25:00+05:30,0.0485,0.0583,0,,0.0908,17.39,1.7451,0,1.4462,,0,0,0,1,0,1,2025-01-03 10:25:00+05:30,2025-01-03 10:30:00+05:30,2025-01-03 12:35:00+05:30,515.4,511.8910714285714,521.7160714285714,6.3161,W
S017,DABUR,2025-01-03 10:35:00+05:30,0.0859,0.0539,1,1.0,0.0428,30.77,5.087,0,0.5987,,0,0,1,1,0,1,2025-01-03 10:35:00+05:30,2025-01-03 10:40:00+05:30,2025-01-03 12:35:00+05:30,515.95,512.5928571428573,521.9928571428571,6.0429,W
S018,DABUR,2025-01-03 12:25:00+05:30,0.1936,0.242,21,2.0,0.1237,64.29,1.2727,0,0.3876,,0,0,1,1,0,1,2025-01-03 12:25:00+05:30,2025-01-03 12:30:00+05:30,2025-01-03 13:00:00+05:30,519.25,517.0267857142857,523.2517857142857,4.0018,W
S019,DABUR,2025-01-06 11:10:00+05:30,-0.3988,-0.83,0,,2.3885,45.0,-0.5568,0,1.7419,0.0,3,1,0,0,3,4,2025-01-06 11:25:00+05:30,2025-01-06 11:30:00+05:30,2025-01-06 15:00:00+05:30,506.0,502.3392857142857,512.5892857142857,-0.35,EOD-
S020,DABUR,2025-01-06 11:45:00+05:30,0.1499,-0.0124,3,2.0,0.1972,57.14,-0.4495,0,0.629,1.0,1,1,1,0,1,2,2025-01-06 11:50:00+05:30,2025-01-06 11:55:00+05:30,2025-01-06 15:00:00+05:30,505.7,502.2446428571429,511.9196428571428,-0.05,EOD-
S021,DABUR,2025-01-06 12:00:00+05:30,0.0524,0.1499,0,,0.1835,89.74,-1.0,0,0.3528,,0,0,0,1,0,1,2025-01-06 12:00:00+05:30,2025-01-06 12:05:00+05:30,2025-01-06 13:55:00+05:30,506.7,503.0214285714286,513.3214285714286,-3.6786,L
S022,DABUR,2025-01-06 13:15:00+05:30,0.175,0.2284,14,2.0,0.0389,71.43,8.0909,0,0.5065,,0,0,1,1,0,1,2025-01-06 13:15:00+05:30,2025-01-06 13:20:00+05:30,2025-01-06 13:40:00+05:30,507.7,504.1642857142857,514.0642857142857,-3.5357,L
S023,DABUR,2025-01-07 09:15:00+05:30,,,0,,0.6415,31.58,1.6168,0,1.2385,,0,0,0,1,0,1,2025-01-07 09:15:00+05:30,2025-01-07 09:20:00+05:30,2025-01-07 15:00:00+05:30,505.9,501.73035714285714,513.405357142857,2.9,EOD+
S024,DABUR,2025-01-07 11:10:00+05:30,0.21,0.2918,22,3.0,0.2339,40.0,0.3846,0,0.5881,,0,0,1,1,0,1,2025-01-07 11:10:00+05:30,2025-01-07 11:15:00+05:30,2025-01-07 15:00:00+05:30,509.9,506.4267857142857,516.1517857142857,-1.1,EOD-
S025,DABUR,2025-01-07 13:50:00+05:30,-0.0541,-0.1097,0,,1.7451,28.57,-0.4429,0,1.2145,1.0,3,0,0,0,3,4,2025-01-07 14:05:00+05:30,2025-01-07 14:10:00+05:30,2025-01-07 15:00:00+05:30,508.85,507.56428571428575,511.1642857142857,-0.05,EOD-
S026,DABUR,2025-01-08 09:35:00+05:30,,,0,,2.2466,73.33,-1.0,0,1.3288,1.0,3,0,0,0,3,4,2025-01-08 09:50:00+05:30,2025-01-08 09:55:00+05:30,2025-01-08 15:00:00+05:30,510.55,506.925,517.075,3.0,EOD+
S027,DABUR,2025-01-08 10:55:00+05:30,0.0995,0.1701,12,11.0,0.052,25.0,2.2432,0,0.8275,,0,0,1,1,0,1,2025-01-08 10:55:00+05:30,2025-01-08 11:00:00+05:30,2025-01-08 15:00:00+05:30,510.3,505.85357142857146,518.3035714285714,3.25,EOD+
S028,DABUR,2025-01-08 11:05:00+05:30,0.1033,0.1201,0,,0.8012,12.5,-0.5445,0,0.6623,1.0,1,0,0,0,1,2,2025-01-08 11:10:00+05:30,2025-01-08 11:15:00+05:30,2025-01-08 15:00:00+05:30,511.4,507.6321428571428,518.1821428571428,2.15,EOD+
S029,DABUR,2025-01-08 11:20:00+05:30,0.2113,0.1033,0,,0.3645,58.06,-0.3651,0,0.7546,1.0,2,0,1,0,2,3,2025-01-08 11:30:00+05:30,2025-01-08 11:35:00+05:30,2025-01-08 15:00:00+05:30,511.75,508.50892857142856,517.5839285714286,1.8,EOD+
S030,DABUR,2025-01-08 12:05:00+05:30,-0.071,-0.046,0,,0.7323,5.26,-0.5294,0,0.7866,1.0,3,0,1,0,3,4,2025-01-08 12:20:00+05:30,2025-01-08 12:25:00+05:30,2025-01-08 15:00:00+05:30,510.85,507.9482142857143,516.0732142857144,2.7,EOD+
S031,DABUR,2025-01-08 12:30:00+05:30,-0.0588,-0.1023,0,,0.6087,9.09,-0.8333,0,0.8213,1.0,2,0,1,0,2,3,2025-01-08 12:40:00+05:30,2025-01-08 12:45:00+05:30,2025-01-08 15:00:00+05:30,510.95,508.4857142857143,515.3857142857142,2.6,EOD+
S032,DABUR,2025-01-08 12:50:00+05:30,0.0044,-0.0289,0,,0.157,68.75,-1.0,0,0.7913,,0,0,1,1,0,1,2025-01-08 12:50:00+05:30,2025-01-08 12:55:00+05:30,2025-01-08 15:00:00+05:30,511.05,508.7017857142857,515.2767857142858,2.5,EOD+
S033,DABUR,2025-01-08 13:00:00+05:30,0.0024,0.0078,1,1.0,0.3074,15.79,1.1849,0,0.9743,,0,0,1,1,0,1,2025-01-08 13:00:00+05:30,2025-01-08 13:05:00+05:30,2025-01-08 15:00:00+05:30,511.1,508.6803571428572,515.4553571428572,2.45,EOD+
S034,DABUR,2025-01-08 14:20:00+05:30,0.1113,0.1031,14,12.0,0.1071,73.58,1.5641,0,2.9126,,0,1,0,1,0,1,2025-01-08 14:20:00+05:30,2025-01-08 14:25:00+05:30,2025-01-08 15:00:00+05:30,514.45,512.1732142857143,518.5482142857144,-0.9,EOD-
