signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,DIVISLAB,2022-01-03 11:10:00+05:30,-0.205,-0.167,0,,2.0254,46.88,-0.9248,0,0.7064,0.0,3,1,1,0,3,4,2022-01-03 11:25:00+05:30,2022-01-03 11:30:00+05:30,2022-01-03 15:00:00+05:30,4655.9,4639.4803571428565,4685.455357142857,-4.95,EOD-
S002,DIVISLAB,2022-01-03 11:45:00+05:30,-0.0517,-0.1486,3,3.0,0.1199,60.47,2.7226,0,0.7148,,0,0,0,1,0,1,2022-01-03 11:45:00+05:30,2022-01-03 11:50:00+05:30,2022-01-03 15:00:00+05:30,4651.0,4636.723214285715,4676.698214285714,-0.05,EOD-
S003,DIVISLAB,2022-01-03 12:55:00+05:30,0.0717,0.0703,12,3.0,0.0754,57.0,4.0,0,0.3559,,0,0,0,1,0,1,2022-01-03 12:55:00+05:30,2022-01-03 13:00:00+05:30,2022-01-03 15:00:00+05:30,4659.8,4646.871428571429,4683.071428571429,-8.85,EOD-
S004,DIVISLAB,2022-01-03 13:15:00+05:30,0.0153,0.0675,0,,0.9285,97.47,-0.982,0,0.5764,0.0,3,0,0,0,3,4,2022-01-03 13:30:00+05:30,2022-01-03 13:35:00+05:30,2022-01-03 15:00:00+05:30,4660.0,4645.035714285715,4686.935714285714,-9.05,EOD-
S005,DIVISLAB,2022-01-03 13:40:00+05:30,0.02,-0.006,0,,0.3515,22.22,-0.2704,0,0.2604,,0,0,1,1,0,1,2022-01-03 13:40:00+05:30,2022-01-03 13:45:00+05:30,2022-01-03 15:00:00+05:30,4657.0,4642.866071428572,4682.441071428571,-6.05,EOD-
S006,DIVISLAB,2022-01-03 13:50:00+05:30,0.026,0.0127,0,,0.557,38.96,-0.214,0,2.1015,1.0,3,0,1,0,3,4,2022-01-03 14:05:00+05:30,2022-01-03 14:10:00+05:30,2022-01-03 15:00:00+05:30,4658.0,4645.151785714285,4681.126785714286,-7.05,EOD-
S007,DIVISLAB,2022-01-04 09:15:00+05:30,,,0,,0.3151,13.64,-1.0,0,2.5571,,0,1,0,1,0,1,2022-01-04 09:15:00+05:30,2022-01-04 09:20:00+05:30,2022-01-04 09:25:00+05:30,4655.95,4638.414285714285,4687.5142857142855,-17.5357,L
S008,DIVISLAB,2022-01-04 11:00:00+05:30,-0.199,-0.1893,0,,1.4775,73.73,-1.0,0,2.2958,1.0,3,0,0,0,3,4,2022-01-04 11:15:00+05:30,2022-01-04 11:20:00+05:30,2022-01-04 12:30:00+05:30,4628.0,4611.3125,4658.0375,-16.6875,L
S009,DIVISLAB,2022-01-04 12:25:00+05:30,0.0926,0.096,13,4.0,1.3468,87.45,-1.0,0,4.6895,1.0,1,0,0,0,1,2,2022-01-04 12:30:00+05:30,2022-01-04 12:35:00+05:30,2022-01-04 14:50:00+05:30,4632.0,4613.098214285714,4666.023214285715,-18.9018,L
S010,DIVISLAB,2022-01-05 10:20:00+05:30,-0.172,-0.1846,0,,1.2072,25.13,-0.9031,0,1.3914,1.0,3,0,0,0,3,4,2022-01-05 10:35:00+05:30,2022-01-05 10:40:00+05:30,2022-01-05 13:30:00+05:30,4598.95,4566.8875,4656.662499999999,-32.0625,L
