signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,HDFCBANK,2023-01-02 13:00:00+05:30,-0.111,-0.0999,0,,1.5658,50.0,-0.8431,0,0.9035,0.0,3,0,1,0,3,4,2023-01-02 13:15:00+05:30,2023-01-02 13:20:00+05:30,2023-01-02 13:50:00+05:30,815.0,812.9642857142857,818.6642857142858,-2.0357,L
S002,HDFCBANK,2023-01-03 09:15:00+05:30,,,0,,1.7551,93.94,-1.0,0,3.6614,,0,0,0,1,0,1,2023-01-03 09:15:00+05:30,2023-01-03 09:20:00+05:30,2023-01-03 15:00:00+05:30,814.0,810.3392857142858,820.5892857142856,4.8,EOD+
S003,HDFCBANK,2023-01-03 09:25:00+05:30,,,0,,0.8055,58.82,-0.6032,0,1.4255,1.0,1,0,0,0,1,2,2023-01-03 09:30:00+05:30,2023-01-03 09:35:00+05:30,2023-01-03 15:00:00+05:30,813.9,809.9892857142858,820.9392857142856,4.9,EOD+
S004,HDFCBANK,2023-01-03 09:45:00+05:30,0.0412,,1,1.0,0.0521,37.5,6.5,0,1.5605,,0,1,0,1,0,1,2023-01-03 09:45:00+05:30,2023-01-03 09:50:00+05:30,2023-01-03 15:00:00+05:30,815.4,811.5607142857143,822.3107142857142,3.4,EOD+
S005,HDFCBANK,2023-01-03 10:05:00+05:30,0.0767,0.0528,2,2.0,0.4599,38.1,0.6176,0,1.2551,,0,0,1,1,0,1,2023-01-03 10:05:00+05:30,2023-01-03 10:10:00+05:30,2023-01-03 15:00:00+05:30,815.8,812.1035714285714,822.4535714285714,3.0,EOD+
S006,HDFCBANK,2023-01-03 11:40:00+05:30,0.121,0.1602,18,6.0,0.1129,44.44,3.0,0,0.5099,,0,0,1,1,0,1,2023-01-03 11:40:00+05:30,2023-01-03 11:45:00+05:30,2023-01-03 12:15:00+05:30,818.8,816.5857142857143,822.7857142857142,-2.2143,L
S007,HDFCBANK,2023-01-03 11:50:00+05:30,0.0953,0.1314,1,1.0,0.257,44.44,0.2766,0,0.6152,,0,0,1,1,0,1,2023-01-03 11:50:00+05:30,2023-01-03 11:55:00+05:30,2023-01-03 12:20:00+05:30,818.3,816.0142857142857,822.4142857142856,-2.2857,L
S008,HDFCBANK,2023-01-03 13:15:00+05:30,-0.0943,-0.0844,0,,1.5226,61.11,-1.0,0,1.0038,0.0,3,0,0,0,3,4,2023-01-03 13:30:00+05:30,2023-01-03 13:35:00+05:30,2023-01-03 15:00:00+05:30,817.0,814.5535714285714,821.4035714285715,1.8,EOD+
S009,HDFCBANK,2023-01-04 09:15:00+05:30,,,0,,1.2104,94.29,-1.0,0,2.7182,,0,0,0,1,0,1,2023-01-04 09:15:00+05:30,2023-01-04 09:20:00+05:30,2023-01-04 09:55:00+05:30,820.7,817.2714285714286,826.8714285714285,-3.4286,L
S010,HDFCBANK,2023-01-04 12:45:00+05:30,-0.2077,-0.2939,0,,0.9431,28.57,-1.0,0,0.736,1.0,3,0,0,0,3,4,2023-01-04 13:00:00+05:30,2023-01-04 13:05:00+05:30,2023-01-04 14:45:00+05:30,808.5,805.9285714285714,813.1285714285715,-2.5714,L
S011,HDFCBANK,2023-01-04 13:10:00+05:30,-0.107,-0.1546,0,,0.3072,50.0,-0.0164,0,0.8653,,0,0,0,1,0,1,2023-01-04 13:10:00+05:30,2023-01-04 13:15:00+05:30,2023-01-04 14:45:00+05:30,808.5,806.0178571428571,812.9678571428572,-2.4821,L
S012,HDFCBANK,2023-01-04 13:35:00+05:30,-0.0675,-0.0867,0,,0.8061,25.0,-0.7368,0,1.4386,1.0,3,0,0,0,3,4,2023-01-04 13:50:00+05:30,2023-01-04 13:55:00+05:30,2023-01-04 14:40:00+05:30,809.1,806.7428571428571,813.3428571428573,-2.3571,L
S013,HDFCBANK,2023-01-05 09:15:00+05:30,,,0,,1.1538,27.27,-0.1463,0,1.9449,0.0,2,0,1,0,2,3,2023-01-05 09:25:00+05:30,2023-01-05 09:30:00+05:30,2023-01-05 09:40:00+05:30,807.0,803.4464285714286,813.3964285714286,-3.5536,L
S014,HDFCBANK,2023-01-05 10:55:00+05:30,-0.1084,-0.0828,0,,1.2668,38.46,-0.6765,0,0.5271,0.0,3,0,1,0,3,4,2023-01-05 11:10:00+05:30,2023-01-05 11:15:00+05:30,2023-01-05 11:50:00+05:30,802.1,798.4392857142857,808.6892857142858,-3.6607,L
S015,HDFCBANK,2023-01-05 12:55:00+05:30,-0.0969,-0.0875,0,,0.8207,22.22,-0.6078,0,1.2058,1.0,3,0,1,0,3,4,2023-01-05 13:10:00+05:30,2023-01-05 13:15:00+05:30,2023-01-05 13:20:00+05:30,800.6,797.4928571428572,806.1928571428571,-3.1071,L
S016,HDFCBANK,2023-01-05 13:50:00+05:30,-0.0808,-0.1064,0,,1.839,50.0,-0.6661,0,0.704,0.0,3,0,1,0,3,4,2023-01-05 14:05:00+05:30,2023-01-05 14:10:00+05:30,2023-01-05 15:00:00+05:30,798.0,793.9285714285714,805.3285714285714,0.0,EOD-
S017,HDFCBANK,2023-01-05 14:15:00+05:30,-0.0514,-0.0708,0,,0.0524,25.0,0.1765,0,0.764,,0,0,1,1,0,1,2023-01-05 14:15:00+05:30,2023-01-05 14:20:00+05:30,2023-01-05 15:00:00+05:30,798.0,793.9464285714286,805.2964285714286,0.0,EOD-
S018,HDFCBANK,2023-01-05 14:25:00+05:30,-0.0182,-0.0564,1,1.0,0.017,61.54,31.0,0,1.2187,,0,0,1,1,0,1,2023-01-05 14:25:00+05:30,2023-01-05 14:30:00+05:30,2023-01-05 15:00:00+05:30,800.1,796.4214285714286,806.7214285714285,-2.1,EOD-
S019,HDFCBANK,2023-01-06 09:15:00+05:30,,,0,,0.1125,38.6,9.2439,0,3.6677,,0,0,0,1,0,1,2023-01-06 09:15:00+05:30,2023-01-06 09:20:00+05:30,2023-01-06 09:30:00+05:30,803.2,798.6464285714286,811.3964285714286,-4.5536,L
S020,HDFCBANK,2023-01-06 09:25:00+05:30,,,1,1.0,0.2108,78.38,-0.7531,0,0.4123,0.0,1,0,1,0,1,2,2023-01-06 09:30:00+05:30,2023-01-06 09:35:00+05:30,2023-01-06 10:05:00+05:30,801.2,796.3964285714286,809.8464285714286,-4.8036,L
S021,HDFCBANK,2023-01-06 09:40:00+05:30,0.0888,,1,1.0,0.1917,12.5,0.9277,0,0.5594,,0,0,0,1,0,1,2023-01-06 09:40:00+05:30,2023-01-06 09:45:00+05:30,2023-01-06 13:00:00+05:30,800.4,794.9892857142856,810.1392857142857,-5.4107,L
S022,HDFCBANK,2023-01-06 11:05:00+05:30,-0.1329,-0.1052,0,,1.3279,14.29,-0.8722,0,0.984,1.0,3,0,1,0,3,4,2023-01-06 11:20:00+05:30,2023-01-06 11:25:00+05:30,2023-01-06 13:00:00+05:30,797.2,794.2535714285715,802.5035714285715,-2.9464,L
