signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,HINDALCO,2022-01-03 11:00:00+05:30,-0.019,-0.087,1,1.0,0.3802,18.18,-0.3651,0,0.3639,1.0,1,0,1,0,1,2,2022-01-03 11:05:00+05:30,2022-01-03 11:10:00+05:30,2022-01-03 14:15:00+05:30,474.7,472.6285714285714,478.4285714285714,3.7286,W
S002,HINDALCO,2022-01-03 11:15:00+05:30,0.0574,-0.019,0,,0.0778,38.89,0.6,0,0.5671,,0,0,1,1,0,1,2022-01-03 11:15:00+05:30,2022-01-03 11:20:00+05:30,2022-01-03 14:15:00+05:30,474.5,472.4910714285714,478.1160714285714,3.6161,W
S003,HINDALCO,2022-01-03 11:25:00+05:30,-0.0053,0.0522,0,,0.8915,60.0,-1.0,0,0.488,1.0,2,0,1,0,2,3,2022-01-03 11:35:00+05:30,2022-01-03 11:40:00+05:30,2022-01-03 13:35:00+05:30,474.35,472.5553571428572,477.5803571428572,3.2304,W
S004,HINDALCO,2022-01-03 12:00:00+05:30,0.0153,-0.0506,4,1.0,0.1199,79.31,-0.4595,0,0.5945,0.0,3,0,1,0,3,4,2022-01-03 12:15:00+05:30,2022-01-03 12:20:00+05:30,2022-01-03 14:15:00+05:30,474.5,472.57142857142856,477.9714285714286,3.4714,W
S005,HINDALCO,2022-01-03 12:30:00+05:30,0.02,0.0358,0,,0.8872,25.0,-0.8312,0,0.4551,1.0,3,0,0,0,3,4,2022-01-03 12:45:00+05:30,2022-01-03 12:50:00+05:30,2022-01-03 13:35:00+05:30,474.5,472.8303571428572,477.5053571428571,3.0054,W
S006,HINDALCO,2022-01-03 12:55:00+05:30,-0.0053,0.0016,0,,0.0265,45.45,10.4286,0,0.6711,,0,1,1,1,0,1,2022-01-03 12:55:00+05:30,2022-01-03 13:00:00+05:30,2022-01-03 14:15:00+05:30,474.95,473.2982142857143,477.9232142857143,2.9732,W
S007,HINDALCO,2022-01-04 09:20:00+05:30,,,1,1.0,0.0241,42.31,24.0,0,1.3927,,0,0,0,1,0,1,2022-01-04 09:20:00+05:30,2022-01-04 09:25:00+05:30,2022-01-04 09:40:00+05:30,478.9,475.79285714285714,484.4928571428571,-3.1071,L
S008,HINDALCO,2022-01-04 09:30:00+05:30,,,0,,1.4373,37.04,-0.7118,0,1.0518,1.0,2,0,0,0,2,3,2022-01-04 09:40:00+05:30,2022-01-04 09:45:00+05:30,2022-01-04 10:45:00+05:30,478.6,475.5821428571429,484.0321428571429,-3.0179,L
S009,HINDALCO,2022-01-04 09:55:00+05:30,0.0449,0.0345,2,1.0,0.0,87.1,,1,0.416,,0,1,1,1,0,1,2022-01-04 09:55:00+05:30,2022-01-04 10:00:00+05:30,2022-01-04 10:45:00+05:30,478.9,475.10535714285714,485.7303571428571,-3.7946,L
S010,HINDALCO,2022-01-04 11:55:00+05:30,-0.1651,-0.2312,0,,0.6623,66.67,-1.0,0,1.7441,1.0,3,1,0,0,3,4,2022-01-04 12:10:00+05:30,2022-01-04 12:15:00+05:30,2022-01-04 12:40:00+05:30,476.65,474.6589285714286,480.2339285714285,-1.9911,L
S011,HINDALCO,2022-01-04 12:20:00+05:30,-0.0547,-0.1199,1,1.0,0.1884,16.67,0.4925,0,0.6641,,0,0,0,1,0,1,2022-01-04 12:20:00+05:30,2022-01-04 12:25:00+05:30,2022-01-04 13:35:00+05:30,475.15,472.9267857142857,479.1517857142857,-2.2232,L
S012,HINDALCO,2022-01-04 12:30:00+05:30,-0.0258,-0.0737,0,,0.4811,58.82,-0.2814,0,0.3989,,0,1,1,1,0,1,2022-01-04 12:30:00+05:30,2022-01-04 12:35:00+05:30,2022-01-04 13:15:00+05:30,475.65,473.4803571428571,479.55535714285713,-2.1696,L
S013,HINDALCO,2022-01-04 12:40:00+05:30,-0.0279,-0.041,1,1.0,1.5858,2.44,0.1236,0,3.4004,,0,0,0,1,0,1,2022-01-04 12:40:00+05:30,2022-01-04 12:45:00+05:30,2022-01-04 13:35:00+05:30,475.3,472.8446428571429,479.7196428571429,-2.4554,L
S014,HINDALCO,2022-01-04 12:50:00+05:30,-0.0289,-0.0284,0,,0.1463,9.09,0.4286,0,0.313,,0,0,1,1,0,1,2022-01-04 12:50:00+05:30,2022-01-04 12:55:00+05:30,2022-01-04 13:35:00+05:30,475.05,472.6571428571429,479.3571428571429,-2.3929,L
S015,HINDALCO,2022-01-04 14:00:00+05:30,-0.1028,-0.0822,0,,0.4511,9.09,-0.5862,0,0.4369,0.0,3,0,1,0,3,4,2022-01-04 14:15:00+05:30,2022-01-04 14:20:00+05:30,2022-01-04 14:35:00+05:30,474.1,472.09107142857147,477.71607142857147,3.6161,W
S016,HINDALCO,2022-01-05 09:15:00+05:30,,,0,,2.0216,64.47,-0.6695,0,1.561,,0,0,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 15:00:00+05:30,475.6,471.29642857142863,483.3464285714285,-0.6,EOD-
S017,HINDALCO,2022-01-05 09:30:00+05:30,,,1,1.0,0.8489,57.53,-0.2308,0,0.8767,0.0,2,0,0,0,2,3,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,2022-01-05 15:00:00+05:30,477.5,472.7142857142857,486.1142857142856,-2.5,EOD-
S018,HINDALCO,2022-01-05 10:00:00+05:30,0.0221,0.1365,0,,1.0032,62.5,-0.8519,0,0.8056,1.0,3,0,0,0,3,4,2022-01-05 10:15:00+05:30,2022-01-05 10:20:00+05:30,2022-01-05 15:00:00+05:30,476.65,472.44464285714287,484.2196428571429,-1.65,EOD-
S019,HINDALCO,2022-01-05 10:25:00+05:30,-0.0173,-0.0693,0,,0.4576,34.48,-0.6689,0,0.5717,0.0,1,0,1,0,1,2,2022-01-05 10:30:00+05:30,2022-01-05 10:35:00+05:30,2022-01-05 15:00:00+05:30,476.35,472.225,483.775,-1.35,EOD-
S020,HINDALCO,2022-01-05 10:40:00+05:30,-0.0163,-0.0173,1,1.0,0.0249,66.67,2.0769,0,0.299,,0,1,1,1,0,1,2022-01-05 10:40:00+05:30,2022-01-05 10:45:00+05:30,2022-01-05 15:00:00+05:30,476.15,472.8910714285714,482.0160714285714,-1.15,EOD-
S021,HINDALCO,2022-01-05 11:05:00+05:30,-0.0852,-0.0205,0,,0.8531,30.0,-0.943,0,0.6355,1.0,3,0,0,0,3,4,2022-01-05 11:20:00+05:30,2022-01-05 11:25:00+05:30,2022-01-05 15:00:00+05:30,476.25,473.6785714285714,480.8785714285714,-1.25,EOD-
S022,HINDALCO,2022-01-05 11:30:00+05:30,-0.0237,-0.0647,1,1.0,0.187,18.75,2.6364,0,0.4298,,0,0,1,1,0,1,2022-01-05 11:30:00+05:30,2022-01-05 11:35:00+05:30,2022-01-05 14:10:00+05:30,476.1,473.8946428571429,480.06964285714287,-2.2054,L
