signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,HINDALCO,2024-01-01 13:45:00+05:30,-0.037,-0.0334,0,,0.9752,0.0,-0.2079,0,3.1135,1.0,3,0,0,0,0,3,4,2024-01-01 14:00:00+05:30,2024-01-01 14:05:00+05:30,2024-01-01 14:55:00+05:30,613.95,612.6553571428572,616.2803571428573,-1.2946,L
S002,HINDALCO,2024-01-02 09:15:00+05:30,,,0,,2.9437,44.0,-0.8748,0,3.9527,1.0,2,0,0,0,0,2,3,2024-01-02 09:25:00+05:30,2024-01-02 09:30:00+05:30,2024-01-02 09:30:00+05:30,617.45,614.0571428571429,623.5571428571429,-3.3929,L
S003,HINDALCO,2024-01-02 09:55:00+05:30,0.0632,0.084,5,3.0,0.612,65.0,-0.5892,0,0.6768,0.0,2,1,0,0,0,2,3,2024-01-02 10:05:00+05:30,2024-01-02 10:10:00+05:30,2024-01-02 15:00:00+05:30,613.1,605.1446428571429,627.4196428571429,3.55,EOD+
S004,HINDALCO,2024-01-02 10:35:00+05:30,-0.0494,-0.022,0,,1.7764,79.49,-1.0,0,1.6383,1.0,3,0,1,0,0,3,4,2024-01-02 10:50:00+05:30,2024-01-02 10:55:00+05:30,2024-01-02 15:00:00+05:30,614.7,607.9589285714286,626.8339285714286,1.95,EOD+
S005,HINDALCO,2024-01-02 11:00:00+05:30,0.1435,-0.0163,0,,0.2462,50.0,-0.4355,0,0.7094,1.0,2,0,0,0,0,2,3,2024-01-02 11:10:00+05:30,2024-01-02 11:15:00+05:30,2024-01-02 15:00:00+05:30,613.75,607.4553571428571,625.0803571428571,2.9,EOD+
S006,HINDALCO,2024-01-02 11:20:00+05:30,-0.1008,0.1003,0,,0.0041,78.87,39.0,0,1.4082,,0,0,0,0,1,0,1,2024-01-02 11:20:00+05:30,2024-01-02 11:25:00+05:30,2024-01-02 15:00:00+05:30,615.7,609.5660714285715,626.7410714285714,0.95,EOD+
S007,HINDALCO,2024-01-02 11:55:00+05:30,0.0363,0.0167,6,6.0,0.0626,41.67,1.7451,0,0.2496,,0,0,0,1,1,0,1,2024-01-02 11:55:00+05:30,2024-01-02 12:00:00+05:30,2024-01-02 15:00:00+05:30,612.9,607.8107142857143,622.0607142857143,3.75,EOD+
S008,HINDALCO,2024-01-02 12:05:00+05:30,0.0204,0.0498,0,,0.5254,16.67,-0.1765,0,0.3577,1.0,1,1,0,1,0,1,2,2024-01-02 12:10:00+05:30,2024-01-02 12:15:00+05:30,2024-01-02 15:00:00+05:30,613.1,609.0553571428571,620.3803571428572,3.55,EOD+
S009,HINDALCO,2024-01-02 12:20:00+05:30,0.1418,0.0204,0,,0.4139,76.92,-0.7683,0,0.7798,1.0,1,1,0,0,0,1,2,2024-01-02 12:25:00+05:30,2024-01-02 12:30:00+05:30,2024-01-02 15:00:00+05:30,613.8,609.8892857142856,620.8392857142858,2.85,EOD+
S010,HINDALCO,2024-01-02 13:00:00+05:30,0.0627,0.0757,5,3.0,0.1497,20.83,3.6154,0,1.1469,,0,0,0,1,1,0,1,2024-01-02 13:00:00+05:30,2024-01-02 13:05:00+05:30,2024-01-02 15:00:00+05:30,614.75,612.0357142857142,619.6357142857144,1.9,EOD+
S011,HINDALCO,2024-01-02 13:10:00+05:30,0.0269,0.0794,1,1.0,0.1619,33.33,0.9718,0,1.5031,,0,1,0,0,1,0,1,2024-01-02 13:10:00+05:30,2024-01-02 13:15:00+05:30,2024-01-02 15:00:00+05:30,614.35,611.6089285714286,619.2839285714286,2.3,EOD+
S012,HINDALCO,2024-01-02 14:15:00+05:30,0.0731,0.1024,12,1.0,0.0802,53.49,4.4545,0,1.2927,,0,1,1,0,1,0,1,2024-01-02 14:15:00+05:30,2024-01-02 14:20:00+05:30,2024-01-02 15:00:00+05:30,615.9,613.3285714285714,620.5285714285715,0.75,EOD+
S013,HINDALCO,2024-01-03 10:55:00+05:30,-0.769,-0.8225,0,,2.0982,45.45,-0.9658,0,0.7337,1.0,3,1,1,1,0,3,4,2024-01-03 11:10:00+05:30,2024-01-03 11:15:00+05:30,2024-01-03 14:25:00+05:30,598.6,595.1178571428571,604.8678571428571,-3.4821,L
S014,HINDALCO,2024-01-03 11:30:00+05:30,-0.0598,-0.2654,3,3.0,0.1219,35.29,3.0741,0,0.3099,,0,0,0,1,1,0,1,2024-01-03 11:30:00+05:30,2024-01-03 11:35:00+05:30,2024-01-03 14:20:00+05:30,598.35,595.5821428571429,603.3321428571428,-2.7679,L
S015,HINDALCO,2024-01-03 12:05:00+05:30,0.0067,-0.0586,6,2.0,0.424,0.0,0.745,0,0.5364,,0,0,0,1,1,0,1,2024-01-03 12:05:00+05:30,2024-01-03 12:10:00+05:30,2024-01-03 14:15:00+05:30,598.05,595.8535714285714,602.0035714285715,-2.1964,L
S016,HINDALCO,2024-01-03 12:45:00+05:30,0.0259,0.0176,0,,1.4606,10.0,-0.751,0,2.9968,1.0,3,1,0,0,0,3,4,2024-01-03 13:00:00+05:30,2024-01-03 13:05:00+05:30,2024-01-03 14:10:00+05:30,598.5,596.4374999999999,602.2125000000001,-2.0625,L
S017,HINDALCO,2024-01-03 13:45:00+05:30,-0.0021,0.0079,8,5.0,0.5784,50.0,0.1465,0,0.7417,,0,1,0,0,1,0,1,2024-01-03 13:45:00+05:30,2024-01-03 13:50:00+05:30,2024-01-03 14:10:00+05:30,598.05,596.3535714285714,601.1035714285713,-1.6964,L
S018,HINDALCO,2024-01-04 10:05:00+05:30,-0.1672,-0.2067,0,,0.9889,69.23,-1.0,0,1.0795,1.0,3,1,0,0,0,3,4,2024-01-04 10:20:00+05:30,2024-01-04 10:25:00+05:30,2024-01-04 15:00:00+05:30,591.9,586.5339285714285,601.5589285714285,-0.9,EOD-
S019,HINDALCO,2024-01-04 11:15:00+05:30,0.0772,0.0536,10,8.0,0.0103,20.69,35.6667,0,0.7168,,0,0,0,0,1,0,1,2024-01-04 11:15:00+05:30,2024-01-04 11:20:00+05:30,2024-01-04 13:20:00+05:30,592.9,589.2660714285714,599.4410714285714,-3.6339,L
