signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ICICIBANK,2022-01-03 11:45:00+05:30,0.1062,0.1932,30,5.0,0.6325,26.67,0.3439,0,1.0977,,0,0,0,1,0,1,2022-01-03 11:45:00+05:30,2022-01-03 11:50:00+05:30,2022-01-03 12:40:00+05:30,751.0,748.5,755.5000000000001,4.5,W
S002,ICICIBANK,2022-01-04 09:35:00+05:30,,,4,4.0,0.2089,43.24,4.5629,0,1.1986,,0,1,1,1,0,1,2022-01-04 09:35:00+05:30,2022-01-04 09:40:00+05:30,2022-01-04 10:10:00+05:30,767.15,762.6321428571428,775.2821428571428,8.1321,W
S003,ICICIBANK,2022-01-04 11:05:00+05:30,0.2448,0.3541,16,7.0,0.0175,90.0,2.0769,0,0.4819,,0,0,1,1,0,1,2022-01-04 11:05:00+05:30,2022-01-04 11:10:00+05:30,2022-01-04 13:40:00+05:30,774.1,769.4571428571429,782.4571428571428,-4.6429,L
S004,ICICIBANK,2022-01-04 11:35:00+05:30,0.0633,0.1501,0,,1.0415,60.87,-0.7341,0,0.3739,1.0,3,1,1,0,3,4,2022-01-04 11:50:00+05:30,2022-01-04 11:55:00+05:30,2022-01-04 13:30:00+05:30,774.7,770.6375,782.0125,-4.0625,L
S005,ICICIBANK,2022-01-04 12:00:00+05:30,-0.0342,0.009,0,,0.302,41.67,0.1921,0,0.8421,,0,0,0,1,0,1,2022-01-04 12:00:00+05:30,2022-01-04 12:05:00+05:30,2022-01-04 13:20:00+05:30,775.0,771.875,780.6250000000001,-3.125,L
S006,ICICIBANK,2022-01-04 12:25:00+05:30,-0.0649,-0.0588,0,,0.9556,55.56,-1.0,0,1.0391,1.0,3,1,0,0,3,4,2022-01-04 12:40:00+05:30,2022-01-04 12:45:00+05:30,2022-01-04 13:20:00+05:30,774.0,771.1875,779.0625000000001,-2.8125,L
S007,ICICIBANK,2022-01-04 12:50:00+05:30,-0.0323,-0.074,0,,0.7,0.0,0.0303,0,0.7555,,0,0,0,1,0,1,2022-01-04 12:50:00+05:30,2022-01-04 12:55:00+05:30,2022-01-04 13:30:00+05:30,773.7,770.7535714285714,779.0035714285716,-2.9464,L
S008,ICICIBANK,2022-01-04 13:00:00+05:30,0.0349,-0.0514,0,,0.5337,18.92,0.6154,0,1.144,,0,0,0,1,0,1,2022-01-04 13:00:00+05:30,2022-01-04 13:05:00+05:30,2022-01-04 13:20:00+05:30,774.7,771.6553571428572,780.1803571428572,-3.0446,L
S009,ICICIBANK,2022-01-04 13:10:00+05:30,0.0627,-0.0055,0,,0.4012,35.29,0.0417,0,0.8129,,0,1,1,1,0,1,2022-01-04 13:10:00+05:30,2022-01-04 13:15:00+05:30,2022-01-04 13:20:00+05:30,774.2,771.2089285714286,779.5839285714286,-2.9911,L
S010,ICICIBANK,2022-01-04 13:45:00+05:30,-0.1397,-0.0533,0,,2.9124,9.37,-0.9008,0,0.9018,0.0,3,0,0,0,3,4,2022-01-04 14:00:00+05:30,2022-01-04 14:05:00+05:30,2022-01-04 15:00:00+05:30,773.0,769.1071428571428,780.0071428571429,1.1,EOD+
S011,ICICIBANK,2022-01-04 14:10:00+05:30,-0.057,-0.156,0,,0.0279,38.46,7.8889,0,0.5763,,0,1,1,1,0,1,2022-01-04 14:10:00+05:30,2022-01-04 14:15:00+05:30,2022-01-04 15:00:00+05:30,772.9,768.8732142857142,780.1482142857143,1.2,EOD+
S012,ICICIBANK,2022-01-04 14:25:00+05:30,-0.0058,-0.057,2,1.0,0.391,52.5,0.4516,0,1.1701,,0,0,0,1,0,1,2022-01-04 14:25:00+05:30,2022-01-04 14:30:00+05:30,2022-01-04 15:00:00+05:30,772.5,768.5357142857142,779.6357142857144,1.6,EOD+
