signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ICICIBANK,2023-01-02 11:25:00+05:30,0.1137,0.2431,26,4.0,0.6503,32.14,-0.3631,0,1.2319,0.0,2,1,0,0,0,2,3,2023-01-02 11:35:00+05:30,2023-01-02 11:40:00+05:30,2023-01-02 13:30:00+05:30,904.55,901.5321428571428,909.9821428571428,-3.0179,L
S002,ICICIBANK,2023-01-02 11:55:00+05:30,0.0299,0.0359,0,,0.8893,61.9,-0.6923,0,0.3903,0.0,3,1,0,1,0,3,4,2023-01-02 12:10:00+05:30,2023-01-02 12:15:00+05:30,2023-01-02 12:50:00+05:30,904.85,902.1089285714286,909.7839285714286,-2.7411,L
S003,ICICIBANK,2023-01-02 12:20:00+05:30,0.021,0.0254,0,,0.3161,42.31,-0.3651,0,0.7382,1.0,2,0,0,0,0,2,3,2023-01-02 12:30:00+05:30,2023-01-02 12:35:00+05:30,2023-01-02 12:50:00+05:30,904.4,901.9089285714285,908.8839285714286,-2.4911,L
S004,ICICIBANK,2023-01-02 13:50:00+05:30,-0.0523,-0.0534,0,,1.6674,7.69,-0.4785,0,0.9796,1.0,3,0,1,0,0,3,4,2023-01-02 14:05:00+05:30,2023-01-02 14:10:00+05:30,2023-01-02 14:15:00+05:30,903.0,900.125,908.175,-2.875,L
S005,ICICIBANK,2023-01-03 09:15:00+05:30,,,0,,1.9741,82.4,-1.0,0,2.487,,0,0,0,0,1,0,1,2023-01-03 09:15:00+05:30,2023-01-03 09:20:00+05:30,2023-01-03 12:15:00+05:30,903.65,898.6857142857142,912.5857142857143,-4.9643,L
S006,ICICIBANK,2023-01-03 09:25:00+05:30,,,0,,0.2402,10.0,0.3198,0,0.5258,,0,1,0,1,1,0,1,2023-01-03 09:25:00+05:30,2023-01-03 09:30:00+05:30,2023-01-03 12:30:00+05:30,902.6,897.475,911.825,-5.125,L
S007,ICICIBANK,2023-01-03 09:45:00+05:30,0.0379,,2,2.0,0.3487,52.63,-0.2086,0,0.3295,0.0,1,0,1,1,0,1,2,2023-01-03 09:50:00+05:30,2023-01-03 09:55:00+05:30,2023-01-03 12:15:00+05:30,903.6,898.6178571428571,912.5678571428572,-4.9821,L
S008,ICICIBANK,2023-01-03 10:00:00+05:30,0.0454,0.0379,1,1.0,0.3178,76.0,-0.4595,0,0.4114,0.0,1,1,0,1,0,1,2,2023-01-03 10:05:00+05:30,2023-01-03 10:10:00+05:30,2023-01-03 12:10:00+05:30,903.65,899.2839285714285,911.5089285714286,-4.3661,L
S009,ICICIBANK,2023-01-03 10:25:00+05:30,0.0487,0.0479,3,3.0,0.1496,6.67,0.5385,0,0.3164,,0,1,0,1,1,0,1,2023-01-03 10:25:00+05:30,2023-01-03 10:30:00+05:30,2023-01-03 11:40:00+05:30,903.6,900.3410714285715,909.4660714285715,-3.2589,L
S010,ICICIBANK,2023-01-03 13:00:00+05:30,-0.1112,-0.1256,0,,1.4686,31.58,-0.9034,0,1.5286,1.0,3,0,0,0,0,3,4,2023-01-03 13:15:00+05:30,2023-01-03 13:20:00+05:30,2023-01-03 15:00:00+05:30,898.75,896.1071428571428,903.507142857143,2.0,EOD+
S011,ICICIBANK,2023-01-03 13:25:00+05:30,-0.0723,-0.1068,0,,0.7872,8.0,-0.3352,0,1.0057,1.0,1,1,0,1,0,1,2,2023-01-03 13:30:00+05:30,2023-01-03 13:35:00+05:30,2023-01-03 15:00:00+05:30,898.2,895.3339285714286,903.3589285714287,2.55,EOD+
S012,ICICIBANK,2023-01-03 14:30:00+05:30,0.092,0.0879,10,2.0,0.0609,20.51,12.3333,0,3.1025,,0,1,0,0,1,0,1,2023-01-03 14:30:00+05:30,2023-01-03 14:35:00+05:30,2023-01-03 15:00:00+05:30,900.55,896.8535714285713,907.2035714285714,0.2,EOD+
S013,ICICIBANK,2023-01-04 09:15:00+05:30,,,0,,1.423,39.22,-0.9569,0,2.4132,1.0,1,1,1,0,0,1,2,2023-01-04 09:20:00+05:30,2023-01-04 09:25:00+05:30,2023-01-04 10:15:00+05:30,904.45,900.3696428571428,911.794642857143,-4.0804,L
S014,ICICIBANK,2023-01-04 10:00:00+05:30,0.0745,0.1111,7,6.0,0.379,28.13,0.2012,0,0.8305,,0,0,0,0,1,0,1,2023-01-04 10:00:00+05:30,2023-01-04 10:05:00+05:30,2023-01-04 12:10:00+05:30,902.9,897.4089285714285,912.7839285714285,-5.4911,L
S015,ICICIBANK,2023-01-04 11:25:00+05:30,-0.1487,-0.1226,0,,0.8026,72.0,-0.9103,0,2.7102,1.0,3,0,0,0,0,3,4,2023-01-04 11:40:00+05:30,2023-01-04 11:45:00+05:30,2023-01-04 12:10:00+05:30,900.5,897.0267857142857,906.7517857142858,-3.4732,L
S016,ICICIBANK,2023-01-04 11:50:00+05:30,-0.0722,-0.1041,0,,0.3587,23.33,-0.8925,0,1.4949,1.0,1,0,1,0,0,1,2,2023-01-04 11:55:00+05:30,2023-01-04 12:00:00+05:30,2023-01-04 12:10:00+05:30,900.9,897.6589285714285,906.7339285714286,-3.2411,L
S017,ICICIBANK,2023-01-04 13:20:00+05:30,-0.1092,-0.0983,0,,1.1143,23.33,-0.5751,0,0.6876,1.0,3,1,0,1,0,3,4,2023-01-04 13:35:00+05:30,2023-01-04 13:40:00+05:30,2023-01-04 15:00:00+05:30,897.15,893.4535714285714,903.8035714285714,3.1,EOD+
S018,ICICIBANK,2023-01-04 14:20:00+05:30,0.1006,0.0616,8,1.0,0.6375,60.49,0.04,0,1.5757,,0,0,1,0,1,0,1,2023-01-04 14:20:00+05:30,2023-01-04 14:25:00+05:30,2023-01-04 15:00:00+05:30,897.65,892.7482142857142,906.4732142857143,2.6,EOD+
S019,ICICIBANK,2023-01-05 09:15:00+05:30,,,0,,0.8132,24.68,0.6766,0,2.1948,,0,0,0,0,1,0,1,2023-01-05 09:15:00+05:30,2023-01-05 09:20:00+05:30,2023-01-05 09:40:00+05:30,899.95,894.8160714285715,909.1910714285715,-5.1339,L
S020,ICICIBANK,2023-01-05 09:25:00+05:30,,,0,,1.3404,2.04,-0.4503,0,1.4829,1.0,1,0,0,0,0,1,2,2023-01-05 09:30:00+05:30,2023-01-05 09:35:00+05:30,2023-01-05 09:50:00+05:30,898.85,893.0821428571429,909.2321428571429,-5.7679,L
S021,ICICIBANK,2023-01-05 14:15:00+05:30,-0.2146,-0.1717,0,,3.052,93.33,-1.0,0,1.2948,1.0,3,0,1,0,0,3,4,2023-01-05 14:30:00+05:30,2023-01-05 14:35:00+05:30,2023-01-05 15:00:00+05:30,878.15,873.0160714285714,887.3910714285713,-0.9,EOD-
S022,ICICIBANK,2023-01-06 11:45:00+05:30,-0.0988,-0.2094,0,,0.577,50.0,-0.8689,0,0.6837,1.0,3,0,0,1,0,3,4,2023-01-06 12:00:00+05:30,2023-01-06 12:05:00+05:30,2023-01-06 12:55:00+05:30,868.0,864.6964285714286,873.9464285714286,-3.3036,L
S023,ICICIBANK,2023-01-06 12:10:00+05:30,-0.0208,-0.0525,1,1.0,0.1036,37.5,2.7736,0,0.7266,,0,0,0,1,1,0,1,2023-01-06 12:10:00+05:30,2023-01-06 12:15:00+05:30,2023-01-06 12:55:00+05:30,868.0,864.8035714285714,873.7535714285715,-3.1964,L
S024,ICICIBANK,2023-01-06 13:45:00+05:30,-0.1501,-0.1543,0,,1.2546,59.18,-0.8875,0,1.141,1.0,3,1,0,0,0,3,4,2023-01-06 14:00:00+05:30,2023-01-06 14:05:00+05:30,2023-01-06 15:00:00+05:30,864.05,859.6214285714285,872.0214285714286,4.0,EOD+
S025,ICICIBANK,2023-01-06 14:15:00+05:30,-0.0874,-0.121,2,1.0,0.1975,58.97,-0.6748,0,1.3559,1.0,1,0,0,0,0,1,2,2023-01-06 14:20:00+05:30,2023-01-06 14:25:00+05:30,2023-01-06 15:00:00+05:30,866.45,862.5571428571428,873.4571428571429,1.6,EOD+
S026,ICICIBANK,2023-01-09 09:15:00+05:30,,,0,,0.2648,85.44,1.1005,0,4.8091,,0,0,1,0,1,0,1,2023-01-09 09:15:00+05:30,2023-01-09 09:20:00+05:30,2023-01-09 09:25:00+05:30,867.8,862.6303571428571,877.1053571428572,-5.1696,L
S027,ICICIBANK,2023-01-09 09:25:00+05:30,,,0,,1.9978,2.6,-0.248,0,1.7226,0.0,1,1,1,0,0,1,2,2023-01-09 09:30:00+05:30,2023-01-09 09:35:00+05:30,2023-01-09 15:00:00+05:30,869.3,863.3089285714285,880.0839285714286,2.2,EOD+
S028,ICICIBANK,2023-01-09 09:45:00+05:30,0.1129,,2,2.0,0.3203,49.23,-0.455,0,0.5349,1.0,1,1,1,1,0,1,2,2023-01-09 09:50:00+05:30,2023-01-09 09:55:00+05:30,2023-01-09 15:00:00+05:30,869.75,862.5892857142857,882.6392857142857,1.75,EOD+
S029,ICICIBANK,2023-01-09 11:15:00+05:30,0.1132,0.1087,0,,1.0919,60.0,-0.6359,0,2.0709,1.0,3,1,1,1,0,3,4,2023-01-09 11:30:00+05:30,2023-01-09 11:35:00+05:30,2023-01-09 13:45:00+05:30,874.2,869.7982142857143,882.1232142857143,-4.4018,L
