signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,INDUSINDBK,2023-01-02 10:55:00+05:30,-0.0279,-0.0209,0,,0.7576,47.83,-0.6078,0,0.8104,1.0,2,0,1,0,2,3,2023-01-02 11:05:00+05:30,2023-01-02 11:10:00+05:30,2023-01-02 12:20:00+05:30,1221.2,1214.4678571428572,1233.3178571428575,-6.7321,L
S002,INDUSINDBK,2023-01-02 11:20:00+05:30,-0.0388,-0.0416,1,1.0,0.6826,95.92,-0.9681,0,1.5234,1.0,1,0,0,0,1,2,2023-01-02 11:25:00+05:30,2023-01-02 11:30:00+05:30,2023-01-02 12:25:00+05:30,1219.15,1213.4089285714283,1229.4839285714288,-5.7411,L
S003,INDUSINDBK,2023-01-02 12:40:00+05:30,-0.0978,-0.0647,0,,2.2255,50.0,-0.7425,0,0.6398,1.0,3,0,1,0,3,4,2023-01-02 12:55:00+05:30,2023-01-02 13:00:00+05:30,2023-01-02 14:45:00+05:30,1216.7,1212.119642857143,1224.944642857143,8.2446,W
S004,INDUSINDBK,2023-01-02 13:45:00+05:30,0.0606,0.0612,9,7.0,0.0307,74.55,6.8261,0,1.6341,,0,0,0,1,0,1,2023-01-02 13:45:00+05:30,2023-01-02 13:50:00+05:30,2023-01-02 14:45:00+05:30,1218.0,1213.3125,1226.4375,8.4375,W
S005,INDUSINDBK,2023-01-02 13:55:00+05:30,0.0407,0.0663,0,,0.4314,36.67,-0.5364,0,0.7963,,0,1,0,1,0,1,2023-01-02 13:55:00+05:30,2023-01-02 14:00:00+05:30,2023-01-02 14:45:00+05:30,1217.9,1213.525,1225.7750000000003,7.875,W
S006,INDUSINDBK,2023-01-02 14:05:00+05:30,0.0597,0.0505,0,,0.4994,33.96,0.4958,0,0.3077,,0,0,1,1,0,1,2023-01-02 14:05:00+05:30,2023-01-02 14:10:00+05:30,2023-01-02 14:50:00+05:30,1219.4,1214.882142857143,1227.532142857143,8.1321,W
S007,INDUSINDBK,2023-01-03 11:05:00+05:30,0.3089,0.3758,22,10.0,0.1978,31.51,0.6084,0,0.7778,,0,0,0,1,0,1,2023-01-03 11:05:00+05:30,2023-01-03 11:10:00+05:30,2023-01-03 12:55:00+05:30,1240.1,1231.0642857142857,1256.3642857142856,-9.0357,L
S008,INDUSINDBK,2023-01-03 13:00:00+05:30,-0.1293,-0.1963,0,,2.0206,40.0,-0.9418,0,1.2495,0.0,3,0,0,0,3,4,2023-01-03 13:15:00+05:30,2023-01-03 13:20:00+05:30,2023-01-03 14:50:00+05:30,1235.0,1228.625,1246.475,11.475,W
S009,INDUSINDBK,2023-01-03 13:25:00+05:30,-0.1242,-0.1397,0,,0.9333,28.89,-0.2327,0,0.6758,0.0,1,1,0,0,1,2,2023-01-03 13:30:00+05:30,2023-01-03 13:35:00+05:30,2023-01-03 14:50:00+05:30,1235.0,1229.5892857142856,1244.739285714286,9.7393,W
S010,INDUSINDBK,2023-01-04 09:30:00+05:30,,,3,3.0,0.3368,7.14,0.6651,0,1.7431,,0,1,0,1,0,1,2023-01-04 09:30:00+05:30,2023-01-04 09:35:00+05:30,2023-01-04 09:50:00+05:30,1244.65,1225.0339285714288,1279.9589285714287,-19.6161,L
S011,INDUSINDBK,2023-01-04 12:20:00+05:30,-0.2925,-0.2496,0,,1.287,29.23,-0.7929,0,0.5946,0.0,3,0,1,0,3,4,2023-01-04 12:35:00+05:30,2023-01-04 12:40:00+05:30,2023-01-04 15:00:00+05:30,1217.6,1206.8142857142857,1237.0142857142855,6.05,EOD+
S012,INDUSINDBK,2023-01-04 14:20:00+05:30,0.2384,0.3384,20,5.0,0.269,83.0,0.1075,0,1.5332,,0,1,0,1,0,1,2023-01-04 14:20:00+05:30,2023-01-04 14:25:00+05:30,2023-01-04 15:00:00+05:30,1224.65,1217.5160714285714,1237.4910714285716,-1.0,EOD-
S013,INDUSINDBK,2023-01-05 09:20:00+05:30,,,1,1.0,0.98,79.57,-0.6825,0,0.7978,0.0,1,0,1,0,1,2,2023-01-05 09:25:00+05:30,2023-01-05 09:30:00+05:30,2023-01-05 09:40:00+05:30,1226.6,1216.1535714285712,1245.4035714285712,-10.4464,L
S014,INDUSINDBK,2023-01-05 10:15:00+05:30,-0.1354,-0.1695,0,,0.9689,1.14,-0.8575,0,0.3708,0.0,3,0,0,0,3,4,2023-01-05 10:30:00+05:30,2023-01-05 10:35:00+05:30,2023-01-05 13:20:00+05:30,1220.05,1205.567857142857,1246.117857142857,-14.4821,L
S015,INDUSINDBK,2023-01-05 10:50:00+05:30,-0.0911,-0.092,0,,1.1758,1.69,-0.4792,0,0.2634,1.0,3,0,1,0,3,4,2023-01-05 11:05:00+05:30,2023-01-05 11:10:00+05:30,2023-01-05 11:55:00+05:30,1218.15,1210.5964285714283,1231.7464285714286,-7.5536,L
S016,INDUSINDBK,2023-01-05 11:15:00+05:30,-0.1664,-0.125,0,,0.3422,60.61,-1.0,0,0.397,,0,0,1,1,0,1,2023-01-05 11:15:00+05:30,2023-01-05 11:20:00+05:30,2023-01-05 11:55:00+05:30,1217.1,1211.055357142857,1227.9803571428572,-6.0446,L
S017,INDUSINDBK,2023-01-05 11:50:00+05:30,-0.0329,-0.0501,0,,1.7015,24.49,-0.8481,0,1.7795,1.0,3,0,0,0,3,4,2023-01-05 12:05:00+05:30,2023-01-05 12:10:00+05:30,2023-01-05 13:20:00+05:30,1215.6,1209.7964285714286,1226.0464285714286,-5.8036,L
S018,INDUSINDBK,2023-01-05 12:15:00+05:30,-0.0907,-0.0576,0,,0.2879,34.15,-0.3311,0,0.7588,,0,1,1,1,0,1,2023-01-05 12:15:00+05:30,2023-01-05 12:20:00+05:30,2023-01-05 13:20:00+05:30,1216.0,1209.508928571429,1227.6839285714286,-6.4911,L
S019,INDUSINDBK,2023-01-05 12:55:00+05:30,-0.0795,-0.0504,0,,0.7511,70.27,-1.0,0,1.3605,1.0,3,0,1,0,3,4,2023-01-05 13:10:00+05:30,2023-01-05 13:15:00+05:30,2023-01-05 13:20:00+05:30,1215.1,1208.742857142857,1226.5428571428572,-6.3571,L
S020,INDUSINDBK,2023-01-05 13:45:00+05:30,-0.1283,-0.0909,0,,1.1987,41.3,-0.9606,0,1.2862,1.0,3,1,0,0,3,4,2023-01-05 14:00:00+05:30,2023-01-05 14:05:00+05:30,2023-01-05 15:00:00+05:30,1212.15,1204.2035714285714,1226.4535714285716,2.15,EOD+
S021,INDUSINDBK,2023-01-05 14:10:00+05:30,-0.1026,-0.1125,0,,0.0502,5.41,1.0896,0,0.708,,0,0,0,1,0,1,2023-01-05 14:10:00+05:30,2023-01-05 14:15:00+05:30,2023-01-05 15:00:00+05:30,1210.9,1202.5607142857143,1225.9107142857144,3.4,EOD+
S022,INDUSINDBK,2023-01-06 10:35:00+05:30,-0.3899,-0.3991,0,,1.8652,71.83,-0.8844,0,0.7852,1.0,3,0,0,0,3,4,2023-01-06 10:50:00+05:30,2023-01-06 10:55:00+05:30,2023-01-06 12:25:00+05:30,1204.2,1193.182142857143,1224.032142857143,-11.0179,L
S023,INDUSINDBK,2023-01-06 11:00:00+05:30,-0.2393,-0.3531,0,,0.577,27.94,0.0021,0,0.5542,,0,1,0,1,0,1,2023-01-06 11:00:00+05:30,2023-01-06 11:05:00+05:30,2023-01-06 12:30:00+05:30,1201.4,1191.239285714286,1219.6892857142857,-10.1607,L
