signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,INFY,2023-01-02 10:55:00+05:30,0.0582,0.0142,0,,0.5801,0.0,-0.4882,0,1.0685,1.0,1,1,0,0,1,2,2023-01-02 11:00:00+05:30,2023-01-02 11:05:00+05:30,2023-01-02 13:25:00+05:30,1513.4,1507.926785714286,1523.2517857142857,9.8518,W
S002,INFY,2023-01-03 09:15:00+05:30,,,0,,2.3279,51.82,-0.78,0,0.8075,0.0,3,0,0,0,3,4,2023-01-03 09:30:00+05:30,2023-01-03 09:35:00+05:30,2023-01-03 15:00:00+05:30,1522.0,1514.678571428571,1535.1785714285716,7.65,EOD+
S003,INFY,2023-01-03 09:50:00+05:30,0.0489,,2,2.0,0.0552,46.94,3.5238,0,0.2785,,0,1,0,1,0,1,2023-01-03 09:50:00+05:30,2023-01-03 09:55:00+05:30,2023-01-03 15:00:00+05:30,1523.65,1514.1410714285714,1540.7660714285716,6.0,EOD+
S004,INFY,2023-01-03 10:55:00+05:30,0.0949,0.0674,11,4.0,0.7563,38.61,0.5502,0,1.0468,,0,0,0,1,0,1,2023-01-03 10:55:00+05:30,2023-01-03 11:00:00+05:30,2023-01-03 15:00:00+05:30,1526.35,1520.9125,1536.1374999999998,3.3,EOD+
S005,INFY,2023-01-03 11:55:00+05:30,0.0847,0.1081,11,4.0,0.5509,39.22,0.1186,0,0.6621,,0,0,0,1,0,1,2023-01-03 11:55:00+05:30,2023-01-03 12:00:00+05:30,2023-01-03 12:20:00+05:30,1529.25,1524.1785714285716,1538.3785714285714,-5.0714,L
S006,INFY,2023-01-03 13:05:00+05:30,-0.0373,-0.0344,0,,0.465,24.24,-0.734,0,0.4437,0.0,3,1,1,0,3,4,2023-01-03 13:20:00+05:30,2023-01-03 13:25:00+05:30,2023-01-03 15:00:00+05:30,1527.8,1522.7464285714286,1536.8964285714285,1.85,EOD+
S007,INFY,2023-01-03 13:30:00+05:30,-0.0609,-0.0468,0,,0.0059,13.21,59.0,0,1.1901,,0,0,0,1,0,1,2023-01-03 13:30:00+05:30,2023-01-03 13:35:00+05:30,2023-01-03 15:00:00+05:30,1528.05,1523.8267857142855,1535.6517857142858,1.6,EOD+
S008,INFY,2023-01-03 13:40:00+05:30,-0.0591,-0.0602,0,,1.6361,15.09,-0.3986,0,1.5735,0.0,1,1,0,0,1,2,2023-01-03 13:45:00+05:30,2023-01-03 13:50:00+05:30,2023-01-03 15:00:00+05:30,1528.25,1523.803571428571,1536.2535714285716,1.4,EOD+
S009,INFY,2023-01-03 14:10:00+05:30,0.0398,-0.02,4,3.0,0.1455,68.42,-1.0,0,0.4377,0.0,1,0,1,0,1,2,2023-01-03 14:15:00+05:30,2023-01-03 14:20:00+05:30,2023-01-03 15:00:00+05:30,1528.8,1524.505357142857,1536.5303571428574,0.85,EOD+
S010,INFY,2023-01-04 12:10:00+05:30,-0.2267,-0.2143,0,,2.1399,74.55,-0.978,0,0.4999,0.0,3,0,1,0,3,4,2023-01-04 12:25:00+05:30,2023-01-04 12:30:00+05:30,2023-01-04 14:15:00+05:30,1498.5,1493.178571428571,1508.0785714285714,9.5786,W
S011,INFY,2023-01-04 12:35:00+05:30,-0.105,-0.1826,0,,1.2827,66.07,-0.6506,0,0.9358,0.0,2,0,1,0,2,3,2023-01-04 12:45:00+05:30,2023-01-04 12:50:00+05:30,2023-01-04 14:15:00+05:30,1498.5,1493.7589285714284,1507.0339285714283,8.5339,W
S012,INFY,2023-01-04 13:10:00+05:30,-0.0018,-0.0639,4,4.0,0.3437,70.49,0.2364,0,0.8891,,0,1,0,1,0,1,2023-01-04 13:10:00+05:30,2023-01-04 13:15:00+05:30,2023-01-04 13:50:00+05:30,1497.7,1492.7,1506.7000000000005,9.0,W
S013,INFY,2023-01-04 13:20:00+05:30,0.0,-0.0107,0,,1.0813,55.38,-0.3998,0,0.7724,,0,0,0,1,0,1,2023-01-04 13:20:00+05:30,2023-01-04 13:25:00+05:30,2023-01-04 14:15:00+05:30,1498.3,1492.9071428571426,1508.007142857143,9.7071,W
S014,INFY,2023-01-04 14:25:00+05:30,0.1371,0.1281,12,2.0,0.1698,66.67,1.0994,0,0.8882,,0,0,0,1,0,1,2023-01-04 14:25:00+05:30,2023-01-04 14:30:00+05:30,2023-01-04 14:50:00+05:30,1503.0,1496.3392857142856,1514.989285714286,-6.6607,L
S015,INFY,2023-01-05 10:05:00+05:30,-0.1929,-0.2467,0,,0.5508,45.71,-0.8745,0,2.6783,1.0,3,1,0,0,3,4,2023-01-05 10:20:00+05:30,2023-01-05 10:25:00+05:30,2023-01-05 11:50:00+05:30,1494.2,1483.3517857142858,1513.7267857142858,-10.8482,L
S016,INFY,2023-01-05 11:00:00+05:30,0.024,0.0005,7,6.0,0.0945,12.0,0.6438,0,0.1818,,0,0,1,1,0,1,2023-01-05 11:00:00+05:30,2023-01-05 11:05:00+05:30,2023-01-05 11:50:00+05:30,1492.8,1487.9696428571428,1501.4946428571427,-4.8304,L
S017,INFY,2023-01-05 11:20:00+05:30,0.0462,0.0211,3,2.0,0.0715,46.67,1.449,0,0.4318,,0,0,1,1,0,1,2023-01-05 11:20:00+05:30,2023-01-05 11:25:00+05:30,2023-01-05 11:50:00+05:30,1493.65,1489.364285714286,1501.3642857142856,-4.2857,L
S018,INFY,2023-01-05 14:10:00+05:30,-0.1777,-0.2265,0,,1.9072,24.14,-0.9874,0,4.1791,1.0,3,0,0,0,3,4,2023-01-05 14:25:00+05:30,2023-01-05 14:30:00+05:30,2023-01-05 15:00:00+05:30,1474.3,1469.1125,1483.6375,0.35,EOD+
S019,INFY,2023-01-06 13:25:00+05:30,-0.1015,-0.0714,0,,2.0516,23.08,-0.8534,0,0.6705,0.0,3,0,0,0,3,4,2023-01-06 13:40:00+05:30,2023-01-06 13:45:00+05:30,2023-01-06 14:05:00+05:30,1454.85,1451.1089285714286,1461.5839285714285,-3.7411,L
S020,INFY,2023-01-06 14:05:00+05:30,-0.0495,-0.0588,0,,1.7114,86.0,-0.9293,0,1.2659,0.0,3,0,0,0,3,4,2023-01-06 14:20:00+05:30,2023-01-06 14:25:00+05:30,2023-01-06 14:55:00+05:30,1453.8,1449.6660714285713,1461.2410714285716,-4.1339,L
S021,INFY,2023-01-06 14:30:00+05:30,-0.047,-0.0611,0,,0.2584,6.67,0.5642,0,0.97,,0,1,1,1,0,1,2023-01-06 14:30:00+05:30,2023-01-06 14:35:00+05:30,2023-01-06 14:55:00+05:30,1453.9,1449.569642857143,1461.694642857143,-4.3304,L
S022,INFY,2023-01-09 09:15:00+05:30,,,0,,1.0018,66.31,-1.0,0,5.3414,,0,1,0,1,0,1,2023-01-09 09:15:00+05:30,2023-01-09 09:20:00+05:30,2023-01-09 10:00:00+05:30,1460.7,1452.2089285714287,1475.9839285714286,15.2839,W
S023,INFY,2023-01-09 12:20:00+05:30,0.1143,0.1599,36,1.0,0.0163,82.26,11.0,0,2.275,,0,0,0,1,0,1,2023-01-09 12:20:00+05:30,2023-01-09 12:25:00+05:30,2023-01-09 15:00:00+05:30,1485.25,1479.5089285714284,1495.5839285714287,-1.95,EOD-
S024,INFY,2023-01-09 13:40:00+05:30,-0.0815,-0.0621,0,,2.2611,17.86,-0.8356,0,0.9374,1.0,3,1,1,0,3,4,2023-01-09 13:55:00+05:30,2023-01-09 14:00:00+05:30,2023-01-09 15:00:00+05:30,1483.45,1479.4142857142858,1490.7142857142858,-0.15,EOD-
S025,INFY,2023-01-09 14:10:00+05:30,-0.0423,-0.0858,2,2.0,0.1224,32.08,4.4167,0,3.0585,,0,1,0,1,0,1,2023-01-09 14:10:00+05:30,2023-01-09 14:15:00+05:30,2023-01-09 15:00:00+05:30,1485.6,1480.698214285714,1494.4232142857145,-2.3,EOD-
S026,INFY,2023-01-11 09:50:00+05:30,-0.1272,,0,,0.9271,28.57,-0.8261,0,1.6948,1.0,3,1,0,0,3,4,2023-01-11 10:05:00+05:30,2023-01-11 10:10:00+05:30,2023-01-11 14:15:00+05:30,1484.1,1470.1446428571428,1509.2196428571428,-13.9554,L
S027,INFY,2023-01-11 11:05:00+05:30,0.082,0.0764,11,7.0,0.4822,6.67,0.3775,0,0.5207,,0,1,1,1,0,1,2023-01-11 11:05:00+05:30,2023-01-11 11:10:00+05:30,2023-01-11 13:00:00+05:30,1485.3,1475.5142857142855,1502.9142857142858,-9.7857,L
S028,INFY,2023-01-11 12:15:00+05:30,-0.1523,-0.0476,0,,1.7257,6.06,-0.7786,0,1.8655,1.0,3,1,1,0,3,4,2023-01-11 12:30:00+05:30,2023-01-11 12:35:00+05:30,2023-01-11 12:55:00+05:30,1484.15,1476.9535714285714,1497.1035714285715,-7.1964,L
S029,INFY,2023-01-12 09:30:00+05:30,,,3,2.0,0.0953,62.03,0.2903,0,0.6838,,0,0,1,1,0,1,2023-01-12 09:30:00+05:30,2023-01-12 09:35:00+05:30,2023-01-12 09:40:00+05:30,1475.9,1465.7392857142856,1494.189285714286,-10.1607,L
S030,INFY,2023-01-12 10:40:00+05:30,-0.1781,-0.2268,0,,1.0998,86.11,-0.9513,0,0.6044,1.0,3,0,0,0,3,4,2023-01-12 10:55:00+05:30,2023-01-12 11:00:00+05:30,2023-01-12 15:00:00+05:30,1465.95,1454.2892857142858,1486.939285714286,6.8,EOD+
S031,INFY,2023-01-12 11:10:00+05:30,-0.1856,-0.1543,2,2.0,0.3275,35.42,0.791,0,0.5356,,0,0,0,1,0,1,2023-01-12 11:10:00+05:30,2023-01-12 11:15:00+05:30,2023-01-12 12:25:00+05:30,1463.5,1457.107142857143,1475.007142857143,11.5071,W
S032,INFY,2023-01-12 11:40:00+05:30,0.0784,-0.0579,5,5.0,0.3104,2.56,1.3108,0,0.7762,,0,1,1,1,0,1,2023-01-12 11:40:00+05:30,2023-01-12 11:45:00+05:30,2023-01-12 11:55:00+05:30,1464.5,1459.4464285714284,1473.5964285714288,-5.0536,L
S033,INFY,2023-01-12 11:50:00+05:30,0.0383,0.0507,0,,1.6345,78.12,-0.789,0,1.7848,1.0,3,0,1,0,3,4,2023-01-12 12:05:00+05:30,2023-01-12 12:10:00+05:30,2023-01-12 12:25:00+05:30,1465.15,1459.7125,1474.9375000000002,9.7875,W
S034,INFY,2023-01-12 13:30:00+05:30,0.1055,0.1364,0,,1.642,70.77,-0.9789,0,0.9843,1.0,3,0,1,0,3,4,2023-01-12 13:45:00+05:30,2023-01-12 13:50:00+05:30,2023-01-12 15:00:00+05:30,1473.25,1466.044642857143,1486.2196428571428,-0.5,EOD-
S035,INFY,2023-01-13 09:20:00+05:30,,,1,1.0,0.3982,69.06,-0.9406,0,1.8997,1.0,1,1,0,0,1,2,2023-01-13 09:25:00+05:30,2023-01-13 09:30:00+05:30,2023-01-13 09:40:00+05:30,1478.75,1468.1875,1497.7625,-10.5625,L
S036,INFY,2023-01-13 10:15:00+05:30,0.0176,-0.0655,0,,0.4083,16.98,-0.5889,0,0.3077,1.0,3,0,1,0,3,4,2023-01-13 10:30:00+05:30,2023-01-13 10:35:00+05:30,2023-01-13 12:20:00+05:30,1477.25,1462.357142857143,1504.057142857143,26.8071,W
S037,INFY,2023-01-13 14:20:00+05:30,0.2309,0.2483,45,3.0,0.4912,56.44,0.4332,0,0.9546,,0,0,0,1,0,1,2023-01-13 14:20:00+05:30,2023-01-13 14:25:00+05:30,2023-01-13 14:35:00+05:30,1515.2,1507.3875,1529.2625000000005,-7.8125,L
S038,INFY,2023-01-16 09:15:00+05:30,,,0,,0.5103,5.22,-0.2634,0,0.5839,0.0,3,0,0,0,3,4,2023-01-16 09:30:00+05:30,2023-01-16 09:35:00+05:30,2023-01-16 15:00:00+05:30,1509.0,1498.0267857142858,1528.7517857142857,14.95,EOD+
S039,INFY,2023-01-16 11:35:00+05:30,0.1652,0.2165,23,11.0,0.1864,43.59,0.7593,0,0.5326,,0,0,0,1,0,1,2023-01-16 11:35:00+05:30,2023-01-16 11:40:00+05:30,2023-01-16 15:00:00+05:30,1522.0,1514.758928571429,1535.0339285714283,1.95,EOD+
S040,INFY,2023-01-16 11:50:00+05:30,0.1325,0.1652,1,1.0,0.3417,24.71,1.1505,0,3.027,,0,1,0,1,0,1,2023-01-16 11:50:00+05:30,2023-01-16 11:55:00+05:30,2023-01-16 12:00:00+05:30,1524.65,1517.8464285714288,1536.8964285714287,-6.8036,L
S041,INFY,2023-01-16 12:20:00+05:30,-0.0488,0.0747,0,,1.8901,1.52,-0.6145,0,1.2887,0.0,3,0,0,0,3,4,2023-01-16 12:35:00+05:30,2023-01-16 12:40:00+05:30,2023-01-16 15:00:00+05:30,1521.35,1514.1446428571428,1534.3196428571428,2.6,EOD+
S042,INFY,2023-01-16 12:45:00+05:30,-0.0454,-0.0675,0,,0.7357,59.52,-0.7011,0,1.2304,1.0,3,0,0,0,3,4,2023-01-16 13:00:00+05:30,2023-01-16 13:05:00+05:30,2023-01-16 15:00:00+05:30,1522.0,1515.178571428571,1534.2785714285717,1.95,EOD+
S043,INFY,2023-01-16 14:00:00+05:30,0.0517,0.0552,0,,1.9054,28.26,-0.763,0,0.4143,0.0,3,0,1,0,3,4,2023-01-16 14:15:00+05:30,2023-01-16 14:20:00+05:30,2023-01-16 15:00:00+05:30,1522.55,1516.7375,1533.0125,1.4,EOD+
S044,INFY,2023-01-17 10:45:00+05:30,0.1837,0.2108,18,9.0,0.1228,55.0,1.4528,0,0.5209,,0,0,0,1,0,1,2023-01-17 10:45:00+05:30,2023-01-17 10:50:00+05:30,2023-01-17 15:00:00+05:30,1535.6,1530.2071428571428,1545.3071428571427,-0.05,EOD-
S045,INFY,2023-01-17 11:25:00+05:30,-0.0192,0.0342,0,,1.1271,28.57,-0.7534,0,0.8969,1.0,3,1,0,0,3,4,2023-01-17 11:40:00+05:30,2023-01-17 11:45:00+05:30,2023-01-17 15:00:00+05:30,1537.0,1532.053571428571,1545.9035714285717,-1.45,EOD-
S046,INFY,2023-01-17 11:50:00+05:30,-0.0127,-0.0114,1,1.0,0.1398,8.0,1.807,0,0.3604,,0,1,1,1,0,1,2023-01-17 11:50:00+05:30,2023-01-17 11:55:00+05:30,2023-01-17 15:00:00+05:30,1536.2,1531.1017857142856,1545.376785714286,-0.65,EOD-
S047,INFY,2023-01-17 13:20:00+05:30,-0.0047,0.0117,0,,0.4243,75.0,-1.0,0,2.4593,1.0,3,0,0,0,3,4,2023-01-17 13:35:00+05:30,2023-01-17 13:40:00+05:30,2023-01-17 13:45:00+05:30,1538.25,1535.053571428571,1544.0035714285714,-3.1964,L
S048,INFY,2023-01-17 13:45:00+05:30,-0.0119,-0.0153,1,1.0,0.131,71.88,-0.5238,0,0.7215,1.0,1,0,1,0,1,2,2023-01-17 13:50:00+05:30,2023-01-17 13:55:00+05:30,2023-01-17 15:00:00+05:30,1536.0,1531.991071428571,1543.2160714285717,-0.45,EOD-
S049,INFY,2023-01-17 14:00:00+05:30,-0.0121,-0.0119,0,,0.6271,15.15,0.0698,0,1.5355,,0,0,0,1,0,1,2023-01-17 14:00:00+05:30,2023-01-17 14:05:00+05:30,2023-01-17 15:00:00+05:30,1535.15,1530.864285714286,1542.864285714286,0.4,EOD+
S050,INFY,2023-01-17 14:10:00+05:30,0.0034,-0.0086,0,,0.1948,43.94,-0.7241,0,1.0323,,0,0,0,1,0,1,2023-01-17 14:10:00+05:30,2023-01-17 14:15:00+05:30,2023-01-17 15:00:00+05:30,1536.45,1531.7982142857145,1544.8232142857144,-0.9,EOD-
S051,INFY,2023-01-17 14:20:00+05:30,0.0163,-0.0091,1,1.0,0.397,83.72,-0.8131,0,1.3967,1.0,1,0,0,0,1,2,2023-01-17 14:25:00+05:30,2023-01-17 14:30:00+05:30,2023-01-17 15:00:00+05:30,1535.5,1530.4464285714284,1544.5964285714288,0.05,EOD+
S052,INFY,2023-01-18 10:55:00+05:30,0.0966,0.1229,20,8.0,0.162,64.79,-0.3069,0,0.7207,1.0,1,0,0,0,1,2,2023-01-18 11:00:00+05:30,2023-01-18 11:05:00+05:30,2023-01-18 15:00:00+05:30,1546.75,1538.955357142857,1560.7803571428574,0.25,EOD+
S053,INFY,2023-01-18 11:25:00+05:30,0.0808,0.0914,4,2.0,0.3203,50.0,-0.9438,0,0.3439,1.0,2,0,0,0,2,3,2023-01-18 11:35:00+05:30,2023-01-18 11:40:00+05:30,2023-01-18 15:00:00+05:30,1546.65,1539.7035714285714,1559.1535714285717,0.35,EOD+
S054,INFY,2023-01-18 11:45:00+05:30,0.0396,0.0698,0,,0.257,72.97,-0.234,0,0.3157,,0,0,1,1,0,1,2023-01-18 11:45:00+05:30,2023-01-18 11:50:00+05:30,2023-01-18 15:00:00+05:30,1547.35,1541.635714285714,1557.6357142857144,-0.35,EOD-
