signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,INFY,2024-01-01 10:55:00+05:30,-0.0003,-0.035,0,,0.1227,54.35,3.4211,0,0.815,,0,0,0,1,1,0,1,2024-01-01 10:55:00+05:30,2024-01-01 11:00:00+05:30,2024-01-01 12:45:00+05:30,1543.05,1538.2107142857142,1551.7607142857144,8.7107,W
S002,INFY,2024-01-01 11:45:00+05:30,0.0636,0.0938,9,6.0,0.0897,5.41,2.299,0,1.0156,,0,0,1,0,1,0,1,2024-01-01 11:45:00+05:30,2024-01-01 11:50:00+05:30,2024-01-01 14:55:00+05:30,1544.45,1537.6910714285714,1556.6160714285716,12.1661,W
S003,INFY,2024-01-01 11:55:00+05:30,0.0562,0.0656,0,,0.5738,41.18,-0.1531,0,1.6443,1.0,3,0,1,0,0,3,4,2024-01-01 12:10:00+05:30,2024-01-01 12:15:00+05:30,2024-01-01 15:00:00+05:30,1545.15,1538.4625,1557.1875,11.2,EOD+
S004,INFY,2024-01-01 12:25:00+05:30,0.0487,0.0557,0,,1.2136,50.0,-0.908,0,1.6787,1.0,3,1,0,1,0,3,4,2024-01-01 12:40:00+05:30,2024-01-01 12:45:00+05:30,2024-01-01 14:10:00+05:30,1544.9,1539.3017857142859,1554.9767857142858,10.0768,W
S005,INFY,2024-01-02 12:00:00+05:30,-0.1817,-0.1998,0,,1.0125,26.19,-1.0,0,0.891,1.0,3,0,0,0,0,3,4,2024-01-02 12:15:00+05:30,2024-01-02 12:20:00+05:30,2024-01-02 15:00:00+05:30,1529.45,1524.0303571428572,1539.205357142857,4.05,EOD+
S006,INFY,2024-01-02 13:00:00+05:30,-0.0018,-0.0187,7,3.0,0.3217,57.58,-0.6985,0,0.8973,0.0,1,1,0,1,0,1,2,2024-01-02 13:05:00+05:30,2024-01-02 13:10:00+05:30,2024-01-02 14:45:00+05:30,1528.5,1524.6339285714287,1535.4589285714285,6.9589,W
S007,INFY,2024-01-03 11:05:00+05:30,-0.3351,-0.5773,0,,1.1383,54.9,-0.8391,0,0.5977,0.0,3,0,0,1,0,3,4,2024-01-03 11:20:00+05:30,2024-01-03 11:25:00+05:30,2024-01-03 14:20:00+05:30,1501.0,1496.2232142857142,1509.5982142857144,-4.7768,L
S008,INFY,2024-01-03 11:30:00+05:30,-0.1002,-0.1689,1,1.0,0.6024,53.49,-0.5887,0,0.5373,0.0,1,0,1,1,0,1,2,2024-01-03 11:35:00+05:30,2024-01-03 11:40:00+05:30,2024-01-03 14:20:00+05:30,1500.15,1496.1142857142856,1507.4142857142858,-4.0357,L
S009,INFY,2024-01-03 11:45:00+05:30,-0.0652,-0.1002,0,,0.4492,75.0,-0.9197,0,0.5503,,0,1,0,1,1,0,1,2024-01-03 11:45:00+05:30,2024-01-03 11:50:00+05:30,2024-01-03 14:20:00+05:30,1499.55,1496.0857142857142,1505.7857142857144,-3.4643,L
S010,INFY,2024-01-03 11:55:00+05:30,-0.0228,-0.0668,0,,0.256,56.25,-0.5455,0,0.6332,0.0,1,1,0,1,0,1,2,2024-01-03 12:00:00+05:30,2024-01-03 12:05:00+05:30,2024-01-03 14:20:00+05:30,1500.0,1496.7767857142856,1505.8017857142859,-3.2232,L
