signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ITC,2022-01-03 11:20:00+05:30,-0.0352,-0.0095,0,,1.4341,33.33,-0.7619,0,3.0606,1.0,3,0,0,0,3,4,2022-01-03 11:35:00+05:30,2022-01-03 11:40:00+05:30,2022-01-03 14:15:00+05:30,184.95,184.58392857142852,185.60892857142855,0.6589,W
S002,ITC,2022-01-03 12:05:00+05:30,0.0257,0.0,5,4.0,1.4583,100.0,-1.0,0,0.5367,0.0,1,0,1,0,1,2,2022-01-03 12:10:00+05:30,2022-01-03 12:15:00+05:30,2022-01-03 14:15:00+05:30,184.85,184.42142857142855,185.6214285714285,0.7714,W
S003,ITC,2022-01-03 12:20:00+05:30,0.0,0.0257,0,,0.2857,100.0,-1.0,0,1.0373,1.0,2,1,0,0,2,3,2022-01-03 12:30:00+05:30,2022-01-03 12:35:00+05:30,2022-01-03 14:15:00+05:30,185.05,184.6125,185.8375,0.7875,W
S004,ITC,2022-01-03 13:40:00+05:30,0.0054,0.0324,13,12.0,0.2532,50.0,0.1765,0,0.7339,,0,0,1,1,0,1,2022-01-03 13:40:00+05:30,2022-01-03 13:45:00+05:30,2022-01-03 14:15:00+05:30,185.1,184.68035714285716,185.85535714285717,0.7554,W
S005,ITC,2022-01-03 13:50:00+05:30,0.023,0.0162,0,,0.2279,50.0,0.4286,0,0.8228,,0,0,1,1,0,1,2022-01-03 13:50:00+05:30,2022-01-03 13:55:00+05:30,2022-01-03 14:15:00+05:30,185.2,184.8160714285714,185.89107142857145,0.6911,W
S006,ITC,2022-01-03 14:05:00+05:30,0.0553,0.023,1,1.0,0.315,33.33,1.2222,0,1.0519,,0,0,1,1,0,1,2022-01-03 14:05:00+05:30,2022-01-03 14:10:00+05:30,2022-01-03 14:15:00+05:30,185.25,184.89285714285717,185.8928571428572,0.6429,W
S007,ITC,2022-01-03 14:30:00+05:30,0.0661,0.0607,3,3.0,0.0681,57.89,4.7143,0,4.0094,,0,0,0,1,0,1,2022-01-03 14:30:00+05:30,2022-01-03 14:35:00+05:30,2022-01-03 15:00:00+05:30,185.95,185.30714285714285,187.10714285714283,-0.3,EOD-
S008,ITC,2022-01-04 10:20:00+05:30,0.1193,0.1301,13,12.0,0.212,45.45,0.8605,0,0.8506,,0,1,0,1,0,1,2022-01-04 10:20:00+05:30,2022-01-04 10:25:00+05:30,2022-01-04 15:00:00+05:30,186.65,185.38214285714287,188.93214285714285,-0.1,EOD-
S009,ITC,2022-01-04 10:30:00+05:30,0.13,0.1193,0,,0.2495,75.0,-0.4444,0,0.3205,,0,0,1,1,0,1,2022-01-04 10:30:00+05:30,2022-01-04 10:35:00+05:30,2022-01-04 13:40:00+05:30,186.7,185.7982142857143,188.32321428571427,-0.9018,L
S010,ITC,2022-01-04 10:45:00+05:30,0.1018,0.13,0,,1.9495,28.57,-0.9228,0,0.8766,1.0,3,1,0,0,3,4,2022-01-04 11:00:00+05:30,2022-01-04 11:05:00+05:30,2022-01-04 13:40:00+05:30,186.75,185.9196428571429,188.24464285714285,-0.8304,L
S011,ITC,2022-01-04 11:45:00+05:30,-0.067,-0.0617,0,,1.0756,66.67,-0.8413,0,0.8909,1.0,3,0,1,0,3,4,2022-01-04 12:00:00+05:30,2022-01-04 12:05:00+05:30,2022-01-04 13:45:00+05:30,186.4,185.6678571428572,187.71785714285716,-0.7321,L
S012,ITC,2022-01-04 14:00:00+05:30,-0.1127,-0.0509,0,,1.7787,0.0,-0.6129,0,0.9556,1.0,3,0,0,0,3,4,2022-01-04 14:15:00+05:30,2022-01-04 14:20:00+05:30,2022-01-04 15:00:00+05:30,186.2,185.65535714285716,187.1803571428571,0.35,EOD+
S013,ITC,2022-01-05 09:15:00+05:30,,,0,,1.9,7.69,-0.4737,0,3.0598,0.0,1,0,0,0,1,2,2022-01-05 09:20:00+05:30,2022-01-05 09:25:00+05:30,2022-01-05 09:30:00+05:30,186.4,185.65,187.75,-0.75,L
S014,ITC,2022-01-05 09:30:00+05:30,,,0,,2.0559,93.33,-0.9387,0,0.563,0.0,3,1,0,0,3,4,2022-01-05 09:45:00+05:30,2022-01-05 09:50:00+05:30,2022-01-05 15:00:00+05:30,186.35,185.35892857142855,188.13392857142856,0.6,EOD+
S015,ITC,2022-01-05 09:55:00+05:30,-0.0107,-0.0282,0,,0.4333,16.67,-0.2308,0,3.3462,1.0,2,0,0,0,2,3,2022-01-05 10:05:00+05:30,2022-01-05 10:10:00+05:30,2022-01-05 15:00:00+05:30,187.1,185.975,189.125,-0.15,EOD-
S016,ITC,2022-01-05 10:40:00+05:30,-0.0121,0.0563,6,6.0,0.0441,0.0,9.0,0,0.6163,,0,0,0,1,0,1,2022-01-05 10:40:00+05:30,2022-01-05 10:45:00+05:30,2022-01-05 15:00:00+05:30,186.55,185.41607142857143,188.59107142857144,0.4,EOD+
S017,ITC,2022-01-05 10:50:00+05:30,-0.0148,0.0054,1,1.0,0.2901,50.0,-0.5652,0,0.3938,1.0,1,0,1,0,1,2,2022-01-05 10:55:00+05:30,2022-01-05 11:00:00+05:30,2022-01-05 15:00:00+05:30,186.35,185.35892857142855,188.13392857142856,0.6,EOD+
S018,ITC,2022-01-05 11:05:00+05:30,0.0121,-0.0148,0,,0.2355,100.0,-1.0,0,0.2973,0.0,2,0,1,0,2,3,2022-01-05 11:15:00+05:30,2022-01-05 11:20:00+05:30,2022-01-05 15:00:00+05:30,186.55,185.5678571428572,188.31785714285712,0.4,EOD+
S019,ITC,2022-01-05 11:30:00+05:30,0.0951,0.0724,1,1.0,0.0778,33.33,4.0,0,0.3326,,0,0,1,1,0,1,2022-01-05 11:30:00+05:30,2022-01-05 11:35:00+05:30,2022-01-05 15:00:00+05:30,186.6,185.95714285714288,187.7571428571428,0.35,EOD+
S020,ITC,2022-01-05 11:40:00+05:30,0.0697,0.0858,0,,0.1217,71.43,0.6667,0,0.7384,,0,0,0,1,0,1,2022-01-05 11:40:00+05:30,2022-01-05 11:45:00+05:30,2022-01-05 15:00:00+05:30,186.85,186.23392857142855,187.9589285714285,0.1,EOD+
S021,ITC,2022-01-05 12:50:00+05:30,0.0816,0.0776,12,8.0,1.025,14.29,0.2195,0,1.6548,,0,1,0,1,0,1,2022-01-05 12:50:00+05:30,2022-01-05 12:55:00+05:30,2022-01-05 12:55:00+05:30,187.05,186.55,187.95000000000005,-0.5,L
S022,ITC,2022-01-05 13:15:00+05:30,0.0134,0.0495,0,,1.2444,57.14,-0.8214,0,0.6629,0.0,3,0,1,0,3,4,2022-01-05 13:30:00+05:30,2022-01-05 13:35:00+05:30,2022-01-05 15:00:00+05:30,186.95,186.3875,187.9625,0.0,EOD-
S023,ITC,2022-01-05 14:10:00+05:30,0.0,0.0013,6,6.0,0.5746,71.43,-0.6364,0,0.8492,0.0,1,0,1,0,1,2,2022-01-05 14:15:00+05:30,2022-01-05 14:20:00+05:30,2022-01-05 15:00:00+05:30,186.95,186.3517857142857,188.0267857142857,0.0,EOD-
S024,ITC,2022-01-05 14:25:00+05:30,-0.004,0.0,0,,0.3449,60.0,-0.4118,0,1.9107,1.0,1,0,0,0,1,2,2022-01-05 14:30:00+05:30,2022-01-05 14:35:00+05:30,2022-01-05 15:00:00+05:30,187.05,186.4339285714286,188.1589285714286,-0.1,EOD-
S025,ITC,2022-01-06 11:10:00+05:30,-0.1052,-0.201,0,,0.9962,25.0,-0.7297,0,0.5292,0.0,3,1,1,0,3,4,2022-01-06 11:25:00+05:30,2022-01-06 11:30:00+05:30,2022-01-06 12:05:00+05:30,185.35,184.8857142857143,186.18571428571423,-0.4643,L
S026,ITC,2022-01-06 11:35:00+05:30,0.0094,-0.0378,0,,0.0156,0.0,39.0,0,1.4181,,0,0,0,1,0,1,2022-01-06 11:35:00+05:30,2022-01-06 11:40:00+05:30,2022-01-06 12:00:00+05:30,185.4,184.99821428571428,186.12321428571428,-0.4018,L
S027,ITC,2022-01-06 12:30:00+05:30,-0.0216,-0.0378,0,,1.7096,33.33,-0.8425,0,1.0743,1.0,3,0,0,0,3,4,2022-01-06 12:45:00+05:30,2022-01-06 12:50:00+05:30,2022-01-06 15:00:00+05:30,185.15,184.6857142857143,185.98571428571427,0.2,EOD+
S028,ITC,2022-01-06 13:05:00+05:30,-0.0162,-0.0216,0,,0.337,0.0,-0.2308,0,0.5461,0.0,3,0,1,0,3,4,2022-01-06 13:20:00+05:30,2022-01-06 13:25:00+05:30,2022-01-06 15:00:00+05:30,185.1,184.6178571428572,185.9678571428571,0.25,EOD+
S029,ITC,2022-01-06 13:30:00+05:30,-0.0243,-0.0297,0,,0.417,60.0,0.4286,0,0.9955,,0,0,0,1,0,1,2022-01-06 13:30:00+05:30,2022-01-06 13:35:00+05:30,2022-01-06 15:00:00+05:30,185.25,184.8303571428572,186.00535714285712,0.1,EOD+
S030,ITC,2022-01-06 14:15:00+05:30,0.0095,0.0176,0,,1.1044,66.67,-1.0,0,1.1246,1.0,3,0,1,0,3,4,2022-01-06 14:30:00+05:30,2022-01-06 14:35:00+05:30,2022-01-06 15:00:00+05:30,185.2,184.7982142857143,185.92321428571427,0.15,EOD+
S031,ITC,2022-01-07 13:15:00+05:30,-0.104,-0.1228,0,,0.8615,50.0,-0.5833,0,0.6548,0.0,3,0,1,0,3,4,2022-01-07 13:30:00+05:30,2022-01-07 13:35:00+05:30,2022-01-07 15:00:00+05:30,185.1,184.40357142857144,186.3535714285714,-0.25,EOD-
S032,ITC,2022-01-07 13:45:00+05:30,-0.0351,-0.0621,1,1.0,0.02,0.0,9.0,0,0.456,,0,0,1,1,0,1,2022-01-07 13:45:00+05:30,2022-01-07 13:50:00+05:30,2022-01-07 15:00:00+05:30,185.1,184.475,186.225,-0.25,EOD-
S033,ITC,2022-01-07 13:55:00+05:30,-0.027,-0.0419,0,,0.6138,42.86,-0.2982,0,0.972,,0,0,0,1,0,1,2022-01-07 13:55:00+05:30,2022-01-07 14:00:00+05:30,2022-01-07 15:00:00+05:30,185.1,184.51964285714288,186.14464285714283,-0.25,EOD-
S034,ITC,2022-01-10 12:00:00+05:30,-0.0649,-0.0874,0,,1.6897,50.0,-0.9048,0,0.5841,0.0,3,0,1,0,3,4,2022-01-10 12:15:00+05:30,2022-01-10 12:20:00+05:30,2022-01-10 14:10:00+05:30,188.75,187.97321428571428,190.1482142857143,-0.7768,L
S035,ITC,2022-01-10 12:25:00+05:30,-0.057,-0.0583,0,,0.2423,40.0,-1.0,0,0.7275,0.0,2,1,1,0,2,3,2022-01-10 12:35:00+05:30,2022-01-10 12:40:00+05:30,2022-01-10 13:30:00+05:30,188.75,188.05357142857144,190.00357142857143,-0.6964,L
S036,ITC,2022-01-10 12:45:00+05:30,-0.0424,-0.0504,1,1.0,0.0627,60.0,-1.0,0,0.6313,0.0,1,0,1,0,1,2,2022-01-10 12:50:00+05:30,2022-01-10 12:55:00+05:30,2022-01-10 13:15:00+05:30,188.75,188.1517857142857,189.82678571428573,-0.5982,L
S037,ITC,2022-01-11 09:15:00+05:30,,,0,,0.1324,0.0,11.381,0,2.3405,,0,1,0,1,0,1,2022-01-11 09:15:00+05:30,2022-01-11 09:20:00+05:30,2022-01-11 09:40:00+05:30,189.3,188.3089285714286,191.08392857142857,-0.9911,L
S038,ITC,2022-01-11 09:30:00+05:30,,,2,2.0,0.0496,14.29,5.6667,0,0.6343,,0,0,0,1,0,1,2022-01-11 09:30:00+05:30,2022-01-11 09:35:00+05:30,2022-01-11 14:40:00+05:30,188.9,187.76607142857145,190.9410714285714,-1.1339,L
S039,ITC,2022-01-11 09:40:00+05:30,0.1072,,0,,1.118,76.47,-0.6396,0,0.7352,0.0,1,0,0,0,1,2,2022-01-11 09:45:00+05:30,2022-01-11 09:50:00+05:30,2022-01-11 14:10:00+05:30,189.15,187.9089285714286,191.38392857142856,-1.2411,L
S040,ITC,2022-01-11 11:05:00+05:30,-0.1246,-0.094,0,,1.8444,33.33,-0.8795,0,0.9515,1.0,3,0,0,0,3,4,2022-01-11 11:20:00+05:30,2022-01-11 11:25:00+05:30,2022-01-11 14:05:00+05:30,188.6,188.0375,189.6125,-0.5625,L
S041,ITC,2022-01-11 11:30:00+05:30,-0.0517,-0.114,0,,0.7949,40.0,-0.1045,0,0.4991,0.0,1,0,1,0,1,2,2022-01-11 11:35:00+05:30,2022-01-11 11:40:00+05:30,2022-01-11 14:05:00+05:30,188.55,188.0232142857143,189.49821428571428,-0.5268,L
S042,ITC,2022-01-11 11:45:00+05:30,-0.0491,-0.0517,0,,0.325,33.33,-0.2308,0,0.7605,,0,0,0,1,0,1,2022-01-11 11:45:00+05:30,2022-01-11 11:50:00+05:30,2022-01-11 14:05:00+05:30,188.5,188.0,189.4,-0.5,L
S043,ITC,2022-01-11 11:55:00+05:30,-0.0438,-0.0385,0,,0.9962,25.0,-0.1892,0,0.6932,,0,0,1,1,0,1,2022-01-11 11:55:00+05:30,2022-01-11 12:00:00+05:30,2022-01-11 14:05:00+05:30,188.45,187.98571428571427,189.28571428571428,-0.4643,L
S044,ITC,2022-01-11 12:05:00+05:30,-0.0411,-0.0464,0,,0.8212,75.0,-1.0,0,0.4915,0.0,2,0,1,0,2,3,2022-01-11 12:15:00+05:30,2022-01-11 12:20:00+05:30,2022-01-11 14:10:00+05:30,188.4,187.93571428571428,189.2357142857143,-0.4643,L
S045,ITC,2022-01-11 12:45:00+05:30,-0.0013,-0.0199,0,,1.3533,100.0,-1.0,0,1.6839,1.0,3,1,0,0,3,4,2022-01-11 13:00:00+05:30,2022-01-11 13:05:00+05:30,2022-01-11 14:05:00+05:30,188.55,188.1482142857143,189.27321428571432,-0.4018,L
S046,ITC,2022-01-11 13:45:00+05:30,0.0438,0.0438,8,6.0,0.0913,62.5,1.2222,0,1.1443,,0,1,1,1,0,1,2022-01-11 13:45:00+05:30,2022-01-11 13:50:00+05:30,2022-01-11 14:05:00+05:30,188.6,187.98392857142852,189.70892857142857,-0.6161,L
S047,ITC,2022-01-12 09:25:00+05:30,,,2,2.0,0.0337,50.0,9.0,0,1.9783,,0,0,0,1,0,1,2022-01-12 09:25:00+05:30,2022-01-12 09:30:00+05:30,2022-01-12 11:35:00+05:30,188.05,187.30892857142857,189.38392857142856,1.3339,W
S048,ITC,2022-01-12 09:35:00+05:30,,,0,,0.9446,80.0,-0.8214,0,1.4785,1.0,1,0,1,0,1,2,2022-01-12 09:40:00+05:30,2022-01-12 09:45:00+05:30,2022-01-12 15:00:00+05:30,188.45,187.70892857142852,189.7839285714286,0.2,EOD+
S049,ITC,2022-01-12 11:10:00+05:30,0.0782,0.0729,17,9.0,0.2333,33.33,0.1111,0,0.3942,,0,0,1,1,0,1,2022-01-12 11:10:00+05:30,2022-01-12 11:15:00+05:30,2022-01-12 15:00:00+05:30,188.6,188.11785714285716,189.4678571428572,0.05,EOD+
S050,ITC,2022-01-12 11:20:00+05:30,0.0729,0.0716,0,,0.6638,60.0,-0.6364,0,3.4309,,0,0,0,1,0,1,2022-01-12 11:20:00+05:30,2022-01-12 11:25:00+05:30,2022-01-12 15:00:00+05:30,188.7,188.18214285714285,189.63214285714287,-0.05,EOD-
S051,ITC,2022-01-13 09:30:00+05:30,,,3,3.0,0.1882,27.27,3.8,0,0.7698,,0,0,0,1,0,1,2022-01-13 09:30:00+05:30,2022-01-13 09:35:00+05:30,2022-01-13 09:55:00+05:30,189.15,188.31964285714287,190.64464285714288,1.4946,W
S052,ITC,2022-01-13 10:40:00+05:30,0.1279,0.1689,13,8.0,0.1097,25.0,-0.0476,0,0.2635,0.0,1,0,1,0,1,2,2022-01-13 10:45:00+05:30,2022-01-13 10:50:00+05:30,2022-01-13 15:00:00+05:30,189.65,188.45357142857145,191.80357142857144,-0.05,EOD-
S053,ITC,2022-01-13 10:55:00+05:30,0.1094,0.1279,0,,0.171,33.33,-0.375,0,0.3678,,0,0,0,1,0,1,2022-01-13 10:55:00+05:30,2022-01-13 11:00:00+05:30,2022-01-13 15:00:00+05:30,189.65,188.4803571428572,191.75535714285712,-0.05,EOD-
S054,ITC,2022-01-13 11:50:00+05:30,-0.1028,-0.0145,0,,1.8246,71.43,-0.7484,0,1.565,0.0,3,0,0,0,3,4,2022-01-13 12:05:00+05:30,2022-01-13 12:10:00+05:30,2022-01-13 13:00:00+05:30,189.65,189.10535714285717,190.6303571428572,-0.5446,L
S055,ITC,2022-01-13 12:20:00+05:30,-0.0211,-0.0752,2,1.0,0.5275,80.0,-0.6154,0,0.6783,1.0,3,0,1,0,3,4,2022-01-13 12:35:00+05:30,2022-01-13 12:40:00+05:30,2022-01-13 13:20:00+05:30,189.5,188.88392857142856,190.60892857142855,-0.6161,L
S056,ITC,2022-01-13 13:25:00+05:30,-0.0555,-0.0462,0,,1.8,20.0,-0.8611,0,1.1379,1.0,3,0,1,0,3,4,2022-01-13 13:40:00+05:30,2022-01-13 13:45:00+05:30,2022-01-13 15:00:00+05:30,189.4,188.9,190.3,0.2,EOD+
S057,ITC,2022-01-13 13:50:00+05:30,-0.0211,-0.0383,1,1.0,0.2882,60.0,-0.2857,0,0.5108,0.0,2,0,1,0,2,3,2022-01-13 14:00:00+05:30,2022-01-13 14:05:00+05:30,2022-01-13 15:00:00+05:30,189.25,188.64285714285717,190.34285714285716,0.35,EOD+
S058,ITC,2022-01-13 14:15:00+05:30,-0.0357,-0.0317,0,,0.8591,60.0,-0.7531,0,0.832,1.0,3,0,1,0,3,4,2022-01-13 14:30:00+05:30,2022-01-13 14:35:00+05:30,2022-01-13 15:00:00+05:30,189.25,188.66071428571428,190.31071428571428,0.35,EOD+
