signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ITC,2024-01-01 11:15:00+05:30,0.1002,0.17,18,14.0,0.3922,50.0,0.0127,0,1.9,,0,1,1,0,1,0,1,2024-01-01 11:15:00+05:30,2024-01-01 11:20:00+05:30,2024-01-01 12:40:00+05:30,394.45,393.1910714285714,396.71607142857147,2.2661,W
S002,ITC,2024-01-01 11:25:00+05:30,0.0849,0.1179,0,,0.4153,0.0,-0.7143,0,1.1022,1.0,8,1,1,1,0,8,9,2024-01-01 12:05:00+05:30,2024-01-01 12:10:00+05:30,2024-01-01 12:35:00+05:30,394.35,393.2964285714286,396.2464285714286,1.8964,W
S003,ITC,2024-01-02 09:15:00+05:30,,,0,,1.5348,39.22,0.1589,0,1.4664,,0,0,0,0,1,0,1,2024-01-02 09:15:00+05:30,2024-01-02 09:20:00+05:30,2024-01-02 10:00:00+05:30,397.05,394.87142857142857,400.9714285714286,-2.1786,L
S004,ITC,2024-01-02 09:25:00+05:30,,,0,,1.4049,13.64,-0.7193,0,0.3808,0.0,3,1,1,1,0,3,4,2024-01-02 09:40:00+05:30,2024-01-02 09:45:00+05:30,2024-01-02 10:35:00+05:30,397.1,394.56428571428575,401.6642857142857,-2.5357,L
S005,ITC,2024-01-02 10:40:00+05:30,-0.1618,-0.1383,0,,2.9338,0.0,-0.807,0,0.42,0.0,9,0,0,1,0,9,10,2024-01-02 11:25:00+05:30,2024-01-02 11:30:00+05:30,2024-01-02 14:45:00+05:30,394.7,392.27142857142854,399.07142857142856,4.3714,W
S006,ITC,2024-01-02 11:35:00+05:30,-0.1356,-0.1456,0,,0.4516,23.08,0.125,0,0.7505,,0,0,0,0,1,0,1,2024-01-02 11:35:00+05:30,2024-01-02 11:40:00+05:30,2024-01-02 13:40:00+05:30,394.75,392.5357142857143,398.7357142857143,3.9857,W
S007,ITC,2024-01-02 11:45:00+05:30,-0.0824,-0.1559,0,,0.1042,25.0,1.5,0,0.6251,,0,1,0,1,1,0,1,2024-01-02 11:45:00+05:30,2024-01-02 11:50:00+05:30,2024-01-02 13:40:00+05:30,394.5,392.5803571428571,397.95535714285717,3.4554,W
S008,ITC,2024-01-02 13:00:00+05:30,0.18,0.1821,14,5.0,0.2243,85.0,0.0345,0,1.6293,,0,1,0,1,1,0,1,2024-01-02 13:00:00+05:30,2024-01-02 13:05:00+05:30,2024-01-02 13:40:00+05:30,395.8,394.18392857142857,398.7089285714286,2.9089,W
S009,ITC,2024-01-02 13:10:00+05:30,0.1294,0.1958,0,,0.7215,100.0,-1.0,0,0.4237,0.0,3,1,0,1,0,3,4,2024-01-02 13:25:00+05:30,2024-01-02 13:30:00+05:30,2024-01-02 15:00:00+05:30,396.25,394.50892857142856,399.3839285714286,2.35,EOD+
S010,ITC,2024-01-02 14:15:00+05:30,0.0277,0.0876,8,7.0,0.3213,41.67,1.5263,0,0.545,,0,1,0,0,1,0,1,2024-01-02 14:15:00+05:30,2024-01-02 14:20:00+05:30,2024-01-02 15:00:00+05:30,397.2,395.35178571428565,400.5267857142857,1.4,EOD+
S011,ITC,2024-01-03 09:15:00+05:30,,,0,,0.7522,52.38,0.2245,0,2.0369,,0,1,1,1,1,0,1,2024-01-03 09:15:00+05:30,2024-01-03 09:20:00+05:30,2024-01-03 09:25:00+05:30,399.5,397.4642857142857,403.1642857142857,3.6643,W
S012,ITC,2024-01-03 11:30:00+05:30,0.2196,0.2378,26,10.0,0.0,61.11,,1,0.6167,,0,1,1,1,1,0,1,2024-01-03 11:30:00+05:30,2024-01-03 11:35:00+05:30,2024-01-03 14:10:00+05:30,405.95,403.67321428571427,410.0482142857143,-2.2768,L
S013,ITC,2024-01-03 11:55:00+05:30,0.0925,0.1708,4,1.0,0.0937,31.58,7.0,0,0.823,,0,1,0,1,1,0,1,2024-01-03 11:55:00+05:30,2024-01-03 12:00:00+05:30,2024-01-03 14:10:00+05:30,406.1,404.1,409.70000000000005,-2.0,L
S014,ITC,2024-01-03 12:05:00+05:30,0.0789,0.1079,1,1.0,0.954,17.24,0.1688,0,0.9522,,0,0,0,0,1,0,1,2024-01-03 12:05:00+05:30,2024-01-03 12:10:00+05:30,2024-01-03 14:10:00+05:30,405.85,403.83214285714286,409.4821428571429,-2.0179,L
S015,ITC,2024-01-03 12:15:00+05:30,0.0518,0.0863,0,,1.0389,62.5,-0.6341,0,1.76,1.0,5,1,0,0,0,5,6,2024-01-03 12:40:00+05:30,2024-01-03 12:45:00+05:30,2024-01-03 14:10:00+05:30,405.9,403.9267857142857,409.4517857142857,-1.9732,L
S016,ITC,2024-01-03 13:00:00+05:30,0.053,0.0339,2,2.0,0.3226,41.18,0.4286,0,0.541,,0,0,1,1,1,0,1,2024-01-03 13:00:00+05:30,2024-01-03 13:05:00+05:30,2024-01-03 14:10:00+05:30,406.45,404.28035714285716,410.3553571428571,-2.1696,L
S017,ITC,2024-01-03 13:10:00+05:30,0.0437,0.0542,0,,0.2734,20.0,0.5385,0,0.7355,,0,0,0,1,1,0,1,2024-01-03 13:10:00+05:30,2024-01-03 13:15:00+05:30,2024-01-03 14:10:00+05:30,406.05,403.9696428571429,409.79464285714283,-2.0804,L
S018,ITC,2024-01-03 13:20:00+05:30,0.0092,0.0548,0,,0.1668,55.56,-0.2157,0,0.5839,,0,0,1,1,1,0,1,2024-01-03 13:20:00+05:30,2024-01-03 13:25:00+05:30,2024-01-03 14:10:00+05:30,406.15,404.2392857142857,409.58928571428567,-1.9107,L
S019,ITC,2024-01-03 13:30:00+05:30,-0.0253,0.0222,0,,0.5759,18.75,-0.0419,0,0.6711,0.0,3,0,0,1,0,3,4,2024-01-03 13:45:00+05:30,2024-01-03 13:50:00+05:30,2024-01-03 14:10:00+05:30,405.85,404.0375,409.1125,-1.8125,L
S020,ITC,2024-01-04 09:15:00+05:30,,,0,,0.3898,43.75,2.5374,0,1.2483,,0,0,1,0,1,0,1,2024-01-04 09:15:00+05:30,2024-01-04 09:20:00+05:30,2024-01-04 15:00:00+05:30,405.75,403.39285714285717,409.99285714285713,-1.7,EOD-
S021,ITC,2024-01-04 09:30:00+05:30,,,2,1.0,0.2933,37.04,1.8571,0,0.837,,0,1,1,0,1,0,1,2024-01-04 09:30:00+05:30,2024-01-04 09:35:00+05:30,2024-01-04 15:00:00+05:30,405.45,402.9142857142857,410.0142857142857,-1.4,EOD-
S022,ITC,2024-01-04 09:50:00+05:30,0.0969,,3,3.0,0.0632,23.53,7.3333,0,0.5293,,0,0,1,0,1,0,1,2024-01-04 09:50:00+05:30,2024-01-04 09:55:00+05:30,2024-01-04 15:00:00+05:30,405.8,403.425,410.075,-1.75,EOD-
S023,ITC,2024-01-04 10:00:00+05:30,0.0802,0.0926,0,,0.2625,72.73,-0.7849,0,0.3174,,0,0,1,1,1,0,1,2024-01-04 10:00:00+05:30,2024-01-04 10:05:00+05:30,2024-01-04 15:00:00+05:30,405.6,403.3857142857143,409.5857142857143,-1.55,EOD-
S024,ITC,2024-01-04 10:10:00+05:30,0.045,0.0913,0,,0.3031,75.0,-0.4545,0,0.4122,,0,1,0,1,1,0,1,2024-01-04 10:10:00+05:30,2024-01-04 10:15:00+05:30,2024-01-04 15:00:00+05:30,405.45,403.1821428571428,409.53214285714284,-1.4,EOD-
S025,ITC,2024-01-04 11:10:00+05:30,0.096,0.1563,11,3.0,0.98,80.0,-0.6429,0,1.6348,1.0,2,1,0,0,0,2,3,2024-01-04 11:20:00+05:30,2024-01-04 11:25:00+05:30,2024-01-04 14:30:00+05:30,406.6,404.8142857142857,409.8142857142858,-1.7857,L
S026,ITC,2024-01-04 12:00:00+05:30,0.0731,0.1008,7,6.0,0.2764,0.0,0.5584,0,0.8413,,0,0,1,1,1,0,1,2024-01-04 12:00:00+05:30,2024-01-04 12:05:00+05:30,2024-01-04 13:15:00+05:30,407.05,405.30892857142857,410.1839285714286,-1.7411,L
S027,ITC,2024-01-04 12:10:00+05:30,0.0301,0.0928,0,,0.3174,0.0,-0.4872,0,1.1026,1.0,5,0,0,1,0,5,6,2024-01-04 12:35:00+05:30,2024-01-04 12:40:00+05:30,2024-01-04 13:10:00+05:30,407.25,405.71428571428567,410.01428571428573,-1.5357,L
S028,ITC,2024-01-04 12:45:00+05:30,-0.0191,-0.0141,0,,1.2152,0.0,-0.0783,0,0.7035,0.0,1,0,0,0,0,1,2,2024-01-04 12:50:00+05:30,2024-01-04 12:55:00+05:30,2024-01-04 13:10:00+05:30,406.75,405.63392857142856,408.7589285714286,-1.1161,L
S029,ITC,2024-01-04 13:00:00+05:30,0.0184,-0.0191,0,,1.3947,45.45,-0.5402,0,1.0317,1.0,8,0,0,0,0,8,9,2024-01-04 13:40:00+05:30,2024-01-04 13:45:00+05:30,2024-01-04 14:10:00+05:30,407.0,405.8303571428571,409.10535714285714,-1.1696,L
S030,ITC,2024-01-05 09:15:00+05:30,,,0,,0.4225,97.44,-0.8837,0,0.7171,0.0,1,0,0,0,0,1,2,2024-01-05 09:20:00+05:30,2024-01-05 09:25:00+05:30,2024-01-05 09:45:00+05:30,404.6,402.0553571428572,409.1803571428572,-2.5446,L
S031,ITC,2024-01-05 10:55:00+05:30,-0.1443,-0.1317,0,,3.1425,8.33,-0.8323,0,0.5575,0.0,9,1,0,1,0,9,10,2024-01-05 11:40:00+05:30,2024-01-05 11:45:00+05:30,2024-01-05 14:15:00+05:30,401.0,399.3392857142857,403.9892857142857,2.9893,W
S032,ITC,2024-01-05 11:50:00+05:30,-0.0524,-0.0973,0,,0.104,63.64,-1.0,0,0.7006,,0,1,0,1,1,0,1,2024-01-05 11:50:00+05:30,2024-01-05 11:55:00+05:30,2024-01-05 14:15:00+05:30,401.15,399.5875,403.9624999999999,2.8125,W
S033,ITC,2024-01-05 12:30:00+05:30,0.0075,0.0056,7,5.0,0.3549,44.44,-0.1667,0,1.1675,1.0,2,0,0,0,0,2,3,2024-01-05 12:40:00+05:30,2024-01-05 12:45:00+05:30,2024-01-05 14:15:00+05:30,401.5,400.2321428571429,403.7821428571428,2.2821,W
S034,ITC,2024-01-05 14:00:00+05:30,0.0342,0.0398,15,10.0,0.211,0.0,1.9268,0,0.9781,,0,1,0,1,1,0,1,2024-01-05 14:00:00+05:30,2024-01-05 14:05:00+05:30,2024-01-05 14:15:00+05:30,402.0,400.78571428571433,404.18571428571425,2.1857,W
S035,ITC,2024-01-08 10:55:00+05:30,-0.2628,-0.2882,0,,2.2125,46.15,-0.8023,0,0.7871,0.0,9,0,1,0,0,9,10,2024-01-08 11:40:00+05:30,2024-01-08 11:45:00+05:30,2024-01-08 15:00:00+05:30,396.8,394.8,400.40000000000003,-2.0,L
S036,ITC,2024-01-08 11:50:00+05:30,-0.0517,-0.0958,0,,1.6831,77.27,-0.8131,0,0.7516,0.0,5,0,1,0,0,5,6,2024-01-08 12:15:00+05:30,2024-01-08 12:20:00+05:30,2024-01-08 15:00:00+05:30,396.35,394.7607142857143,399.2107142857143,-1.5893,L
S037,ITC,2024-01-08 12:25:00+05:30,-0.0701,-0.0839,0,,0.3889,0.0,0.4,0,0.9067,,0,1,0,0,1,0,1,2024-01-08 12:25:00+05:30,2024-01-08 12:30:00+05:30,2024-01-08 15:00:00+05:30,396.15,394.54285714285714,399.0428571428571,-1.6071,L
S038,ITC,2024-01-08 12:45:00+05:30,0.0,-0.0606,3,3.0,0.3057,63.64,0.0526,0,0.8583,,0,1,1,0,1,0,1,2024-01-08 12:45:00+05:30,2024-01-08 12:50:00+05:30,2024-01-08 15:00:00+05:30,396.15,394.59642857142853,398.94642857142856,-1.5536,L
S039,ITC,2024-01-08 12:55:00+05:30,0.0164,-0.0177,0,,0.8392,66.67,-0.6098,0,0.9932,1.0,1,0,0,0,0,1,2,2024-01-08 13:00:00+05:30,2024-01-08 13:05:00+05:30,2024-01-08 15:00:00+05:30,396.2,394.67321428571427,398.94821428571424,-1.5268,L
S040,ITC,2024-01-08 13:10:00+05:30,0.005,0.0164,0,,0.5787,92.31,-0.8387,0,0.9652,,0,0,0,0,1,0,1,2024-01-08 13:10:00+05:30,2024-01-08 13:15:00+05:30,2024-01-08 15:00:00+05:30,396.45,395.1107142857143,398.8607142857142,-1.3393,L
S041,ITC,2024-01-08 13:20:00+05:30,-0.0088,0.0069,1,1.0,0.0562,37.5,2.6364,0,1.0109,,0,1,0,1,1,0,1,2024-01-08 13:20:00+05:30,2024-01-08 13:25:00+05:30,2024-01-08 15:00:00+05:30,396.15,394.9267857142857,398.35178571428565,-1.2232,L
S042,ITC,2024-01-08 13:35:00+05:30,0.0145,-0.0088,1,1.0,0.0402,16.67,7.5714,0,1.8514,,0,0,0,0,1,0,1,2024-01-08 13:35:00+05:30,2024-01-08 13:40:00+05:30,2024-01-08 15:00:00+05:30,396.35,395.26071428571436,398.31071428571425,-1.0893,L
S043,ITC,2024-01-08 13:45:00+05:30,0.029,-0.0013,0,,1.2474,45.45,-0.4937,0,1.5936,0.0,1,0,0,1,0,1,2,2024-01-08 13:50:00+05:30,2024-01-08 13:55:00+05:30,2024-01-08 15:00:00+05:30,396.45,395.26250000000005,398.5874999999999,-1.1875,L
