signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,JSWSTEEL,2023-01-02 10:55:00+05:30,0.0625,0.1198,0,,0.4682,53.33,-1.0,0,0.229,1.0,1,0,1,0,1,2,2023-01-02 11:00:00+05:30,2023-01-02 11:05:00+05:30,2023-01-02 13:15:00+05:30,771.95,766.3428571428572,782.0428571428572,10.0929,W
S002,JSWSTEEL,2023-01-02 11:40:00+05:30,0.1888,0.112,6,3.0,0.059,24.39,9.2128,0,0.5898,,0,0,1,1,0,1,2023-01-02 11:40:00+05:30,2023-01-02 11:45:00+05:30,2023-01-02 13:15:00+05:30,774.35,769.3678571428572,783.3178571428571,8.9679,W
S003,JSWSTEEL,2023-01-02 12:25:00+05:30,0.1615,0.1578,8,7.0,0.2596,66.67,-0.0654,0,0.3967,0.0,1,0,0,0,1,2,2023-01-02 12:30:00+05:30,2023-01-02 12:35:00+05:30,2023-01-02 15:00:00+05:30,775.8,770.6482142857143,785.0732142857142,0.2,EOD+
S004,JSWSTEEL,2023-01-02 12:40:00+05:30,0.1401,0.1615,0,,0.6572,69.23,-0.5378,0,0.2702,,0,1,1,1,0,1,2023-01-02 12:40:00+05:30,2023-01-02 12:45:00+05:30,2023-01-02 15:00:00+05:30,777.0,772.4732142857142,785.1482142857143,-1.0,EOD-
S005,JSWSTEEL,2023-01-02 12:50:00+05:30,0.1397,0.144,1,1.0,0.8827,17.39,0.0828,0,1.094,,0,1,0,1,0,1,2023-01-02 12:50:00+05:30,2023-01-02 12:55:00+05:30,2023-01-02 15:00:00+05:30,777.15,772.7035714285714,785.1535714285715,-1.15,EOD-
S006,JSWSTEEL,2023-01-02 13:00:00+05:30,0.076,0.1394,0,,0.8403,63.33,-0.8499,0,0.5752,1.0,1,0,1,0,1,2,2023-01-02 13:05:00+05:30,2023-01-02 13:10:00+05:30,2023-01-02 15:00:00+05:30,776.9,772.9357142857142,784.0357142857143,-0.9,EOD-
S007,JSWSTEEL,2023-01-02 13:55:00+05:30,0.0861,0.1137,9,8.0,0.3622,82.35,-0.7163,0,0.8786,0.0,1,0,0,0,1,2,2023-01-02 14:00:00+05:30,2023-01-02 14:05:00+05:30,2023-01-02 14:20:00+05:30,778.45,773.5839285714286,787.2089285714286,-4.8661,L
S008,JSWSTEEL,2023-01-03 10:30:00+05:30,-0.2133,-0.1829,0,,1.6278,52.0,-0.8428,0,1.0651,1.0,3,0,0,0,3,4,2023-01-03 10:45:00+05:30,2023-01-03 10:50:00+05:30,2023-01-03 15:00:00+05:30,771.15,766.2660714285714,779.9410714285714,-2.7,EOD-
S009,JSWSTEEL,2023-01-03 11:00:00+05:30,-0.1,-0.1872,2,2.0,0.074,90.0,-1.0,0,0.9188,1.0,1,0,0,0,1,2,2023-01-03 11:05:00+05:30,2023-01-03 11:10:00+05:30,2023-01-03 15:00:00+05:30,770.2,766.5660714285715,776.7410714285714,-1.75,EOD-
S010,JSWSTEEL,2023-01-03 11:15:00+05:30,-0.0062,-0.1,0,,0.4107,82.05,-0.9061,0,0.8222,,0,0,0,1,0,1,2023-01-03 11:15:00+05:30,2023-01-03 11:20:00+05:30,2023-01-03 15:00:00+05:30,771.2,767.9589285714286,777.0339285714286,-3.2411,L
