signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,JSWSTEEL,2025-01-01 12:00:00+05:30,0.1852,0.2927,0,,0.9656,11.76,-0.8374,0,0.6837,1.0,3,1,0,1,0,3,4,2025-01-01 12:15:00+05:30,2025-01-01 12:20:00+05:30,2025-01-01 15:00:00+05:30,905.8,901.0232142857142,914.3982142857143,0.35,EOD+
S002,JSWSTEEL,2025-01-01 12:25:00+05:30,0.1091,0.1257,1,1.0,0.0691,9.68,5.0377,0,0.7353,,0,1,0,0,1,0,1,2025-01-01 12:25:00+05:30,2025-01-01 12:30:00+05:30,2025-01-01 15:00:00+05:30,906.0,901.2053571428571,914.6303571428572,0.15,EOD+
S003,JSWSTEEL,2025-01-01 12:40:00+05:30,0.0629,0.1091,2,1.0,0.3272,17.78,1.9565,0,0.8853,,0,0,0,0,1,0,1,2025-01-01 12:40:00+05:30,2025-01-01 12:45:00+05:30,2025-01-01 15:00:00+05:30,906.65,902.2571428571429,914.5571428571428,-0.5,EOD-
S004,JSWSTEEL,2025-01-01 12:50:00+05:30,0.0058,0.0969,0,,0.168,65.22,-0.2982,0,0.9982,,0,0,0,0,1,0,1,2025-01-01 12:50:00+05:30,2025-01-01 12:55:00+05:30,2025-01-01 15:00:00+05:30,906.1,901.8589285714286,913.7339285714286,0.05,EOD+
S005,JSWSTEEL,2025-01-01 13:00:00+05:30,-0.0453,0.0229,0,,0.3752,22.22,0.1067,0,0.2753,,0,1,0,0,1,0,1,2025-01-01 13:00:00+05:30,2025-01-01 13:05:00+05:30,2025-01-01 15:00:00+05:30,905.55,901.3357142857143,913.1357142857142,0.6,EOD+
S006,JSWSTEEL,2025-01-01 13:10:00+05:30,-0.0345,-0.0237,1,1.0,0.2259,61.9,0.0526,0,0.3919,,0,1,0,0,1,0,1,2025-01-01 13:10:00+05:30,2025-01-01 13:15:00+05:30,2025-01-01 15:00:00+05:30,905.15,900.9446428571429,912.7196428571428,1.0,EOD+
S007,JSWSTEEL,2025-01-01 13:20:00+05:30,-0.0188,-0.047,0,,0.2103,9.52,0.374,0,0.3122,,0,0,0,1,1,0,1,2025-01-01 13:20:00+05:30,2025-01-01 13:25:00+05:30,2025-01-01 15:00:00+05:30,905.25,901.3571428571429,912.2571428571429,0.9,EOD+
S008,JSWSTEEL,2025-01-01 13:30:00+05:30,0.0127,-0.0301,0,,0.9676,63.33,-0.8535,0,0.7954,1.0,3,0,0,1,0,3,4,2025-01-01 13:45:00+05:30,2025-01-01 13:50:00+05:30,2025-01-01 15:00:00+05:30,905.6,902.0732142857142,911.9482142857144,0.55,EOD+
S009,JSWSTEEL,2025-01-01 13:55:00+05:30,0.0403,0.0174,0,,0.5694,59.46,-0.1781,0,1.3936,,0,1,1,1,1,0,1,2025-01-01 13:55:00+05:30,2025-01-01 14:00:00+05:30,2025-01-01 15:00:00+05:30,906.7,903.4946428571428,912.469642857143,-0.55,EOD-
S010,JSWSTEEL,2025-01-02 09:25:00+05:30,,,0,,1.6671,20.59,-0.8028,0,0.6671,0.0,3,0,0,0,0,3,4,2025-01-02 09:40:00+05:30,2025-01-02 09:45:00+05:30,2025-01-02 09:50:00+05:30,906.2,901.6375,914.4125,-4.5625,L
