signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,NATIONALUM,2025-01-01 11:45:00+05:30,0.1456,0.1625,10,7.0,0.4255,65.63,-0.6755,0,0.8307,0.0,1,1,0,0,1,2,2025-01-01 11:50:00+05:30,2025-01-01 11:55:00+05:30,2025-01-01 15:00:00+05:30,208.3,206.8517857142857,210.9067857142857,1.37,EOD+
S002,NATIONALUM,2025-01-01 12:00:00+05:30,0.1387,0.1456,0,,0.4488,51.11,-0.3004,0,0.1837,,0,0,1,1,0,1,2025-01-01 12:00:00+05:30,2025-01-01 12:05:00+05:30,2025-01-01 15:00:00+05:30,208.48,207.12642857142856,210.91642857142853,1.19,EOD+
S003,NATIONALUM,2025-01-01 12:10:00+05:30,0.143,0.1181,0,,0.2045,48.39,0.4815,0,0.4141,,0,1,0,1,0,1,2025-01-01 12:10:00+05:30,2025-01-01 12:15:00+05:30,2025-01-01 15:00:00+05:30,208.65,207.49464285714288,210.7296428571429,1.02,EOD+
S004,NATIONALUM,2025-01-01 13:35:00+05:30,0.1648,0.1222,16,12.0,0.1817,30.56,2.5644,0,1.9499,,0,0,0,1,0,1,2025-01-01 13:35:00+05:30,2025-01-01 13:40:00+05:30,2025-01-01 15:00:00+05:30,209.36,208.66535714285715,210.6103571428572,0.31,EOD+
S005,NATIONALUM,2025-01-01 13:45:00+05:30,0.1502,0.1591,0,,0.0894,0.0,3.7619,0,0.2771,,0,0,1,1,0,1,2025-01-01 13:45:00+05:30,2025-01-01 13:50:00+05:30,2025-01-01 15:00:00+05:30,209.48,208.8925,210.5375,0.19,EOD+
S006,NATIONALUM,2025-01-01 14:10:00+05:30,0.0992,0.1272,3,1.0,0.4607,47.06,0.3953,0,1.553,,0,0,0,1,0,1,2025-01-01 14:10:00+05:30,2025-01-01 14:15:00+05:30,2025-01-01 15:00:00+05:30,209.59,208.89,210.85,0.08,EOD+
S007,NATIONALUM,2025-01-01 14:20:00+05:30,0.0684,0.1138,0,,0.3613,75.0,-0.1928,0,2.013,,0,0,0,1,0,1,2025-01-01 14:20:00+05:30,2025-01-01 14:25:00+05:30,2025-01-01 15:00:00+05:30,210.2,209.42857142857144,211.5885714285714,-0.53,EOD-
S008,NATIONALUM,2025-01-02 09:15:00+05:30,,,0,,1.4136,40.1,-0.2826,0,1.219,0.0,3,0,0,0,3,4,2025-01-02 09:30:00+05:30,2025-01-02 09:35:00+05:30,2025-01-02 10:10:00+05:30,209.98,208.9692857142857,211.7992857142857,-1.0107,L
S009,NATIONALUM,2025-01-02 10:45:00+05:30,-0.0771,-0.0575,0,,0.9287,6.9,-0.5717,0,0.6507,1.0,3,0,1,0,3,4,2025-01-02 11:00:00+05:30,2025-01-02 11:05:00+05:30,2025-01-02 11:45:00+05:30,209.41,208.1528571428572,211.6728571428571,-1.2571,L
S010,NATIONALUM,2025-01-02 11:15:00+05:30,-0.0337,-0.0458,1,1.0,0.0317,43.94,4.7143,0,1.2801,,0,0,0,1,0,1,2025-01-02 11:15:00+05:30,2025-01-02 11:20:00+05:30,2025-01-02 11:45:00+05:30,209.25,208.14642857142857,211.23642857142855,-1.1036,L
S011,NATIONALUM,2025-01-02 11:25:00+05:30,-0.0633,-0.0298,0,,0.1173,13.95,-0.3407,0,0.682,,0,0,1,1,0,1,2025-01-02 11:25:00+05:30,2025-01-02 11:30:00+05:30,2025-01-02 11:40:00+05:30,209.32,208.35035714285715,211.06535714285712,-0.9696,L
S012,NATIONALUM,2025-01-02 11:50:00+05:30,-0.1016,-0.0846,0,,2.3724,6.67,-0.9094,0,1.1448,1.0,3,0,0,0,3,4,2025-01-02 12:05:00+05:30,2025-01-02 12:10:00+05:30,2025-01-02 13:35:00+05:30,209.3,208.25357142857143,211.18357142857144,1.8836,W
S013,NATIONALUM,2025-01-02 12:15:00+05:30,-0.0158,-0.095,1,1.0,1.3555,80.46,-0.8358,0,1.3725,0.0,3,0,0,0,3,4,2025-01-02 12:30:00+05:30,2025-01-02 12:35:00+05:30,2025-01-02 13:35:00+05:30,208.99,207.7542857142857,211.21428571428572,2.2243,W
S014,NATIONALUM,2025-01-02 12:40:00+05:30,-0.0471,-0.0208,0,,0.6497,50.0,-0.5297,0,0.4799,0.0,3,0,1,0,3,4,2025-01-02 12:55:00+05:30,2025-01-02 13:00:00+05:30,2025-01-02 13:40:00+05:30,208.83,207.4389285714286,211.3339285714286,2.5039,W
S015,NATIONALUM,2025-01-03 09:15:00+05:30,,,0,,2.1897,30.37,0.2673,0,3.2207,,0,0,0,1,0,1,2025-01-03 09:15:00+05:30,2025-01-03 09:20:00+05:30,2025-01-03 10:10:00+05:30,212.54,211.3417857142857,214.6967857142857,-1.1982,L
S016,NATIONALUM,2025-01-03 09:25:00+05:30,,,0,,0.1358,75.64,-0.4839,0,1.2224,,0,0,1,1,0,1,2025-01-03 09:25:00+05:30,2025-01-03 09:30:00+05:30,2025-01-03 10:15:00+05:30,212.37,210.9432142857143,214.93821428571428,-1.4268,L
S017,NATIONALUM,2025-01-03 09:55:00+05:30,0.1157,0.092,5,2.0,0.1832,73.86,-0.3525,0,0.4485,0.0,1,0,1,0,1,2,2025-01-03 10:00:00+05:30,2025-01-03 10:05:00+05:30,2025-01-03 10:35:00+05:30,212.21,210.31357142857144,215.62357142857144,-1.8964,L
S018,NATIONALUM,2025-01-03 11:00:00+05:30,-0.2185,-0.1786,0,,1.9004,40.0,-0.9913,0,1.4233,1.0,3,0,0,0,3,4,2025-01-03 11:15:00+05:30,2025-01-03 11:20:00+05:30,2025-01-03 12:30:00+05:30,211.18,209.67107142857145,213.89607142857145,-1.5089,L
S019,NATIONALUM,2025-01-03 11:35:00+05:30,-0.1858,-0.2515,2,2.0,0.6128,83.74,-0.7792,0,0.5471,0.0,3,1,0,0,3,4,2025-01-03 11:50:00+05:30,2025-01-03 11:55:00+05:30,2025-01-03 12:30:00+05:30,211.25,209.4017857142857,214.5767857142857,-1.8482,L
S020,NATIONALUM,2025-01-03 12:10:00+05:30,0.0342,-0.109,3,2.0,0.1456,60.53,0.8349,0,0.6439,,0,0,0,1,0,1,2025-01-03 12:10:00+05:30,2025-01-03 12:15:00+05:30,2025-01-03 12:30:00+05:30,211.17,209.29857142857145,214.5385714285714,-1.8714,L
S021,NATIONALUM,2025-01-06 11:55:00+05:30,-0.2997,-0.2223,0,,2.5518,35.42,-0.8122,0,0.7492,0.0,3,0,0,0,3,4,2025-01-06 12:10:00+05:30,2025-01-06 12:15:00+05:30,2025-01-06 13:35:00+05:30,198.01,196.5492857142857,200.6392857142857,-1.4607,L
S022,NATIONALUM,2025-01-06 12:20:00+05:30,-0.2038,-0.3285,0,,0.1566,54.69,-1.0,0,0.556,,0,0,0,1,0,1,2025-01-06 12:20:00+05:30,2025-01-06 12:25:00+05:30,2025-01-06 13:35:00+05:30,198.14,196.42392857142852,201.22892857142855,-1.7161,L
S023,NATIONALUM,2025-01-06 12:30:00+05:30,-0.1263,-0.2484,0,,0.4357,47.73,-0.4543,0,1.8246,,0,0,0,1,0,1,2025-01-06 12:30:00+05:30,2025-01-06 12:35:00+05:30,2025-01-06 13:35:00+05:30,198.37,196.5825,201.58750000000003,-1.7875,L
S024,NATIONALUM,2025-01-06 13:10:00+05:30,0.0545,0.1017,7,6.0,0.1944,32.5,0.1064,0,1.1049,,0,0,0,1,0,1,2025-01-06 13:10:00+05:30,2025-01-06 13:15:00+05:30,2025-01-06 13:35:00+05:30,198.15,196.63928571428573,200.86928571428567,-1.5107,L
S025,NATIONALUM,2025-01-07 10:50:00+05:30,0.7523,0.7712,19,14.0,0.2833,95.24,-0.8793,0,0.5758,1.0,2,0,1,0,2,3,2025-01-07 11:00:00+05:30,2025-01-07 11:05:00+05:30,2025-01-07 12:20:00+05:30,201.86,199.6671428571429,205.80714285714288,-2.1929,L
S026,NATIONALUM,2025-01-07 11:10:00+05:30,0.281,0.6337,0,,0.5024,10.34,-0.6067,0,0.5277,1.0,1,0,0,0,1,2,2025-01-07 11:15:00+05:30,2025-01-07 11:20:00+05:30,2025-01-07 12:15:00+05:30,201.83,200.05857142857144,205.01857142857145,-1.7714,L
S027,NATIONALUM,2025-01-07 11:25:00+05:30,0.001,0.281,0,,0.0364,44.74,-0.5349,0,0.6065,,0,0,1,1,0,1,2025-01-07 11:25:00+05:30,2025-01-07 11:30:00+05:30,2025-01-07 12:15:00+05:30,201.68,200.205,204.335,-1.475,L
S028,NATIONALUM,2025-01-07 13:15:00+05:30,-0.2361,-0.1926,0,,1.0254,60.0,-0.9623,0,3.7983,1.0,3,1,0,0,3,4,2025-01-07 13:30:00+05:30,2025-01-07 13:35:00+05:30,2025-01-07 13:50:00+05:30,201.73,200.43535714285716,204.06035714285716,-1.2946,L
S029,NATIONALUM,2025-01-07 13:55:00+05:30,-0.0187,-0.141,4,4.0,0.1546,48.98,1.4444,0,1.2906,,0,1,0,1,0,1,2025-01-07 13:55:00+05:30,2025-01-07 14:00:00+05:30,2025-01-07 15:00:00+05:30,200.49,199.03464285714287,203.1096428571429,1.46,EOD+
S030,NATIONALUM,2025-01-08 10:40:00+05:30,-0.4362,-0.3293,0,,1.5542,1.52,-0.8461,0,1.2069,1.0,3,1,1,0,3,4,2025-01-08 10:55:00+05:30,2025-01-08 11:00:00+05:30,2025-01-08 15:00:00+05:30,199.88,197.8942857142857,203.4542857142857,-0.1,EOD-
S031,NATIONALUM,2025-01-08 11:45:00+05:30,0.0927,0.1158,9,2.0,0.3406,62.96,-0.4505,0,0.6424,1.0,2,0,0,0,2,3,2025-01-08 11:55:00+05:30,2025-01-08 12:00:00+05:30,2025-01-08 13:15:00+05:30,199.6,198.2642857142857,202.0042857142857,-1.3357,L
S032,NATIONALUM,2025-01-08 12:05:00+05:30,0.0784,0.0466,1,1.0,0.389,23.88,1.4479,0,0.57,,0,0,1,1,0,1,2025-01-08 12:05:00+05:30,2025-01-08 12:10:00+05:30,2025-01-08 13:00:00+05:30,200.05,198.81607142857143,202.27107142857145,-1.2339,L
S033,NATIONALUM,2025-01-08 12:15:00+05:30,0.1519,0.0449,0,,0.4958,60.0,-0.8377,0,0.6474,,0,0,0,1,0,1,2025-01-08 12:15:00+05:30,2025-01-08 12:20:00+05:30,2025-01-08 13:05:00+05:30,199.83,198.58714285714288,202.06714285714287,-1.2429,L
S034,NATIONALUM,2025-01-08 12:35:00+05:30,0.123,0.1926,0,,0.9579,24.14,-0.8381,0,0.7207,1.0,3,0,1,0,3,4,2025-01-08 12:50:00+05:30,2025-01-08 12:55:00+05:30,2025-01-08 13:05:00+05:30,200.02,198.7307142857143,202.3407142857143,-1.2893,L
S035,NATIONALUM,2025-01-08 13:45:00+05:30,-0.1082,-0.1424,0,,1.093,12.31,-0.8727,0,0.6825,0.0,3,0,1,0,3,4,2025-01-08 14:00:00+05:30,2025-01-08 14:05:00+05:30,2025-01-08 15:00:00+05:30,199.17,197.7325,201.7575,0.61,EOD+
S036,NATIONALUM,2025-01-09 11:50:00+05:30,-0.2055,-0.1774,0,,1.5621,46.67,-0.9873,0,1.16,1.0,3,0,0,0,3,4,2025-01-09 12:05:00+05:30,2025-01-09 12:10:00+05:30,2025-01-09 15:00:00+05:30,195.79,194.5257142857143,198.06571428571428,-0.61,EOD-
S037,NATIONALUM,2025-01-09 12:15:00+05:30,-0.109,-0.1629,0,,0.089,61.82,0.4894,0,1.2839,,0,0,0,1,0,1,2025-01-09 12:15:00+05:30,2025-01-09 12:20:00+05:30,2025-01-09 15:00:00+05:30,195.77,194.4503571428572,198.14535714285716,-0.59,EOD-
S038,NATIONALUM,2025-01-09 12:25:00+05:30,-0.0947,-0.1361,0,,0.2112,48.89,-0.8148,0,0.8532,1.0,1,0,0,0,1,2,2025-01-09 12:30:00+05:30,2025-01-09 12:35:00+05:30,2025-01-09 15:00:00+05:30,195.35,194.07142857142856,197.6514285714285,-0.17,EOD-
S039,NATIONALUM,2025-01-09 12:50:00+05:30,0.0079,-0.0594,2,2.0,0.0084,52.63,-1.0,0,0.3063,,0,0,1,1,0,1,2025-01-09 12:50:00+05:30,2025-01-09 12:55:00+05:30,2025-01-09 15:00:00+05:30,195.46,194.42071428571435,197.3307142857143,-0.28,EOD-
S040,NATIONALUM,2025-01-09 13:10:00+05:30,0.0389,0.0182,3,1.0,0.335,34.69,0.5672,0,2.031,,0,1,0,1,0,1,2025-01-09 13:10:00+05:30,2025-01-09 13:15:00+05:30,2025-01-09 15:00:00+05:30,195.51,194.51,197.31,-0.33,EOD-
S041,NATIONALUM,2025-01-09 13:20:00+05:30,0.0317,0.0235,0,,0.2557,40.82,-1.0,0,0.9887,,0,1,0,1,0,1,2025-01-09 13:20:00+05:30,2025-01-09 13:25:00+05:30,2025-01-09 15:00:00+05:30,195.54,194.62571428571428,197.18571428571423,-0.36,EOD-
S042,NATIONALUM,2025-01-09 13:30:00+05:30,0.0325,0.0253,0,,0.7546,18.18,-1.0,0,1.2178,1.0,2,0,1,0,2,3,2025-01-09 13:40:00+05:30,2025-01-09 13:45:00+05:30,2025-01-09 15:00:00+05:30,195.63,194.76035714285717,197.19535714285712,-0.45,EOD-
S043,NATIONALUM,2025-01-09 14:00:00+05:30,0.0437,0.0348,2,2.0,0.0246,28.3,22.6364,0,1.3825,,0,0,0,1,0,1,2025-01-09 14:00:00+05:30,2025-01-09 14:05:00+05:30,2025-01-09 15:00:00+05:30,195.78,194.66214285714287,197.79214285714284,-0.6,EOD-
S044,NATIONALUM,2025-01-09 14:20:00+05:30,0.0389,0.0511,3,3.0,0.1267,65.0,-0.6262,0,0.4668,1.0,1,0,1,0,1,2,2025-01-09 14:25:00+05:30,2025-01-09 14:30:00+05:30,2025-01-09 15:00:00+05:30,195.69,194.6346428571429,197.58964285714285,-0.51,EOD-
S045,NATIONALUM,2025-01-10 10:00:00+05:30,-0.3016,-0.2471,0,,1.652,37.5,-0.9874,0,0.8802,1.0,3,0,1,0,3,4,2025-01-10 10:15:00+05:30,2025-01-10 10:20:00+05:30,2025-01-10 11:05:00+05:30,194.39,191.97928571428568,198.7292857142857,4.3393,W
S046,NATIONALUM,2025-01-10 11:55:00+05:30,0.6321,0.7673,18,8.0,0.3842,31.67,0.2934,0,0.5675,,0,0,0,1,0,1,2025-01-10 11:55:00+05:30,2025-01-10 12:00:00+05:30,2025-01-10 15:00:00+05:30,198.35,196.2875,202.0625,-0.52,EOD-
S047,NATIONALUM,2025-01-10 12:25:00+05:30,0.2245,0.3517,0,,0.8414,42.11,-1.0,0,0.4103,1.0,3,0,0,0,3,4,2025-01-10 12:40:00+05:30,2025-01-10 12:45:00+05:30,2025-01-10 14:20:00+05:30,198.75,196.9375,202.0125,-1.8125,L
S048,NATIONALUM,2025-01-10 12:50:00+05:30,-0.0038,0.1301,0,,0.0038,48.08,95.0,0,0.5972,,0,0,0,1,0,1,2025-01-10 12:50:00+05:30,2025-01-10 12:55:00+05:30,2025-01-10 14:20:00+05:30,198.91,197.28142857142856,201.8414285714286,-1.6286,L
S049,NATIONALUM,2025-01-10 13:00:00+05:30,-0.0624,0.0483,1,1.0,0.353,61.4,-0.8544,0,0.513,0.0,1,0,1,0,1,2,2025-01-10 13:05:00+05:30,2025-01-10 13:10:00+05:30,2025-01-10 14:20:00+05:30,198.75,197.29107142857143,201.37607142857144,-1.4589,L
S050,NATIONALUM,2025-01-10 13:30:00+05:30,-0.0353,-0.103,3,2.0,0.3725,38.1,0.0188,0,0.7302,,0,0,1,1,0,1,2025-01-10 13:30:00+05:30,2025-01-10 13:35:00+05:30,2025-01-10 14:20:00+05:30,198.71,197.4582142857143,200.9632142857143,-1.2518,L
S051,NATIONALUM,2025-01-10 13:40:00+05:30,0.0194,-0.068,1,1.0,0.5439,34.62,0.0131,0,1.2745,,0,0,0,1,0,1,2025-01-10 13:40:00+05:30,2025-01-10 13:45:00+05:30,2025-01-10 14:20:00+05:30,198.69,197.465,200.895,-1.225,L
S052,NATIONALUM,2025-01-10 13:50:00+05:30,0.0871,-0.0106,1,1.0,0.1158,83.72,-0.4444,0,0.9975,1.0,1,1,1,0,1,2,2025-01-10 13:55:00+05:30,2025-01-10 14:00:00+05:30,2025-01-10 14:15:00+05:30,198.94,197.77392857142857,201.03892857142856,-1.1661,L
S053,NATIONALUM,2025-01-13 10:10:00+05:30,-0.3103,-0.2265,0,,1.8878,55.56,-0.8765,0,0.7203,0.0,3,0,0,0,3,4,2025-01-13 10:25:00+05:30,2025-01-13 10:30:00+05:30,2025-01-13 12:55:00+05:30,196.45,192.80357142857144,203.01357142857145,-3.6464,L
S054,NATIONALUM,2025-01-13 12:05:00+05:30,-0.0786,-0.1127,0,,0.8144,43.48,-0.7694,0,0.7008,1.0,3,0,0,0,3,4,2025-01-13 12:20:00+05:30,2025-01-13 12:25:00+05:30,2025-01-13 12:55:00+05:30,194.28,192.81571428571428,196.91571428571436,-1.4643,L
S055,NATIONALUM,2025-01-13 12:30:00+05:30,-0.2114,-0.2017,0,,0.8849,64.91,-0.8291,0,3.2324,1.0,1,0,0,0,1,2,2025-01-13 12:35:00+05:30,2025-01-13 12:40:00+05:30,2025-01-13 12:55:00+05:30,194.28,192.7925,196.9575,-1.4875,L
