signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,NTPC,2023-01-02 11:15:00+05:30,0.1698,0.2281,22,11.0,0.0759,66.67,1.2222,0,0.2861,,0,0,0,0,1,0,1,2023-01-02 11:15:00+05:30,2023-01-02 11:20:00+05:30,2023-01-02 15:00:00+05:30,168.0,167.25892857142858,169.33392857142857,0.05,EOD+
S002,NTPC,2023-01-02 13:00:00+05:30,-0.0671,-0.0969,0,,1.097,16.67,-0.619,0,0.5721,0.0,3,0,0,0,0,3,4,2023-01-02 13:15:00+05:30,2023-01-02 13:20:00+05:30,2023-01-02 15:00:00+05:30,167.6,167.0017857142857,168.67678571428573,0.45,EOD+
S003,NTPC,2023-01-02 13:25:00+05:30,-0.0507,-0.0537,0,,0.51,25.0,-0.6078,0,0.4813,0.0,1,1,0,1,0,1,2,2023-01-02 13:30:00+05:30,2023-01-02 13:35:00+05:30,2023-01-02 15:00:00+05:30,167.5,166.875,168.625,0.55,EOD+
S004,NTPC,2023-01-02 13:55:00+05:30,0.0104,-0.0283,3,2.0,0.16,40.0,-1.0,0,0.4026,0.0,1,1,0,1,0,1,2,2023-01-02 14:00:00+05:30,2023-01-02 14:05:00+05:30,2023-01-02 15:00:00+05:30,167.55,166.925,168.675,0.5,EOD+
S005,NTPC,2023-01-02 14:15:00+05:30,0.0134,0.0119,1,1.0,0.525,66.67,-0.5556,0,0.4705,0.0,2,1,0,1,0,2,3,2023-01-02 14:25:00+05:30,2023-01-02 14:30:00+05:30,2023-01-02 15:00:00+05:30,167.65,167.11428571428573,168.61428571428573,0.4,EOD+
S006,NTPC,2023-01-03 09:15:00+05:30,,,0,,2.6268,0.0,0.0989,0,1.6116,,0,1,0,0,1,0,1,2023-01-03 09:15:00+05:30,2023-01-03 09:20:00+05:30,2023-01-03 15:00:00+05:30,168.0,167.13392857142858,169.55892857142857,-0.3,EOD-
S007,NTPC,2023-01-03 09:30:00+05:30,,,0,,1.2967,20.0,-0.823,0,0.3068,1.0,3,1,1,1,0,3,4,2023-01-03 09:45:00+05:30,2023-01-03 09:50:00+05:30,2023-01-03 15:00:00+05:30,168.4,167.3107142857143,170.36071428571427,-0.7,EOD-
S008,NTPC,2023-01-03 11:00:00+05:30,0.0861,0.1203,14,7.0,0.0863,50.0,1.2222,0,1.1887,,0,0,0,0,1,0,1,2023-01-03 11:00:00+05:30,2023-01-03 11:05:00+05:30,2023-01-03 13:00:00+05:30,168.45,167.79821428571427,169.62321428571428,-0.6518,L
S009,NTPC,2023-01-04 09:15:00+05:30,,,0,,1.2522,21.05,-0.1304,0,0.3166,0.0,2,0,0,1,0,2,3,2023-01-04 09:25:00+05:30,2023-01-04 09:30:00+05:30,2023-01-04 09:40:00+05:30,167.8,166.9964285714286,169.24642857142857,-0.8036,L
S010,NTPC,2023-01-04 12:55:00+05:30,-0.153,-0.1756,0,,0.8222,33.33,-0.4595,0,0.9648,1.0,3,1,0,1,0,3,4,2023-01-04 13:10:00+05:30,2023-01-04 13:15:00+05:30,2023-01-04 13:55:00+05:30,165.05,164.4875,166.06250000000003,1.0125,W
