signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,NTPC,2025-01-01 11:25:00+05:30,-0.037,-0.1231,7,7.0,0.1017,33.33,5.9231,0,0.7231,,0,1,1,1,0,1,2025-01-01 11:25:00+05:30,2025-01-01 11:30:00+05:30,2025-01-01 11:35:00+05:30,331.45,329.8517857142857,334.3267857142857,-1.5982,L
S002,NTPC,2025-01-01 12:10:00+05:30,-0.0574,-0.0234,0,,2.1824,63.16,-0.8258,0,0.6493,0.0,3,0,0,0,3,4,2025-01-01 12:25:00+05:30,2025-01-01 12:30:00+05:30,2025-01-01 15:00:00+05:30,330.65,328.6767857142857,334.2017857142857,2.8,EOD+
S003,NTPC,2025-01-01 12:40:00+05:30,-0.0492,-0.0544,1,1.0,0.2308,0.0,1.9508,0,0.7831,,0,0,0,1,0,1,2025-01-01 12:40:00+05:30,2025-01-01 12:45:00+05:30,2025-01-01 15:00:00+05:30,330.8,329.1482142857143,333.7732142857143,2.9732,W
S004,NTPC,2025-01-02 10:20:00+05:30,-0.1333,-0.1339,0,,0.6535,35.0,-0.6117,0,0.5157,0.0,3,0,1,0,3,4,2025-01-02 10:35:00+05:30,2025-01-02 10:40:00+05:30,2025-01-02 13:50:00+05:30,331.8,328.84464285714284,337.1196428571429,5.3196,W
S005,NTPC,2025-01-02 11:05:00+05:30,-0.0173,-0.1252,5,3.0,0.1023,33.33,3.375,0,0.7694,,0,0,1,1,0,1,2025-01-02 11:05:00+05:30,2025-01-02 11:10:00+05:30,2025-01-02 13:10:00+05:30,332.15,330.1946428571428,335.66964285714283,3.5196,W
S006,NTPC,2025-01-02 11:20:00+05:30,0.0882,-0.0173,2,1.0,0.0797,10.0,5.9565,0,0.5968,,0,0,1,1,0,1,2025-01-02 11:20:00+05:30,2025-01-02 11:25:00+05:30,2025-01-02 12:50:00+05:30,332.2,330.39642857142854,335.44642857142856,3.2464,W
S007,NTPC,2025-01-02 11:35:00+05:30,0.0859,0.0882,2,2.0,0.2625,10.0,0.2121,0,0.6498,,0,0,1,1,0,1,2025-01-02 11:35:00+05:30,2025-01-02 11:40:00+05:30,2025-01-02 12:45:00+05:30,332.0,330.42857142857144,334.8285714285714,2.8286,W
S008,NTPC,2025-01-02 11:45:00+05:30,0.0474,0.1062,0,,1.1,89.47,-0.9301,0,0.9483,0.0,2,0,1,0,2,3,2025-01-02 11:55:00+05:30,2025-01-02 12:00:00+05:30,2025-01-02 12:50:00+05:30,332.55,330.925,335.475,2.925,W
S009,NTPC,2025-01-02 12:15:00+05:30,0.0925,0.0437,3,2.0,0.4034,25.0,1.7451,0,1.9299,,0,0,0,1,0,1,2025-01-02 12:15:00+05:30,2025-01-02 12:20:00+05:30,2025-01-02 13:10:00+05:30,332.75,331.16964285714283,335.5946428571429,2.8446,W
S010,NTPC,2025-01-03 09:15:00+05:30,,,0,,1.2225,61.11,0.0959,0,0.5576,,0,0,1,1,0,1,2025-01-03 09:15:00+05:30,2025-01-03 09:20:00+05:30,2025-01-03 09:25:00+05:30,339.7,337.8339285714286,343.0589285714285,3.3589,W
