signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ONGC,2022-01-03 10:55:00+05:30,0.118,0.1201,18,9.0,0.0583,50.0,3.0,0,0.6068,,0,0,1,1,1,0,1,2022-01-03 10:55:00+05:30,2022-01-03 11:00:00+05:30,2022-01-03 11:20:00+05:30,129.3,128.76428571428573,130.26428571428573,-0.5357,L
S002,ONGC,2022-01-03 11:35:00+05:30,-0.0503,-0.0194,0,,2.2235,42.86,-0.7531,0,0.7719,1.0,9,0,1,0,0,9,10,2022-01-03 12:20:00+05:30,2022-01-03 12:25:00+05:30,2022-01-03 15:00:00+05:30,129.05,128.59464285714287,129.86964285714288,0.25,EOD+
S003,ONGC,2022-01-03 12:30:00+05:30,-0.0698,-0.0892,0,,0.1782,50.0,-1.0,0,0.4982,0.0,1,1,1,1,0,1,2,2022-01-03 12:35:00+05:30,2022-01-03 12:40:00+05:30,2022-01-03 15:00:00+05:30,129.05,128.5589285714286,129.9339285714286,0.25,EOD+
S004,ONGC,2022-01-03 13:10:00+05:30,0.0814,0.0368,6,4.0,0.0132,20.0,79.0,0,0.8276,,0,1,0,0,1,0,1,2022-01-03 13:10:00+05:30,2022-01-03 13:15:00+05:30,2022-01-03 15:00:00+05:30,129.25,128.77678571428572,130.1017857142857,0.05,EOD+
S005,ONGC,2022-01-03 13:30:00+05:30,0.062,0.0872,3,3.0,0.875,33.33,0.2308,0,1.6452,,0,0,0,0,1,0,1,2022-01-03 13:30:00+05:30,2022-01-03 13:35:00+05:30,2022-01-03 15:00:00+05:30,129.15,128.68571428571428,129.9857142857143,0.15,EOD+
S006,ONGC,2022-01-03 13:40:00+05:30,0.0387,0.0736,0,,1.1846,66.67,-0.7727,0,0.4213,0.0,1,1,1,1,0,1,2,2022-01-03 13:45:00+05:30,2022-01-03 13:50:00+05:30,2022-01-03 15:00:00+05:30,129.25,128.78571428571428,130.0857142857143,0.05,EOD+
S007,ONGC,2022-01-03 14:00:00+05:30,0.0581,0.0426,1,1.0,0.2386,80.0,-1.0,0,1.4803,1.0,6,0,0,1,0,6,7,2022-01-03 14:30:00+05:30,2022-01-03 14:35:00+05:30,2022-01-03 15:00:00+05:30,129.25,128.85714285714283,129.95714285714288,0.05,EOD+
S008,ONGC,2022-01-04 11:10:00+05:30,0.3804,0.7504,23,9.0,0.7412,100.0,-1.0,0,0.4402,0.0,1,0,0,1,0,1,2,2022-01-04 11:15:00+05:30,2022-01-04 11:20:00+05:30,2022-01-04 11:30:00+05:30,133.5,132.5892857142857,135.13928571428573,-0.9107,L
S009,ONGC,2022-01-04 11:25:00+05:30,0.0993,0.3804,0,,1.5212,33.33,-0.823,0,0.4672,0.0,9,0,0,1,0,9,10,2022-01-04 12:10:00+05:30,2022-01-04 12:15:00+05:30,2022-01-04 15:00:00+05:30,133.3,132.37142857142857,134.9714285714286,-0.3,EOD-
S010,ONGC,2022-01-04 12:35:00+05:30,-0.1296,-0.1258,0,,1.613,50.0,-0.8742,0,1.76,1.0,9,1,0,0,0,9,10,2022-01-04 13:20:00+05:30,2022-01-04 13:25:00+05:30,2022-01-04 15:00:00+05:30,133.0,132.38392857142856,134.1089285714286,0.0,EOD-
S011,ONGC,2022-01-04 13:30:00+05:30,-0.0113,-0.0489,0,,0.0119,20.0,19.0,0,0.8963,,0,0,1,1,1,0,1,2022-01-04 13:30:00+05:30,2022-01-04 13:35:00+05:30,2022-01-04 15:00:00+05:30,133.0,132.47321428571428,133.9482142857143,0.0,EOD-
S012,ONGC,2022-01-04 13:40:00+05:30,-0.047,-0.0056,0,,1.2367,50.0,-0.6226,0,1.3493,1.0,3,0,1,0,0,3,4,2022-01-04 13:55:00+05:30,2022-01-04 14:00:00+05:30,2022-01-04 15:00:00+05:30,133.0,132.46428571428572,133.96428571428572,0.0,EOD-
S013,ONGC,2022-01-04 14:20:00+05:30,0.0056,-0.0395,4,3.0,0.0845,40.0,-1.0,0,0.6242,0.0,1,0,0,1,0,1,2,2022-01-04 14:25:00+05:30,2022-01-04 14:30:00+05:30,2022-01-04 15:00:00+05:30,132.9,132.38214285714284,133.83214285714288,0.1,EOD+
S014,ONGC,2022-01-05 09:15:00+05:30,,,0,,0.1609,46.15,9.0,0,3.9764,,0,1,1,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 13:35:00+05:30,133.7,132.92321428571427,135.09821428571428,1.3982,W
S015,ONGC,2022-01-05 10:20:00+05:30,0.209,0.2018,12,12.0,0.0414,25.0,3.4444,0,0.1917,,0,1,1,1,1,0,1,2022-01-05 10:20:00+05:30,2022-01-05 10:25:00+05:30,2022-01-05 15:00:00+05:30,134.1,132.74285714285713,136.54285714285714,1.3,EOD+
S016,ONGC,2022-01-05 11:15:00+05:30,0.0931,0.1173,9,3.0,0.28,100.0,-1.0,0,2.4577,1.0,1,1,0,0,0,1,2,2022-01-05 11:20:00+05:30,2022-01-05 11:25:00+05:30,2022-01-05 15:00:00+05:30,134.5,133.7857142857143,135.78571428571428,1.2857,W
S017,ONGC,2022-01-05 11:45:00+05:30,0.0911,0.0763,4,4.0,0.4027,60.0,-0.0476,0,0.5493,1.0,1,0,0,0,0,1,2,2022-01-05 11:50:00+05:30,2022-01-05 11:55:00+05:30,2022-01-05 15:00:00+05:30,134.55,133.89821428571432,135.72321428571425,1.1732,W
S018,ONGC,2022-01-05 12:00:00+05:30,0.0706,0.0911,0,,0.0766,100.0,-1.0,0,1.8678,1.0,3,1,0,0,0,3,4,2022-01-05 12:15:00+05:30,2022-01-05 12:20:00+05:30,2022-01-05 15:00:00+05:30,134.55,133.97857142857146,135.57857142857142,1.0286,W
S019,ONGC,2022-01-05 13:20:00+05:30,0.0631,0.0761,12,1.0,0.9471,37.5,0.1594,0,1.972,,0,0,0,0,1,0,1,2022-01-05 13:20:00+05:30,2022-01-05 13:25:00+05:30,2022-01-05 15:00:00+05:30,134.9,134.44464285714287,135.71964285714284,0.8196,W
S020,ONGC,2022-01-06 10:05:00+05:30,-0.0055,-0.0185,0,,1.149,40.0,-0.916,0,0.5028,1.0,9,0,1,1,0,9,10,2022-01-06 10:50:00+05:30,2022-01-06 10:55:00+05:30,2022-01-06 15:00:00+05:30,134.85,133.55535714285713,137.18035714285713,0.85,EOD+
S021,ONGC,2022-01-06 11:00:00+05:30,-0.1874,-0.28,0,,0.75,33.33,-0.7333,0,0.8652,1.0,3,0,0,0,0,3,4,2022-01-06 11:15:00+05:30,2022-01-06 11:20:00+05:30,2022-01-06 14:40:00+05:30,134.9,134.27500000000003,136.02499999999998,1.125,W
S022,ONGC,2022-01-06 11:40:00+05:30,-0.0446,-0.052,3,2.0,0.0233,50.0,9.0,0,0.7739,,0,0,1,1,1,0,1,2022-01-06 11:40:00+05:30,2022-01-06 11:45:00+05:30,2022-01-06 13:40:00+05:30,134.8,134.26428571428573,135.7642857142857,0.9643,W
S023,ONGC,2022-01-06 11:50:00+05:30,-0.0297,-0.0427,0,,0.6155,50.0,-0.6078,0,1.9647,1.0,1,0,0,0,0,1,2,2022-01-06 11:55:00+05:30,2022-01-06 12:00:00+05:30,2022-01-06 13:30:00+05:30,134.75,134.23214285714286,135.68214285714282,0.9321,W
S024,ONGC,2022-01-06 12:05:00+05:30,0.0149,-0.0297,1,1.0,0.3621,33.33,1.6667,0,0.9764,,0,0,0,0,1,0,1,2022-01-06 12:05:00+05:30,2022-01-06 12:10:00+05:30,2022-01-06 13:40:00+05:30,134.9,134.38214285714287,135.83214285714286,0.9321,W
S025,ONGC,2022-01-06 12:15:00+05:30,0.0724,-0.0111,1,1.0,0.3333,0.0,2.3333,0,2.1239,,0,1,0,0,1,0,1,2022-01-06 12:15:00+05:30,2022-01-06 12:20:00+05:30,2022-01-06 14:40:00+05:30,134.9,134.3375,135.9125,1.0125,W
S026,ONGC,2022-01-06 13:55:00+05:30,0.1477,0.1682,19,3.0,0.0309,12.5,32.3333,0,1.2905,,0,1,1,0,1,0,1,2022-01-06 13:55:00+05:30,2022-01-06 14:00:00+05:30,2022-01-06 15:00:00+05:30,135.7,135.0928571428571,136.79285714285717,0.0,EOD-
S027,ONGC,2022-01-07 10:50:00+05:30,0.7158,0.7903,19,16.0,0.4717,37.5,-0.0323,0,0.4069,,0,0,0,0,1,0,1,2022-01-07 10:50:00+05:30,2022-01-07 10:55:00+05:30,2022-01-07 11:10:00+05:30,140.2,139.3785714285714,141.67857142857144,-0.8214,L
S028,ONGC,2022-01-07 11:00:00+05:30,0.462,0.7329,0,,1.68,18.18,-0.3333,0,0.8662,0.0,6,1,1,1,0,6,7,2022-01-07 11:30:00+05:30,2022-01-07 11:35:00+05:30,2022-01-07 14:35:00+05:30,140.1,139.20714285714286,141.70714285714286,1.6071,W
S029,ONGC,2022-01-07 11:45:00+05:30,-0.0089,-0.1107,1,1.0,0.7,58.33,-0.3043,0,0.9116,0.0,2,1,0,1,0,2,3,2022-01-07 11:55:00+05:30,2022-01-07 12:00:00+05:30,2022-01-07 15:00:00+05:30,140.2,139.17321428571427,142.04821428571427,1.4,EOD+
S030,ONGC,2022-01-07 12:55:00+05:30,0.1762,0.1604,11,4.0,0.5863,78.57,-0.5918,0,0.4035,0.0,2,1,0,0,0,2,3,2022-01-07 13:05:00+05:30,2022-01-07 13:10:00+05:30,2022-01-07 15:00:00+05:30,140.7,139.65535714285713,142.58035714285714,0.9,EOD+
S031,ONGC,2022-01-07 13:45:00+05:30,0.158,0.1528,7,1.0,0.3267,44.44,0.4286,0,0.6369,,0,0,1,0,1,0,1,2022-01-07 13:45:00+05:30,2022-01-07 13:50:00+05:30,2022-01-07 15:00:00+05:30,140.95,140.14642857142857,142.39642857142854,0.65,EOD+
