signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ONGC,2024-01-01 11:20:00+05:30,0.0754,0.108,5,4.0,0.175,33.33,1.8571,0,0.9401,,0,0,1,1,0,1,2024-01-01 11:20:00+05:30,2024-01-01 11:25:00+05:30,2024-01-01 12:00:00+05:30,192.25,191.75,193.15,-0.5,L
S002,ONGC,2024-01-01 13:00:00+05:30,-0.0925,-0.0677,0,,1.5522,50.0,-1.0,0,0.5784,1.0,3,1,1,0,3,4,2024-01-01 13:15:00+05:30,2024-01-01 13:20:00+05:30,2024-01-01 15:00:00+05:30,191.85,191.23392857142855,192.95892857142852,0.3,EOD+
S003,ONGC,2024-01-01 13:25:00+05:30,-0.0717,-0.1069,0,,0.6881,0.0,0.0345,0,0.4392,,0,0,1,1,0,1,2024-01-01 13:25:00+05:30,2024-01-01 13:30:00+05:30,2024-01-01 15:00:00+05:30,191.75,191.2232142857143,192.69821428571427,0.4,EOD+
S004,ONGC,2024-01-01 13:40:00+05:30,-0.0391,-0.0717,0,,0.4964,0.0,-0.4872,0,1.902,1.0,3,0,0,0,3,4,2024-01-01 13:55:00+05:30,2024-01-01 14:00:00+05:30,2024-01-01 15:00:00+05:30,191.9,191.4089285714286,192.78392857142856,0.25,EOD+
S005,ONGC,2024-01-01 14:25:00+05:30,0.0235,0.0143,5,5.0,0.8132,28.57,0.0127,0,1.5612,,0,0,1,1,0,1,2024-01-01 14:25:00+05:30,2024-01-01 14:30:00+05:30,2024-01-01 15:00:00+05:30,191.75,191.14285714285717,192.84285714285716,0.4,EOD+
S006,ONGC,2024-01-02 09:15:00+05:30,,,0,,4.6134,32.43,-0.546,0,0.9255,0.0,3,1,1,0,3,4,2024-01-02 09:30:00+05:30,2024-01-02 09:35:00+05:30,2024-01-02 10:25:00+05:30,191.65,190.51607142857145,193.6910714285714,-1.1339,L
S007,ONGC,2024-01-02 09:55:00+05:30,0.0678,-0.0365,3,2.0,0.4014,77.78,-0.68,0,0.4652,0.0,2,0,0,0,2,3,2024-01-02 10:05:00+05:30,2024-01-02 10:10:00+05:30,2024-01-02 11:30:00+05:30,191.55,189.60357142857143,195.05357142857144,3.5036,W
S008,ONGC,2024-01-02 10:35:00+05:30,-0.1267,-0.0927,0,,1.564,90.48,-1.0,0,0.5579,0.0,3,0,1,0,3,4,2024-01-02 10:50:00+05:30,2024-01-02 10:55:00+05:30,2024-01-02 11:30:00+05:30,191.65,189.6678571428572,195.21785714285716,3.5679,W
S009,ONGC,2024-01-02 11:05:00+05:30,0.1239,-0.0196,2,2.0,0.2735,47.06,0.6667,0,0.7123,,0,0,0,1,0,1,2024-01-02 11:05:00+05:30,2024-01-02 11:10:00+05:30,2024-01-02 11:30:00+05:30,191.75,189.8303571428572,195.2053571428571,3.4554,W
S010,ONGC,2024-01-02 11:15:00+05:30,0.0874,0.1057,0,,0.1172,56.25,-0.4444,0,0.6389,,0,0,1,1,0,1,2024-01-02 11:15:00+05:30,2024-01-02 11:20:00+05:30,2024-01-02 11:30:00+05:30,191.95,190.0303571428572,195.4053571428571,3.4554,W
